#OTU ID,SLCFP072,LYZdtt342,LYZFP308,LYZFP307,LYZdtt308,LYZFP331,SLCFP131,SLCFP078,SLCFP070,SLCdtt022,LYZdtt366,SLCdtt070,SLCFP023,SLCdtt005,LYZdtt354,SLCFP022,LYZFP355,LYZdtt330,LYZFP319,SLCFP005,SLCFP024,SLCFP053,SLCdtt114,LYZFP320,SLCFP095,LYZdtt356,LYZdtt368,SLCdtt095,SLCFP077,LYZdtt367,LYZFP356,SLCdtt024,LYZFP354,SLCFP112,LYZdtt319,LYZFP332,LYZFP306,SLCFP113,LYZdtt306,SLCFP071,SLCFP004,SLCdtt113,SLCdtt004,SLCdtt112,LYZdtt355,SLCFP094,LYZdtt343,SLCdtt076,LYZdtt344,SLCFP052,SLCFP076,SLCdtt096,LYZFP330,LYZdtt318,LYZdtt332,LYZdtt320,SLCdtt078,SLCFP054,SLCdtt052,SLCFP114,SLCFP006,SLCdtt054,LYZFP343,SLCdtt006,SLCdtt077,SLCdtt132,SLCFP132,LYZFP344,LYZFP342,SLCdtt130,SLCFP096,LYZdtt307,LYZdtt331,SLCdtt053,LYZFP318,SLCFP148,SLCdtt150,SLCdtt167,SLCdtt149,SLCFP166,SLCdtt148,SLCdtt168,SLCFP150,SLCFP167,SLCdtt166,SLCFP149,taxonomy
1CMET2-PWY,10840.6741,16790.3382,71191.4847,49927.1779,50108.9386,48664.0431,23491.9238,15400.4767,16916.6555,30854.7806,26320.1905,4174.5166,9871.8278,5664.6872,7156.2194,12027.6689,39918.5751,18392.4831,42469.7281,7115.0897,11379.7955,22117.5615,13711.4409,9906.2668,4558.0039,25562.0806,41412.7921,1574.1983,6451.4851,36315.6101,41094.1092,7092.6304,43921.2499,10497.4974,6365.9411,45839.5213,81725.0512,4905.5228,8263.4342,18221.5209,3670.7707,7974.74,3532.7787,1050.296,15963.1201,10347.4481,13496.6321,21991.5893,30657.0982,16758.0519,7013.9294,2672.5206,79595.0141,32707.2646,20140.9328,19090.8168,14182.8121,11465.7613,19708.08,5120.9926,8230.5415,7323.116,68430.874,10237.1941,11979.9131,20759.6748,15783.2353,55324.2386,36705.9601,4076.7165,423.802,44130.2681,24570.6897,19600.3829,52070.5629,31057.1571,56580.6958,52447.7967,75400.6478,30994.0855,56202.202,55482.5843,62339.2051,36826.5112,35045.761,43459.993,
ALL-CHORISMATE-PWY,0,611.9542,624.8248,484.7312,927.9211,678.1196,0,0,0,269.0044,287.521,0,0,278.4785,169.535,0,237.7083,299.4757,284.7087,253.5255,0,0,787.7461,122.066,0,272.3107,2158.0324,0,0,249.3084,298.5597,0,501.6633,0,364.3109,900.0561,602.9105,0,280.1575,0,88.1514,51.5024,109.8989,0,298.261,0,244.4723,139.6977,745.6188,80.3288,0,0,805.432,643.6588,284.9289,249.5541,72.7811,0,24.4078,0,215.6609,0,713.3154,570.0312,88.288,0,0,986.0356,170.9702,42.9635,0,895.5444,524.202,42.6554,465.0244,2492.9536,9.194,3.7717,9.9251,25.0813,4.3201,4.2778,147.0584,19.3706,3.8779,58.3956,
ANAEROFRUCAT-PWY,16394.4041,26316.1481,85009.0403,83595.33,70552.9108,103199.2425,33367.7934,23890.9275,25215.2192,42717.7608,31376.6635,6717.8502,12365.4697,16102.3649,13364.3247,12659.1012,25431.7538,25024.0335,156093.0284,36930.4949,13399.909,30750.8644,22313.262,53080.2225,56650.6898,29929.1735,49441.8632,19930.9878,14254.6125,44989.3852,37825.1432,7749.5937,32459.5235,16020.1628,26437.1844,81727.0192,148578.5493,7259.3335,19246.6641,28749.4645,12320.8215,14011.2212,8218.2749,1954.9412,24484.4038,14401.2325,13790.8026,30774.22,38318.2072,30733.6393,22307.9559,56348.1129,108038.4486,62432.7375,48972.8454,77212.8932,21651.5297,15095.5425,28467.5715,7606.5332,28877.6304,10328.4906,53630.8808,23211.3944,18315.5014,27547.8845,20470.3283,44783.1706,22275.6005,5597.5551,29552.3241,77578.8569,34448.8872,30699.8789,65726.4518,29110.0374,94604.1051,76957.7928,138464.9084,78520.8829,56178.599,104500.7513,62835.0457,62141.0561,137411.5573,64428.2644,
ANAGLYCOLYSIS-PWY,20350.0286,45753.4437,107090.9226,83721.3672,86306.5939,147818.7741,38556.2787,35582.2966,39563.8375,48491.2443,36156.3494,10444.1147,14705.3679,28699.5427,46769.9107,20894.4889,56093.6526,36839.2531,168490.9778,80019.9239,16654.0046,39326.5229,30770.8851,58527.3371,109595.0292,109193.0466,54153.3512,36423.2443,36459.6496,48505.5077,53249.0164,10875.6259,175715.3082,17920.4005,31444.679,178652.9904,148332.7545,8023.4179,40771.5932,48911.1149,37261.7244,27255.1191,18656.6572,3467.4117,58981.3564,36426.5896,34552.8034,68139.0196,64190.1943,43414.9861,81098.4296,80537.9767,118476.973,144371.3246,51714.9541,125294.1347,43428.9059,16233.0569,38802.7497,8191.6915,53646.8104,12710.7904,131396.4299,43130.9783,52415.1697,30788.207,22804.4875,79568.928,58950.0493,6785.748,52764.9571,116901.285,37416.604,36091.5858,74849.231,40712.5057,124954.2609,162483.5856,188616.293,93086.6173,73827.3448,131628.9636,91043.2914,62997.9456,320652.1879,64544.1622,
ARG+POLYAMINE-SYN,181.2824,4400.6205,6629.5656,3077.0722,14748.813,559.3105,796.2413,415.8922,342.8739,3119.6152,7429.2713,886.1564,229.0663,415.36,876.6975,289.9176,750.3741,6203.5117,1911.2398,285.2872,202.0143,915.1255,950.8679,752.7589,127.8414,416.746,3943.4417,62.6801,197.6623,3073.7875,1631.2382,109.9454,3418.2164,651.2146,721.351,745.8955,5669.2224,256.4269,2561.2992,294.8602,98.7792,74.3134,492.5315,291.2177,2254.6537,928.046,3378.8662,1414.4151,2233.1929,574.7398,229.911,189.5151,1192.0099,2910.6358,1484.7766,4984.3231,477.8395,441.033,766.6034,295.5327,230.2919,73.0632,1363.5583,883.0697,510.4668,673.4666,380.236,1623.2965,732.7996,925.6269,0.7809,5108.0223,2888.2393,1741.8648,5503.3353,6801.6373,4530.8021,645.0966,9764.0529,663.4688,8770.1338,2863.7479,4327.7121,881.7762,425.4313,755.6323,
ARGDEG-PWY,0,266.4262,219.5822,194.9674,425.9922,196.1366,0,0,0,64.4235,118.5854,0,0,90.6347,82.4441,0,62.9821,128.1782,96.708,117.1017,0,0,402.9204,48.9442,0,121.0171,913.2661,0,0,101.7125,121.6958,0,178.578,0,173.2638,300.7375,227.206,0,134.8612,0,35.4007,20.8347,49.1295,0,133.2849,0,116.0159,45.7739,324.9684,23.8069,0,0,291.9388,282.6224,128.8394,107.8065,23.7494,0,8.1543,0,84.1311,0,212.1811,170.4434,30.0068,0,0,207.0905,80.3276,20.6665,0,425.1362,220.7523,8.7426,169.5327,947.7669,0.5833,0.5833,0.5833,2.9157,0.5832,0.5833,39.7209,2.3331,0.5833,12.2411,
ARGORNPROST-PWY,2959.2598,988.4462,5527.4765,17285.8998,8362.5532,1900.0404,3147.1271,929.9287,4767.1951,5018.4139,585.6256,708.754,857.1394,2919.064,125.7607,751.3707,351.4919,580.7835,12108.897,2099.9898,895.5799,7135.2239,2788.8217,1862.7775,979.8887,341.2744,2464.5599,312.9363,461.2934,1466.8534,805.8302,461.2207,945.4103,2307.1432,1497.8251,2527.54,24456.1873,936.4358,641.1732,4324.069,1258.7009,2037.5215,865.321,174.6397,362.5951,2237.3567,352.95,1352.123,1635.4,5584.8817,695.9337,883.7731,1819.7049,2569.2477,1280.1416,1404.9818,938.398,2739.6693,2327.0001,945.6147,2548.4392,914.3046,4148.7613,5628.4965,851.2376,3685.1965,2847.3523,2408.8945,214.6068,722.6951,5.9966,15083.7107,898.2731,1930.8094,2884.4669,3865.8268,5753.4542,5903.0894,5123.7897,7562.2032,6483.8042,5987.7556,4844.4932,5566.8581,2977.1442,1844.5262,
ARGSYN-PWY,7938.7894,12592.8544,43661.482,45750.1645,37503.6584,30942.1662,17409.5978,7599.5309,12913.2272,26619.2113,16689.5047,3260.2693,8516.0985,5559.866,3237.0374,9885.6535,34002.2147,11825.0328,50177.6964,7416.444,9791.2092,15841.9185,8466.6133,12378.6592,5461.0093,10792.5392,26863.5181,2484.0343,3442.7952,25190.3062,34440.086,5631.8378,28837.2441,7439.3552,6898.2917,27051.4068,75493.6554,3368.0705,5844.1578,13379.7269,3208.1592,5182.3282,3153.1778,576.311,8588.9733,6810.4081,8432.7768,12188.5064,21073.4828,12697.5468,4790.0437,3326.0424,66126.876,25846.4415,17099.4303,14739.0342,6404.2656,8615.4966,12121.4794,4102.9535,7554.7029,4354.1545,56954.9853,10318.6513,5761.1331,14356.0187,11139.7284,49623.3079,31397.9441,3083.2266,597.6807,38481.6585,19994.5456,12326.3787,42521.6634,30444.1574,37019.747,37774.5377,50451.6557,30583.5568,51282.4862,44680.5705,52771.7685,33079.7375,30591.2133,38776.6697,
ARGSYNBSUB-PWY,7459.6248,11480.4812,36702.0624,44704.1885,34329.6414,29973.0633,17758.6651,6576.5922,12542.3255,26529.0978,13462.8148,3032.5934,8732.4692,5246.5228,2522.2185,9876.0977,33345.9629,11523.3495,40779.1808,6842.4281,9851.0738,15814.5123,8079.8844,9907.571,4144.6657,9345.4369,23462.7358,2058.0395,3108.9749,21321.6584,33894.2521,5454.7233,26140.9536,7679.7164,5317.6136,26187.1571,73610.6299,3430.8672,4861.4771,12642.1542,2897.1392,4789.74,2948.8952,559.1723,7039.5393,6359.3185,8200.3834,11029.3169,19389.5591,11895.4936,4529.4119,2439.9298,64888.1568,20933.1305,14676.6617,10675.9508,5171.7195,8653.2061,8095.6966,4209.0435,6908.1892,3514.3972,54681.1475,10017.6307,4415.1267,13600.4836,10940.8992,49246.9954,31012.6496,3019.5202,442.9021,32773.6881,19271.8565,11713.9688,40412.691,31110.9597,35789.6199,30335.5588,50564.2482,27981.9058,51328.5035,40005.4195,51555.7496,32504.6986,22503.3042,41450.1358,
ARO-PWY,6682.6332,12895.3453,43682.8579,31541.9641,25758.4032,136009.5231,15083.0644,5554.9526,9594.4067,24681.7006,22491.9803,3025.2024,7479.8477,3653.9444,25033.8163,8400.5479,19248.951,30913.0397,17783.9332,3904.5999,8536.0799,12615.794,8221.9603,4069.6781,1445.6575,8537.4345,31692.991,724.6357,2074.6634,26267.8677,29460.6585,4644.1718,18131.1007,8430.6178,2744.9993,170693.4922,46323.579,3933.1701,21209.5302,9235.3517,1815.5308,4064.8215,2044.6726,1385.8598,10333.3208,4289.1658,19722.2048,9196.6395,16133.9316,7771.2092,2651.3441,1042.081,92981.9733,12449.2652,35520.4969,84791.2074,5458.3366,8182.0038,8106.454,4391.6348,4268.2716,3325.6929,31618.6036,7295.9626,4225.6718,13592.0331,10665.9904,34827.0866,12011.3704,3010.038,148.3449,20469.0739,30185.7629,10083.5367,43793.3782,35375.096,33518.5359,23090.6842,37876.8799,36239.1087,61553.8087,25846.3413,45373.6537,22057.2796,12507.3031,36045.8462,
