#OTU ID,SLCFP021,LYZdtt351,SLCFP069,SLCFP111,LYZdtt364,SLCdtt050,SLCdtt110,SLCdtt075,LYZFP304,SLCFP067,SLCdtt019,SLCFP051,SLCdtt002,LYZFP328,LYZFP317,LYZdtt328,SLCFP093,SLCdtt021,SLCdtt111,SLCFP091,LYZFP327,SLCdtt074,LYZdtt304,LYZdtt317,SLCFP073,SLCFP128,LYZdtt305,SLCFP092,SLCFP002,LYZdtt329,SLCFP019a,SLCdtt092,LYZFP316,SLCFP075,SLCdtt020,SLCFP049,LYZFP339,LYZFP315,SLCdtt128,LYZdtt341,SLCFP050,LYZFP352,SLCdtt051,LYZFP305,LYZdtt340,SLCFP127,LYZFP340,SLCFP129,LYZdtt363,LYZdtt365,LYZdtt315,LYZFP351,SLCFP074,LYZFP303,SLCFP003,SLCFP068,SLCdtt069,SLCdtt129,SLCdtt109,LYZdtt352,LYZdtt353,LYZdtt316,SLCdtt093,SLCdtt001,LYZdtt303,SLCFP001,SLCFP110,SLCdtt068,LYZFP353,SLCFP109,LYZdtt339,SLCdtt003,LYZdtt327,SLCFP020,SLCdtt067,LYZFP329,LYZFP341,SLCdtt163,SLCdtt164,SLCdtt145,SLCFP164,SLCdtt146,SLCFP163,SLCFP145,SLCFP165,SLCdtt165,SLCFP146,SLCFP147,SLCdtt147,taxonomy
ASPASN-PWY,14729.097,66565.573,8173.0962,14513.1066,73124.8838,21492.7829,20479.375,11956.0092,66940.3498,10360.3672,6745.1098,17983.9464,28888.2651,40347.6401,46941.1037,80964.1008,17298.2285,8472.6423,20049.8994,18761.5731,93182.0937,52359.6591,91825.1361,243980.0624,17391.9371,17065.7633,35614.7281,23412.7223,14419.4685,94602.7821,15650.9576,25063.299,77838.2656,9466.2938,11500.44,17865.7987,57618.6515,78821.0265,21692.3944,790661.4207,12558.7273,31201.5654,17081.3182,37896.3016,59739.8744,9671.7019,39142.3012,8819.8234,57653.3116,78031.0119,39781.949,48837.37,16365.0075,64606.5759,20233.7417,10126.5915,24351.0932,12720.9448,20731.7054,65431.2969,74059.1751,78418.6964,33174.9297,4029.7228,363512.0886,19219.8343,8171.8093,10932.1623,25193.4569,17182.5898,11887.7565,22286.0139,54929.4655,16835.7254,11619.8128,66002.5782,40662.099,81176.4755,66640.9824,52534.7683,28370.3527,12624.3065,26723.9001,23230.5215,24584.2543,62868.7417,35059.9041,20830.2047,48052.3206,
AST-PWY,4.75,73.75,0,7.5,230,0,6.5,6.5,101,0,4,13.25,66,82.5,80.5,180.25,19,0,0,0,167,31.25,1379.75,123.25,0,0,147,16.25,12.75,166.5,0,0,116,0,0,37,84.75,111.75,0,154.5,13.25,27.75,0,101.25,102,0,40,0,122,147,1292.5,94.75,0,102.75,0,0,4,0,8.5,87.5,87.25,178.75,0,112.5,10387.25,36.75,0,0,30.75,0,653.25,97.5,243.75,0,75.75,141,55,1,0.25,0.5,2.5,0.25,1.5,1.75,3,0.25,15.5,382.75,0.25,
BIOTIN-BIOSYNTHESIS-PWY,1079.3551,3001.1475,315.0791,582.3444,1533.8034,155.2041,295.5528,86.9737,1472.8193,432.3757,152.9126,552.7819,584.9348,993.6505,8063.297,1695.1428,861.7181,316.8898,183.1954,655.5284,2165.1258,346.1084,8865.973,1838.0238,129.9758,468.7921,1662.6961,793.7279,398.7074,2086.4807,964.4885,212.9236,2113.5335,108.8665,338.2358,753.5877,2516.6033,2003.9909,169.3906,2404.6921,592.5859,1604.1488,204.6397,943.9216,972.2567,131.477,1341.6509,276.5927,1323.4632,1475.3988,10725.9389,3665.494,55.6615,1627.0444,445.8483,406.7945,604.2421,192.9485,305.7973,3406.2874,1551.7767,2476.3531,416.4752,635.5099,58008.4961,892.2076,256.7177,262.5034,1016.254,822.0199,2269.6331,774.5246,2435.9384,1368.8597,758.0417,1843.6994,1276.1782,2101.7799,309.3871,4989.4212,979.2159,32.2583,904.3889,1839.099,609.4529,1280.8324,324.2835,2213.4635,698.7319,
BRANCHED-CHAIN-AA-SYN-PWY,15898.8906,59735.2192,7992.6836,13961.2577,105171.7207,25632.9462,23128.9038,12346.7057,66056.6367,9997.8971,5383.685,21233.3798,32892.9623,44240.8699,40559.1893,101522.0309,14902.0259,9998.3871,22538.438,15190.4965,70097.8737,60736.8949,161416.7234,277680.2788,13199.7671,15332.545,29672.8179,19368.0093,13225.4364,104447.078,15755.2649,26861.6692,68531.0694,9169.4632,14305.387,19410.6906,54911.1327,64045.2544,27830.3825,935649.9618,13302.5985,36742.9966,20270.353,28444.1752,72813.5792,7907.1601,39639.0341,9104.582,75450.9078,1071218.702,44541.6175,56663.8606,14233.5307,50728.5602,19858.8265,9033.1853,30313.3381,11459.5794,15127.1751,60144.896,99281.4298,70939.9246,38620.6949,3478.2553,564731.9759,15593.0944,8607.7404,12145.8981,31495.7423,13195.9935,12742.4362,31709.4004,38354.4468,16782.7572,9764.0526,79007.5242,42783.7335,72336.3262,79332.4324,50999.0013,18772.417,13219.5373,21785.824,18776.6987,17820.1685,49515.5105,29512.0313,20530.9222,43583.3718,
CALVIN-PWY,17944.8444,79744.4221,10518.237,19268.931,118375.6925,28939.3482,28399.8969,15732.1619,80807.6849,10905.7396,7448.1709,24922.7882,37132.476,49062.9976,73531.2606,111691.6169,24800.0173,11157.0684,27939.552,24388.6683,90692.4955,73834.454,187205.8546,310414.8094,18155.5414,18188.2387,44868.7628,32729.4684,17634.6137,117139.4239,16755.8549,33785.7585,97030.9394,11488.4793,15800.2976,21842.7304,51876.5838,97784.178,29155.9051,886661.545,15604.4061,38236.8243,22900.3667,60108.4454,76965.4909,10314.9038,39498.488,10584.9282,83264.9049,934171.6242,67471.7005,58160.2534,18324.5893,77992.9395,24955.92,10953.0606,31621.5459,15127.9763,27818.3454,75880.7927,110583.4613,105873.7324,46951.0434,4851.1956,1020238.608,20847.4633,10628.7378,13820.3033,33838.8279,19240.9367,16910.3233,37645.4736,54757.7796,18949.5089,14699.6096,85383.161,45516.3566,101162.7907,88635.2712,71214.4697,33132.4123,16286.78,31735.6167,25608.4353,31337.7435,75765.7318,43111.0557,26219.0015,54943.5181,
CENTFERM-PWY,110.7856,718.4181,0,96.2277,1643.9724,34.8822,110.3488,57.1406,769.7898,60.9862,74.346,91.5391,724.8744,567.6945,1976.0707,1244.2402,130.3885,32.7921,58.9355,5.2435,1123.8806,295.678,8510.0847,1063.7639,98.0104,139.9188,981.5635,144.7667,99.7323,1151.4706,127.7627,0,972.535,25.2083,105.1702,268.2831,588.043,977.6589,82.3139,1060.2822,90.7338,397.9034,0,756.7195,726.968,71.915,277.8357,23.3339,915.9575,1180.6627,7598.6392,885.5139,40.7675,861.0653,46.8231,30.9797,99.4815,124.6935,158.6072,761.293,682.7003,1361.2246,27.0415,554.2161,49305.6322,414.722,82.1839,0,280.6832,88.6562,2635.0063,9098.2463,1586.6,104.7111,470.7987,969.0465,381.5658,9611.9908,337.2237,50.8721,78.6984,29.6156,113.1949,755.3193,58.4698,250.4161,123.3372,1814.0166,100.8048,
COA-PWY,14846.1447,148552.6413,9254.7667,14895.3075,70688.8861,18529.9852,21749.5677,14861.707,82107.6852,13938.3166,10005.9371,16651.8357,28707.5037,38871.3665,166114.0628,77054.32,25766.2146,8801.2063,21435.4015,24798.7072,93780.411,57358.83,138308.2658,291144.3334,27369.7456,18133.3254,89288.6628,41277.4789,16254.7948,91235.2342,15161.3576,29274.0731,101453.052,11136.0412,11820.3834,15985.7731,61270.9648,112272.9243,20665.9208,813521.7565,12120.651,32787.5631,15273.4455,314239.0998,61307.3531,14444.0811,40840.2407,9013.0426,58022.4132,900445.1003,50579.1551,50966.1009,20489.6937,226153.011,20543.7539,12535.7676,21546.6243,18787.6799,30532.6023,120237.1545,118290.1058,154581.7454,34004.3599,5189.5487,415013.6711,21137.2434,8080.5518,10334.6711,26048.7439,17110.6086,14510.4919,34159.7406,61477.759,16628.38,20788.8119,64056.6966,42485.6579,95916.4438,73059.5189,82193.9369,29495.7098,13454.1387,27469.4796,36896.1616,25463.8057,66539.5926,44476.9255,21407.9117,47055.6656,
COBALSYN-PWY,6241.4106,17396.373,3031.8307,7837.7678,70237.7985,14299.0172,16117.4541,6702.2402,36015.9504,4424.028,1554.9449,10966.7668,18794.1301,18948.1507,86550.0503,61769.3101,10046.9119,5731.3382,15360.0784,9579.0663,8450.8904,33741.3071,114211.3075,221510.1618,3843.6922,4978.9725,15844.8612,14742.7653,6416.6246,56475.0745,4680.9262,17827.0189,46699.7783,4399.9878,9029.0151,7829.0549,11755.3734,50936.3517,16336.8433,765288.8938,5818.4653,15877.9019,10950.5399,38923.7392,50308.987,1906.6545,14825.6952,3687.9749,44178.3537,892355.2517,28104.189,21417.4274,5352.5344,25770.6921,9305.041,3633.3297,17208.8398,3765.1269,6856.4402,20846.4689,57428.5057,49104.5409,24047.3781,1524.7178,397718.4323,6868.6641,4911.3043,6551.5214,15845.2989,5464.8913,7038.3601,10933.2208,7579.7578,5728.8497,4238.6009,40015.5699,19896.7867,32986.9903,58444.4843,21548.1664,9143.2911,7581.1374,10731.5505,4685.7418,9975.0601,25775.8649,11025.6161,9016.2906,16733.394,
CODH-PWY,505.5163,666.4889,204.7159,677.1589,1521.9013,715.7707,564.5863,172.9847,3555.3476,334.6988,335.279,696.0096,1201.2499,640.6878,1264.1431,1380.3451,301.1626,340.903,788.807,524.1787,1286.7184,492.9358,66416.4543,32716.0479,105.7962,964.1827,511.4984,606.3233,714.1735,2298.8294,525.6118,412.1351,2234.8387,54.8666,487.6138,645.2171,1318.3028,2239.4742,781.3917,38854.4087,639.0007,526.4344,441.0588,380.7674,1291.6885,460.5681,800.9373,665.756,790.7444,71275.6711,135.8216,640.531,87.8158,1009.7244,959.105,294.3579,571.4292,788.2046,669.4245,982.8827,54183.754,1454.1472,947.9919,245.8721,151125.9504,860.9074,319.6056,466.7452,393.9207,768.9951,319.2199,1120.4033,1403.4602,789.1974,232.6681,1416.1289,785.5916,9490.3783,657.0408,8948.9905,1950.476,223.2185,2283.9588,1243.2283,1538.8238,1824.5978,1276.5253,831.5638,1036.9203,
COLANSYN-PWY,7797.3202,22126.4822,3236.7606,4974.5728,20104.226,5635.7057,5003.5389,3966.0099,26993.3427,5878.8936,2420.6917,6479.26,7543.7616,19785.0436,23384.8595,33523.4966,5312.5495,3449.1521,5380.6095,6899.5084,40666.5074,13966.4705,54156.9981,29110.3972,8651.3202,8369.919,14583.7225,7277.1661,5318.5004,41357.4621,6658.2891,4232.9686,37096.7298,3914.1036,4329.2406,7499.2117,24121.1457,39880.3057,5350.6699,36258.3086,6402.5187,14961.351,5708.1945,12905.5109,16192.6349,4716.6657,16249.5816,3392.5536,20760.9808,59128.6774,25861.1018,22968.6446,8111.3304,25584.098,6998.5971,5362.6802,9889.7698,5278.3849,5773.4405,23733.7173,30905.7029,29499.6156,11684.0787,1867.8283,147020.6682,9034.5536,2883.6555,3557.1363,10784.8705,7720.2502,5860.1841,6786.539,24357.0191,7925.355,4096.2813,29918.5724,16847.8329,37209.2076,13661.0009,18880.5178,12404.8401,4578.5148,13554.2801,12045.7818,9848.1241,21515.9778,13502.6369,8873.6758,18481.7978,
