#OTU ID,Itg.18.DTT496.S91,Lyz2.05B.DTT260.S101,Vil1.06B.DTT70,Vil1.03B.DTT35,Vil1.01B.DTT11,Itg.24.DTT530.S25,Vil1.06B.DTT72,Itg.24.DTT531.S26,Itg.04.DTT423.S15,Lyz2.06B.DTT272.S114,Lyz2.04B.DTT246.S87,Itg.20.DTT508.S3,Lyz2.06B.DTT270.S112,Itg.16.DTT482.S77,Lyz2.03B.DTT236.S76,Vil1.04B.DTT46,Lyz2.02B.DTT224.S64,Vil1.02B.DTT24,Vil1.02B.DTT23,Lyz2.06B.DTT271.S113,Lyz2.07B.DTT284.S126,Vil1.09B.DTT106,Lyz2.02B.DTT223.S63,Itg.22.DTT519.S14,Lyz2.04B.DTT247.S88,Itg.06.DTT434.S27,Itg.22.DTT518.S13,Itg.02.DTT412.S4,Vil1.03B.DTT34,Itg.26.DTT543.S39,Itg.04.DTT424.S16,Lyz2.01B.DTT210.S50,Vil1.08B.DTT96,Vil1.010B.DTT119,Vil1.05B.DTT58,Vil1.05B.DTT59,Vil1.010B.DTT120,Itg.12.DTT470.S64,Itg.02.DTT410.S2,Vil1.05B.DTT60,Itg.08.DTT446.S39,Vil1.08B.DTT95,Vil1.01B.DTT10,Itg.26.DTT542.S38,Itg.18.DTT495.S90,Lyz2.04B.DTT248.S89,Vil1.010B.DTT118,Itg.20.DTT507.S2,Itg.12.DTT471.S65,Lyz2.03B.DTT235.S75,Lyz2.05B.DTT258.S99,Itg.10.DTT459.S53,Itg.08.DTT447.S40,Vil1.09B.DTT107,Vil1.01B.DTT12,Vil1.013B.DTT156,Vil1.07B.DTT84,Vil1.014B.DTT167,Itg.26.DTT544.S40,Itg.04.DTT422.S14,Lyz2.08B.DTT295.S137,Itg.06.DTT435.S28,Vil1.06B.DTT71,Itg.16.DTT484.S79,Vil1.04B.DTT48,Lyz2.07B.DTT282.S124,Itg.06.DTT436.S29,Lyz2.08B.DTT296.S139,Itg.22.DTT520.S15,Vil1.07B.DTT83,Lyz2.02B.DTT222.S62,Lyz2.01B.DTT211.S51,Lyz2.01B.DTT212.S52,Vil1.02B.DTT22,Lyz2.07B.DTT283.S125,Itg.10.DTT458.S52,Vil1.08B.DTT94,Itg.02.DTT411.S3,Vil1.014B.DTT168,Vil1.09B.DTT108,Lyz2.05B.DTT259.S100,Itg.20.DTT506.S1,Lyz2.03B.DTT234.S74,Vil1.07B.DTT82,Vil1.013B.DTT154,Vil1.04B.DTT47,Itg.18.DTT494.S89,Lyz2.08B.DTT294.S136,Vil1.013B.DTT155,LYZdtt342,LYZdtt308,SLCdtt022,LYZdtt366,SLCdtt070,SLCdtt005,LYZdtt354,LYZdtt330,SLCdtt114,LYZdtt356,LYZdtt368,SLCdtt095,LYZdtt367,SLCdtt024,LYZdtt319,LYZdtt306,SLCdtt113,SLCdtt004,SLCdtt112,LYZdtt355,LYZdtt343,SLCdtt076,LYZdtt344,SLCdtt096,LYZdtt318,LYZdtt332,LYZdtt320,SLCdtt078,SLCdtt052,SLCdtt054,SLCdtt006,SLCdtt077,SLCdtt132,SLCdtt130,LYZdtt307,LYZdtt331,SLCdtt053,SLCdtt150,SLCdtt167,SLCdtt149,SLCdtt148,SLCdtt168,SLCdtt166
1CMET2-PWY,22740.4866,10937.9686,2310.1065,3700.7634,8777.6666,12644.0413,4101.1439,5530.3451,31072.8799,5460.5872,8687.7836,25780.3499,13432.5696,10957.4282,10307.4374,11121.9659,14420.9753,6730.4279,12459.3706,12327.9998,26141.0106,9201.9664,15056.0156,7512.4878,18917.0982,22525.6324,12623.4584,18838.6224,23849.1196,13103.1422,12545.4755,15983.5435,6130.0317,11628.6888,5477.6974,2827.125,4611.0614,31239.0801,28553.5147,3486.4327,8258.673,5494.3604,6654.7838,14596.6705,20616.3834,15189.9635,9713.7786,13459.1975,9611.2322,12358.9117,17829.7768,7677.15,23172.119,8759.5085,6492.9145,14292.2926,3172.9867,6831.7879,17110.1964,22088.679,4282.4753,23164.9052,3583.4016,27371.8224,7238.3865,28381.2292,4571.5396,24362.4565,17531.7358,2260.6494,23240.455,16340.6555,10431.1571,7111.8918,4714.553,10309.8382,5565.0374,6920.5906,21276.306,4765.8524,12272.6343,10971.0296,16584.8394,3094.5072,15685.3278,5386.1663,24280.8348,5448.9383,6361.195,16790.3382,50108.9386,30854.7806,26320.1905,4174.5166,5664.6872,7156.2194,18392.4831,13711.4409,25562.0806,41412.7921,1574.1983,36315.6101,7092.6304,6365.9411,8263.4342,7974.74,3532.7787,1050.296,15963.1201,13496.6321,21991.5893,30657.0982,2672.5206,32707.2646,20140.9328,19090.8168,14182.8121,19708.08,7323.116,10237.1941,11979.9131,20759.6748,4076.7165,44130.2681,24570.6897,19600.3829,56580.6958,52447.7967,75400.6478,56202.202,55482.5843,35045.761
ALL-CHORISMATE-PWY,543.6207,441.2911,2317.1637,814.9374,567.8425,1204.3671,4142.3799,608.572,495.7028,1433.2079,63.4436,470.2088,791.4361,92.596,140.5714,786.3413,282.7231,778.5326,699.9629,338.0184,511.2667,6210.0279,154.2216,187.2475,372.7456,666.7894,270.9352,293.7363,446.7695,2148.5924,338.4917,176.5363,6271.8168,8254.139,4934.7445,2602.3047,3513.3619,53.8012,237.7984,3528.723,63.8407,5252.5664,312.323,376.8491,621.4815,3797.2046,6362.0179,322.8467,91.0864,238.2438,59.5647,138.5044,573.3626,6580.2278,678.0996,3945.2452,3160.9313,747.4208,403.3032,152.7276,148.0638,342.0737,3656.069,389.0836,874.0425,397.2847,103.4597,328.7885,477.9544,2156.766,122.3563,5726.7906,289.8253,342.3306,1231.6843,94.2702,5673.9154,62.4288,3950.1089,3598.1202,191.0593,653.5829,271.226,3121.1673,3634.8644,1199.3209,332.5305,215.1051,1573.4153,611.9542,927.9211,269.0044,287.521,0,278.4785,169.535,299.4757,787.7461,272.3107,2158.0324,0,249.3084,0,364.3109,280.1575,51.5024,109.8989,0,298.261,244.4723,139.6977,745.6188,0,643.6588,284.9289,249.5541,72.7811,24.4078,0,570.0312,88.288,0,42.9635,895.5444,524.202,42.6554,9.194,3.7717,9.9251,4.3201,4.2778,3.8779
ANAEROFRUCAT-PWY,31159.5135,15725.0481,2825.9563,6391.3661,15373.3357,20067.4718,4986.6156,45662.1845,54450.4829,7878.7002,12014.7516,37480.0093,43559.2784,14488.441,26999.0467,13923.5236,20125.9016,9926.0819,19451.9566,19634.934,41662.6542,13593.6724,24068.8341,26224.4196,27505.6972,32069.8798,18365.0519,39160.4179,24624.9013,41420.4346,26154.385,22362.6218,7479.1969,18947.4685,6869.308,3518.6845,7212.6709,35522.6748,81076.3552,4256.4212,12097.7956,6810.7729,10034.4171,36343.5554,30609.3644,31455.3732,14843.8334,19098.0614,16131.7446,21144.4384,25271.7358,24291.5406,32097.7877,12715.7094,12700.7382,24837.5199,3886.1423,19575.9255,36226.2534,35092.377,6344.2397,34887.1976,4342.8177,34772.0871,9421.0904,36329.7052,6791.5835,37755.1559,28327.632,2832.0481,38659.722,26016.2268,16624.649,12363.7438,5926.0969,28146.904,6763.4794,30402.3742,29767.453,6966.7628,17444.3402,15774.6926,25820.8017,3748.3345,23287.1559,7292.6178,30370.4771,7388.0381,15852.2749,26316.1481,70552.9108,42717.7608,31376.6635,6717.8502,16102.3649,13364.3247,25024.0335,22313.262,29929.1735,49441.8632,19930.9878,44989.3852,7749.5937,26437.1844,19246.6641,14011.2212,8218.2749,1954.9412,24484.4038,13790.8026,30774.22,38318.2072,56348.1129,62432.7375,48972.8454,77212.8932,21651.5297,28467.5715,10328.4906,23211.3944,18315.5014,27547.8845,5597.5551,77578.8569,34448.8872,30699.8789,94604.1051,76957.7928,138464.9084,56178.599,104500.7513,137411.5573
ANAGLYCOLYSIS-PWY,43277.3469,17695.5225,2869.9871,8131.5068,28728.8005,24849.4418,5041.7064,55564.265,122328.5118,8961.7848,17810.5389,44360.0848,46202.4946,16058.769,51786.9018,17148.1104,30189.7139,11695.6849,25057.1358,24156.0781,47262.0319,13685.817,46000.4623,40335.7687,45713.4878,53337.1582,23830.354,69930.6875,32806.6113,42281.1669,57453.9182,40278.6136,7510.306,18901.0268,7326.333,3694.1387,7088.657,64266.554,96970.0699,4300.2539,17556.1201,6993.1858,17770.8027,46429.0963,35668.7809,39304.5912,14931.7145,25965.5324,27119.7714,52462.3262,25069.915,55234.3685,45272.7303,12749.8318,25815.1587,34920.0213,3925.9756,22044.9044,44247.3002,89475.4261,9059.0231,69708.0678,4371.7298,42348.4445,10593.8718,41883.6712,10181.3391,63853.0705,37460.5024,2896.4585,100763.7974,33635.8623,53774.6367,15272.0732,6578.6576,66637.4791,6822.9199,44346.8638,33813.3135,6988.4392,17270.0966,28439.6129,50356.2143,3794.9321,28596.5525,9404.3528,34468.4413,8431.9581,30863.8507,45753.4437,86306.5939,48491.2443,36156.3494,10444.1147,28699.5427,46769.9107,36839.2531,30770.8851,109193.0466,54153.3512,36423.2443,48505.5077,10875.6259,31444.679,40771.5932,27255.1191,18656.6572,3467.4117,58981.3564,34552.8034,68139.0196,64190.1943,80537.9767,144371.3246,51714.9541,125294.1347,43428.9059,38802.7497,12710.7904,43130.9783,52415.1697,30788.207,6785.748,116901.285,37416.604,36091.5858,124954.2609,162483.5856,188616.293,73827.3448,131628.9636,320652.1879
ARG+POLYAMINE-SYN,1924.3726,811.6702,2290.3854,915.8797,1694.865,3341.2893,4083.1925,1263.3902,2407.4377,1693.1375,2768.5497,1736.528,1535.2193,4033.684,384.6682,2935.873,815.4797,1151.5045,1624.0598,945.7765,1468.0379,6490.4558,272.9306,1011.0636,2870.221,1299.8702,4038.6851,681.1122,2270.8158,1974.6893,1202.8935,4093.7247,6157.7888,8685.694,5048.4274,2656.9462,3705.131,1280.7478,764.4199,3480.9909,2219.4796,5271.3559,1787.4499,3943.2789,1991.291,4691.0831,6758.0811,2796.509,408.9775,298.3553,825.0065,1146.3962,2680.7837,6906.6704,964.1796,4626.2063,3129.9495,1001.6839,801.4819,2000.2118,221.6044,1381.3137,3598.4888,1240.7662,1101.4511,1956.9912,469.7498,559.0472,2006.8196,2166.5478,602.7236,6372.5747,653.8027,2234.6165,1552.9526,2270.3234,5579.0546,232.3089,5492.3975,3722.8231,515.1308,3546.7164,898.4177,3077.3602,3791.9238,2103.8981,3385.3675,683.4863,1770.0911,4400.6205,14748.813,3119.6152,7429.2713,886.1564,415.36,876.6975,6203.5117,950.8679,416.746,3943.4417,62.6801,3073.7875,109.9454,721.351,2561.2992,74.3134,492.5315,291.2177,2254.6537,3378.8662,1414.4151,2233.1929,189.5151,2910.6358,1484.7766,4984.3231,477.8395,766.6034,73.0632,883.0697,510.4668,673.4666,925.6269,5108.0223,2888.2393,1741.8648,4530.8021,645.0966,9764.0529,8770.1338,2863.7479,425.4313
ARGDEG-PWY,166.7437,206.2961,2309.9153,402.416,253.8397,623.7555,4138.4509,304.883,158.0376,790.5475,24.8741,190.3757,408.3712,34.5687,55.3039,359.4409,109.016,417.1842,360.2512,143.5715,138.0363,5070.3728,53.2597,78.0574,157.4038,317.938,119.8934,133.5222,128.5405,726.8697,117.0698,64.6456,6270.2591,7375.6116,4829.7439,2566.1383,3243.5889,12.8132,103.6016,3536.2861,23.7264,5188.8647,154.3021,136.0896,241.3042,2411.4781,5190.9543,146.807,30.6117,87.1343,27.7059,49.195,230.623,5967.935,318.1293,2738.0835,3140.7503,372.1973,168.0557,42.3616,57.3417,143.2452,3669.4696,144.8832,466.9825,172.9566,39.7402,128.7767,154.3698,2131.4057,49.9143,3802.4127,133.9884,172.8099,664.0186,31.7472,5672.4647,27.7639,2167.686,3200.0994,72.2545,331.4086,115.4762,3104.7383,2141.5179,713.7109,145.5848,106.8975,959.4696,266.4262,425.9922,64.4235,118.5854,0,90.6347,82.4441,128.1782,402.9204,121.0171,913.2661,0,101.7125,0,173.2638,134.8612,20.8347,49.1295,0,133.2849,116.0159,45.7739,324.9684,0,282.6224,128.8394,107.8065,23.7494,8.1543,0,170.4434,30.0068,0,20.6665,425.1362,220.7523,8.7426,0.5833,0.5833,0.5833,0.5832,0.5833,0.5833
ARGORNPROST-PWY,4468.7251,1759.3546,0,1109.6754,965.2532,2289.6528,10.2643,574.0344,3672.9227,631.9328,1506.0281,7083.2346,1159.3108,680.4094,1646.5038,1344.8892,592.3599,1127.0604,2445.6764,1838.8461,6105.4856,557.6365,308.8785,591.1721,4326.938,1663.2775,1891.0558,2510.5196,1627.3442,1312.8756,2177.3561,644.8082,16.3709,246.4631,26.9866,0,10.9204,1627.4912,1957.1325,0,479.772,9.1604,287.5155,1446.5429,4452.3091,2513.0569,881.5184,3145.0913,1106.3408,1362.0666,2154.807,796.9886,2409.676,208.216,798.5965,682.407,0,1280.7547,1383.2388,2212.0991,348.861,2733.8921,0,2361.5854,1236.1931,1749.2133,608.8184,1227.5183,3593.2185,0,347.6722,1001.2113,439.8856,980.3458,557.786,589.5694,14.3379,578.5892,4651.1553,70.4525,1283.7949,1667.8694,2351.7532,5.2765,467.4932,590.8901,4203.1853,713.9234,145.4259,988.4462,8362.5532,5018.4139,585.6256,708.754,2919.064,125.7607,580.7835,2788.8217,341.2744,2464.5599,312.9363,1466.8534,461.2207,1497.8251,641.1732,2037.5215,865.321,174.6397,362.5951,352.95,1352.123,1635.4,883.7731,2569.2477,1280.1416,1404.9818,938.398,2327.0001,914.3046,5628.4965,851.2376,3685.1965,722.6951,15083.7107,898.2731,1930.8094,5753.4542,5903.0894,5123.7897,6483.8042,5987.7556,2977.1442
ARGSYN-PWY,16684.5429,9948.003,2104.6617,3497.078,4671.6205,9269.131,3750.6604,5894.451,22071.8016,4106.2592,6071.8795,19701.5232,11504.8523,8278.961,7924.2915,9148.7427,7554.2402,5092.7624,9526.9524,9183.3277,22351.4873,7961.905,4959.4431,6400.3425,14924.4156,15278.2547,8411.5179,14367.813,28127.4321,25334.0194,9927.6425,9331.9496,5641.2933,10089.816,4856.1855,2534.0756,4041.6478,20169.4007,22811.6132,3193.7654,5631.5938,4973.9268,3931.3763,11973.926,16904.1091,13260.8697,8415.9419,10246.2542,5929.2118,8129.6151,17204.1742,6151.4657,16134.2996,7540.9253,4479.3543,7801.6682,2898.704,6707.5041,12931.712,14773.5252,2330.8375,14592.3966,3287.7947,18688.2209,5615.5984,20461.4028,3260.0636,11206.5321,14486.0962,2048.9675,7476.933,10416.6115,4452.366,5937.4551,3541.2351,7459.4301,5114.7201,6521.2926,17966.3567,4142.6434,11963.0843,6708.5305,10541.2734,2838.5402,8888.9433,3963.5044,20399.6323,4412.3525,5292.0702,12592.8544,37503.6584,26619.2113,16689.5047,3260.2693,5559.866,3237.0374,11825.0328,8466.6133,10792.5392,26863.5181,2484.0343,25190.3062,5631.8378,6898.2917,5844.1578,5182.3282,3153.1778,576.311,8588.9733,8432.7768,12188.5064,21073.4828,3326.0424,25846.4415,17099.4303,14739.0342,6404.2656,12121.4794,4354.1545,10318.6513,5761.1331,14356.0187,3083.2266,38481.6585,19994.5456,12326.3787,37019.747,37774.5377,50451.6557,51282.4862,44680.5705,30591.2133
ARGSYNBSUB-PWY,16237.1504,9317.5733,2160.6756,3223.1439,4207.454,8760.8843,3853.7932,4396.1976,18373.7813,3854.0053,5678.5225,18622.374,9135.1558,8436.6215,5323.8799,9239.7146,6958.147,4779.2041,8849.9738,8429.0498,21805.0741,7858.0684,3563.6499,4995.744,13549.2037,14274.2748,7914.0834,9468.5386,30220.6866,25622.4404,8060.4102,8828.3395,5804.703,9884.1029,4920.8631,2574.6746,3999.2774,18828.1149,17821.508,3279.7867,5220.1848,5086.0833,3802.8377,10347.0096,16751.4092,11355.0904,8312.2949,9814.9104,4823.8758,4364.4234,16732.6479,4636.3832,14989.9289,7537.2348,4146.5408,7832.9479,2976.7531,5654.6583,10903.8926,12694.8261,2164.7623,12724.9354,3380.9087,17833.1336,5522.083,19342.7348,2980.6833,9015.7766,13408.0594,2093.9522,5791.5627,9903.6406,3889.0521,5561.275,3447.5729,5573.5266,5260.5459,4694.1434,17466.2117,4129.602,11774.9074,6391.7624,8869.7551,2915.7833,7142.1996,3899.1832,21532.1514,4224.9203,5615.1661,11480.4812,34329.6414,26529.0978,13462.8148,3032.5934,5246.5228,2522.2185,11523.3495,8079.8844,9345.4369,23462.7358,2058.0395,21321.6584,5454.7233,5317.6136,4861.4771,4789.74,2948.8952,559.1723,7039.5393,8200.3834,11029.3169,19389.5591,2439.9298,20933.1305,14676.6617,10675.9508,5171.7195,8095.6966,3514.3972,10017.6307,4415.1267,13600.4836,3019.5202,32773.6881,19271.8565,11713.9688,35789.6199,30335.5588,50564.2482,51328.5035,40005.4195,22503.3042
ARO-PWY,12191.6044,9645.0901,2397.6618,2755.0732,4574.5929,11282.1868,4294.054,3629.0095,14984.3713,3763.9004,7690.5656,15522.2676,25048.2913,10954.1954,3840.5609,8731.4101,6782.6584,5007.3679,8752.3815,7621.2099,23386.29,8232.7582,5133.5179,3630.2834,10087.139,11035.2498,12262.4311,8574.5533,28827.4726,26563.1744,6437.0075,10894.614,6502.2326,8411.8142,5018.7182,2637.2734,3561.1476,16292.6762,31125.3804,3637.4987,6617.9199,5403.9491,4126.0681,10938.9316,12344.1099,7937.2106,8416.2965,8370.7026,4262.9083,4231.1239,14752.0322,3606.3779,12748.011,7275.3715,3331.7604,7221.8888,3279.2547,3744.7187,9246.1605,9701.4215,2101.8315,10262.8106,3790.4182,17566.6297,5162.2472,20444.0518,2446.5144,9654.6358,11735.8261,2204.7689,7721.1642,9080.6403,3583.9401,6629.762,3716.2084,8406.9977,5881.2209,4203.0626,16350.6147,4078.3491,10184.1412,16115.6082,7213.6218,3260.2758,8282.5876,4375.7205,19451.8125,4493.6896,3876.8853,12895.3453,25758.4032,24681.7006,22491.9803,3025.2024,3653.9444,25033.8163,30913.0397,8221.9603,8537.4345,31692.991,724.6357,26267.8677,4644.1718,2744.9993,21209.5302,4064.8215,2044.6726,1385.8598,10333.3208,19722.2048,9196.6395,16133.9316,1042.081,12449.2652,35520.4969,84791.2074,5458.3366,8106.454,3325.6929,7295.9626,4225.6718,13592.0331,3010.038,20469.0739,30185.7629,10083.5367,33518.5359,23090.6842,37876.8799,61553.8087,25846.3413,12507.3031
