OTU.ID	Distal_Colon	Jejunum
p__Bacteria_unclassified	504338	281970
p__Bacteroidetes	10040266	5152641
p__Candidatus_Kryptonia	0	63
p__Candidatus_Melainabacteria	6734	1913
p__Candidatus_Saccharibacteria	36524	65308
p__Cyanobacteria	0	113
p__Deferribacteres	37908	36816
p__Firmicutes	6162135	7480395
p__Proteobacteria	480823	711872
p__Tenericutes	29489	12805
p__Verrucomicrobia	499762	338646
