	shannon
TL1a_DTT_284	5.31840448712647
TL1A_DTT_642	5.374145151115853
TL1a_DTT_173_Repeat	5.122900115735468
TL1A_FP_641	2.3653026372534707
TL1A_FP_642	4.513160137778992
TL1A_FP_689	2.141184879075185
TL1a_FP_162	3.8840112697526377
TL1a_DTT_174_Repeat	5.402880096136971
TL1A_DTT_673	5.558925449684115
TL1A_FP_638	3.4660308519047573
TL1a_FP_88	4.166272383196735
TL1a_FP_140	3.340543348984629
TL1A_FP_626	5.031033519150286
TL1a_DTT_76_Repeat	4.866690440439182
TL1a_FP_230	4.989912316414638
TL1a_FP_89	3.7577312512019176
TL1a_FP_207	3.2636849586863605
TL1a_DTT_78	3.026798431079952
TL1a_DTT_231	4.762002445113996
TL1a_FP_234	3.762295106728576
TL1a_FP_205	2.7172769349405947
TL1A_FP_640	1.4240908295156736
TL1a_FP_65	2.5048674741337242
TL1a_FP_128	5.377801939955242
TL1a_FP_64	2.7707446567166363
TL1a_DTT_172_Re_extracted	5.023764563455928
TL1A_DTT_675	5.100156126513101
TL1a_FP_209	0.8180156152143166
TL1A_FP_629	2.965437513985765
TL1a_DTT_268_Repeat	4.506348050743536
TL1a_FP_85	4.6402619687566125
TL1a_DTT_267	5.228627533682714
TL1a_DTT_139	3.5658398206526947
TL1a_FP_129	5.477392008987731
TL1A_DTT_626	4.900908763258819
TL1a_DTT_171	3.769874863585716
TL1a_FP_206	2.7132378902760506
TL1a_FP_287	5.1933180190588475
TL1a_FP_242	2.1435891415515274
TL1A_DTT_629	3.88513644879222
TL1a_FP_86	4.0346657196711435
TL1a_FP_77	2.753766576981305
TL1a_FP_245	2.4746853840177336
TL1a_FP_198	5.041024708049207
TL1a_FP_161	3.613895487826331
TL1a_FP_266	4.948924863185601
TL1a_FP_127	4.511213955849026
TL1a_FP_76	3.746596511565431
TL1A_FP_676	3.021513078783572
TL1a_FP_73	4.222914575841927
TL1a_FP_102	4.812104669547344
TL1a_DTT_169_Re_extracted	5.860613981870841
TL1a_FP_197	4.7205496465935255
TL1a_DTT_209	2.737548146854937
TL1a_FP_159	3.258373242822605
TL1a_DTT_160	4.306512827933478
TL1A_FP_677	3.8422168095095874
TL1a_FP_132	4.022210329512966
TL1a_FP_98	3.1591649068246137
TL1a_FP_75	4.166253146084029
TL1a_FP_130	3.7160300097039496
TL1a_DTT_234	5.2550575050229495
TL1a_FP_173	4.021877415618419
TL1A_FP_685	3.652742544189274
TL1a_DTT_74	4.511443037051185
TL1a_DTT_158	2.488139510037837
TL1a_DTT_269_Repeat	5.7234470443241126
TL1a_DTT_161_Repeat	5.20635140572123
TL1a_FP_193	4.2292414153213915
TL1a_FP_139	3.448992716987217
TL1a_FP_90	3.55581590007473
TL1a_DTT_141	3.775357013274091
TL1a_DTT_210	4.874718555788833
TL1A_FP_686	3.7650295144163684
TL1A_FP_674	5.219385204788122
TL1A_FP_678	4.249322579631276
TL1a_FP_265	4.242255261818247
TL1a_FP_141	3.1834960400297474
TL1a_FP_174	4.9649264733845255
TL1a_FP_144	3.2750967122229238
TL1a_FP_195	4.736599763158598
TL1a_FP_142	5.631295880579199
TL1A_DTT_674	5.37647182583788
TL1a_FP_158	3.461756294886325
TL1a_DTT_143_Repeat	5.423325497304214
TL1a_DTT_129	5.590329524318958
TL1a_DTT_265	4.6851727867395265
TL1a_DTT_285	5.292827292665261
TL1a_DTT_144_Repeat	5.534861506581493
TL1a_DTT_241	2.61627555450708
TL1a_DTT_159	3.569751279358561
TL1a_FP_62	3.914049694288056
TL1A_DTT_627	5.086085307103555
TL1a_FP_157	3.040592248305596
TL1a_DTT_243	2.1788321153719066
TL1A_FP_625	4.953900291564101
TL1a_DTT_127_Repeat	5.675388618233354
TL1a_DTT_205	2.9584487331635376
TL1A_DTT_640	5.011138217722999
TL1a_DTT_206	3.0533866590944108
TL1a_DTT_64	3.6864678541087605
TL1a_DTT_287	5.824820608772847
TL1a_DTT_157_Repeat	3.986193018394551
TL1a_DTT_233	4.756366462974736
TL1a_DTT_62	3.7582127691235065
TL1a_DTT_65	3.0518833841015365
TL1a_DTT_242	2.599151767673196
TL1a_FP_231	4.899907005379337
TL1a_FP_284	4.396644686536634
TL1a_DTT_245_Repeat	3.889207435915757
TL1a_FP_74	4.474919625422508
TL1A_FP_630	5.470136228756082
TL1a_FP_267	5.17843903873064
TL1a_DTT_130_Repeat	4.642602148539473
TL1A_FP_639	3.678302778330421
TL1A_FP_673	5.264269862948737
TL1a_FP_172	4.279245922909114
TL1a_DTT_102_Repeat	4.571600973162355
TL1a_FP_269	4.414054281955682
TL1a_DTT_73	4.104968977182673
TL1a_DTT_195	4.821614782394023
TL1a_DTT_63	3.6969286858306356
TL1a_FP_171	3.099143012664365
TL1A_FP_687	3.5236466865895038
TL1a_DTT_85	4.617723881671526
TL1A_DTT_638	2.082148681181274
TL1a_DTT_86	3.678071904797266
TL1a_DTT_193	5.283394327794396
TL1A_FP_675	4.922890375679949
TL1a_FP_288	4.933943365646622
TL1a_FP_66	3.1357056077370027
TL1a_DTT_207	2.9707564894564054
TL1A_FP_637	3.6700909372529664
TL1a_DTT_196_Repeat	4.062000016297392
TL1a_DTT_286	3.6688557158785855
TL1a_DTT_90_Repeat	5.183094236934812
TL1a_FP_143	5.201505492295063
TL1a_DTT_131_Repeat	4.7438222467829565
TL1a_DTT_230	3.9168390782843763
TL1a_DTT_75	4.175939770582044
TL1a_DTT_61_Repeat	5.061356841592596
TL1a_FP_87	4.057282758825567
TL1a_FP_100	5.11814205033412
TL1a_FP_99	3.008549411134815
TL1a_DTT_246	4.173907391445598
TL1a_DTT_128	5.907483399044905
TL1a_DTT_283	5.837756783009271
TL1a_DTT_194	5.488410748557962
TL1a_FP_196	4.526319277386547
TL1a_DTT_100_Repeat	4.858494097313788
TL1a_FP_131	1.9821074942936114
TL1A_FP_688	2.761165921872224
TL1a_DTT_198_Repeat	5.766081360713718
TL1a_DTT_97	4.254960292500021
TL1a_DTT_88_Repeat	4.730613124971713
TL1A_DTT_630	4.447104759876373
TL1a_FP_246	1.8082589456775202
TL1a_DTT_229	3.88311380761824
TL1a_FP_169	3.816414660459844
TL1a_FP_270	2.520305564142566
TL1a_DTT_162_Repeat	4.648627957633106
TL1a_DTT_66	3.5850114756342815
TL1a_FP_160	4.549705796130131
TL1a_FP_283	5.59300056313514
TL1a_FP_194	4.190574443359858
TL1a_FP_61	4.294852558504814
TL1a_FP_241	1.989692741314377
TL1a_FP_286	3.9580112812289983
TL1a_DTT_140	4.525118287844837
TL1a_FP_229	4.625615146088807
TL1a_DTT_89_Re_extracted	5.7698917396814124
TL1a_FP_78	3.687772936787476
TL1a_FP_210	4.705485189691997
TL1a_FP_208	0.8678959690104876
TL1A_DTT_641	5.078331405700276
TL1a_DTT_244_Repeat	3.5700705971808624
TL1a_FP_101	4.399670572985416
TL1a_DTT_99	3.918243533094373
TL1A_DTT_639	3.875162605620175
TL1a_DTT_87	4.097515840119689
TL1a_DTT_197_Repeat	5.242755215060592
TL1a_FP_244	2.060233107787768
TL1a_DTT_266	4.550147158746438
TL1a_FP_232	1.732163782786176
TL1a_DTT_270_Repeat	5.472834969752878
TL1a_FP_233	3.761478906257349
TL1A_DTT_687	3.070433777926311
TL1a_FP_63	3.895076265361535
TL1a_DTT_232	3.621204221691932
TL1A_DTT_689	3.6210590198235404
TL1a_DTT_142_Repeat	4.6934192361952345
TL1a_DTT_77	3.0282190369974615
TL1a_DTT_98	3.635964700753593
TL1a_FP_243	1.9417165470210163
TL1A_DTT_628	5.632349878075363
TL1a_FP_268	4.914047354410868
TL1a_FP_97	3.3348127198046407
TL1a_FP_285	5.323970106734326
TL1A_FP_627	4.3696494803276185
TL1a_DTT_288	5.066409907596956
TL1a_DTT_170	4.278379588758323
TL1a_DTT_101_Repeat	5.394235519218853
TL1a_DTT_208	2.6887112044267822
TL1a_FP_170	3.1505802881123337
