	observed_otus
IL17.DTT.115	184
IL17.DTT.116	258
IL17.DTT.117	243
IL17.DTT.118	101
IL17.DTT.119	71
IL17.DTT.120	77
IL17.DTT.127	206
IL17.DTT.128	250
IL17.DTT.129	63
IL17.DTT.130	245
IL17.DTT.131	63
IL17.DTT.132	100
IL17.DTT.143	38
IL17.DTT.144	62
IL17.DTT.139	218
IL17.DTT.140	216
IL17.DTT.141	247
IL17.DTT.142	39
IL17.DTT.188	256
IL17.DTT.189	260
IL17.DTT.201	252
IL17.DTT.202	64
IL17.DTT.203	128
IL17.DTT.199	250
IL17.DTT.200	251
IL17.DTT.217	192
IL17.DTT.218	277
IL17.DTT.219	237
IL17.DTT.220	162
IL17.DTT.221	153
IL17.DTT.222	200
IL17.DTT.25	175
IL17.DTT.26	266
IL17.DTT.27	240
IL17.DTT.28	19
IL17.DTT.29	40
IL17.DTT.30	75
IL17.DTT.105	252
IL17.DTT.106	87
IL17.DTT.103	211
IL17.DTT.104	247
IL17.DTT.53	76
IL17.DTT.54	81
IL17.DTT.49	196
IL17.DTT.50	231
IL17.DTT.51	229
IL17.DTT.52	33
IL17.DTT.85	226
IL17.DTT.86	260
IL17.DTT.87	257
IL17.DTT.88	49
IL17.DTT.89	194
IL17.DTT.90	257
TKO.DTT.1	303
TKO.DTT.2	199
TKO.DTT.3	266
TKO.DTT.4	97
TKO.DTT.5	140
TKO.DTT.6	206
TKO.DTT.43	283
TKO.DTT.44	258
TKO.DTT.45	242
TKO.DTT.46	122
TKO.DTT.47	137
TKO.DTT.48	162
TKO.DTT.31	276
TKO.DTT.32	274
TKO.DTT.33	274
TKO.DTT.34	212
TKO.DTT.35	150
TKO.DTT.36	158
TKO.DTT.16	99
TKO.DTT.17	148
TKO.DTT.18	171
TKO.DTT.22	46
TKO.DTT.23	79
TKO.DTT.24	97
TKO.DTT.19	286
TKO.DTT.20	267
TKO.DTT.21	268
TKO.DTT.58	117
TKO.DTT.59	113
TKO.DTT.60	136
TKO.DTT.55	243
TKO.DTT.56	247
TKO.DTT.57	256
TKO.DTT.69	242
TKO.DTT.70	39
TKO.DTT.71	85
TKO.DTT.72	158
TKO.DTT.78	201
TKO.DTT.73	259
TKO.DTT.74	238
TKO.DTT.75	235
TKO.DTT.76	86
TKO.DTT.77	169
TKO.DTT.87	215
TKO.DTT.88	140
TKO.DTT.89	127
TKO.DTT.90	139
TKO.DTT.91	289
TKO.DTT.92	244
TKO.DTT.93	252
TKO.DTT.94	106
TKO.DTT.95	103
TKO.DTT.96	164
TKO.DTT.103	232
TKO.DTT.104	263
TKO.DTT.105	238
TKO.DTT.106	123
TKO.DTT.107	135
TKO.DTT.108	242
TKO.DTT.109	218
TKO.DTT.110	261
TKO.DTT.111	257
TKO.DTT.112	63
TKO.DTT.113	70
TKO.DTT.123	232
TKO.DTT.124	25
TKO.DTT.125	167
TKO.DTT.126	193
TKO.DTT.127	246
TKO.DTT.128	263
TKO.DTT.129	266
TKO.DTT.130	218
TKO.DTT.131	132
TKO.DTT.132	207
TKO.DTT.139	239
TKO.DTT.140	272
TKO.DTT.141	266
TKO.DTT.142	90
TKO.DTT.143	109
TKO.DTT.144	194
TKO.DTT.154	162
TKO.DTT.155	109
TKO.DTT.156	212
TKO.DTT.151	243
TKO.DTT.152	273
TKO.DTT.153	257
