	TL1a_FP_102	TL1a_FP_174	TL1a_FP_144	TL1a_FP_66	TL1a_FP_246	TL1a_FP_78	TL1a_FP_210	TL1a_DTT_78	TL1a_DTT_210	TL1a_DTT_246	TL1a_DTT_66	TL1A_DTT_642
TL1a_FP_102	0.0	2.390522015773242	2.9924316726186055	1.7176702581732193	2.4446149624327984	3.451166979648673	3.3682858100886923	2.712317577040831	3.5609839683330122	1.2346328303520666	2.9287553851387442	1.3316079895624382
TL1a_FP_174	2.390522015773242	0.0	2.517008407790983	3.0308414432610644	0.7316655399587239	2.9645183008905867	1.169932999410981	1.1981539883606644	2.8019800118615015	1.547281602514379	1.6525269650565368	1.388099382527263
TL1a_FP_144	2.9924316726186055	2.517008407790983	0.0	2.004379032618876	1.8096007224644677	0.5451768319524098	3.036372185149452	1.5807665160446058	0.787605585479923	1.8752191065112978	1.1880372312885839	1.8887759204316872
TL1a_FP_66	1.7176702581732193	3.0308414432610644	2.004379032618876	0.0	2.648434586986746	2.347016264057786	3.9498736621151473	2.707709542717212	2.655356212404619	1.5191482320868224	2.626210098440679	1.6905666309491512
TL1a_FP_246	2.4446149624327984	0.7316655399587239	1.8096007224644677	2.648434586986746	0.0	2.238848383672758	1.4069386469955358	0.5512396139448248	2.0734518124785253	1.321888015966278	0.9459227078025195	1.1735069938239973
TL1a_FP_78	3.451166979648673	2.9645183008905867	0.5451768319524098	2.347016264057786	2.238848383672758	0.0	3.342608739891917	1.91456643321822	0.4977717402094204	2.3632665663691523	1.4579254177779308	2.3706187773875054
TL1a_FP_210	3.3682858100886923	1.169932999410981	3.036372185149452	3.9498736621151473	1.4069386469955358	3.342608739891917	0.0	1.4697817360442016	3.0189356988073905	2.5087320242716067	1.8869424181503802	2.3255123036628125
TL1a_DTT_78	2.712317577040831	1.1981539883606644	1.5807665160446058	2.707709542717212	0.5512396139448248	1.91456643321822	1.4697817360442016	0.0	1.6616564120864838	1.5445144032291753	0.4859143498337023	1.400199919705213
TL1a_DTT_210	3.5609839683330122	2.8019800118615015	0.787605585479923	2.655356212404619	2.0734518124785253	0.4977717402094204	3.0189356988073905	1.6616564120864838	0.0	2.418852668504898	1.180516245264797	2.387354103050404
TL1a_DTT_246	1.2346328303520666	1.547281602514379	1.8752191065112978	1.5191482320868224	1.321888015966278	2.3632665663691523	2.5087320242716067	1.5445144032291753	2.418852668504898	0.0	1.718515848813825	0.1889099476612105
TL1a_DTT_66	2.9287553851387442	1.6525269650565368	1.1880372312885839	2.626210098440679	0.9459227078025195	1.4579254177779308	1.8869424181503802	0.4859143498337023	1.180516245264797	1.718515848813825	0.0	1.6119536223570474
TL1A_DTT_642	1.3316079895624382	1.388099382527263	1.8887759204316872	1.6905666309491512	1.1735069938239973	2.3706187773875054	2.3255123036628125	1.400199919705213	2.387354103050404	0.1889099476612105	1.6119536223570474	0.0
