Module	TL1a_FP_139	TL1a_DTT_245_Repeat	TL1a_DTT_244_Repeat	TL1A_FP_637	TL1a_FP_174	TL1A_FP_638	TL1a_FP_210	TL1a_DTT_73	TL1A_FP_639	TL1a_DTT_74	TL1a_FP_171	TL1a_DTT_75	TL1a_FP_170	TL1a_FP_173	TL1a_DTT_77	TL1a_FP_172	TL1a_DTT_78	TL1a_FP_205	TL1a_FP_97	TL1A_FP_640	TL1a_FP_98	TL1A_FP_641	TL1A_FP_685	TL1a_FP_207	TL1a_FP_99	TL1A_FP_686	TL1a_DTT_173_Repeat	TL1a_FP_206	TL1A_FP_687	TL1a_FP_209	TL1a_FP_208	TL1a_FP_241	TL1a_FP_243	TL1a_FP_242	TL1a_FP_245	TL1A_FP_688	TL1a_FP_244	TL1A_FP_689	TL1a_FP_246	TL1a_FP_169	TL1a_DTT_142_Repeat	TL1a_DTT_242	TL1a_DTT_243	TL1a_DTT_241	TL1a_FP_64	TL1a_DTT_206	TL1a_FP_65	TL1a_DTT_207	TL1a_FP_66	TL1a_DTT_205	TL1a_DTT_246	TL1a_FP_61	TL1a_FP_62	TL1a_FP_63	TL1a_DTT_76_Repeat	TL1a_DTT_208	TL1a_DTT_209	TL1a_DTT_97	TL1a_DTT_98	TL1a_DTT_99	TL1A_DTT_640	TL1a_DTT_210	TL1A_DTT_641	TL1A_DTT_642	TL1A_DTT_687	TL1A_DTT_689	TL1a_DTT_170	TL1a_DTT_169_Re_extracted	TL1a_DTT_171	TL1a_DTT_172_Re_extracted	TL1a_FP_75	TL1a_FP_76	TL1a_FP_77	TL1a_FP_78	TL1a_DTT_139	TL1a_FP_73	TL1a_FP_74	TL1a_FP_142	TL1a_FP_141	TL1a_FP_144	TL1a_FP_100	TL1a_DTT_62	TL1a_FP_143	TL1a_DTT_63	TL1a_FP_102	TL1a_FP_101	TL1A_DTT_638	TL1A_DTT_639	TL1a_DTT_64	TL1a_DTT_65	TL1a_FP_140	TL1a_DTT_66	TL1a_DTT_141	TL1a_DTT_140
MF0063	50120.94	14546.67	16613.53	15102.43	40461.02	7447.69	27787.81	38030.8	10788.59	33411.11	133674.74	21228.69	48184.06	35269.25	24607.93	11043.810000000001	22151.64	53087.66	37014.03	8888.915	49797.77	7582.18	9676.12	64844.16	40676.59	20033.25	5674.83	62198.46	16361.42	68046.42	64105.5	59653.49	73374.67	68105.33	69358.11	7289.26	95910.72	11555.07	73950.94	39792.13	2354.92	60894.5	69340.29000000001	56835.76	51338.27	40317.67	109956.86	67334.16	80096.35	153963.5	35751.37	34963.4	42102.91	39850.99	10295.08	20081.01	16136.5	45953.01	39182.52	53425.77	7859.61	25996.33	6067.81	7324.26	9819.16	3756.04	40765.6	18950.07	46488.78	20287.97	34971.735	23883.16	22272.16	54460.17	51660.91	27225.39	32170.12	45090.89	46696.71	66089.86	45894.57	61191.44	60272.98	33838.0	39289.01	30195.29	9314.72	25924.53	35937.08	26553.91	146547.91	22409.49	63430.87	41876.07
MF0020	48715.299999999996	10097.64	15912.66	8741.75	17378.63	4038.79	14345.4	28742.46	6397.525	28360.925	100761.65	16947.93	39995.975	9240.79	10392.050000000001	3730.75	8044.6	51855.45999999999	31940.655	1169.14	48287.075000000004	1752.15	7649.82	34423.41	36427.469999999994	14545.23	4116.900000000001	53867.09	12120.35	10761.95	11193.05	50569.51	69382.74	63676.45999999999	16702.57	1940.64	55698.74	2387.92	25403.340000000004	30817.61	5117.6	52328.7	58351.2	48374.79000000001	50720.915	40815.5	83461.70000000001	56576.5	56170.37499999999	134178.95	17730.15	31087.270000000004	36707.69	28581.170000000002	7969.81	19914.4	8566.85	39066.325	34444.52	44605.995	5395.19	25063.429999999997	4277.86	5033.365	6536.39	1975.94	32877.67	9580.2	38036.175	13713.355	24223.07	13572.509999999998	12043.289999999999	34765.189999999995	47739.48	22778.28	22627.800000000003	29968.46	47942.11	54750.21000000001	36777.125	55299.49	45604.41499999999	29925.1	21907.3	28338.239999999998	5234.69	15101.56	13381.289999999999	9956.08	122127.29999999999	8696.865	60031.909999999996	36613.275
MF0061	26879.57	9373.67	18643.19	6257.6	16147.29	3474.43	9506.5	20687.23	5045.89	18512.85	35172.2	13331.32	16094.62	9228.34	21732.93	4447.52	19855.71	39880.66	15221.26	3764.31	22326.42	6609.41	5640.78	39910.16	13354.66	9615.22	8089.73	45336.13	9723.99	18504.88	19179.5	10583.16	14580.34	17520.66	19910.69	5014.74	17593.98	10139.11	14477.44	20389.73	2329.5	12903.0	11938.33	14875.51	19662.47	31911.0	44376.22	46653.33	54493.24	103604.5	17205.46	40452.53	32880.41	28487.09	10725.88	26639.67	22001.5	22280.51	16844.99	24708.64	5223.0	104762.51	3736.75	4792.22	7541.2	4455.1	18907.48	10142.9	23374.85	7047.1	24777.2	39966.57	52755.61	37374.17	23995.71	21557.06	19975.97	18195.19	25878.83	21280.02	32853.89	34226.91	25306.83	18878.66	31018.64	53246.81	7909.26	13376.9	44773.22	24821.75	63493.78	37054.59	32591.37	20103.04
MF0060	3606.0	3528.0	2819.5	1007.0	4714.75	302.0	1955.5	5678.33	573.0	4630.0	6708.83	4710.34	3161.5	3284.5	5829.5	1027.75	5144.5	4378.08	3630.59	817.17	2175.0	692.25	210.33	8028.33	3994.08	448.84	2001.33	4726.42	800.17	7053.25	5956.75	2926.83	4389.17	4022.83	8130.07	534.92	6300.0	1087.41	5299.76	3719.83	871.75	4836.0	4391.58	4114.09	1437.17	6271.25	5249.17	8212.08	8751.83	18691.75	7543.75	8017.16	4949.0	5652.84	4705.0	7781.17	5320.25	5941.75	4579.34	6521.41	520.92	8500.92	392.34	512.84	260.17	238.17	4198.25	2676.75	5153.75	2600.59	6700.91	9533.08	5688.34	8040.17	3593.84	4597.84	2965.33	5918.5	2127.58	5394.08	10373.83	6293.67	6763.18	4012.33	4569.75	7561.0	281.0	1452.83	16424.67	8952.67	4541.08	10120.67	5639.41	4479.5
MF0027	3.5	35.17	14.83	1.0	184.17	0.0	0.0	10.33	0.0	42.0	11.33	10.34	21.5	141.67	10.5	45.0	9.5	1.33	4.84	7.17	2.0	19.67	3.33	10.33	4.83	2.84	11.0	3.17	3.17	0.0	0.0	16.83	96.17	56.83	200.16	7.5	71.67	5.66	82.67	4.83	104.0	1067.5	83.0	71.67	12.17	6.0	84.17	12.5	60.5	3.0	226.0	7.16	11.0	11.84	1.0	105.0	6.5	29.0	13.34	19.16	43.17	3.84	44.0	88.17	3.17	8.17	71.83	140.0	27.0	28.34	39.83	98.33	17.67	17.17	6.84	2.84	73.0	26.0	0.83	12.83	337.5	687.67	57.67	18.33	292.0	320.0	0.0	1.83	1.17	10.67	2.83	8.67	4.16	5.5
MF0028	96274.91	17058.47	23007.39	29547.7	75891.06	11622.06	68015.85	79459.31	19063.18	70473.73	249221.68	39076.85	104433.14	61279.54	32961.56	26697.96	28168.45	85899.05	71783.41	8480.81	109464.01	8337.6	20044.41	88004.5	83515.75	45004.48	8116.7	99155.66	29312.17	65273.54	63140.55	112124.43	137832.4	127427.97	92542.5	8179.59	147424.85	12749.4	94576.27	73753.77	7112.02	110974.2	128000.12	98163.12	102388.53	63473.42	188301.13	103461.25	115769.29	261358.95	50239.9	90935.89	108804.99	80929.99	12602.99	16443.57	15700.35	92430.6	80060.65	107895.32	15617.44	66484.17	12922.59	15413.85	13040.65	5445.39	78114.42	45659.75	91965.55	46802.32	75816.84	31296.4	31229.6	103970.89	106498.33	61377.06	77743.45	82204.68	94333.62	134385.24	83316.32	132369.27	114698.19	71129.07	78442.5	45753.09	7738.45	46562.41	30381.29	27760.15	299345.99	20443.3	133467.32	79689.01
MF0025	41339.87	10690.84	13516.5	10698.17	33674.91	4786.44	22507.17	30159.4	7106.7	27113.6	99389.19	15754.21	38795.26	29626.84	19019.5	10237.66	17284.93	47104.33	31320.77	7524.77	45272.94	5770.27	6563.5	46257.33	34319.6	14860.87	3534.93	52062.5	9878.11	67454.5	62193.0	56022.16	68704.17	63615.5	56264.99	5363.93	89229.67	8278.03	65840.0	30794.06	1597.67	56891.5	64733.67	49418.34	47934.81	34784.67	100328.97	57176.5	64772.43	138758.0	25563.5	23055.03	32065.84	29103.58	5063.36	17613.67	14331.5	38131.66	33091.87	43597.79	4838.6	13132.17	3900.97	4573.97	4396.3	2224.77	31606.37	11540.33	35180.27	18437.14	22273.56	13267.1	14874.14	41298.33	45723.38	20151.51	21899.57	33300.2	40765.13	52095.5	27471.77	53208.7	45276.56	28737.83	18516.37	8219.67	2220.8	14701.13	20026.37	18194.17	120045.8	12255.57	54276.0	35204.03
MF0102	15485.0	2093.0	2539.5	3228.5	2352.5	1419.5	12700.9875	6879.5	2572.5	4957.0	55980.5	2809.5	22312.0	1261.5	3628.0	121.5	3753.5	21855.0	14384.0	131.5	15017.5	227.0	2110.5	21630.75	17505.5	4221.5	1551.5	24630.2275	3085.0	188.0	16738.5	37437.832500000004	47176.0	42250.417499999996	1839.5	196.5	18985.5	119.0	7813.5	12471.5	240.5	37115.0	43074.667499999996	32639.6675	15815.0	16283.6675	28896.5	120.0	18604.0	67384.5	3729.5	8974.5	7161.5	8061.0	730.0	61.0	4533.0	11419.5	10741.5	11941.0	1407.0	8598.5825	1093.5	1202.5	1347.0	669.5	9092.5	413.0	12113.5	3956.0	11036.5	3392.5	3489.0	11904.0	10877.5	7421.5	7574.5	7279.5	12506.0	26830.5	7615.5	6862.0	16257.0	4345.5	3919.5	132.0	1012.5	4986.5	4500.0	4382.5	33374.5	4481.5	13179.5	8020.0
MF0069	0.0	59.0	135.0	16.0	118.0	15.0	119.0	219.0	35.0	140.0	11.0	46.0	6.0	18.0	74.0	2.0	57.0	951.0	0.0	3.0	0.0	3.0	12.0	606.0	0.0	13.0	80.0	371.0	38.0	3303.0	1530.0	0.0	5.0	8.0	63.0	16.0	45.0	70.0	21.0	4.0	315.0	106.0	18.0	26.0	0.0	1299.0	0.0	2015.0	2.0	5432.0	39.0	0.0	0.0	0.0	3560.0	6487.0	1555.0	600.0	108.0	23.0	32.0	20101.0	10.0	19.0	26.0	10.0	114.0	34.0	12.0	44.0	0.0	159.0	63.0	0.0	50.0	0.0	3.0	11.0	2.0	24.0	3.0	0.0	132.0	0.0	21.0	4.0	15.0	127.0	883.0	53.0	4.0	72.0	9.0	170.0
MF0026	48228.205	8687.735	11654.195	14826.6	38052.03	5825.03	34027.425	39923.405	9552.34	35359.865	124822.84	19615.175	52327.07	30700.77	26160.19	0.0	24042.17	43033.775	35985.205	6146.42	54803.255	8007.92	10041.705	44113.25	41926.625	22526.24	8011.78	49684.08	14757.585	36253.815	34097.75	56094.215	68971.95	63770.485	47136.75	6346.035	74089.175	11428.01	47785.135	36950.635	0.0	55513.85	64035.06	49125.31	51254.265	32337.835	94391.815	51789.125	65835.735	130769.975	25340.7	45733.695	54616.745	40656.245	9932.12	11469.92	15313.25	46491.3	40178.325	54077.16	7826.22	51733.875	6476.295	7721.425	6990.63	4564.865	39122.71	22832.125	46084.775	23440.91	38226.92	38152.43	53942.23	52283.945	53397.915	30855.53	38971.475	41153.34	47243.31	67330.87	41742.16	66299.635	57487.345	35616.535	39293.5	32638.49	5596.78	23330.205	40849.525	26514.09	149822.245	35065.31	66864.41	39934.005
