"","k__Bacteria.p__Actinobacteria","k__Bacteria.p__Bacteroidetes","k__Bacteria.p__Firmicutes","k__Bacteria.p__Proteobacteria","k__Bacteria.p__Verrucomicrobia"
"Proximal_Colon_L",0,57425,7599,1548,9162
"Cecum_L",0,49920,9085,2157,9248
"Distal_Colon_L",0,36093,6026,1853,8637
"Distal_Colon_M",31,60840,9548,1645,12299
"Cecum_M",0,42719,7608,1163,10008
"Proximal_Colon_M",0,42245,7980,825,9054
