	TL1a_FP_140	TL1a_FP_230	TL1a_FP_128	TL1a_FP_206	TL1a_FP_242	TL1a_FP_86	TL1a_FP_266	TL1a_FP_98	TL1a_FP_158	TL1a_FP_62	TL1a_FP_284	TL1a_FP_74	TL1a_FP_194	TL1a_FP_170	TL1a_DTT_284	TL1a_DTT_74	TL1a_DTT_158	TL1a_DTT_206	TL1a_DTT_62	TL1a_DTT_242	TL1a_DTT_86	TL1a_DTT_230	TL1a_DTT_128	TL1a_DTT_194	TL1a_DTT_140	TL1a_DTT_266	TL1a_DTT_98	TL1a_DTT_170	TL1A_FP_638	TL1A_FP_626	TL1A_DTT_626	TL1A_FP_686	TL1A_FP_674	TL1A_DTT_674	TL1A_DTT_638
TL1a_FP_140	0.0	2.6885703959316065	3.3444560487408355	1.1288228821368598	0.9756611027243625	3.2607072819953875	3.0606816773350367	0.9089662630290525	2.6113742022027995	1.0824588833778905	4.4928330831106615	2.888791768158923	3.598603802119509	1.7570824093224977	2.5511914878472894	1.9673434166917056	2.250963973696906	0.8190777289802194	0.5256127954825485	1.6528843528780721	2.907700441779572	2.1760257488800705	2.511129328137375	2.604411853130156	0.5216684278536639	1.9420475131847377	0.8312451466008461	1.8170961361873124	1.7560590397717966	2.7984575490662498	2.9230589221635874	1.523076321440748	3.1297175608050485	2.866611944004477	2.1064096927022367
TL1a_FP_230	2.6885703959316065	0.0	2.8151409702200794	2.8703693616348454	2.0343912906292134	1.097347399258228	0.5547465790201528	2.055935239794771	0.5254397031587423	2.60611141649321	2.614771646381396	2.2147555186948407	1.0755356391804303	1.8903184845754022	1.088543351094946	2.490740351320568	1.1625166036571863	2.2768659918355962	2.384878557883337	2.337173042029154	0.8685770430963463	0.8940289948705012	1.6207811604250237	0.6680610087334166	2.336654848126723	1.272825809244313	2.1734096247293704	1.7894279244597315	1.9486990750750448	1.0803550752731534	1.2379409649902602	2.006431271944648	1.2391878992479946	0.9912403813035999	1.6239985070546052
TL1a_FP_128	3.3444560487408355	2.8151409702200794	0.0	4.130800154804409	3.5444793589307513	3.881664303704513	3.3285546935578436	3.483094822264154	2.304777498063587	4.0775007204387075	5.393252291363807	4.6957971238072425	3.6827370701868447	3.926616987901138	1.9440804154034446	4.571063815948058	1.8127314201962128	3.658566171670798	3.482531523327028	4.285414731890918	3.673037555137487	2.1125589014630926	1.2940468732231227	2.157690517500507	2.879803371865533	2.243471257987999	3.564526351102165	3.5447345135380175	4.050802863102863	3.8405661057212757	4.015056559787118	3.946199966488142	4.048615635140275	3.7582352915703083	3.9979674459202177
TL1a_FP_206	1.1288228821368598	2.8703693616348454	4.130800154804409	0.0	1.077173382221249	3.08067217298135	3.1127218938827834	1.162961397538092	2.9796340325915938	0.5002017799000937	4.0595460624993835	2.7167903519844447	3.6378223688090396	1.738067408396905	2.894360405891147	1.5276810047430227	2.721357307122642	0.8421135708537836	1.0537332745595385	1.2685352968941705	2.832964947481064	2.680637468694768	3.0923634946979	3.0137623576343	1.3433508784095873	2.6028891556698404	0.9056605309679764	2.1866437253889606	1.3476086079152774	2.6100087683568693	2.7145934932019347	1.3014801551044235	2.9267891590467894	2.680682042802691	1.8176118989413412
TL1a_FP_242	0.9756611027243625	2.0343912906292134	3.5444793589307513	1.077173382221249	0.0	2.398329416569853	2.2852245884232842	0.14986491202747249	2.125986766721146	0.6909739249139834	3.543691614223235	1.962405226337547	2.794492474876328	0.8403691903694731	2.2625701670876093	1.1333628988346574	2.0346365783597338	0.2696779432218943	0.49482193339684605	0.8081580414987287	2.0393252304882665	1.8168186704468001	2.4586897047075578	2.172029235851461	1.030468967058195	1.6497807684214274	0.19924283687717093	1.1350075189546438	0.819434460240445	1.895311524984999	1.9965683288283393	0.5731506923714906	2.2160594085332033	1.9935810870706747	1.1368001664463099
TL1a_FP_86	3.2607072819953875	1.097347399258228	3.881664303704513	3.08067217298135	2.398329416569853	0.0	0.6532874459487265	2.4702962183793438	1.619123420202331	2.798642763305539	1.5326763958597418	1.8638052906902811	0.8097619967515477	2.0138062728481367	2.032805128849115	2.365542026896399	2.1828366786840463	2.625112120111607	2.861676099736018	2.3384259878633005	0.47888386953698425	1.9568193195286094	2.660612524919082	1.7596672930665747	3.0108134498973307	2.2505524894671884	2.545385670969458	2.195145290648972	1.9116740334268292	0.5460478720514533	0.5812788281252802	2.112130674925095	0.39611961948218527	0.40906885731171155	1.4733495703135162
TL1a_FP_266	3.0606816773350367	0.5547465790201528	3.3285546935578436	3.1127218938827834	2.2852245884232842	0.6532874459487265	0.0	2.3222971933736902	1.0404722757851503	2.811964741742755	2.101107296589836	1.9813742747594538	0.5747547519248623	1.9545510690619776	1.6050995587240424	2.4893323914055747	1.7151575164612036	2.5356002275861513	2.6937412539191157	2.405661092868722	0.49929723526715364	1.4235124774338912	2.1634529757804963	1.184317104000612	2.763157231547009	1.7237524594983984	2.442374025736907	1.9286648917436866	2.010401562963387	0.7998060117718245	0.8949221568194651	2.1171769981201907	0.8146856499666195	0.7061338980536618	1.5922481334444447
TL1a_FP_98	0.9089662630290525	2.055935239794771	3.483094822264154	1.162961397538092	0.14986491202747249	2.4702962183793438	2.3222971933736902	0.0	2.1182759187604505	0.7822913979642779	3.635096504275114	1.9971566712947872	2.8280931462416428	0.8630431339444942	2.269826490971693	1.2122595722888747	2.019999551739338	0.3236130454853653	0.4103425377953575	0.8961272947840628	2.094069020515369	1.7852803921019806	2.4286470472528827	2.158717761367236	0.9775986964378814	1.5778551197679689	0.26498691423804316	1.0661577722511857	0.9426411104876398	1.9694537499759608	2.0693150723328	0.6672047613344573	2.2873653857727985	2.069622140024525	1.2310639988806478
TL1a_FP_158	2.6113742022027995	0.5254397031587423	2.304777498063587	2.9796340325915938	2.125986766721146	1.619123420202331	1.0404722757851503	2.1182759187604505	0.0	2.741885365896578	3.130001155554522	2.583023782487001	1.4747217294259616	2.114013030477045	0.7807834080898508	2.7734666525290947	0.7749193566077823	2.356249335745378	2.3852905098210684	2.5781600759526047	1.3766624548774153	0.5083585745333873	1.1621512630943174	0.14710363987198272	2.209038282560361	0.9707556236401185	2.24774922477504	1.8787803459051495	2.2325926417161996	1.5825716541683357	1.740520666862861	2.2275374757412	1.756935577219056	1.5063497379916835	1.9800140885233335
TL1a_FP_62	1.0824588833778905	2.60611141649321	4.0775007204387075	0.5002017799000937	0.6909739249139834	2.798642763305539	2.811964741742755	0.7822913979642779	2.741885365896578	0.0	3.769558683961022	2.25287032648315	3.3138221190788477	1.2600616668538875	2.7846598485298153	1.0831372075495154	2.5927341671279183	0.48150258501911347	0.7820215095742166	0.8005753682225553	2.5055827601735268	2.4533287118510403	3.0029472414218894	2.7897724619614603	1.317075199554634	2.3256466344632405	0.5673309278227457	1.7303076130685726	0.9611798834773236	2.292446565956049	2.3777568086242793	0.8431608602645377	2.6020908870144086	2.3913178478702077	1.4353075967100035
