#OTU ID,LYZdtt305,Vil1.07B.DTT81,LYZFP329,LYZdtt317,LYZFP317,Vil1.02B.FP21,Itg.10.DTT457.S51,Itg.20.DTT505.S100,LYZFP305,Itg.20.FP505.S8,Itg.16.FP481.S84,Vil1.04B.DTT45,Itg.04.DTT421.S13,Itg.26.FP541.S45,LYZFP353,Vil1.05B.FP57,Itg.02.FP409.S9,Lyz2.04B.DTT245.S86,LYZFP341,Vil1.09B.FP108,SLCdtt021,Vil1.08B.DTT93,Itg.12.DTT469.S63,Lyz2.05B.FP257.S54,SLCdtt147,Lyz2.03B.DTT233.S73,Itg.04.FP421.S21,Vil1.04B.FP45,Vil1.01B.DTT09,SLCdtt165,Vil1.013B.DTT153,Itg.12.FP469.S71,SLCdtt051,Lyz2.06B.FP269.S67,Itg.10.FP457.S59,Lyz2.08B.DTT293.S135,Vil1.13B.FP156,Itg.18.DTT493.S88,Lyz2.08B.FP293.S91,Lyz2.01B.DTT209.S49,Vil1.05B.DTT57,Lyz2.03B.FP233.S81,SLCdtt111,Lyz2.01B.FP209.S57,SLCdtt129,SLCdtt003,Vil1.01B.FP09,Itg.26.DTT541.S37,SLCFP147,Itg.16.DTT481.S76,Vil1.010B.DTT117,SLCFP021,Itg.18.FP493.S96,Vil1.02B.DTT21,SLCFP051,Vil1.06B.FP69,SLCFP165,Vil1.09B.DTT105,Itg.06.DTT433.S26,Vil1.03B.FP33,SLCFP111,Itg.06.FP433.S34,Itg.02.DTT409.S1,SLCdtt069,Lyz2.07B.DTT281.S123,SLCdtt075,Vil1.14B.FP168,Vil1.06B.DTT69,SLCFP129,Itg.24.FP529.S32,Lyz2.07B.FP281.S79,SLCFP003,Vil1.014B.DTT165,SLCdtt093,Lyz2.02B.DTT221.S61,Itg.08.DTT445.S38,Vil1.10B.FP120,Lyz2.05B.DTT257.S98,Vil1.03B.DTT33,Itg.24.DTT529.S24,Lyz2.02B.FP221.S69,SLCFP075,LYZdtt353,Vil1.07B.FP81,Itg.22.FP517.S20,SLCFP069,Lyz2.04B.FP245.S42,LYZdtt365,LYZdtt329,Itg.22.DTT517.S12,SLCFP093,Vil1.08B.FP96,Lyz2.06B.DTT269.S111,Itg.08.FP445.S46,LYZdtt341,taxonomy
MF0063,10998.04,4480.27,32731.93,26497.4,11873.68,12844.22,3290.34,5773.81,5041.96,16534.345,19280.335,3142.26,11519.85,9237.4,9293.92,14902.83,6556.85,2786.78,12649.06,7807.17,4415.145,6988.23,4465.7,6459.8,15415.84,2735.37,8300.725,11774.54,3040.39,20316.27,7590.86,8678.77,9630.375,2671.22,9037.68,2691.37,1644.8,9049,5830.7,2455.44,3789.52,11427.47,9040.715,8202.13,4796.88,11093.99,14979.78,5405.25,5868.18,7657.1,5052.18,6179,13857.1,2490.04,5587.35,11154.63,8082.2,6751.5,7245.83,12977.17,2896.4,7156.7,5822.68,3455,3903.16,1276.9,1662,7777.26,4064.545,11751.785,4388.91,8903.875,4838.79,14838.535,3302.82,5062.74,12885.83,4088.5,3642.14,11052.84,10817.93,3908.035,47308.39,17013.17,14374,3522.205,3622.69,875449.01,31754.44,3420.31,2530.54,8619.76,1563.35,7698.58,31022.69,
MF0020,115280.545,4839.875,31981.125,128723.625,223031.025,32335.35,20401.25,24580.7,456608.625,44321.2,22401.85,10060.25,72805.3,25684.15,16488.225,25579.2,19629.3,7681.85,28676.125,56602.6,4383.1,7197.625,19217.4,9865.45,36645.6,10800.35,23089.95,22839.33,10868.55,49956.8,14330.45,34888,11282.35,13199.575,37545.25,22922.495,70029.8,19404.4,20278.425,16436.15,3946,79061.2,15108.35,22457.1,22318.5,35189.55,29758,17553.5,20461.45,23476.675,11216.55,6722.9,22061.7,15672.3,13976,26045.07,19103.7,8146.775,64604.275,35741.02,10883.4,35579.35,28948.3,15695.775,9596.15,14004.175,69539.75,8395.125,9538.95,25108.15,12550.875,20813.15,17227.95,31689.2,13020.05,13553.25,34935.8,19260.8,13130.9,20719.45,49230.5,10513.7,90160.075,16893.15,33110,9507.3,17269.125,23488.225,42065.23,13758.35,33950.2,100317.475,9858.35,24350.55,64535.955,
MF0061,86024.2,5138.6,63533.13,289704.85,162007,39372.92,16115.36,25867.44,314264.75,44167.37,39845.94,26744.95,60264.26,27327.12,27765.3,44129.16,23492.72,7275.5,44645.62,87484.04,9480.84,8156.64,22367.77,18267.68,47907.8,11135.94,25630.25,31054.17,10901.7,60477.19,11536.29,39668.89,17168.16,21284.96,34698.87,34228.09,38409.86,34538.39,22578.88,23736.34,3966.51,56986.61,20711.17,30868.04,17856.5,33407.37,36701.88,26864.52,20948.24,34329.57,18917.91,15007.5,31753.09,16163.12,18726.25,40787.99,22290.34,11627.3,51257.57,50112.34,13567.33,35447.6,29500.15,26788.16,13821.82,14259.58,42737.7,8828.01,9804.24,30792.76,16982.44,20758,21542.22,38684.12,16322.29,16408.33,49232.76,29741.59,14174.79,26824.83,45500.5,9911.07,121241.31,32290.1,38655.53,9114.34,15809.17,907541.42,94853,18618.4,26086.67,96055.29,12911.15,27866.41,817041.22,
MF0062,2317.333333,0,442.1666667,7860.5,38171.83333,787.6666667,497.3333333,460,15140.5,1241.833333,201.5,103,147.6666667,1006.166667,84.33333333,285.6666667,658.6666667,358.5,95.66666667,1302.666667,54.5,0,466.6666667,332.8333333,89.33333333,219.8333333,75.83333333,315.5,30.66666667,2466.333333,0,1135.666667,84.66666667,180,1498.166667,194,70.16666667,589.8333333,99.83333333,236.6666667,0,2115.666667,125.1666667,361.5,112.3333333,284.5,176.1666667,510.5,94.5,132.3333333,244.1666667,122.1666667,694.6666667,257.6666667,205.5,0,1434.5,25.66666667,158,850.8333333,153.8333333,156.5,719.1666667,103.6666667,43.66666667,52.16666667,5545.833333,0,94.66666667,766,0,191,409.3333333,631.3333333,103.1666667,497.5,2568.5,535.8333333,844.1666667,433.1666667,285.6666667,68.33333333,177,53,985.8333333,190.1666667,934.5,584,310.1666667,271.3333333,1407.166667,762.5,169,1148.333333,141.6666667,
MF0060,67158,4157.42,17583.74,62684,82530.25,7717.92,7929,7645,269642,10397,6171.99,2858,40812,7245.83,6975.5,14515.25,5094.65,2545.16,11404,19669,2452.84,5321.17,4496.83,4085.32,11315,4372,9061,6594.5,5685,19715.1,4760.5,9497.91,6021.83,7144.42,8944.75,11026,3269,6887.93,8986,8073,3685.01,38623,6513.84,10259,10849,7884,12800,7388,4698.74,7484,4114.42,2534.25,6510.83,4667,7373.42,9736.99,6870.67,4443.84,39447,10131.41,4191.33,17533,7722,5318.08,3709.75,6139,11791.24,7115.58,2753,8565.16,4747.57,4010.5,5910.1,12468.83,4209,3824.57,8193,7634.4,4443,8068.17,25906,4650,50728,7137.49,10361.66,2092,5688.41,15985.91,14452.33,4557.16,6638,40268,4197.34,7989.91,32405,
MF0027,56,7,159,10,73,70,0,0,78,0,127,0,14,77,82,223,0,0,88,0,0,0,26,0,59,12,24,29,7,34,0,75,0,0,101,0,98,39,33,15,0,116,0,58,4,13,0,20,0,45,0,12,44,0,0,124,38,0,0,0,2,0,0,6,0,3,20,0,6,43,11,4,0,2,21,0,29,0,0,0,161,21,6,236,0,18,25,14,29,0,28,0,0,0,2,
MF0028,12049.19,3971,40624.08,187719.75,17981.63,17156.87,3173.33,10198.99,9238.59,20491.49,17568.7,18658.18,11401.38,12199.28,16183.5,25327.5,8154.65,3632.66,19424.21,22194.5,5209.84,4417.75,8737.33,7564.82,19738.89,4976.33,9912,15144.05,4038.17,24145.51,11930.05,14756.16,11046.83,10024.67,13429.44,19654.16,2526.75,12962.82,9423.34,16201,3600,15630.9,14583.34,18379.5,5313.97,10225.25,19861.14,16003.5,10182.99,14822.82,6064.85,8373.4,13711.72,5708,12068.67,25577.99,9836.77,4073.5,8280.92,19988.16,7788.33,9372.16,8383.01,16248.33,6664.5,6837.5,1818.42,6816.5,4262.66,12879.16,8325.32,10445,6686.85,22314.83,9674.66,6854.62,13578.41,14215.15,4002.09,13957.17,14218.22,4635.16,51460.87,21140.02,18265.16,3420.51,7467.16,888032.09,52987.58,9883.66,6849,36842.4,5762.84,11388.13,742125.82,
MF0025,3521.37,3945.5,8019.2,2869.69,682.43,1479.32,244.87,699.09,544.81,1612.97,1790.96,543.89,1383.63,1549.53,3726.44,3742.58,416.67,232.14,2722.03,225.86,117.23,4448.58,505.03,296.4,1794.02,273.95,1045.4,1478.63,310.36,877.22,3300.07,968.29,365,940.4,1548.71,635.21,951.35,581.42,1299.18,567.14,3592,1435.79,664.86,2265.4,336.7,687.66,1511.01,1088.74,1073.38,943.05,1830.19,560.75,709.83,284.81,1297.05,2584.23,389.6,3695.05,744.14,1775.61,499.7,886.53,557.2,552.9,689.22,736.7,571.92,6814.5,368.53,1330.07,865.33,746.5,945.81,393.36,440.54,445.98,1206.26,424.68,463.57,953.86,1387.69,388.66,2457.01,2801.1,1242.26,758.46,496.83,3753.7,5586.83,554.67,714.44,1606.52,638.87,936.08,2545.9,
MF0069,147,3901,141,123.25,1785.5,3.75,0,4.75,101.25,0,0,111,0,2.5,30.75,7.25,0,0,55,37.5,0,4358.25,4,0,0.25,6.25,1,2.5,32,0.25,1055,1.75,0,2,1.25,84.75,12.25,7.25,2.25,7.5,3590,1.75,0,1.5,0,97.5,2.25,6,382.75,27.25,764.25,4.75,0,75.25,13.25,3,3,3268.25,10,4.25,7.5,1.5,62.5,4,23.75,6.5,46.25,6737.5,0,0,1,0,345.25,0,6.5,6.75,3.5,11.25,64.5,0,1.25,0,87.25,3,0,0,1.5,147,166.5,5,19,2489.75,37,1.25,154.5,
MF0102,1269,51,2596,2389,3533.75,1497,334,766.95,2875.25,1383,1455,1034,787,1122,498,2791,709,148,1223,454.25,758,174,973,968,561,419,348,1125,478,503,492,1809,596,394,794,493,82,1874,554,531,29,1511,851,1148.69,167,388,1895,916,1005,1103,861,1266,1931,426.935,432,2489.23,974,352,478,2473,262,565,966,3544,359,266,503,112,135,979,381,391,579,3827,357,633,289,1007,413,776,644,193,745,2579,1244,246,250,4275,4394,568,454,3004,464,1146,1695,
