#OTU ID,Lyz2.01B.FP211.S59,LYZFP332,LYZFP331,LYZFP330,Itg.16.FP482.S85,Itg.22.FP518.S21,Vil1.02B.FP24,Lyz2.03B.FP234.S82,Itg.26.FP542.S46,LYZFP320,Itg.10.FP459.S61,LYZFP319,LYZFP318,Vil1.02B.FP22,Vil1.02B.FP23,Itg.04.FP423.S23,LYZFP308,LYZFP307,LYZFP306,Itg.08.FP446.S47,Itg.20.FP506.S9,Itg.18.FP496.S99,Itg.22.FP519.S22,Itg.10.FP458.S60,Vil1.05B.FP60,Lyz2.02B.FP223.S71,Itg.04.FP424.S24,LYZFP356,LYZFP355,LYZFP354,Vil1.05B.FP58,Vil1.05B.FP59,Lyz2.02B.FP222.S70,LYZFP344,LYZFP343,LYZFP342,Itg.10.FP460.S62,Vil1.09B.FP105,Vil1.09B.FP104,Vil1.09B.FP103,Itg.18.FP495.S98,Itg.06.FP436.S37,Lyz2.07B.FP284.S82,Vil1.04B.FP48,Vil1.04B.FP46,Vil1.04B.FP47,Lyz2.02B.FP224.S72,Lyz2.03B.FP235.S83,Lyz2.05B.FP258.S55,Vil1.13B.FP152,Vil1.13B.FP153,Itg.18.FP494.S97,Vil1.13B.FP151,Itg.06.FP435.S36,Itg.22.FP520.S23,Lyz2.07B.FP283.S81,Itg.04.FP422.S22,Itg.20.FP508.S11,Vil1.01B.FP11,Vil1.01B.FP10,Vil1.01B.FP12,Lyz2.05B.FP259.S56,Itg.06.FP434.S35,SLCFP149,SLCFP148,Itg.12.FP471.S73,SLCFP150,Lyz2.06B.FP271.S69,Lyz2.08B.FP294.S92,Lyz2.05B.FP260.S57,SLCFP024,SLCFP023,SLCFP022,Lyz2.07B.FP282.S80,Lyz2.04B.FP247.S44,SLCFP054,SLCFP053,SLCFP052,Vil1.06B.FP70,Itg.02.FP411.S11,Vil1.03B.FP36,Vil1.06B.FP72,Vil1.06B.FP71,Vil1.03B.FP34,Vil1.03B.FP35,Itg.20.FP507.S10,SLCFP167,SLCFP166,Itg.24.FP530.S33,Vil1.14B.FP163,Lyz2.06B.FP272.S70,SLCFP113,SLCFP112,Itg.08.FP448.S49,Vil1.14B.FP165,Vil1.14B.FP164,Lyz2.08B.FP295.S93,Itg.12.FP470.S72,Lyz2.03B.FP236.S84,SLCFP006,SLCFP005,SLCFP004,SLCFP132,SLCFP131,Itg.24.FP531.S34,SLCFP114,Itg.02.FP410.S10,Vil1.10B.FP117,Vil1.10B.FP116,Vil1.10B.FP115,Itg.08.FP447.S48,Lyz2.04B.FP246.S43,Itg.26.FP544.S48,Lyz2.08B.FP296.S95,Itg.16.FP483.S86,Lyz2.06B.FP270.S68,Lyz2.01B.FP210.S58,SLCFP078,Itg.02.FP412.S12,SLCFP077,SLCFP076,SLCFP072,SLCFP071,SLCFP070,Lyz2.01B.FP212.S60,Itg.12.FP472.S74,Vil1.07B.FP84,Vil1.07B.FP83,Vil1.07B.FP82,SLCFP096,Itg.26.FP543.S47,SLCFP095,SLCFP094,Itg.16.FP484.S87,Vil1.08B.FP92,Vil1.08B.FP91,Vil1.08B.FP93,taxonomy
MF0063,4141.58,10491.6,3358.22,22341.31,8634,2827.035,11599.36,4714.89,7452.75,1244.69,6296.07,7385.17,19149.64,13946.44,11835.33,1963.5,26064.04,12189,15719.8,6810.33,10743.14,1705.5,4201.435,3731.915,8206.56,6230.705,1655.92,18924.55,9218.49,5534.71,3295.56,9355.4,3512.25,9059.11,5021.2,1167.44,5042.09,14141.09,12957.13,10515.83,6527.85,5868.17,1917,10614.72,10332.69,4843.42,4844.57,4044.59,4026.04,34272.4,23118.54,1518.33,25947.77,11558.67,5016.15,1104.25,823.92,20298.21,5497.17,3769.58,11922.87,2748.25,3244,7926.5,11813.05,10060.415,17762.72,2583,1613.83,2012.65,4999.895,3946.08,3578.85,4387.125,386.36,4590.735,6723.295,3539.67,4160.11,6516.785,7113.56,7532.73,8283.85,3787.37,8855.72,5685.16,13636.56,2824.5,567.79,21610.07,4970.08,1789.125,3438.415,6210.33,14424.2,11740.29,1343,10151.125,2794.05,1847.97,1696.58,232.08,6008.63,8758.33,628.75,2023.42,3209.625,16576.1,16607.8,11473.58,5170.46,411.92,4892.58,5362.85,11628.16,700.66,2133,2419.075,4421.065,1163.25,1379.87,3337.93,5238.59,4966.785,1436.67,15384.07,11150.1,13653.73,5428.5,69.5,7781.55,683.08,1952.105,9390.93,27824.26,14238.03,25918.615,
MF0020,183940.5,87182.85,70108.03,46909.85,24263.7,96079.55,53988.2,166177.75,107951.85,72863.55,152090.65,202241.475,54439.6,48251.455,59637.7,300771.925,83850.85,78998.625,148455.225,32526.8,47174.1,95967.6,172453.3,117163.05,24651.15,170756.075,88830.6,21250.375,33875.05,217706.825,84955.75,145187.47,224114.1,44646.58,121804.955,47205.15,80280.9,24432.225,23427,14430.25,127129.25,46645.025,11702.625,31586.25,39920.82,61656.975,55331.45,169954.6,7444.75,90701.775,55598.425,79139.4,68981.25,72587.125,78269.75,26010.125,152495.3,81375.55,68611.5,58200.95,60126.275,7961,115508.2,49304.2,22461.15,73748.1,60439.65,30039.625,32412.075,13901.85,8368.55,7780.45,13589.1,19611.25,39042.025,15127.7,48757.7,58714.3,28332.4,203648.3,52440.375,20393.905,43787.98,75599.975,109036.55,100701.7,55273.85,92534.3,130244.8,49546.1,37739.6,6728.2,15584.325,78097.5,41393.425,45669.175,33485.25,72364.05,82132.125,66603.975,104416.325,50068.9,23687.55,42683.9,164442,6124.95,103608.8,21606.775,25562.075,32133.6,67188.8,43929.675,43551.65,16974.875,40715.5,24192.675,224451.9,37803.95,92782.95,46193.1,103916.8,21552.15,59868.55,45931.35,38849.15,43652.1,22645.02,35629.5,33576.25,86431.95,67410.45,170318.85,53580.15,36990.7,44358.7,30916.55,34116.6,
MF0061,128059.16,177282.75,144471.86,109762.26,49052.84,63961.2,45578.93,97577.66,69959.96,51344.65,83987.48,145455.49,62091.57,45371.54,46316.17,187368.25,72386.96,68388.26,124558.09,29697.91,44611.23,59014,99625.73,66355.49,27647.36,123110.41,55980.87,46620.49,49962.76,163749.1,62452.55,108105.84,158082.52,70892.02,119664.58,52653.41,46971.92,39976.83,44816.76,28631.33,87260.37,37750.92,11927,32175.37,51413.66,64418.68,41750.25,106499.09,12965.83,53943.18,43007.78,61481.66,36690.19,61249.84,50515.82,24242.25,99138.67,71963.67,62035.83,50839.03,53424.04,12439.08,102973.04,58679.74,31788.39,58703.33,79941.31,23798.51,27906.18,18574.09,14366.96,13641.33,19393.08,18169.5,19699.51,12612.51,35310.58,37468.01,34274.81,146201.95,43839.14,29511.87,58528.67,62621.69,79437.53,86037.37,53293.54,87610.91,84664.37,68366.5,29631.91,4649.5,10812.08,49534.66,51068.37,50619.31,27576.62,62859.75,49885.21,30945.25,45984.83,22926.42,19315,33257.25,87078.25,5276.5,70570.5,37025.04,41525.24,44148.3,47364.17,19946.13,32002.91,15229.93,62131.49,21763.96,154982.65,24509.75,70803.4,29262.75,63575.58,15585,37884.34,30760.16,28225,46624.41,34824.79,44502.62,56660.59,45751,49031.96,96644.5,31668.84,49245.62,63124.94,40912.7,54164.55,
MF0062,416,72.33333333,89.66666667,119.3333333,224.1666667,5597.5,3055.333333,5564.5,5795.333333,13610.83333,8801.166667,41533.83333,123.8333333,2149.666667,3060.166667,6312.833333,1801.333333,6753.833333,12353.66667,1960.166667,1176.5,5612.833333,9328,5526,831.1666667,369,4349.166667,91.66666667,0,326.3333333,968.3333333,3499,160.3333333,268.8333333,219.5,17.16666667,7168.5,105.8333333,117.3333333,68.16666667,0,1733,31.16666667,803.3333333,700.6666667,1371.833333,77.5,5655.166667,1116.5,67.83333333,0,2653,22.66666667,1597.166667,6114.333333,114.3333333,1602,2988.333333,256.6666667,154,391,1379.833333,1320.666667,211.3333333,145.1666667,3688.666667,301.5,2305.166667,118.1666667,2562.833333,564.5,406.3333333,0,25.66666667,4040.166667,634.8333333,1884.5,2577.666667,48.16666667,12900.66667,1068.5,101.3333333,249.5,9262.833333,9086.666667,3688.5,5371.666667,4862.666667,7529,994.1666667,4336.666667,166,423,5558.5,891.8333333,1172.666667,124,2667,7963.833333,2455.666667,2877.833333,878,569.3333333,552,18026.16667,196.1666667,6346,571.3333333,809.3333333,1407.166667,4211.5,3561.5,3708.166667,59.33333333,568.3333333,1149.833333,130.5,531.3333333,5396.166667,248.8333333,302.1666667,933.8333333,1655.5,1535,44.16666667,1877.666667,137.1666667,0,0,0,3518.333333,6961.166667,1253.833333,595.1666667,215.6666667,136.8333333,163.3333333,
MF0060,118336,6044,7448,14055,5497.34,13255,15132.67,78415,14324,28465.91,18547.32,89754.67,24933,10906,11599.67,112392,42203,28899,60985,5645,10101,11458.5,21206,19476,11045,110128,15216,12578,22235,141535,52005,78990,146813,26460,79764,31141,16051.09,8089.75,5078.57,4524,10945.5,24259,6156,5302,10724,10316,34604,89817,3017.33,9518,7682.24,5892.33,8760,35032,13488.51,11454,77769,16705.84,35978,32208,31759,3423.08,63133,12395,11176.18,9362,33467,8551.25,16583,5705.09,1591.5,1345.83,2694,9161,10299,2373.51,5991.33,8343,12847,27320.83,22885,7355,11673.15,23869,43022,20874.5,11854.5,30714,15765.84,20942,11433.58,1561,3326.08,12031.83,12643.33,9591.1,18669,11284,30029,5390.25,6143.58,3312,3974,8481,37240.5,1372,13577,3969.26,5943,10662,9467.67,10472,8536.58,8725,7566.08,5006,147967,18540,12032.83,26106,59209,4224,14217,11117,25542,7413,7360,17473,18094.59,7800,10746.65,24298,5290,7145,15561.66,9400,12631.34,
MF0027,39,0,0,3,485,21,0,157,63,0,152,0,285,0,0,0,447,211,241,19,0,0,0,114,190,266,0,90,0,93,42,124,17,13,16,0,38,0,0,35,0,0,0,150,151,270,115,137,10,143,108,0,143,13,0,0,0,22,13,11,0,21,0,106,3,172,1,0,0,0,0,5,10,0,9,0,2,0,46,0,161,230,460,0,66,0,6,258,0,364,32,23,45,100,96,112,0,152,90,2,0,6,77,78,0,12,0,69,0,63,118,16,14,0,236,0,65,29,0,21,20,80,165,94,25,203,272,202,479,0,13,2,0,189,51,214,26,
MF0028,4916.66,10510.75,14478.75,28697,18104.34,6867.04,12452.89,6828.64,10466.02,2040.66,6719.22,10585.97,23061.07,18146.68,14359.53,2157.8,51241.35,20705.09,31532.76,7091.46,17326.66,3394.25,5041.1,3760,10458.44,6748.7,2355.52,20105,21569.25,11130.25,4395.04,11166.77,4097,28356.25,27335.5,19269.75,8449.06,14376,16454.21,20253.49,9536.25,11881.9,2380,12701.98,11997,11828.25,6509.96,9596.6,3889,59855.63,38500.78,8985.75,48168.72,11765.34,7754.62,7096.75,994.8,29443.84,15872.41,10904,20722.16,3633.5,14762.33,21591.84,19919.68,9871.5,20374.37,7342.5,7965.75,2814.4,4477.55,4198,5328.5,4612,938.33,6887.07,8272.33,4557.01,11932.01,15808.54,8368.01,12737.67,31048.65,4682,2696.69,34820,17285.31,5884.84,1209.66,30522.5,8853.76,2005,4686.83,12127.66,17502.78,14021.29,5557.33,12193.25,8710.24,1740.37,1503.03,977.17,7612.33,9529.23,1928,2053.87,4294.8,21938.33,20498.47,28309.99,6049.75,1790.67,10577.56,7352.52,23234.33,1375.34,3067.4,9692.37,16022.84,2434.1,1615.13,5042.13,6157.63,4918.93,3924.57,19414.41,15322.83,14596.16,28877.34,88,10375.02,814.5,2475.01,18000.5,40040.66,20612.16,36028.59,
MF0025,65.33,259.98,153.4,374.92,576.5,46.33,112.5,217,146.17,41.15,189.16,175.18,3937.25,259.4,125.33,6.25,14900.08,493.5,664.9,46.33,1616,11,16.33,133,1143.53,290,143.75,286.32,64.48,365.98,273.78,384.45,51.75,762.32,280.43,46.83,97.08,2328.03,2653.41,1667.66,3.33,63,17.5,389.85,573.58,760.42,187.23,161.75,39,20830.47,7731.93,44.33,19057,62,53.17,32.25,2.5,128.33,87.17,96.33,237.17,45.75,64.83,1650.41,1936.73,216.33,3308.08,48.16,127.82,29.45,94.33,64.5,18.07,16.5,27.5,228.47,314.53,273.92,895.08,41.33,446.18,975.61,1861.23,225.7,319.75,84.83,155.03,322.95,51.87,3165.87,161.58,50,106,127.33,2139.18,1466.77,67,186.83,117.33,52.07,52.33,22.33,99.63,103.33,5,42.67,25,3222.64,3648.65,2831.7,135,113.5,41.08,150.08,320.41,21.58,98.75,83,52.5,29,27.33,290.93,958.33,1297.33,68.17,331.5,1954.88,374.5,717.25,0,399.47,14.33,161.06,384.46,2210.9,3472.35,2435.87,
MF0069,4,9870.25,750,137.25,1.5,1,7,2,3,22.75,2.5,57.25,76.25,3,5,3.25,96.25,86.5,99.5,0,5,5,1,1,85.5,1,164.75,55.25,201.75,166.25,1966.75,4201.75,3.25,410.25,1603.5,37.5,7.75,0,2.25,1,1,4,2.5,2.25,4.75,2.75,9,1.75,0,61.5,319.5,2.5,41,1,3.5,2.25,2.5,0,4.5,2,23.5,0.75,2,5.25,490,0,17.25,5.5,1.75,4.25,0,1,2,1,1.5,0,0,11.25,86.25,0,52.75,119.75,128,43.5,377.25,2.5,1352,407.25,2.5,3,20.25,0,9,3,5.25,2,8,0,0,37,52,16,0,1,4,0,0,3.5,4.25,3,0,5.5,4.75,12.75,2.25,5.25,4.75,0,0,1,1,0,0,0,5.5,2.5,15.75,4,2.25,0,4.5,1,0,2,0,2.25,0,
MF0102,348,118,1121,5690,3473,777,1315,1322,2337,580,727,3329.25,681,2017,2366.5,197,480,6305,10987.5,529.75,1132,422,2051,462,1015.32,482.5,273,709.275,345,417,367,1778,399,1243,1403,792.25,1119,1071,870,125,1107,2030.5,418,2634,1945,3996,825,1812,789,184,429,1079.5,71,2156,1039,766,59,4121,4551,3381,3580,947,3254,7939.75,1220,1410,882,2584,1012,970,626,722,280.25,325,271,861,1164,787,780,3052,1696,1347,4443,587,494,5573,4459.75,2426.75,243.5,1349,3362,307,794,1064,1139,834,1332,818,926.5,348,387,119,564,1969,436,491,1797,1491,1454,195,998,247,1879,1367,5336.25,570,318,1025,1854,437,618,570,718,671,193,1290,1759,3604,5459,7,983,42,115,3329,1007,741,1395,
