#OTU ID,Itg.04.DTT422.S14,LYZdtt308,LYZdtt307,Lyz2.01B.FP211.S59,LYZdtt306,Vil1.07B.DTT84,Vil1.07B.DTT83,Vil1.07B.DTT82,Itg.20.DTT506.S1,LYZFP332,LYZFP331,LYZFP330,Itg.16.FP482.S85,Itg.22.FP518.S21,Vil1.02B.FP24,LYZdtt319,LYZdtt318,Lyz2.03B.FP234.S82,Itg.26.FP542.S46,Itg.22.DTT520.S15,LYZFP320,Itg.10.FP459.S61,LYZFP319,LYZFP318,Itg.06.DTT436.S29,LYZdtt320,Vil1.02B.FP22,Vil1.02B.FP23,Itg.04.FP423.S23,Lyz2.07B.DTT282.S124,LYZFP308,LYZFP307,LYZFP306,Itg.08.FP446.S47,Itg.26.DTT542.S38,Lyz2.04B.DTT246.S87,Itg.20.FP506.S9,Itg.16.DTT484.S79,Itg.18.FP496.S99,Itg.22.FP519.S22,Lyz2.02B.DTT222.S62,Vil1.03B.DTT34,Vil1.03B.DTT35,Itg.10.FP458.S60,Vil1.05B.FP60,Lyz2.02B.FP223.S71,Itg.26.DTT543.S39,Itg.04.FP424.S24,LYZFP356,LYZFP355,LYZFP354,Vil1.05B.FP58,Vil1.05B.FP59,Lyz2.06B.DTT270.S112,Lyz2.02B.FP222.S70,Lyz2.02B.DTT223.S63,Itg.20.DTT507.S2,LYZFP344,LYZFP343,LYZFP342,Itg.10.FP460.S62,Vil1.09B.FP105,Itg.22.DTT519.S14,Vil1.09B.FP104,Vil1.09B.FP103,SLCdtt022,Vil1.08B.DTT94,Vil1.08B.DTT95,Itg.18.FP495.S98,Vil1.08B.DTT96,Itg.06.FP436.S37,SLCdtt149,SLCdtt148,SLCdtt024,Lyz2.07B.FP284.S82,Vil1.04B.FP48,Vil1.04B.FP46,Vil1.04B.FP47,SLCdtt150,Lyz2.02B.FP224.S72,Lyz2.08B.DTT295.S137,SLCdtt166,Lyz2.03B.FP235.S83,SLCdtt168,SLCdtt167,Lyz2.02B.DTT224.S64,Vil1.013B.DTT156,Vil1.013B.DTT154,Vil1.013B.DTT155,Lyz2.06B.DTT271.S113,SLCdtt054,SLCdtt053,SLCdtt052,Itg.10.DTT459.S53,Vil1.04B.DTT48,Vil1.04B.DTT47,Vil1.04B.DTT46,Itg.24.DTT530.S25,Lyz2.05B.FP258.S55,Vil1.13B.FP152,Vil1.13B.FP153,Itg.18.FP494.S97,Vil1.13B.FP151,Itg.16.DTT482.S77,Itg.06.FP435.S36,Itg.22.FP520.S23,SLCdtt114,SLCdtt113,SLCdtt112,Itg.10.DTT458.S52,Lyz2.07B.FP283.S81,Itg.04.FP422.S22,SLCdtt006,SLCdtt005,SLCdtt004,Itg.20.FP508.S11,Lyz2.07B.DTT283.S125,Itg.18.DTT494.S89,Vil1.01B.FP11,Vil1.01B.FP10,Vil1.01B.FP12,Lyz2.03B.DTT234.S74,Lyz2.05B.FP259.S56,SLCdtt132,SLCdtt130,Itg.06.FP434.S35,Lyz2.05B.DTT260.S101,Lyz2.01B.DTT211.S51,Vil1.09B.DTT108,SLCFP149,SLCFP148,Itg.12.FP471.S73,SLCFP150,Lyz2.06B.FP271.S69,Lyz2.07B.DTT284.S126,Lyz2.05B.DTT259.S100,Vil1.010B.DTT118,Vil1.010B.DTT119,Lyz2.08B.FP294.S92,Lyz2.05B.FP260.S57,SLCFP024,SLCFP023,SLCFP022,Lyz2.06B.DTT272.S114,Vil1.010B.DTT120,Lyz2.07B.FP282.S80,Vil1.05B.DTT60,Lyz2.04B.FP247.S44,SLCFP054,SLCFP053,SLCFP052,Vil1.05B.DTT58,Vil1.05B.DTT59,Lyz2.08B.DTT296.S139,Vil1.06B.FP70,Itg.02.FP411.S11,Vil1.03B.FP36,Vil1.06B.FP72,Vil1.06B.FP71,Vil1.03B.FP34,Vil1.03B.FP35,Itg.18.DTT495.S90,Itg.20.FP507.S10,Itg.08.DTT447.S40,Itg.24.DTT531.S26,SLCFP167,SLCFP166,Vil1.09B.DTT107,Vil1.09B.DTT106,Itg.24.FP530.S33,Lyz2.03B.DTT235.S75,Vil1.14B.FP163,Lyz2.06B.FP272.S70,SLCFP113,SLCFP112,SLCdtt070,SLCdtt078,SLCdtt077,SLCdtt076,Itg.08.FP448.S49,Vil1.14B.FP165,Vil1.14B.FP164,Lyz2.01B.DTT210.S50,Lyz2.08B.FP295.S93,Itg.12.FP470.S72,Lyz2.03B.FP236.S84,SLCFP006,Lyz2.03B.DTT236.S76,SLCFP005,Itg.26.DTT544.S40,SLCFP004,SLCFP132,SLCFP131,Vil1.01B.DTT12,Vil1.01B.DTT11,Vil1.01B.DTT10,Itg.18.DTT496.S91,Itg.02.DTT410.S2,Lyz2.05B.DTT258.S99,Itg.24.FP531.S34,SLCFP114,Vil1.014B.DTT167,SLCdtt096,SLCdtt095,Itg.02.FP410.S10,Vil1.014B.DTT168,Vil1.10B.FP117,Itg.12.DTT470.S64,Vil1.10B.FP116,Vil1.10B.FP115,Itg.08.FP447.S48,Vil1.06B.DTT70,Vil1.06B.DTT72,Vil1.06B.DTT71,Lyz2.04B.FP246.S43,Itg.02.DTT411.S3,Itg.06.DTT435.S28,Itg.22.DTT518.S13,Lyz2.04B.DTT248.S89,Itg.26.FP544.S48,Itg.20.DTT508.S3,Lyz2.08B.FP296.S95,Itg.04.DTT424.S16,Itg.16.FP483.S86,Lyz2.06B.FP270.S68,Lyz2.01B.FP210.S58,Itg.04.DTT423.S15,SLCFP078,Itg.02.FP412.S12,SLCFP077,SLCFP076,SLCFP072,SLCFP071,SLCFP070,LYZdtt356,LYZdtt355,LYZdtt354,Itg.02.DTT412.S4,Lyz2.01B.DTT212.S52,Lyz2.01B.FP212.S60,Itg.12.FP472.S74,Vil1.07B.FP84,Vil1.07B.FP83,Vil1.07B.FP82,Itg.08.DTT446.S39,Vil1.02B.DTT23,Vil1.02B.DTT22,LYZdtt368,LYZdtt367,Vil1.02B.DTT24,LYZdtt366,Lyz2.04B.DTT247.S88,Itg.06.DTT434.S27,SLCFP096,Itg.26.FP543.S47,SLCFP095,SLCFP094,LYZdtt332,LYZdtt331,LYZdtt330,Itg.12.DTT471.S65,Itg.16.FP484.S87,Lyz2.08B.DTT294.S136,Vil1.08B.FP92,Vil1.08B.FP91,Vil1.08B.FP93,LYZdtt344,LYZdtt343,LYZdtt342,taxonomy
MF0063,4747.2,10812.61,7534.76,4141.58,1667.78,2731.33,1834.75,2704.04,2111.3,10491.6,3358.22,22341.31,8634,2827.035,11599.36,1194.21,5409.93,4714.89,7452.75,4282.91,1244.69,6296.07,7385.17,19149.64,1375.73,2554.25,13946.44,11835.33,1963.5,10376.01,26064.04,12189,15719.8,6810.33,3448.67,2143,10743.14,9563.87,1705.5,4201.435,1825.02,10558.62,1300.73,3731.915,8206.56,6230.705,4112.97,1655.92,18924.55,9218.49,5534.71,3295.56,9355.4,3099.94,3512.25,1117.2,3076.76,9059.11,5021.2,1167.44,5042.09,14141.09,1296.22,12957.13,10515.83,9850.66,4897.58,4494.12,6527.85,5402.43,5868.17,20343.71,21496.35,3000.06,1917,10614.72,10332.69,4843.42,16046.81,4844.57,1053.35,3413.3,4044.59,15110.83,11753.78,3463.12,5256.61,7040.45,1734.93,3733.32,914.78,3657.2,2293.77,1346.04,2932.39,1892.25,4507.77,2205.93,4026.04,34272.4,23118.54,1518.33,25947.77,4927.56,11558.67,5016.15,3316.92,1687.91,246.08,1547.07,1104.25,823.92,3828.04,1708.17,473.33,20298.21,2333.06,6661.48,5497.17,3769.58,11922.87,3365.71,2748.25,6653.4,1219.03,3244,3005.27,6346.28,3018.77,7926.5,11813.05,10060.415,17762.72,2583,6725.83,6065.09,5536,6419.23,1613.83,2012.65,4999.895,3946.08,3578.85,2234.27,2800.71,4387.125,3025,386.36,4590.735,6723.295,3539.67,4113.5,2210.25,3781.07,4160.11,6516.785,7113.56,7532.73,8283.85,3787.37,8855.72,4363.84,5685.16,7439.79,730.3,13636.56,2824.5,5504.03,5327.66,567.79,1154.22,21610.07,4970.08,1789.125,3438.415,1055.3,2247.68,1785.66,4528.63,6210.33,14424.2,11740.29,3766.92,1343,10151.125,2794.05,1847.97,1561.68,1696.58,3457.74,232.08,6008.63,8758.33,1570.29,1430.55,1752.76,4043.37,3576.01,7760.43,628.75,2023.42,962.28,418.68,329.025,3209.625,4587.75,16576.1,9416.66,16607.8,11473.58,5170.46,1981.12,3572.83,3164,411.92,812.62,5170.83,3539.72,4186.43,4892.58,8979.98,5362.85,2014.37,11628.16,700.66,2133,4079.81,2419.075,4421.065,1163.25,1379.87,3337.93,5238.59,4966.785,4317.09,2756.28,658.03,2173.43,1621.52,1436.67,15384.07,11150.1,13653.73,5428.5,2181.9,3992.93,1521.74,13356.94,11707.4,2548.82,6590.7,2649.24,6281.89,69.5,7781.55,683.08,1952.105,4195.61,9103.67,5823.14,1618.04,9390.93,1635.24,27824.26,14238.03,25918.615,8892.36,2309.51,3368.24,
MF0020,115541.7,96705.22,140030.08,183940.5,42582.15,3008.5,2326,2874,28064.07,87182.85,70108.03,46909.85,24263.7,96079.55,53988.2,39169.73,184966.095,166177.75,107951.85,39427.075,72863.55,152090.65,202241.475,54439.6,10837.25,116448.1,48251.455,59637.7,300771.925,34160.375,83850.85,78998.625,148455.225,32526.8,47365.47,16075.8,47174.1,34170.525,95967.6,172453.3,128706.68,10794.65,7878.625,117163.05,24651.15,170756.075,19893.15,88830.6,21250.375,33875.05,217706.825,84955.75,145187.47,39718.975,224114.1,55316.1,27855.975,44646.58,121804.955,47205.15,80280.9,24432.225,53572.725,23427,14430.25,31269.2,5199.75,5604.25,127129.25,5695.125,46645.025,217627.945,35215.27,6813.3,11702.625,31586.25,39920.82,61656.975,125679.075,55331.45,9658,428837.82,169954.6,143931.675,185645.625,33069.75,46267.805,32457.975,45045.2,22198.55,13755.95,39008.85,43124.85,66263.325,9535,8634.725,13671.15,22181.87,7444.75,90701.775,55598.425,79139.4,68981.25,9469.9,72587.125,78269.75,27227.1,28486.4,3313.6,76362,26010.125,152495.3,47750.8,31868.2,22388.6,81375.55,4777.23,26232.8,68611.5,58200.95,60126.275,56677.08,7961,29459.4,7455.5,115508.2,12485.5,36187.15,5928.2,49304.2,22461.15,73748.1,60439.65,30039.625,33461.15,8432.875,12370.25,18165.225,32412.075,13901.85,8368.55,7780.45,13589.1,7386.025,6606.875,19611.25,3314.25,39042.025,15127.7,48757.7,58714.3,6235.725,3116.275,75079.4,28332.4,203648.3,52440.375,20393.905,43787.98,75599.975,109036.55,34696.725,100701.7,41466.92,65595.4,55273.85,92534.3,11173.9,10938.075,130244.8,63435.955,49546.1,37739.6,6728.2,15584.325,11523,52463.975,66832.125,81453.775,78097.5,41393.425,45669.175,44710.55,33485.25,72364.05,82132.125,66603.975,63767.5,104416.325,43498.55,50068.9,23687.55,42683.9,31909.325,34748.175,20650.05,47606.95,111407.05,12954.8,164442,6124.95,26839.175,120132.55,52836.2,103608.8,29850.33,21606.775,57723.6,25562.075,32133.6,67188.8,2226.7,3856.875,3329,43929.675,60871.275,83274.175,22415.4,40566.195,43551.65,44613.45,16974.875,76321.475,40715.5,24192.675,224451.9,157100.7,37803.95,92782.95,46193.1,103916.8,21552.15,59868.55,45931.35,139312.475,69158.145,49006.5,90296.875,70438.3,38849.15,43652.1,22645.02,35629.5,33576.25,15645.65,23153.85,12939,26733.145,25669.53,9977.25,18239.025,47448.95,58984.1,86431.95,67410.45,170318.85,53580.15,36632.695,14750.625,21493.3,28434.9,36990.7,6665.825,44358.7,30916.55,34116.6,65663.195,31592.425,48508.08,
MF0061,80304.11,76948.67,100467.43,128059.16,17650.75,2946.33,2184.5,2859.04,13232.05,177282.75,144471.86,109762.26,49052.84,63961.2,45578.93,27453.57,130180.42,97577.66,69959.96,30692.89,51344.65,83987.48,145455.49,62091.57,8386.61,29394.25,45371.54,46316.17,187368.25,33344.2,72386.96,68388.26,124558.09,29697.91,27407.17,9872.49,44611.23,32973.84,59014,99625.73,88277.19,29945.02,6814.84,66355.49,27647.36,123110.41,45474.78,55980.87,46620.49,49962.76,163749.1,62452.55,108105.84,39347.71,158082.52,38406.29,20596.63,70892.02,119664.58,52653.41,46971.92,39976.83,30691.27,44816.76,28631.33,35485.99,5124.41,5281.87,87260.37,5642.68,37750.92,151107.55,59737.75,9237.08,11927,32175.37,51413.66,64418.68,89119.32,41750.25,7069.18,280554.85,106499.09,110903.38,129243.93,25016.18,28323.33,19816,26559.86,16586.92,8785.36,26096.63,28216.02,33674.16,8354.96,6907.83,14330.78,16531.83,12965.83,53943.18,43007.78,61481.66,36690.19,10089.39,61249.84,50515.82,12213.42,11845.33,1158,35667.74,24242.25,99138.67,25137.97,15081,11303,71963.67,5002.7,29519.19,62035.83,50839.03,53424.04,36982.5,12439.08,25050.42,5946,102973.04,15861.32,27426.68,5605.45,58679.74,31788.39,58703.33,79941.31,23798.51,36173.94,15655.43,11663.33,14178.69,27906.18,18574.09,14366.96,13641.33,19393.08,6179.74,5442.79,18169.5,3227.75,19699.51,12612.51,35310.58,37468.01,5612.85,2848.9,52768.61,34274.81,146201.95,43839.14,29511.87,58528.67,62621.69,79437.53,29639.76,86037.37,30624.79,34146.51,53293.54,87610.91,9948.65,10780.3,84664.37,41072.31,68366.5,29631.91,4649.5,10812.08,8115.78,35923.58,44966.01,55488.75,49534.66,51068.37,50619.31,31028.52,27576.62,62859.75,49885.21,30945.25,41337.35,45984.83,26104.86,22926.42,19315,33257.25,23038.88,24214.79,14582.76,36415.57,81502.68,21303.6,87078.25,5276.5,18352.83,70025,32592.67,70570.5,27758.62,37025.04,42937.66,41525.24,44148.3,47364.17,2156.32,3781.08,3280.5,19946.13,37746.2,60152.67,15137.36,25460.87,32002.91,34291.25,15229.93,50708.04,62131.49,21763.96,154982.65,107544.49,24509.75,70803.4,29262.75,63575.58,15585,37884.34,30760.16,100509.81,49692.8,21332.7,58829.02,48212.28,28225,46624.41,34824.79,44502.62,56660.59,10401.32,16995.63,9310.58,30283.68,27216.47,8264.43,16801.2,31747.74,47143.29,45751,49031.96,96644.5,31668.84,49763.22,32533.33,19646.36,14944.07,49245.62,6597.1,63124.94,40912.7,54164.55,58107.4,19279.54,38580.77,
MF0062,829.8333333,4332.833333,9388.833333,416,1399.333333,0,0,0,455,72.33333333,89.66666667,119.3333333,224.1666667,5597.5,3055.333333,4654.333333,5620.333333,5564.5,5795.333333,2552.5,13610.83333,8801.166667,41533.83333,123.8333333,145.6666667,10998.66667,2149.666667,3060.166667,6312.833333,166.5,1801.333333,6753.833333,12353.66667,1960.166667,3493.333333,698.8333333,1176.5,358,5612.833333,9328,48.33333333,200.5,0,5526,831.1666667,369,1501.333333,4349.166667,91.66666667,0,326.3333333,968.3333333,3499,1241,160.3333333,18.66666667,826.5,268.8333333,219.5,17.16666667,7168.5,105.8333333,2725,117.3333333,68.16666667,1674.333333,0,0,0,0,1733,395.8333333,111.1666667,254.1666667,31.16666667,803.3333333,700.6666667,1371.833333,504.8333333,77.5,35.16666667,10262.16667,5655.166667,7442.833333,6805.5,52.33333333,37.83333333,0,0,1405.333333,660,1165.333333,1975.833333,2222.5,224.5,193.8333333,301.5,857.1666667,1116.5,67.83333333,0,2653,22.66666667,90,1597.166667,6114.333333,863.8333333,896.8333333,0,2446.166667,114.3333333,1602,2292.833333,1671,0,2988.333333,32.83333333,1188.833333,256.6666667,154,391,1422.5,1379.833333,765,139.3333333,1320.666667,1514.666667,99.33333333,45.33333333,211.3333333,145.1666667,3688.666667,301.5,2305.166667,1543.333333,1221.333333,234.3333333,0,118.1666667,2562.833333,564.5,406.3333333,0,572,0,25.66666667,0,4040.166667,634.8333333,1884.5,2577.666667,0,0,75.33333333,48.16666667,12900.66667,1068.5,101.3333333,249.5,9262.833333,9086.666667,2672.333333,3688.5,2329.5,9282.666667,5371.666667,4862.666667,0,137.8333333,7529,1529.333333,994.1666667,4336.666667,166,423,231.8333333,195.3333333,399.3333333,189.8333333,5558.5,891.8333333,1172.666667,108,124,2667,7963.833333,2455.666667,3017,2877.833333,4169.5,878,569.3333333,552,54,68.33333333,39.83333333,2613,5177.666667,1913.333333,18026.16667,196.1666667,3969.333333,9169.666667,0,6346,2472.333333,571.3333333,1642.5,809.3333333,1407.166667,4211.5,0,0,0,3561.5,3440.833333,863.1666667,807.5,4490.666667,3708.166667,2006,59.33333333,2095.166667,568.3333333,1149.833333,130.5,3397.166667,531.3333333,5396.166667,248.8333333,302.1666667,933.8333333,1655.5,1535,44.16666667,72.83333333,20,3315.333333,105.6666667,44.16666667,1877.666667,137.1666667,0,0,753.6666667,773,444.8333333,85.66666667,81.33333333,352.1666667,33,2731.666667,331.5,0,3518.333333,6961.166667,1253.833333,142.3333333,99.83333333,38.5,1293.333333,595.1666667,91.5,215.6666667,136.8333333,163.3333333,199,12.33333333,95.33333333,
MF0060,62640,47832.74,64293,118336,12091,2680,1811,2679.5,7026,6044,7448,14055,5497.34,13255,15132.67,15929,108419,78415,14324,7519,28465.91,18547.32,89754.67,24933,5916,23343.67,10906,11599.67,112392,16041,42203,28899,60985,5645,8228,4878,10101,15485,11458.5,21206,84698,3920,3365,19476,11045,110128,4302.34,15216,12578,22235,141535,52005,78990,11640,146813,36303,9795,26460,79764,31141,16051.09,8089.75,9472,5078.57,4524,8024.91,4870.25,4449.5,10945.5,5364.75,24259,83524,15001.25,2656,6156,5302,10724,10316,36764,34604,5753,234984,89817,67861,97920,20185,4832,5033,6626,5872,1838,7844,13067,17042,2040,2220,3479,4795,3017.33,9518,7682.24,5892.33,8760,2397,35032,13488.51,3450.75,2641.83,217,17335,11454,77769,7250,3964.75,4472,16705.84,1813,5525.09,35978,32208,31759,29721,3423.08,10409,2321,63133,4282.15,20647,2820.08,12395,11176.18,9362,33467,8551.25,8763,3092.08,4953,7848.75,16583,5705.09,1591.5,1345.83,2694,2382.99,3121.5,9161,3030.25,10299,2373.51,5991.33,8343,4135.75,2277.25,47862,12847,27320.83,22885,7355,11673.15,23869,43022,7919.5,20874.5,8808,19661.84,11854.5,30714,5364.08,4599.33,15765.84,36064,20942,11433.58,1561,3326.08,4028,32350,41558,47877,12031.83,12643.33,9591.1,25425,18669,11284,30029,5390.25,33147,6143.58,9813.08,3312,3974,8481,19988,21476,11926,7843.67,14999,4831,37240.5,1372,9534.5,18628.5,16810,13577,11437.5,3969.26,14484,5943,10662,9467.67,1974.5,3550.75,3140,10472,13104,48592,3742,11983.41,8536.58,14360,8725,28036,7566.08,5006,147967,67795,18540,12032.83,26106,59209,4224,14217,11117,92164,43145,17631,33027,45758,25542,7413,7360,17473,18094.59,3106,6637,3112,12690,12837,2824,7039,18547,36038,7800,10746.65,24298,5290,13962,3621,1786,5477,7145,2627,15561.66,9400,12631.34,41227,11226,28280,
MF0027,0,2,19,39,0,0,0,0,0,0,0,3,485,21,0,0,6,157,63,0,0,152,0,285,0,2,0,0,0,0,447,211,241,19,7,0,0,164,0,0,73,0,0,114,190,266,0,0,90,0,93,42,124,14,17,26,0,13,16,0,38,0,0,0,35,11,0,0,0,0,0,73,110,5,0,150,151,270,10,115,13,6,137,4,14,37,0,0,0,5,18,29,0,17,0,13,0,0,10,143,108,0,143,39,13,0,8,7,0,32,0,0,4,3,2,22,0,0,13,11,0,37,21,13,0,0,0,0,0,106,3,172,1,0,10,0,0,0,0,0,0,5,10,6,0,0,0,9,0,2,0,0,0,9,46,0,161,230,460,0,66,0,0,46,0,6,258,0,0,0,49,364,32,23,45,0,27,23,4,100,96,112,0,0,152,90,2,6,0,0,6,77,78,0,0,0,0,0,0,0,12,0,0,0,0,10,69,62,0,63,118,0,0,0,16,0,0,5,0,14,0,0,0,236,0,65,0,29,0,21,20,80,165,94,95,4,2,0,9,25,203,272,202,479,0,0,0,168,431,0,222,0,0,0,13,2,0,2,0,0,26,189,0,51,214,26,13,3,0,
MF0028,5078.88,15297.49,11875.5,4916.66,20458.03,2686,1816.75,2668.25,13698.59,10510.75,14478.75,28697,18104.34,6867.04,12452.89,1570.18,6316.16,6828.64,10466.02,6624.91,2040.66,6719.22,10585.97,23061.07,1674.28,85362.09,18146.68,14359.53,2157.8,16376.27,51241.35,20705.09,31532.76,7091.46,7710.8,5533.8,17326.66,16132.73,3394.25,5041.1,13086.16,13341.83,932.1,3760,10458.44,6748.7,20899.45,2355.52,20105,21569.25,11130.25,4395.04,11166.77,4154.96,4097,9826.02,4726.84,28356.25,27335.5,19269.75,8449.06,14376,3043.77,16454.21,20253.49,13965.19,4853.75,4413,9536.25,5362,11881.9,26441.74,29281.13,3137.53,2380,12701.98,11997,11828.25,20772.51,6509.96,2176.03,15632.91,9596.6,19713.19,20561.76,6730.42,4825.73,10447.9,2081.69,4917.44,5771.09,14447.29,14520.46,2911.38,3406.91,3191.26,5645.39,4431.42,3889,59855.63,38500.78,8985.75,48168.72,9578.84,11765.34,7754.62,6279.11,2771.73,1168.93,8032.48,7096.75,994.8,2158.84,1161.5,893,29443.84,2194.94,9091.9,15872.41,10904,20722.16,6650.46,3633.5,13216.84,1812.23,14762.33,3472.54,4697.93,2799.5,21591.84,19919.68,9871.5,20374.37,7342.5,10411.2,7522.03,4311,6015.25,7965.75,2814.4,4477.55,4198,5328.5,2273.27,2724.25,4612,3025,938.33,6887.07,8272.33,4557.01,4092,2175.75,12952.16,11932.01,15808.54,8368.01,12737.67,31048.65,4682,2696.69,5892.92,34820,9390.42,1267.17,17285.31,5884.84,5080,4415.5,1209.66,6972.14,30522.5,8853.76,2005,4686.83,1517.11,6450.01,4653.09,5389.33,12127.66,17502.78,14021.29,8172.42,5557.33,12193.25,8710.24,1740.37,3895.7,1503.03,8224.06,977.17,7612.33,9529.23,2277.29,4491.71,3303.65,5225.17,15667,12174,1928,2053.87,1279.25,466,196.75,4294.8,6478.5,21938.33,11732.74,20498.47,28309.99,6049.75,1974.5,3540.5,3141.5,1790.67,3306.64,8330.83,8377.31,3188.51,10577.56,12696.64,7352.52,2436.42,23234.33,1375.34,3067.4,5099.15,9692.37,16022.84,2434.1,1615.13,5042.13,6157.63,4918.93,9385.52,9624.96,22392.81,9716.22,3870.38,3924.57,19414.41,15322.83,14596.16,28877.34,6053.38,5206.31,4997.33,41658.18,37148.86,2743.22,32677.63,5270,8254.08,88,10375.02,814.5,2475.01,4947.84,15060.97,20669.65,4719.4,18000.5,2005.01,40040.66,20612.16,36028.59,9870.31,16368.23,7662.59,
MF0025,1157.78,2475.25,837.95,65.33,186.28,2685.33,1810,2655,397.57,259.98,153.4,374.92,576.5,46.33,112.5,161.12,1371.38,217,146.17,423.98,41.15,189.16,175.18,3937.25,156.3,260.16,259.4,125.33,6.25,439.13,14900.08,493.5,664.9,46.33,248,229.25,1616,428.12,11,16.33,170.17,424.45,289.02,133,1143.53,290,583,143.75,286.32,64.48,365.98,273.78,384.45,349.32,51.75,75.42,505.28,762.32,280.43,46.83,97.08,2328.03,90.79,2653.41,1667.66,746.41,4872.41,4415.33,3.33,5371.5,63,354.48,2941.55,32.93,17.5,389.85,573.58,760.42,471.25,187.23,95.17,149.11,161.75,4714.29,1075.35,287.18,2527.78,4505.45,969.07,393.62,37.67,155.82,97.5,100.47,289,474.58,324.9,840.19,39,20830.47,7731.93,44.33,19057,196.83,62,53.17,247.09,62.33,4.33,92.92,32.25,2.5,126.27,86.92,34.33,128.33,737.78,385.52,87.17,96.33,237.17,324.53,45.75,79.07,19.93,64.83,145.47,2784.92,2634.15,1650.41,1936.73,216.33,3308.08,48.16,329.57,124,4265.33,5914.7,127.82,29.45,94.33,64.5,18.07,648.72,2667.92,16.5,3023.25,27.5,228.47,314.53,273.92,4090,2175,290.47,895.08,41.33,446.18,975.61,1861.23,225.7,319.75,345.78,84.83,579,283.4,155.03,322.95,4902.55,4174.48,51.87,117.75,3165.87,161.58,50,106,71.8,174.19,170.06,537.48,127.33,2139.18,1466.77,197.1,67,186.83,117.33,52.07,65.92,52.33,167.22,22.33,99.63,103.33,204.75,170.25,169.16,338.53,94.42,79.67,5,42.67,317.68,13.73,0.93,25,1945.67,3222.64,190,3648.65,2831.7,135,1977.83,3544.83,3140,113.5,27.33,652.92,467.56,1652.96,41.08,269.32,150.08,403.1,320.41,21.58,98.75,668.41,83,52.5,29,27.33,290.93,958.33,1297.33,355.87,268.07,102.6,104,136.25,68.17,331.5,1954.88,374.5,717.25,67.92,590.7,104.08,1699.44,924.52,467.63,555.34,600.05,381.35,0,399.47,14.33,161.06,801.83,521.83,410.28,97.38,384.46,274.54,2210.9,3472.35,2435.87,1078.57,154.59,378.47,
MF0069,18.25,193.25,195.25,4,61.75,2680,1810,2655,157,9870.25,750,137.25,1.5,1,7,87.25,133.75,2,3,67.75,22.75,2.5,57.25,76.25,17.5,48.5,3,5,3.25,77,96.25,86.5,99.5,0,59.5,10.75,5,63.25,5,1,22,58.75,211.75,1,85.5,1,352,164.75,55.25,201.75,166.25,1966.75,4201.75,191.75,3.25,23.75,64.75,410.25,1603.5,37.5,7.75,0,34.25,2.25,1,27.75,4851.75,4408,1,5359.5,4,0.25,0.25,0,2.5,2.25,4.75,2.75,0.25,9,26,0.25,1.75,0.25,0.25,50.25,1573.75,1183.25,483,63.25,0,3.75,3.5,21.5,235.5,402.25,167,305.25,0,61.5,319.5,2.5,41,15,1,3.5,186.75,9,0,13.75,2.25,2.5,75.5,40.25,22,0,409.25,63.25,4.5,2,23.5,50.5,0.75,0,9,2,95.5,2603.25,2616.75,5.25,490,0,17.25,5.5,60,32,4074.5,5852.5,1.75,4.25,0,1,2,456.75,2655.25,1,3023.25,1.5,0,0,11.25,4090,2175,58,86.25,0,52.75,119.75,128,43.5,377.25,106.25,2.5,101.5,152,1352,407.25,4863.25,4038.25,2.5,38.75,3,20.25,0,9,0,10.25,13,19.75,3,5.25,2,28.5,8,0,0,37,24.25,52,73.75,16,0,1,156.25,121.75,74.5,73,44.75,12,4,0,186.75,0,0,0,1193,3.5,5.5,4.25,3,0,1973.5,3538.5,3140,5.5,12,62.75,52.75,1419.5,4.75,83.25,12.75,51.5,2.25,5.25,4.75,69,0,0,1,1,0,0,0,56.5,62,40,58.5,61.75,5.5,2.5,15.75,4,2.25,10.25,165.5,77.75,450,44.75,207,52.5,69.25,147.25,0,4.5,1,0,60,106.5,60.75,13.25,2,49,0,2.25,0,159,54.25,127.5,
MF0102,594,1331,835,348,326.615,25,17,0,438,118,1121,5690,3473,777,1315,296.25,523,1322,2337,609,580,727,3329.25,681,173,559.75,2017,2366.5,197,736,480,6305,10987.5,529.75,1013,205,1132,1329.75,422,2051,171,1001,139,462,1015.32,482.5,641.025,273,709.275,345,417,367,1778,451,399,143,565.92,1243,1403,792.25,1119,1071,372,870,125,2840,0,23,1107,15,2030.5,7519,1227,276,418,2634,1945,3996,5239,825,161.75,1524.75,1812,3982.25,760,338,160,195,36,818,305,1674,591,210,250,218,715,592,789,184,429,1079.5,71,1437,2156,1039,437,212,60,220,766,59,195,141,113,4121,227,1383,4551,3381,3580,463,947,898,171,3254,460.5,921,40,7939.75,1220,1410,882,2584,2077,1536,277,146,1012,970,626,722,280.25,347,20,325,0,271,861,1164,787,0,0,695,780,3052,1696,1347,4443,587,494,1332,5573,962,187,4459.75,2426.75,106,158,243.5,127,1349,3362,307,794,159,185,76,450,1064,1139,834,249.46,1332,818,926.5,348,130,387,1000.75,119,564,1969,310,247,294.5,859,2014,2113,436,491,207,33,29,1797,786,1491,804,1454,195,998,0,1783.8325,1581,247,435,655,519,392,1879,1891.5,1367,318,5336.25,570,318,746.075,1025,1854,437,618,570,718,671,224.01,256,117,564,182.25,193,1290,1759,3604,5459,368,447,294,1284,2658.5,341,2287,441,1014,7,983,42,115,554,2558,1507,305,3329,222,1007,741,1395,699,427,611,
