#OTU ID,LYZdtt308,Vil1.07B.DTT84,LYZFP332,Vil1.02B.FP24,Itg.22.DTT520.S15,LYZFP320,Itg.06.DTT436.S29,LYZdtt320,LYZFP308,Itg.16.DTT484.S79,Itg.18.FP496.S99,Vil1.05B.FP60,Itg.04.FP424.S24,LYZFP356,LYZFP344,Itg.10.FP460.S62,Vil1.09B.FP105,Vil1.08B.DTT96,Itg.06.FP436.S37,SLCdtt024,Lyz2.07B.FP284.S82,Vil1.04B.FP48,SLCdtt150,Lyz2.02B.FP224.S72,SLCdtt168,Lyz2.02B.DTT224.S64,Vil1.013B.DTT156,SLCdtt054,Vil1.04B.DTT48,Vil1.13B.FP153,Itg.22.FP520.S23,SLCdtt114,SLCdtt006,Itg.20.FP508.S11,Vil1.01B.FP12,SLCdtt132,Lyz2.05B.DTT260.S101,Vil1.09B.DTT108,SLCFP150,Lyz2.07B.DTT284.S126,Lyz2.05B.FP260.S57,SLCFP024,Lyz2.06B.DTT272.S114,Vil1.010B.DTT120,Vil1.05B.DTT60,SLCFP054,Lyz2.08B.DTT296.S139,Vil1.03B.FP36,Vil1.06B.FP72,Lyz2.06B.FP272.S70,SLCdtt078,Itg.08.FP448.S49,Vil1.14B.FP165,Lyz2.03B.FP236.S84,SLCFP006,Lyz2.03B.DTT236.S76,Itg.26.DTT544.S40,SLCFP132,Vil1.01B.DTT12,Itg.18.DTT496.S91,SLCFP114,SLCdtt096,Vil1.014B.DTT168,Vil1.10B.FP117,Vil1.06B.DTT72,Lyz2.04B.DTT248.S89,Itg.26.FP544.S48,Itg.20.DTT508.S3,Lyz2.08B.FP296.S95,Itg.04.DTT424.S16,SLCFP078,Itg.02.FP412.S12,SLCFP072,LYZdtt356,Itg.02.DTT412.S4,Lyz2.01B.DTT212.S52,Lyz2.01B.FP212.S60,Itg.12.FP472.S74,Vil1.07B.FP84,LYZdtt368,Vil1.02B.DTT24,SLCFP096,LYZdtt332,Itg.16.FP484.S87,Vil1.08B.FP93,LYZdtt344,taxonomy
MF0063,10812.61,2731.33,10491.6,11599.36,4282.91,1244.69,1375.73,2554.25,26064.04,9563.87,1705.5,8206.56,1655.92,18924.55,9059.11,5042.09,14141.09,5402.43,5868.17,3000.06,1917,10614.72,16046.81,4844.57,15110.83,3463.12,5256.61,914.78,2932.39,23118.54,5016.15,3316.92,3828.04,20298.21,11922.87,6653.4,3005.27,3018.77,17762.72,6725.83,2012.65,4999.895,2234.27,2800.71,3025,4590.735,3781.07,7113.56,7532.73,4970.08,2247.68,6210.33,14424.2,2794.05,1847.97,1561.68,3457.74,6008.63,1570.29,4043.37,2023.42,418.68,4587.75,16576.1,3572.83,4186.43,4892.58,8979.98,5362.85,2014.37,2419.075,4421.065,3337.93,4317.09,2173.43,1621.52,1436.67,15384.07,11150.1,13356.94,2548.82,69.5,4195.61,9390.93,25918.615,8892.36,
MF0020,96705.22,3008.5,87182.85,53988.2,39427.075,72863.55,10837.25,116448.1,83850.85,34170.525,95967.6,24651.15,88830.6,21250.375,44646.58,80280.9,24432.225,5695.125,46645.025,6813.3,11702.625,31586.25,125679.075,55331.45,143931.675,33069.75,46267.805,13755.95,9535,55598.425,78269.75,27227.1,47750.8,81375.55,60126.275,29459.4,12485.5,5928.2,60439.65,33461.15,13901.85,8368.55,7386.025,6606.875,3314.25,15127.7,75079.4,52440.375,20393.905,37739.6,52463.975,78097.5,41393.425,82132.125,66603.975,63767.5,43498.55,23687.55,31909.325,47606.95,6124.95,120132.55,29850.33,21606.775,3856.875,40566.195,43551.65,44613.45,16974.875,76321.475,37803.95,92782.95,21552.15,139312.475,90296.875,70438.3,38849.15,43652.1,22645.02,26733.145,9977.25,86431.95,36632.695,36990.7,34116.6,65663.195,
MF0061,76948.67,2946.33,177282.75,45578.93,30692.89,51344.65,8386.61,29394.25,72386.96,32973.84,59014,27647.36,55980.87,46620.49,70892.02,46971.92,39976.83,5642.68,37750.92,9237.08,11927,32175.37,89119.32,41750.25,110903.38,25016.18,28323.33,8785.36,8354.96,43007.78,50515.82,12213.42,25137.97,71963.67,53424.04,25050.42,15861.32,5605.45,79941.31,36173.94,18574.09,14366.96,6179.74,5442.79,3227.75,12612.51,52768.61,43839.14,29511.87,29631.91,35923.58,49534.66,51068.37,49885.21,30945.25,41337.35,26104.86,19315,23038.88,36415.57,5276.5,70025,27758.62,37025.04,3781.08,25460.87,32002.91,34291.25,15229.93,50708.04,24509.75,70803.4,15585,100509.81,58829.02,48212.28,28225,46624.41,34824.79,30283.68,8264.43,45751,49763.22,49245.62,54164.55,58107.4,
MF0062,4332.833333,0,72.33333333,3055.333333,2552.5,13610.83333,145.6666667,10998.66667,1801.333333,358,5612.833333,831.1666667,4349.166667,91.66666667,268.8333333,7168.5,105.8333333,0,1733,254.1666667,31.16666667,803.3333333,504.8333333,77.5,7442.833333,52.33333333,37.83333333,660,224.5,0,6114.333333,863.8333333,2292.833333,2988.333333,391,765,1514.666667,45.33333333,301.5,1543.333333,2562.833333,564.5,572,0,0,634.8333333,75.33333333,1068.5,101.3333333,4336.666667,195.3333333,5558.5,891.8333333,7963.833333,2455.666667,3017,4169.5,569.3333333,54,2613,196.1666667,9169.666667,2472.333333,571.3333333,0,4490.666667,3708.166667,2006,59.33333333,2095.166667,531.3333333,5396.166667,933.8333333,44.16666667,3315.333333,105.6666667,44.16666667,1877.666667,137.1666667,85.66666667,352.1666667,0,142.3333333,595.1666667,163.3333333,199,
MF0060,47832.74,2680,6044,15132.67,7519,28465.91,5916,23343.67,42203,15485,11458.5,11045,15216,12578,26460,16051.09,8089.75,5364.75,24259,2656,6156,5302,36764,34604,67861,20185,4832,1838,2040,7682.24,13488.51,3450.75,7250,16705.84,31759,10409,4282.15,2820.08,33467,8763,5705.09,1591.5,2382.99,3121.5,3030.25,2373.51,47862,22885,7355,11433.58,32350,12031.83,12643.33,30029,5390.25,33147,9813.08,3974,19988,7843.67,1372,18628.5,11437.5,3969.26,3550.75,11983.41,8536.58,14360,8725,28036,18540,12032.83,4224,92164,33027,45758,25542,7413,7360,12690,2824,7800,13962,7145,12631.34,41227,
MF0027,2,0,0,0,0,0,0,2,447,164,0,190,0,90,13,38,0,0,0,5,0,150,10,115,4,37,0,18,0,108,0,8,4,22,0,13,0,0,1,10,0,0,6,0,0,0,9,161,230,32,27,100,96,90,2,6,0,77,0,0,12,0,10,69,0,0,14,0,0,0,29,0,80,95,0,9,25,203,272,168,0,0,2,189,26,13,
MF0028,15297.49,2686,10510.75,12452.89,6624.91,2040.66,1674.28,85362.09,51241.35,16132.73,3394.25,10458.44,2355.52,20105,28356.25,8449.06,14376,5362,11881.9,3137.53,2380,12701.98,20772.51,6509.96,19713.19,6730.42,4825.73,5771.09,3406.91,38500.78,7754.62,6279.11,2158.84,29443.84,20722.16,13216.84,3472.54,2799.5,20374.37,10411.2,2814.4,4477.55,2273.27,2724.25,3025,6887.07,12952.16,8368.01,12737.67,8853.76,6450.01,12127.66,17502.78,8710.24,1740.37,3895.7,8224.06,7612.33,2277.29,5225.17,2053.87,466,6478.5,21938.33,3540.5,3188.51,10577.56,12696.64,7352.52,2436.42,9692.37,16022.84,5042.13,9385.52,9716.22,3870.38,3924.57,19414.41,15322.83,41658.18,2743.22,88,4947.84,18000.5,36028.59,9870.31,
MF0025,2475.25,2685.33,259.98,112.5,423.98,41.15,156.3,260.16,14900.08,428.12,11,1143.53,143.75,286.32,762.32,97.08,2328.03,5371.5,63,32.93,17.5,389.85,471.25,187.23,4714.29,287.18,2527.78,37.67,289,7731.93,53.17,247.09,126.27,128.33,237.17,79.07,145.47,2634.15,3308.08,329.57,29.45,94.33,648.72,2667.92,3023.25,228.47,290.47,446.18,975.61,161.58,174.19,127.33,2139.18,117.33,52.07,65.92,167.22,99.63,204.75,338.53,42.67,13.73,1945.67,3222.64,3544.83,1652.96,41.08,269.32,150.08,403.1,83,52.5,290.93,355.87,104,136.25,68.17,331.5,1954.88,1699.44,467.63,0,801.83,384.46,2435.87,1078.57,
MF0069,193.25,2680,9870.25,7,67.75,22.75,17.5,48.5,96.25,63.25,5,85.5,164.75,55.25,410.25,7.75,0,5359.5,4,0,2.5,2.25,0.25,9,0.25,50.25,1573.75,0,235.5,319.5,3.5,186.75,75.5,0,23.5,0,95.5,2616.75,17.25,60,4.25,0,456.75,2655.25,3023.25,0,58,52.75,119.75,20.25,10.25,3,5.25,0,37,24.25,73.75,0,156.25,73,0,0,1193,3.5,3538.5,1419.5,4.75,83.25,12.75,51.5,0,0,0,56.5,58.5,61.75,5.5,2.5,15.75,450,207,0,60,2,0,159,
MF0102,1331,25,118,1315,609,580,173,559.75,480,1329.75,422,1015.32,273,709.275,1243,1119,1071,15,2030.5,276,418,2634,5239,825,3982.25,338,160,305,250,429,1039,437,195,4121,3580,898,460.5,40,882,2077,970,626,347,20,0,861,695,1696,1347,3362,185,1064,1139,926.5,348,130,1000.75,564,310,859,491,33,786,1491,1783.8325,392,1879,1891.5,1367,318,1025,1854,570,224.01,564,182.25,193,1290,1759,1284,341,7,554,3329,1395,699,
MF0026,19360.545,0,8207.625,18402.215,11173.385,15357.475,1345.105,53751.67,27801.55,10435.33,25879.5,8337.045,18871.185,16670.545,19902.435,20620.625,12895.28,0,8198.45,2752.555,2619.625,13972.66,24512.785,3915.565,21799.56,3419.71,12757.195,5645.045,3602.73,28049.14,20489.37,6481.755,10053.67,24126.625,13028.105,8611.82,4734.67,1734.625,22222.705,9325.58,5387.745,5389.52,2406.38,1699.48,0,6757.515,6575.08,9921.96,11301.63,13195.37,3649.005,19996.83,20387.325,12366.12,13889.11,4990.85,11619.03,8160.215,1680.065,15342.275,2595.835,25701.815,10679.935,14144.365,0,7759.025,13079.78,10933.86,4367.255,10459.495,6491.185,25731.42,5737.765,4789.885,15189.11,2124.19,2042.785,18348.08,14416.32,20896.715,2574.93,22057.875,4229.11,19063.815,25558.81,7427.52,
MF0103,18044.455,48.16,1700.845,15140.08,6778.025,1699.695,2106.29,9765.32,69538.17,18786.62,1853.75,11714.1,4529.01,23434.105,12749.285,9247.285,12411.235,57.83,13703.625,3622.885,3183.75,13368.215,28248.42,8077.435,24780.91,8809.34,7742.235,7127.375,4365.865,72302.145,9057.555,7298.305,2737.075,27395.485,26100.475,19811.225,4054.64,450.14,25214.455,10505.945,2453.45,4919.42,2890.14,80.955,0,10178.14,15960.05,9158.1,13366.155,6859.41,7824.78,14110.285,18957.895,10542.4,2387.365,5073.545,9625.05,11681.17,2922.26,4651.53,1888.09,234.81,4764.33,25601.765,37.825,4776.255,11370.41,17157.225,8057.115,3920.985,10802.375,18384.545,7747.02,11817.255,12100.91,4608.615,4732.84,23385.795,17535.72,51576.405,3902.915,27.875,6732.5,12878.13,16834.905,12698.16,
