#OTU ID,LYZFP327,Lyz2.05B.FP255.S52,Itg.02.FP407.S7,LYZdtt315,LYZFP315,Lyz2.03B.DTT231.S71,Lyz2.06B.FP267.S64,Vil1.07B.FP79,LYZFP303,Lyz2.05B.DTT255.S96,Itg.24.DTT527.S22,LYZdtt303,Vil1.04B.DTT43,Itg.12.FP467.S69,Itg.18.DTT491.S86,Lyz2.01B.DTT207.S47,Itg.10.DTT455.S49,Itg.08.DTT443.S36,Itg.18.FP491.S94,LYZFP351,Vil1.05B.FP55,Lyz2.08B.DTT291.S133,Lyz2.07B.FP279.S77,LYZFP339,Vil1.09B.FP106,Itg.26.FP539.S43,Itg.06.DTT431.S24,Vil1.08B.DTT91,SLCdtt145,Lyz2.04B.FP243.S92,Vil1.04B.FP43,SLCdtt163,Lyz2.02B.FP219.S67,Lyz2.08B.FP291.S89,Vil1.013B.DTT151,Lyz2.02B.DTT219.S59,Vil1.13B.FP154,Vil1.05B.DTT55,SLCdtt109,Vil1.02B.FP19,Itg.20.DTT503.S98,SLCdtt001,Vil1.01B.FP07,Itg.24.FP527.S30,SLCdtt019,Lyz2.04B.DTT243.S84,Itg.10.FP455.S57,Vil1.010B.DTT115,SLCFP145,SLCFP049,Vil1.02B.DTT19,Lyz2.07B.DTT279.S121,Vil1.06B.FP67,Vil1.09B.DTT103,SLCFP163,Vil1.03B.FP31,SLCFP109,SLCdtt067,Vil1.14B.FP166,Itg.22.DTT515.S10,Vil1.06B.DTT67,Lyz2.01B.FP207.S55,Itg.04.DTT419.S11,Itg.16.DTT479.S73,SLCFP127,Lyz2.06B.DTT267.S108,Itg.08.FP443.S44,Itg.12.DTT467.S61,Itg.22.FP515.S18,Vil1.014B.DTT163,SLCFP001,Lyz2.03B.FP231.S79,Itg.26.DTT539.S35,Vil1.10B.FP118,Itg.02.DTT407.S99,SLCFP019a,Itg.16.FP479.S81,Itg.04.FP419.S19,SLCFP073,LYZdtt351,Itg.20.FP503.S6,SLCFP067,LYZdtt363,LYZdtt327,SLCFP091,Vil1.07B.DTT79,Itg.06.FP431.S32,LYZdtt339,Vil1.08B.FP94,taxonomy
MF0063,26743.13,6769.31,2774.25,17035.95,27494.56,2360.72,7475.4,13328,18399.7,4428.38,3308.46,145818.67,3440.52,13975.62,10446.78,4494.81,6492.4,4432.96,13708.37,30051.43,24209.23,4702.75,3412.64,25130.11,11626.505,5051.34,5180,5548.4,8915.33,8355.24,16418.505,37644.61,14884.385,4558.39,13797.64,6074.7,5004.64,6371.6,3167.5,9139.78,10268.1,1408.85,8553.38,4757.2,1887.62,10280.63,12117.61,5265.09,6465.86,10408.32,2255.82,4668.16,15511.55,6808.98,9561.57,9367.88,7469.78,2958.09,1431.99,7012.53,3915.99,11504.35,4933.08,91119.2,2897.615,3436.61,9184.73,12236.13,4408.56,5620.88,8542.23,5904.16,4446.58,2562.2,3505.08,8395.59,10669.59,9765.415,5321.99,13728.7,11842.41,5359.905,17263.89,13970.81,6465.265,4309.71,6900.435,2202.51,2797.64,
MF0020,48857.375,12523.325,12916.9,49576.505,122780.225,39611.455,19021.725,11829.53,308363.9,8357.695,21403.25,841982.42,9502,27888.5,25517.55,17107.925,47945.175,13060.745,26619,28456.975,23659.045,29029.955,4678.4,36526.3,60913.925,18415.1,58927.025,7018.375,87274.655,81751.1,26796.48,89134.45,26251.35,30353.8,21512.83,24832,346084.925,6649.75,30474.875,43595.8,54529.15,5208,26952.05,14338.85,10319.725,54891.405,85035.95,6714.4,41184.92,10685.35,9138,12540.025,18295.85,8599.175,20035,22349.05,12294,25219.75,143402.275,40339.45,3782.875,21255,17256.7,33988.9,17011.75,16769.075,28780.45,34802.325,24924.35,19567.33,20582.85,85785.8,13766.7,71796.875,17334,6232.25,20026.95,17207.15,31955.6,185913.925,45035.55,11561.55,32098.725,47501.525,30157.55,4595.125,21208.55,12613.245,99135,
MF0061,90133.11,21603.33,12863.37,55107.06,101912.68,31404.17,26261.25,22348.43,220606.85,13472.06,27279.03,847441.71,11709.47,31136.56,35470.08,22227.71,41441.87,12521.97,37481.49,50206.01,39295.48,24535.03,6796.34,63123.39,78653.78,15961.55,45666.2,6672.73,85430.8,52744.38,30761.5,89466.13,32612.25,23973.79,18478.47,31614.77,180508.04,6600.1,25312.08,37546.76,42067.83,4414.65,26800.2,18411.22,10029.18,45476.96,61539.2,6937.37,27997.03,13851.84,12467.18,17060.62,26256.71,11069.97,22370.25,29509.39,12722.1,19557.03,89461.28,32854.63,3868.24,23917.65,18568.29,112668.38,12711.76,27925.73,25849.56,35829.62,19777.66,20129.68,15749.83,57432.36,14567.59,87655.65,20113.59,16777.35,29297.04,21346.8,23359.59,151908.91,36485.44,9229.16,60005.16,56049.76,23902.83,4512.96,20525.35,17223.47,87909.78,
MF0062,207.6666667,778.1666667,483.3333333,1223.166667,13872.16667,1902.166667,364.6666667,0,5087.333333,256.5,537.3333333,959.1666667,57.33333333,807.8333333,817.6666667,189,1447.166667,240.8333333,986.5,99.83333333,530.5,588.8333333,23.5,55.5,1016,742,137.1666667,0,393.8333333,4476.666667,275.5,3684.166667,254.3333333,32.66666667,16.5,179.6666667,0,0,415,1161.833333,1340.833333,71.16666667,48,511.1666667,64.33333333,2107.833333,3073.666667,0,161.6666667,151.8333333,227.1666667,138.3333333,22.83333333,23,2159.666667,646,158,368,0,1182,0,200.3333333,191.6666667,1088.833333,91,197.3333333,1671.5,666.5,1052.5,508.8333333,287.6666667,1731.833333,445.1666667,2102.833333,457.8333333,120,156,61.16666667,58.33333333,125.3333333,1388.833333,239,225,148.6666667,1234.833333,0,89.5,52.16666667,313.3333333,
MF0060,20911,3117.07,2010.34,32257.09,43100,17573,7757.75,5212,188664,2961.33,8155.41,875989.13,3458.57,6155.5,5890,6699.92,15227,4663.92,4764.82,8847.49,8739.24,13113,1530,19847,22806,3242.75,36783,5439,36757,34449,8602,30730,8487.67,18727,15433.67,9308.25,21501,6347,8351,13725,22804,1642,15437,5182.66,5376,22499,26939,4747.25,15187,5392.17,3544,6028.49,6146,5383.66,7576.17,8738,2983.18,11763,11994.92,12165,3822.245,8863,5842,10736,8477,11883.76,5678.84,10087,5257,10215.08,3328.08,47222,3325.84,32884,5524.43,2394.5,8406,7602.66,18606,114301,16944,3934,22961.07,25583,6063,4512.96,10490,5004,53675,
MF0027,133,46,9,0,233,0,128,878,122,0,0,319,0,279,70,37,14,0,302,498,472,0,0,106,0,48,0,0,11,422,87,156,187,131,17,42,147,0,0,392,0,7,266,17,3,61,279,0,111,40,0,0,522,0,1,163,26,4,81,0,0,177,0,111,24,11,19,66,81,26,0,347,0,0,0,12,414,32,21,54,68,7,49,21,20,0,25,0,0,
MF0028,50734.27,8072.32,4468.16,21224.25,36949.99,6454.67,11363.5,20106.32,21545.51,4923.55,15008.66,263602.58,4645.82,15518.82,12771.86,13412.67,10557.33,3913.03,15750.24,30847.77,29137.64,6014.25,5526.96,27021.33,14950.75,10471.5,7663.68,5393.5,16574.93,18287.16,20172.08,38010.33,16635.17,6544.28,14111.77,18517.5,4585.78,6326,6053.58,20271.23,15349.96,1695.75,22870.27,7715.16,2251.01,13332.49,17059.61,4751.75,12458.73,13463.04,5020.11,6542.99,18360.78,5917.75,16086.09,16689.34,8182.07,3692.79,2982,14442.21,3770.75,12018.72,6563.09,92219.02,4964.9,16727.76,15154.14,14350.88,8727.16,6014.57,10379.73,13122.36,5423.53,19482,7045.68,7704.47,11786.96,10943.66,8625.53,18696.74,16595.88,6698.81,44776.07,27382.97,7185.06,4133.25,8461.6,4404.58,15963.5,
MF0025,6814.59,424.73,356.97,7566.67,5192.88,394.57,1923.2,2542.23,3976.01,580.55,636.48,23303.59,1193.98,1278.47,594.43,744.53,952.28,1879.44,1184.27,9467.12,5161.5,541.67,727.55,3616.25,356.76,982.11,452.05,5418.41,725,1840.79,2231.66,7955.14,1868.03,903.1,3941.66,752.09,3445.6,6339.17,458.5,1621.27,1057.93,376.87,1539.36,700.67,118.27,940.3,1446.83,4641.71,1626.59,1021.07,223.36,1747.29,2464.23,5351.69,847.06,1522.23,1456.6,700.52,374.47,1223.56,3796.67,2045.76,897.31,1003.17,416.6,1358.83,845.83,826.4,703.24,1410.22,1705.78,1187.55,452.33,850.17,562.58,584.7,1530.42,1426,1003.73,3397.85,1275.13,3101.84,3425.43,3559.89,1123.23,4147.42,881.44,1189.38,459.17,
MF0069,168,0,1,1292.5,111.75,160.5,1,4,103.75,302.25,59.75,10396.25,850.25,1,21,142.5,103.25,1154,1.5,94.75,9,160.5,1.75,84.75,2,1.25,26.75,5378.75,0.5,2.25,1,1,0,3.5,591,20.75,22,6320.5,8.5,4,115.5,112.5,2.25,1,4,225,1,4509.75,271.75,37,82.25,934.25,4,5120.75,1.5,4.5,0,75.75,12,56.5,3769,1,241,165.5,0,22.5,2.5,28,0,561.75,36.75,2.25,28.5,32.5,170.75,0,2.25,0,0,73.75,1,0,122,243.75,0,4130.75,0,653.25,3.5,
MF0102,596,320,159,926,1073,461,776,552,916,436,660,3089,373,465,1048,436,967,683,713,547,1067,879,88,567,515,171,212,0,1094,213,787,1678,773,119,270,865,77,0,450,520,531,63,561,560,71,625,315,50,59,405,142,670,614,67,977,498,104,172,278,311,1921.7025,330,892,790,48,672,289,996,156,871,138,233,302,1358.75,910,344,245,407,104,810,410,67,2764,656,461,0,223,654,2801,
