#OTU ID,LYZdtt305,LYZdtt304,Itg.18.DTT492.S87,Vil1.07B.DTT81,Vil1.07B.DTT80,LYZdtt317,LYZdtt316,LYZdtt315,Lyz2.03B.DTT231.S71,Itg.10.DTT457.S51,Itg.20.DTT505.S100,Itg.08.DTT444.S37,Lyz2.05B.DTT255.S96,Itg.24.DTT527.S22,LYZdtt303,Itg.02.DTT408.S100,Vil1.04B.DTT45,Vil1.04B.DTT44,Vil1.04B.DTT43,Lyz2.03B.DTT232.S72,Itg.04.DTT421.S13,Itg.18.DTT491.S86,Lyz2.01B.DTT207.S47,Itg.10.DTT455.S49,Itg.08.DTT443.S36,Itg.10.DTT456.S50,Lyz2.08B.DTT291.S133,Lyz2.04B.DTT245.S86,Itg.06.DTT431.S24,Vil1.08B.DTT91,SLCdtt021,Vil1.08B.DTT92,SLCdtt020,Vil1.08B.DTT93,Itg.12.DTT469.S63,SLCdtt147,SLCdtt146,Lyz2.03B.DTT233.S73,SLCdtt145,Lyz2.01B.DTT208.S48,Vil1.01B.DTT09,Vil1.01B.DTT08,Itg.04.DTT420.S12,SLCdtt165,SLCdtt164,SLCdtt163,Itg.26.DTT540.S36,Vil1.013B.DTT152,Vil1.013B.DTT153,Vil1.013B.DTT151,SLCdtt051,SLCdtt050,Lyz2.06B.DTT268.S109,Lyz2.08B.DTT293.S135,Lyz2.02B.DTT219.S59,Itg.18.DTT493.S88,Lyz2.01B.DTT209.S49,Vil1.05B.DTT55,Vil1.05B.DTT56,Vil1.05B.DTT57,SLCdtt109,Itg.20.DTT504.S99,SLCdtt111,SLCdtt110,Itg.20.DTT503.S98,SLCdtt001,SLCdtt129,SLCdtt128,SLCdtt003,SLCdtt002,Itg.26.DTT541.S37,SLCdtt019,Lyz2.04B.DTT243.S84,Itg.16.DTT481.S76,Vil1.010B.DTT116,Vil1.010B.DTT115,Vil1.010B.DTT117,Itg.22.DTT516.S11,Vil1.02B.DTT21,Vil1.02B.DTT20,Vil1.02B.DTT19,Lyz2.07B.DTT279.S121,Vil1.09B.DTT103,Vil1.09B.DTT105,Vil1.09B.DTT104,Itg.06.DTT433.S26,Itg.12.DTT468.S62,Lyz2.08B.DTT292.S134,SLCdtt067,Itg.02.DTT409.S1,Lyz2.04B.DTT244.S85,Lyz2.07B.DTT280.S122,SLCdtt069,SLCdtt068,Lyz2.07B.DTT281.S123,SLCdtt075,SLCdtt074,Itg.22.DTT515.S10,Vil1.06B.DTT67,Vil1.06B.DTT69,Vil1.06B.DTT68,Itg.04.DTT419.S11,Itg.16.DTT479.S73,Lyz2.06B.DTT267.S108,Itg.16.DTT480.S75,Itg.12.DTT467.S61,Itg.06.DTT432.S25,SLCdtt092,Vil1.014B.DTT163,Vil1.014B.DTT165,Vil1.014B.DTT164,SLCdtt093,Lyz2.02B.DTT221.S61,Itg.26.DTT539.S35,Itg.02.DTT407.S99,Itg.08.DTT445.S38,Lyz2.05B.DTT257.S98,Vil1.03B.DTT32,Vil1.03B.DTT33,Itg.24.DTT529.S24,LYZdtt353,LYZdtt352,LYZdtt351,Lyz2.02B.DTT220.S60,LYZdtt365,LYZdtt364,LYZdtt363,LYZdtt329,LYZdtt328,LYZdtt327,Itg.22.DTT517.S12,Vil1.07B.DTT79,LYZdtt339,Lyz2.06B.DTT269.S111,Itg.24.DTT528.S23,Lyz2.05B.DTT256.S97,LYZdtt341,LYZdtt340,taxonomy
MF0026,11169.47,67758.595,14756.46,0,0,115282.945,32759.96,19465.655,6636.985,4036.465,8722.265,16359.445,4271.29,11371.455,317044.485,6437.745,12212.745,7542.395,4812.175,10871.18,9881.845,13960.055,8915.22,12561.55,4481.465,8085.035,5322.89,2817.72,4853.4,0,4002.235,0,5777.62,0,8771.75,16165.835,6117.745,3759.42,18867.565,15939.975,3003.755,2124.975,4717.525,21665.23,38450.995,34246.66,8727.11,5680.245,7687.15,9887.98,8250.705,10406.515,7916.88,11669.76,12210.555,14731.78,9962.89,0,3544.315,0,6696.415,9808.56,9490.49,10093.53,11844.305,1684.11,4527.325,12384.98,16450.89,13857.63,12318.33,1956.025,12759.57,12750.71,6907.015,2851.94,6246.1,6709.19,5045.54,2538.26,3078.07,6505.93,3793.005,3923.075,4406.48,6282.255,12510.73,5523.455,3994.7,9188.275,7221.065,3695.565,11822.855,5026.95,5360.92,4717.365,25719.15,11376.605,0,3950.795,0,6427.575,51217.15,11864.155,19535.63,12881.71,10550.385,10949.86,7454.89,7583.215,8187.71,15004.09,6408.265,5345.21,6669.585,6794.98,10753.685,8675.33,4266.005,10931.445,34626.335,19928.89,18593.18,11070.655,453211.66,46043.94,32325.595,40583.58,39526.32,13854.735,7776.91,2154.855,4654.235,4476.61,9017.255,12435.58,392464.675,31373.925,
MF0103,15721.325,13623.34,5994.775,516.705,276.16,13091.985,17571.715,25322.18,3142.24,2611.7,8991.59,15356.895,5830.39,7689.425,77938.42,5037.985,3912.915,6382.725,3762.355,10175.455,11943.12,14360.885,8157.975,9408.12,6520.79,3611.44,6678.455,2588.98,9500.04,227.115,2281.935,589.455,2684.255,871.5,6890.645,25057.35,4817.415,4185.86,12686.115,7270.1,4734.035,2380.965,3685.715,25772.515,9066.315,54393.99,4915.42,10645.765,19720.105,21679.16,9668.25,9124.31,3110.405,4311.325,11165.885,13133.33,6927.355,48.895,448.615,52.75,4336.75,7118.5,1988.395,3522.825,20415.635,2069.505,7386.825,9733.065,7474.185,13269.46,7765.41,2351.315,14602.265,11669.8,5430.785,1039.735,5713.7,3813.53,5286.585,3378.685,2854.075,7061.515,2209.495,1966.165,2037.83,9756.4,9707.465,2972.29,5216.35,7699.04,4642.645,4402.355,8533.275,4486.99,7226.2,2039.325,7452.36,17945.855,101.455,892.08,575.775,7769.855,12273.555,6158.25,12781.16,16766.765,13146.085,6258.215,8050.22,6185.71,4130.39,8853.78,5510.37,6351.16,5172.035,5875.015,9495.92,9462.57,5431.625,6847.895,8478.885,23001.625,19805.85,7477.505,20290.405,13129.58,24752.465,44645.365,25808.21,33775.685,6321.885,42.835,2975.95,2584.63,3830.325,10473.57,16154.07,6701.73,
MF0067,100645.14,173887.57,38334.69,5272.85,3878.07,313070.57,196544.98,73011.5,42516.87,21256.13,29711.89,47298.64,16999.59,32756.06,904125.47,23331.94,28719.47,20985.34,13738,41241.34,70163.59,44515.06,27282.07,54941.65,17474.18,30028.27,31291.62,10487.5,51316.82,6744.14,11812.65,8496.95,16734.56,8737.64,29676.25,64139.14,19069.14,14569.74,93046.2,40753.25,13610.39,7855.05,20714.3,80821.47,84088.94,127198.9,23887.12,20958.84,22513.36,42356.46,24244.28,27926.96,20640.96,38114.38,38876.86,41446.86,27525.63,6606.77,7783.46,3982.51,36386.08,28808.94,26916.96,28942.08,59057.78,6790.84,23094.43,27681.78,48229.96,39378.89,36017.06,11559.09,63044.81,44282.57,22374.58,7654.74,22614.57,17753.58,18751.66,9586.62,13241.16,21280.53,12373.88,13070.08,15338.99,57345.36,39080.41,18341.39,24663.17,38767.85,20796.77,11767.3,29910.08,14177,16195.86,17619.7,73836.37,45177.79,3916.91,9169.01,6752,23865.77,125873.42,34261.46,63816,52140.72,45377.22,36495.94,27022.58,26595.06,25001.8,45262.5,20567.33,21641.15,25855.09,22097.61,36060.07,24609.16,18130.22,34682.24,126743.5,137431.22,162370.64,32806.76,920810.89,107002.93,81275.16,124698.05,110278.62,68453.05,23130.77,4529.63,17881.25,15462.62,27197.6,35462.96,825838.17,74296.45,
MF0024,147,1379.75,16.75,4275.925,3287.035,123.25,178.75,1292.5,160.5,2904.465,4.75,13,302.25,59.75,10387.25,85.25,111,35.5,850.25,23.5,9451.47,24.25,142.5,142.5,1148,7170.035,160.5,0,26.75,5495.28,3909.985,5581.435,5696.995,5790.485,70.75,7.5,5395.87,3564.545,5.58,0,32,7.25,0,0.25,84.25,4097.25,8221.36,4939.62,6492.525,591,0,0,7829.88,84.75,20.75,7.25,7.5,6347.05,6216.065,3680.755,8.5,9.5,0,9640.28,207,112.5,3899.825,12201.855,7565.25,68.5,6,14.75,225,27.25,2219.75,4975.815,764.25,0,75.25,2279.51,2628.695,934.25,5120.75,3268.25,2216,10,11235.355,52.5,75.75,62.5,6868.94,3687.94,4,0,5336.795,6.5,31.25,56.5,3814.495,7313.67,5420.585,241,259.75,11612.78,57.5,125.75,10423.01,0,555.75,6550.09,7689.46,13496.465,6384.015,28.5,170.75,6.75,10283.31,31.5,64.5,0,87.25,87.5,73.75,5.75,147,230,122,166.5,180.25,243.75,7044.91,4180.355,653.25,4281.61,10.25,12173.455,154.5,102,
MF0068,91174.39,146736.94,32149.69,5079.86,3802.24,293882.82,161473.15,53835.87,34997.2,18668.29,26036.88,37966.55,14811.02,27855.89,434128.46,19633.72,26898.31,17701.77,12076.42,36569.06,63411.78,36616.43,23443.44,48142.85,15466.31,25927.44,29199.53,8883.16,48563,7563.3,9883.47,7865.95,13421.2,8270.14,24847.77,50669.12,14810.37,12766.72,89132.43,35032.15,11747.01,6489.53,17246.55,68149.47,76374.02,102435.57,21002.57,10556.69,14985.86,17337.63,17800.26,23112.43,17220.99,36056.94,32902.77,33201.79,23953.64,6744.03,7558.29,4001,31179.91,24004.76,22800.79,22701.63,49183.78,5506.92,19435.68,24261.05,39923.08,33233.56,31303.72,10951,55102.64,35092.77,19581.71,7650.54,19186.35,15203.75,17008.64,8030.14,11672.65,18368.04,11281.66,11755.76,13889.11,53386.37,32490.53,16709.54,21135.42,31751.06,18544.43,9997.21,25441.18,11979.49,13263.29,15547.4,60993.12,39710.95,3924.91,8737.36,6494.92,20117.06,119569.53,28124.44,49236.72,43954.6,38271.38,30924.79,20708.99,22605.95,21258.93,37558.33,17632.19,17651.12,21558.44,18638.28,31281.19,21111.84,15318.31,30049.05,121202.97,123973.36,152244.17,29295.89,908803.46,90276.86,66566.9,102804.24,94665.43,62884.73,19182.91,4449.88,16267.3,13696.35,22857.51,29462.42,817506.92,67970.43,
MF0101,1078.2,5825.15,1858.65,3974,3039,2581.85,2750.35,3675.5,742.9,383.2,941.75,1418,859.05,824.15,21022.25,681.85,1404.4,919.5,1400.65,790.5,1308.8,1450.6,756.7,1322.45,2060.6,653.2,1165,256.8,573.55,5388.75,1144.4,3980.5,1153.2,4589.25,1172.2,3593.85,434.45,529.45,1179.5,492.6,669.2,344.65,362,1029.05,1158.45,10241.8,881.5,4604.3,6424.4,8162,1202,707.4,451.6,616.55,1388.75,2202.25,595.3,6320.5,5448.5,3601,1062.5,1088.5,961.2,731.7,1209.1,535.7,607.2,773.6,1013.5,1084.8,1163.4,513.6,1442.8,1480.05,3776.15,4710.55,2525.85,400.2,566.65,245.3,352.85,1842.45,5548.35,3892.05,2815.6,767.8,1709.6,435.7,719.35,1193.7,440.95,501.75,4258.4,644.4,714.55,333.7,815.45,959.9,3769,6884.5,4970.75,1220.8,1536,892.5,2545,1684.4,1094.45,411,2140.55,1328.65,1613.9,4234.2,539.7,611.5,1234.75,849.15,1159.85,1238.5,646.9,1040.2,893.85,1487.9,1544.35,643.55,4671.2,2480,2869.6,5512.5,5790.45,1855.55,706,4130.75,1209.05,534.2,685.05,1541.15,1876.9,2478.4,
MF0021,11563.395,75360.86,17069.615,4289.765,3272.245,21730.615,36225.085,30662.685,7613.945,3831.31,11064.025,15560.72,4106.69,12077.185,1054404.665,6688.975,5362.555,6835.415,5835.545,13186.225,13932.61,8719.39,11669.325,12763.74,6230.355,9891.46,5442.495,3058.55,3083.295,5459.235,3826.32,5690.62,6452.075,5956.39,8340.765,17036.055,5933.785,4209.975,18008.88,21714.6,2802.445,2315.135,6329.72,18694.77,36594.17,37196.47,9389.145,9126.315,10172.565,21693.89,11243.33,15682.725,10185.49,8109.975,15985.725,10419.465,13845.22,6360.93,6439.21,3697.255,6814.54,16177.84,12398.535,12593.03,9744.765,1644.845,4861.45,16692.645,21026.955,16081.715,8737.625,1328.565,13933.56,11934.335,8537.34,4901.005,7993.715,7477.685,4831.73,2570.635,1155.78,8325.115,5959.155,5482.345,6103.08,5428.495,13399.905,5182.95,3983.17,7188.345,9229.36,5179.29,13600.605,6076.49,7531.87,5614.615,30271.235,5959.07,3817.07,7300.135,5594.845,9471,6960.51,14547.935,20324.98,9494.48,14597.99,15678.805,11887.815,7763.28,9375.355,27296.115,7741.74,4248.795,7159.17,5884.405,11680.45,9883,4051.4,11613.115,15057.7,18085.675,15349.93,17074.965,30266.5,52274.375,31291.145,27787.175,42466.895,6145.895,7560.985,4489.915,4556.67,5577.845,10288.515,14001.52,17406.255,32963.485,
MF0065,73578,132479.195,23964.94,6414.475,4888.365,249922.885,117459,38948.295,25870.7,13832.185,15473.445,21717.425,7949.65,18587.33,608823.875,10765.445,23008.415,9830.195,7701.645,20261.735,42811.565,18486.215,14518.135,32358.89,8284.845,14492.72,18982.165,4919.5,37956,8622.99,6790.69,8197.825,9949.7,8722.515,13501.76,30636.175,9002.745,7089.32,56881.54,26242.125,6359.515,3512.225,9219.025,36220.82,61297.41,52841.49,14230.32,9164.565,10563.17,14588.805,14178.67,18452.29,13397.865,28025.54,21624.27,18405.465,16518.64,9596.715,9315.38,5544.01,21410.125,17240.74,17408.495,17827.91,34768.715,3637.225,13067.685,20684.7,22388.02,24549.18,22798.195,7286.595,36276.065,21293.32,13963.46,7840.65,12720.385,11197.925,9965.685,4481.11,10165.13,11295.97,10361.57,9443.475,10412.325,40939,18909.78,11842.535,15713.675,16719.025,12484.395,7084.79,20092.995,8499.655,10263.83,8657.865,38004.945,25862.99,5714.445,10965.84,8183.26,10916.57,93614.08,20791.08,35834.49,24194.575,21051.985,19185.045,11146.625,11687.62,14141.02,27871.245,10356.595,9370.52,11630.92,9904.765,18270.44,15034.25,7705.195,18890.08,63363.28,89150.575,117423,19558.115,901940.58,68524.66,48291.66,76679.285,63606.145,31367.28,12746.575,6357.165,11049.985,8124.85,16865.95,19653.93,790049.81,48055.105,
MF0022,9245.48,60730.86,11654.36,4248.35,3288.66,21399.39,23799.84,26444.64,5345.07,2608.89,10301.6,13764.21,4136.52,13637.35,548275.53,5977.64,9047.34,5594.95,4323.79,12988.02,9067.48,10372.85,13023.91,9496.49,4995.31,6952.96,5713.7,2868.96,5213.5,5495.57,3713.99,5711.53,6372.78,5783.56,7560.14,21770.9,7803.7,3993.14,14192.72,23012.1,3548.07,2631.05,4588.05,24281.15,45791.96,35646.01,9498.72,6951.69,7584.44,16862.64,10541.33,13638.05,8574.82,12395.41,15814.93,10357.72,14131.05,6334.93,6282.71,3679.51,4555.83,12163.96,7224.79,10752.28,13767.85,1495.1,5571.28,18205.69,23117.04,17597.13,14017.33,1655.19,13877.68,11979.87,8122.79,4886.09,6312.59,8435.77,6592.19,3320.97,1600.69,7246.4,6092.9,5030.93,5087.62,6324.03,12679.95,7459.53,3597.38,7175.35,8599.36,5378.37,9765.48,5736.41,7877.37,3743.95,24105.44,9776.2,3769.57,7263.76,5447.93,6138.75,7849.71,13886.15,19408.02,11640.27,11961.57,9620.89,9186.48,6330.29,7643.85,11423.74,8665.15,4949.34,5946.18,4786.15,10442.36,9938.84,3708.19,9926.12,7511.08,14002.21,13491.34,14908.92,14466.04,46499.29,31093.6,52056.01,44577.68,15009.89,9233.98,4302.62,4212.67,4390.68,7201.89,12453.85,46795.25,28747.36,
MF0066,45572.64,65639.725,11215.22,4544.425,3421.495,139076.09,79166.74,41158.595,17080.8,12943.13,12080.625,17228.025,4868.14,11980.865,601709.19,9132.695,12328.95,8125.135,5833.585,18134.245,45424.14,17538.965,11498.805,26475.215,9107.35,15198.96,15172.45,4633.34,25084.08,6037.11,4189.34,5667.495,6926.83,6218.015,12054.76,21502.225,7173.81,6028.475,44388.685,24633,6282.295,3443.835,9203.55,34011.945,33640.18,53721.005,8371.71,7323.72,9444.345,15456.15,8179.33,10510.65,6464.995,18384.17,14485.135,13020.27,10462.945,6455.18,6397.96,3775.505,17061.665,9844.47,10810.34,9049.855,27215.425,3119.555,14025.83,13050.84,19847.585,14433.115,14026.86,5780.64,28522.915,15520.885,7881.98,5940.585,6045.63,8501.5,8858.78,4369.235,6193.05,8850.935,6940.66,6007.675,5413.35,27675.97,17477.67,8545.995,11329.52,16691.775,8205.86,4085.895,5632.88,5415.51,4360.56,7224.34,28101.41,23824.27,3784.695,7751.51,5661.345,11138.445,22112.265,11069.965,19126.23,24218.51,19780.19,17295.39,13504.83,10513.685,8809.76,18177.83,8602.595,8782.145,10069.545,9114.515,11921.47,7481.5,7677.26,15025.17,36724.025,59952.33,76569.555,12687.445,12742.06,33169.18,22482.905,35232.115,33072.51,33983.655,7970.625,4439.04,8430.365,6003.675,7802.925,10124.465,401524.86,23657.09,
MF0018,82160.47,54219.79,13994.87,4785.93,3538.58,89111.82,128628.14,44712.77,27799.78,15736.63,13249.9,26565.73,12477.28,12758.82,509504.72,11617.56,8570.55,10991.53,8396.1,20803.72,52382.14,38126.18,10302.02,39122.69,12750.39,16098.61,23542.62,5137.34,47974.09,6569.23,6104.13,5149.96,6424.54,6258.47,17560.94,35527.68,7597.12,7453.81,71968.15,7253.65,8821.85,3624.62,11511.89,50371.37,19806.86,80059.65,7863.77,8486.44,11885.36,18021.96,6201.35,6090.38,5304.41,16324.28,15281.77,32471.11,7569.14,6572.6,6159.29,3860,26343.5,8412.87,8495.11,8855.8,41835.78,4233.91,15236.85,6293.62,32372,12538.23,14026.22,10632.32,41067.4,29630.95,14310.14,7477.75,14328.26,5295.75,10870.45,5308.55,10909.74,12884.05,12133.83,10740.09,11226.37,50175.46,19856.36,8301.46,17737.33,22366.04,6876.61,5272.63,6613.1,4143.22,6757.04,8923.65,24801.13,36250.52,3843.74,8092.43,5569.09,15408.72,37614.71,11986.67,34351.47,38012.44,26577.81,15038.79,18437.91,18448.35,13236.44,14608.92,7463.03,14064.78,14712.33,14988.21,18241.29,8766.66,12426.48,15147.46,63763.3,106151.12,143070.1,10292.31,15682.38,14565.61,25359.91,57454.82,38169.94,69877.07,9074.59,4438.21,12140.31,7069.51,8990.69,12214.44,68990.68,21698.76,
MF0019,4066.81,25249.18,1064.47,3978.04,3023.5,2875.74,3630.41,24502.42,831.55,335.98,489.33,1342.42,1133.27,922.42,466662.87,823.58,524.38,601.13,1236.76,1773.79,1362.66,1004.2,2168.52,1292.03,3607.33,788.69,1130.54,388.6,557.97,5406.71,513.8,4053.62,734.4,4627.42,772.98,3079.03,460.65,687.23,5715.87,3448.2,546.27,413.76,600.14,2818.85,3169.94,18618.73,1135.21,7361.77,10804.34,14975.92,1732,1799.8,1443.37,1234.39,2263.04,1147.12,2686.1,6334.43,5448.37,3610,1015,633.92,668.4,1149.4,1016.7,751.82,792.4,1658.2,1448.62,2157.1,958.09,384.45,2432.27,1469.1,3084.26,4689.72,1758.66,403.11,487.92,284.1,2924.74,3073.53,5547.12,3639.47,2669.78,735.62,1090.49,845.65,825.03,809.82,1142.15,734.62,1208.55,703.8,803.06,583.15,3192.4,1301.61,3806.82,6866.68,5010.68,2029.43,1457.42,2057.92,1727.08,1418.42,2248.16,1802.42,4674.64,1475.42,1247.42,2130.53,1189.77,656.5,1541.25,573.84,1824.03,1034.5,521.61,984.4,2718.24,4922.22,3676.1,2275.22,7424.94,5696.37,3492.78,5362.93,5748.77,2624.23,542.57,4295.62,3313.09,937.82,898.64,2276.68,2258.26,2312.92,
MF0030,989.5,3569,2019,51.5,27.5,1765,2469.5,1314,659.5,254.5,1141,1053,483,702,11355,418.5,959,600.5,304.5,1022,898,990.5,1207,837.5,350,636,524.5,323,189.5,8,588,125.5,570,167.5,830.5,733,359,346.5,1763,2077,404.5,272,384.5,1684,1985,1323.5,732,0,0,66,633,875,855,674,1663,1426,1585,0,91.5,11.5,362,871.5,1016,402,480.5,103,172,830,1376,824,569.5,97,1232,902,550.5,20.5,570.5,515.5,353.5,127.5,99,840,67,215.5,227.5,371.5,1306.5,477,223,702.5,1047,267.5,3447.5,523,329,593,2391,243.5,0,94.5,63.5,748,636,1190.75,1722,895.5,763,430,532,516.5,876,2977.5,1016,255,805.5,926,899.5,765.5,309.5,642,3154,1083,1038.75,1709,5554,5685.75,2244.5,4585.5,4890.5,492.5,493.5,0,467,675,700,1378.5,3849,5922,
MF0074,93243.26,207711.33,48329.83,17147.78,13010.91,286324.3,167872.82,76548.45,35114.9,17070.92,30648.47,45508.11,17662.24,35866.81,1146476.09,21864.6,29467.29,20757,17975.36,47008.45,69834.67,44060.84,40522.86,45817.28,19128.2,30200.13,27742.33,10106.64,49143.87,22829.3,14630.48,21441.99,20040.88,22980.86,27955.33,63001.34,19264.12,15295.25,98944.59,66279.52,13941.27,9236.54,22200.94,75561.4,103102.3,107696.81,28866.96,16191.33,18304.4,27588.77,26383.91,35861.63,25317.96,39812.57,52121.95,46814.59,45330.06,25585.03,24578.67,14846.01,27924.49,34421.85,31606.53,33480.28,42518.42,5352.41,19472.03,38490.86,40355.66,47441.96,33919.6,11607.19,56597.23,52081.71,29518.28,20693.04,25509,21464.59,18176.39,8932.89,12606.3,26338.2,27728.8,23449.55,23502.81,56454.45,39808.12,20077.95,20878.83,31104.49,27897.93,13805.83,34555.57,15594.49,18644.94,19912.2,92962.52,29553.4,15261.31,29621.02,22103.85,25146.95,116147.1,39669.28,75916.37,42275.23,48310.45,46082.95,26113.83,27699.4,27233.89,53924.78,29097.28,17132.67,24509.34,20895.83,45224.39,31433.83,15166.49,38475.95,141450.71,146133.7,177275.26,51773.05,943576.97,177440.08,108148.61,141762.68,156799.92,68465.99,24337.47,16990.25,22032.29,17541.99,31491.4,49947.89,844207.36,102385.32,
MF0031,5855.48,11412.7,1417.37,11857.18,9137.33,4935.87,6490.33,19490.31,1432.57,876.73,1917.95,5646.23,2863.19,1728.02,59095.88,1582.81,1516.5,2207.63,3748.3,3285.68,4108.99,5091.18,2722.57,3610.99,5357.15,1085.46,2609.71,823.64,3572.34,16223.23,821.48,11654.71,860.29,13358.72,2108.64,7656.38,1055.87,1490.81,4733.04,1053.1,1491.4,564.22,1235.39,9667.47,2938.96,14306.35,1224.57,6147.69,9145.11,9566.8,2690,1648.73,748.66,1626.39,3060.77,4404.71,1561.39,18989.6,16134.54,10782,1564.5,1146.97,510.11,837.45,7088.18,1075.26,2274.95,1437.02,1768.7,1452.13,2606.17,951.02,5496.19,3842.05,8333.64,13923.75,4125.26,639.1,1161.85,971.3,6550.04,4801.25,16164.58,10504.09,7363.12,3465.71,2682.61,1023.87,1938.88,2831.84,914.86,923.88,1764.65,1056.07,1883.04,715.95,2637.78,6910.02,11335.24,20415.93,14787.09,3127.92,4734.06,1795.97,4037.36,5868.44,3643.91,406.89,4325.15,3142.1,3526.69,1036.07,1682.83,2233.33,2180.33,2160.16,2079.54,1593.16,1693.03,2496.61,2737.9,7870.56,6841.35,1424.76,6217.88,3791.96,8797.61,15942.01,8095.69,13494.07,1624.99,12409.21,5681.67,827.01,1319.39,1332.19,6102.97,1944.36,
MF0075,7547.15,68986.7,7635.04,4238.18,3199,29744.53,15482.83,15104.8,2916.06,2095.06,6455.11,8956.39,3367.53,4194.69,131501.88,2976.31,5055.51,4644.96,3152.97,4992.52,6896.16,8638.85,3709.24,6742.16,3381.15,3368.63,5199.2,1229.8,4356.84,5439.57,2898.65,4502.04,3252.95,5279.89,5428.81,9699.71,2089.2,2609.31,11809.7,2905.6,3067.74,1591.72,2158.39,12327.8,8177.13,31268.01,3858.57,3799.69,6123.94,7380.3,4243.5,2979.4,2379.49,3234.57,5661.93,10786.04,3236.55,6328.43,5765.04,3640.5,3014,4723.64,3700.45,2276.95,9271.85,1081.09,2801.95,3026.35,18050.54,3601.3,5497.83,1156.35,7389.35,7347.05,6508.47,4916.59,5590.42,2214.27,2295.69,1440.3,4173.53,3892.91,6063.24,5189.59,4520.46,5019.37,7696.78,2176.04,1898.21,5397.84,2025.2,2037.04,12370.15,2195.4,3189.87,2340.95,6408.95,7858.36,3769.57,7282.43,5174.43,4228.41,89348.39,4208.64,10824.02,9453.94,6573.91,1874.39,4158.14,4327.94,5164.69,12930.91,2661.99,3177.5,3894.5,4879.33,5053.21,4519,2828.36,4975.95,47815.24,11173.38,10145.85,3159.09,885193.38,14480.79,17732.78,30652.34,25414.02,15141.23,3586.82,4131.04,4749.18,2334.34,3532.73,5732.86,31358.63,10992.19,
MF0072,72334.84,36828.42,4340.75,4392.75,3330.5,79619.42,116918.58,29866.75,22026.33,9229,9205.75,6914.5,2742,5813.25,250967.59,5208.75,3523.33,4234.25,3974,14091.92,42581.25,8329.25,5887.08,19402,6528.59,9009,15577.25,3131,37423.25,6450.33,1210.83,4785.75,1764.42,5456,5823.75,12644.42,1690.25,5014.25,39694.33,4695,5884.58,2390.25,8101,20579.83,11531.83,43539.17,3264.5,3910,3818.17,5935.16,3399.67,5490.33,3309.75,11722.5,8419.5,4809.75,4198.5,6541.67,5993.83,3779,9666.75,5518.75,2291.33,1709.67,26285.5,2193.67,11306.33,3084.42,17217.58,7433.33,5206.75,5652.33,27335.33,8517.75,5219,5568.58,3500.67,2760,5431.33,2337.5,6762.92,5745.67,6462.67,5032.33,3941.58,40505,6179.25,5744.92,13273.17,10013.5,4360.75,2839.42,8434.17,2174,2542.42,6195.92,13786.75,15074.58,3803.92,7646.92,5463.58,7457.42,13712.25,5401.25,8434.25,12241.5,17806.25,10026.67,7949.41,5588.58,3984.08,9628.08,5021.5,3756.58,5186.42,4790.75,5925.25,4063.5,6416.92,6927,52244.83,86882.5,115785.58,8021,7082.17,16849.75,6153.17,9057.5,11025.58,26458.42,4061,4350.67,7583.17,4273,4683.5,3960.75,34863.58,12127.5,
MF0073,17077.05,120646.86,25456.69,4628.35,3511.24,213462.07,39802.65,44110.2,8990.04,6170.96,15286.89,25420.55,11768.27,20183.48,404428.21,12879.39,22090.98,11506.02,8279.67,17714.72,21271.96,21086.68,13401.44,18732.77,7836.97,14312.94,11032.37,4918.5,9458,5613.48,7952.47,7264.2,11608.37,7267.89,14978.77,37692.37,10238.62,6967.64,36019.42,26944.15,5558.68,4206.95,9556.05,46193.72,66634.19,52730.4,16084.92,7857.44,8716.36,11641.47,17894.68,23126.03,15709.49,23600.85,21037.77,24315.29,15297.14,6399.6,6961.46,3758.01,13471.08,17261.69,18793.45,19524.13,16247.78,2354.42,6808.68,22053.96,15319,25517.06,23409.22,3792.91,19645.98,25067.52,14868.96,5903.75,14936.43,12336.25,8834.95,4668.22,5895.4,12926.04,9576.74,9635.18,11615.03,12083.87,21306.03,10689.7,6419.5,18455.05,13847.77,7173.96,27785.68,10300.73,10701.54,8762.9,44424.37,17133.36,3870.49,7947.51,5992.09,11800.06,97144.03,24568.93,38791.47,21278.02,20277.47,20109.79,11886.58,14719.7,15825.85,29618.75,9453.69,10933.12,14441.51,10965.03,25485.94,18329.5,8085.31,22045.13,68301.39,36180.45,34037.34,17506.14,905598.29,73606.11,56306.73,82165.24,67689.6,34780.73,14471.75,4238.96,8906.8,9900.35,18062.85,27518.43,782338.34,57590.93,
