#OTU ID,LYZdtt307,Lyz2.01B.FP211.S59,Vil1.07B.DTT83,LYZFP331,LYZdtt319,Itg.10.FP459.S61,LYZFP319,Vil1.02B.FP23,Itg.04.FP423.S23,LYZFP307,Itg.22.FP519.S22,Vil1.03B.DTT35,Lyz2.02B.FP223.S71,Itg.26.DTT543.S39,LYZFP355,Vil1.05B.FP59,Lyz2.02B.DTT223.S63,Itg.20.DTT507.S2,LYZFP343,Itg.22.DTT519.S14,Vil1.09B.FP104,Vil1.08B.DTT95,Itg.18.FP495.S98,SLCdtt149,Vil1.04B.FP47,Lyz2.08B.DTT295.S137,Lyz2.03B.FP235.S83,SLCdtt167,Vil1.013B.DTT155,Lyz2.06B.DTT271.S113,SLCdtt053,Itg.10.DTT459.S53,Vil1.04B.DTT47,Vil1.13B.FP152,Itg.06.FP435.S36,SLCdtt113,Lyz2.07B.FP283.S81,SLCdtt005,Lyz2.07B.DTT283.S125,Vil1.01B.FP11,Lyz2.05B.FP259.S56,Lyz2.01B.DTT211.S51,SLCFP149,Itg.12.FP471.S73,Lyz2.06B.FP271.S69,Lyz2.05B.DTT259.S100,Vil1.010B.DTT119,SLCFP023,Lyz2.04B.FP247.S44,SLCFP053,Vil1.05B.DTT59,Itg.02.FP411.S11,Vil1.06B.FP71,Vil1.03B.FP35,Itg.18.DTT495.S90,Itg.20.FP507.S10,Itg.08.DTT447.S40,Itg.24.DTT531.S26,SLCFP167,Vil1.09B.DTT107,Lyz2.03B.DTT235.S75,SLCFP113,SLCdtt077,Vil1.14B.FP164,Lyz2.08B.FP295.S93,SLCFP005,SLCFP131,Vil1.01B.DTT11,Itg.24.FP531.S34,Vil1.014B.DTT167,SLCdtt095,Vil1.10B.FP116,Itg.08.FP447.S48,Vil1.06B.DTT71,Itg.02.DTT411.S3,Itg.06.DTT435.S28,Itg.16.FP483.S86,Itg.04.DTT423.S15,SLCFP077,SLCFP071,LYZdtt355,Vil1.07B.FP83,Vil1.02B.DTT23,LYZdtt367,Lyz2.04B.DTT247.S88,Itg.26.FP543.S47,SLCFP095,LYZdtt331,Itg.12.DTT471.S65,Vil1.08B.FP92,LYZdtt343,taxonomy
MF0063,7534.76,4141.58,1834.75,3358.22,1194.21,6296.07,7385.17,11835.33,1963.5,12189,4201.435,1300.73,6230.705,4112.97,9218.49,9355.4,1117.2,3076.76,5021.2,1296.22,12957.13,4494.12,6527.85,20343.71,4843.42,1053.35,4044.59,11753.78,1734.93,3733.32,3657.2,1346.04,1892.25,34272.4,11558.67,1687.91,1104.25,1708.17,2333.06,5497.17,2748.25,6346.28,7926.5,10060.415,2583,6065.09,6419.23,3946.08,386.36,6723.295,2210.25,6516.785,8283.85,8855.72,4363.84,5685.16,7439.79,730.3,13636.56,5504.03,1154.22,1789.125,1785.66,11740.29,1343,1696.58,8758.33,1430.55,628.75,962.28,329.025,16607.8,5170.46,3164,812.62,5170.83,11628.16,4079.81,1163.25,5238.59,2756.28,13653.73,3992.93,11707.4,2649.24,7781.55,683.08,9103.67,1618.04,27824.26,2309.51,
MF0020,140030.08,183940.5,2326,70108.03,39169.73,152090.65,202241.475,59637.7,300771.925,78998.625,172453.3,7878.625,170756.075,19893.15,33875.05,145187.47,55316.1,27855.975,121804.955,53572.725,23427,5604.25,127129.25,217627.945,61656.975,9658,169954.6,185645.625,45045.2,22198.55,39008.85,66263.325,8634.725,90701.775,72587.125,28486.4,26010.125,31868.2,4777.23,68611.5,7961,36187.15,49304.2,73748.1,30039.625,8432.875,18165.225,7780.45,39042.025,48757.7,3116.275,203648.3,43787.98,109036.55,34696.725,100701.7,41466.92,65595.4,55273.85,11173.9,63435.955,6728.2,66832.125,45669.175,33485.25,104416.325,42683.9,34748.175,164442,26839.175,52836.2,25562.075,67188.8,3329,60871.275,83274.175,40715.5,157100.7,46193.1,59868.55,69158.145,35629.5,23153.85,25669.53,47448.95,67410.45,170318.85,14750.625,28434.9,44358.7,31592.425,
MF0061,100467.43,128059.16,2184.5,144471.86,27453.57,83987.48,145455.49,46316.17,187368.25,68388.26,99625.73,6814.84,123110.41,45474.78,49962.76,108105.84,38406.29,20596.63,119664.58,30691.27,44816.76,5281.87,87260.37,151107.55,64418.68,7069.18,106499.09,129243.93,26559.86,16586.92,26096.63,33674.16,6907.83,53943.18,61249.84,11845.33,24242.25,15081,5002.7,62035.83,12439.08,27426.68,58679.74,58703.33,23798.51,15655.43,14178.69,13641.33,19699.51,35310.58,2848.9,146201.95,58528.67,79437.53,29639.76,86037.37,30624.79,34146.51,53293.54,9948.65,41072.31,4649.5,44966.01,50619.31,27576.62,45984.83,33257.25,24214.79,87078.25,18352.83,32592.67,41525.24,47364.17,3280.5,37746.2,60152.67,62131.49,107544.49,29262.75,37884.34,49692.8,44502.62,16995.63,27216.47,31747.74,49031.96,96644.5,32533.33,14944.07,63124.94,19279.54,
MF0062,9388.833333,416,0,89.66666667,4654.333333,8801.166667,41533.83333,3060.166667,6312.833333,6753.833333,9328,0,369,1501.333333,0,3499,18.66666667,826.5,219.5,2725,117.3333333,0,0,395.8333333,1371.833333,35.16666667,5655.166667,6805.5,0,1405.333333,1165.333333,2222.5,193.8333333,67.83333333,1597.166667,896.8333333,114.3333333,1671,32.83333333,256.6666667,1379.833333,99.33333333,211.3333333,3688.666667,2305.166667,1221.333333,0,406.3333333,4040.166667,1884.5,0,12900.66667,249.5,9086.666667,2672.333333,3688.5,2329.5,9282.666667,5371.666667,0,1529.333333,166,399.3333333,1172.666667,124,2877.833333,552,68.33333333,18026.16667,3969.333333,0,809.3333333,4211.5,0,3440.833333,863.1666667,568.3333333,3397.166667,248.8333333,1655.5,72.83333333,0,773,81.33333333,2731.666667,3518.333333,6961.166667,99.83333333,1293.333333,215.6666667,12.33333333,
MF0060,64293,118336,1811,7448,15929,18547.32,89754.67,11599.67,112392,28899,21206,3365,110128,4302.34,22235,78990,36303,9795,79764,9472,5078.57,4449.5,10945.5,83524,10316,5753,89817,97920,6626,5872,7844,17042,2220,9518,35032,2641.83,11454,3964.75,1813,35978,3423.08,20647,12395,9362,8551.25,3092.08,7848.75,1345.83,10299,5991.33,2277.25,27320.83,11673.15,43022,7919.5,20874.5,8808,19661.84,11854.5,5364.08,36064,1561,41558,9591.1,18669,6143.58,8481,21476,37240.5,9534.5,16810,5943,9467.67,3140,13104,48592,7566.08,67795,26106,14217,43145,17473,6637,12837,18547,10746.65,24298,3621,5477,15561.66,11226,
MF0027,19,39,0,0,0,152,0,0,0,211,0,0,266,0,0,124,26,0,16,0,0,0,0,73,270,13,137,14,0,5,29,17,13,143,13,7,0,3,0,13,21,0,106,172,0,0,0,5,9,2,0,0,460,66,0,0,46,0,6,0,49,23,23,112,0,0,78,0,0,0,0,0,118,0,0,0,236,0,21,165,4,202,0,431,0,13,2,0,26,51,3,
MF0028,11875.5,4916.66,1816.75,14478.75,1570.18,6719.22,10585.97,14359.53,2157.8,20705.09,5041.1,932.1,6748.7,20899.45,21569.25,11166.77,9826.02,4726.84,27335.5,3043.77,16454.21,4413,9536.25,26441.74,11828.25,2176.03,9596.6,20561.76,2081.69,4917.44,14447.29,2911.38,3191.26,59855.63,11765.34,2771.73,7096.75,1161.5,2194.94,15872.41,3633.5,4697.93,21591.84,9871.5,7342.5,7522.03,6015.25,4198,938.33,8272.33,2175.75,15808.54,31048.65,2696.69,5892.92,34820,9390.42,1267.17,17285.31,5080,6972.14,2005,4653.09,14021.29,5557.33,1503.03,9529.23,4491.71,1928,1279.25,196.75,20498.47,6049.75,3141.5,3306.64,8330.83,23234.33,5099.15,2434.1,6157.63,9624.96,14596.16,5206.31,37148.86,5270,10375.02,814.5,15060.97,4719.4,40040.66,16368.23,
MF0025,837.95,65.33,1810,153.4,161.12,189.16,175.18,125.33,6.25,493.5,16.33,289.02,290,583,64.48,384.45,75.42,505.28,280.43,90.79,2653.41,4415.33,3.33,354.48,760.42,95.17,161.75,1075.35,969.07,393.62,155.82,100.47,474.58,20830.47,62,62.33,32.25,86.92,737.78,87.17,45.75,2784.92,1650.41,216.33,48.16,124,5914.7,64.5,27.5,314.53,2175,41.33,1861.23,319.75,345.78,84.83,579,283.4,155.03,4902.55,117.75,50,170.06,1466.77,67,52.33,103.33,170.25,5,317.68,0.93,3648.65,135,3140,27.33,652.92,320.41,668.41,29,958.33,268.07,374.5,590.7,924.52,600.05,399.47,14.33,521.83,97.38,2210.9,154.59,
MF0069,195.25,4,1810,750,87.25,2.5,57.25,5,3.25,86.5,1,211.75,1,352,201.75,4201.75,23.75,64.75,1603.5,34.25,2.25,4408,1,0.25,2.75,26,1.75,0.25,483,63.25,3.75,21.5,402.25,61.5,1,9,2.25,40.25,409.25,4.5,0.75,2603.25,5.25,0,5.5,32,5852.5,1,1.5,0,2175,0,128,377.25,106.25,2.5,101.5,152,1352,4863.25,38.75,0,13,2,8,52,1,121.75,4,186.75,0,4.25,0,3140,12,62.75,2.25,69,1,0,62,4,165.5,44.75,69.25,4.5,1,106.5,13.25,0,54.25,
MF0102,835,348,17,1121,296.25,727,3329.25,2366.5,197,6305,2051,139,482.5,641.025,345,1778,143,565.92,1403,372,870,23,1107,7519,3996,161.75,1812,760,36,818,1674,210,218,184,2156,212,766,141,227,4551,947,921,7939.75,1410,2584,1536,146,722,271,1164,0,3052,4443,494,1332,5573,962,187,4459.75,106,127,307,76,834,1332,387,1969,247,436,207,29,1454,998,1581,435,655,5336.25,746.075,437,718,256,3604,447,2658.5,441,983,42,2558,305,1007,427,
MF0026,18552.33,4368.745,0,9356.13,5765.985,31281.82,49236.135,17211.125,35587,20862.63,38320.28,1596.105,5416.455,13403.89,13715.655,14128.205,4959.01,5284.43,17052.155,11021.26,13200.96,0,35771.6,34514.425,23125.915,1121.015,10565.3,18293.315,11133.665,5265.995,13794.645,8707.19,2530.58,44405.94,11781.045,5411.205,5542.5,6431.835,1690.13,11500.915,4427.29,4107.55,18280.06,21864.08,9170.96,6070.215,4647.795,4666.54,4653.505,14289.905,1113.125,50494.77,23635.565,18739.015,12279.745,28155.975,11093.23,14961.53,22262.635,3278.5,5040.07,2276.625,2974.545,19023.59,3824.06,21823.58,13196.29,2410.855,37479.625,7709.93,7848.975,14135.395,16155.085,0,12447.82,6267.545,24552.075,17732.275,2179.55,12054.835,4971.105,0,5015.39,18646.805,6555.17,18292.115,35774.04,7968.08,5905.7,27538.62,8234.74,
MF0103,12668.28,5559.785,11.875,4911.055,1813.46,7938.945,10832.065,17578.66,4799.375,18255.495,5240.33,1477.27,8065,4836.91,10926.015,7483.075,12017.455,5604.95,8473.27,3298.835,17985.48,60.11,2109.775,28999.8,8443.05,2559.545,11060.875,24385.43,3339.4,4988.29,16100.875,3053.935,2303.535,121764.97,13830.125,3229.16,4873.5,1388.34,3506.85,11960.71,3436.875,5478.295,13512.605,7879.16,2792.525,7593.33,589.985,2636.875,941.33,11771.735,0,16990.9,12192.845,3975.035,4717.69,26430.275,9943.01,1226.15,15259.6,590.47,8794.295,1697.5,5592.595,14953.7,1802.99,1979.535,15118.035,5301.49,1864.375,1351.885,156.51,22746.275,2682.375,0,3673.025,10825.42,15906.57,9361.92,2511.125,10072.45,9147.25,10520.135,6941.19,43310.325,5240.095,10690.605,137.2,15461.08,5579.255,20280.81,2876.19,
