#OTU ID,TL1a_FP_162,TL1a_FP_88,TL1a_FP_89,TL1a_FP_234,TL1a_DTT_268_Repeat,TL1a_FP_287,TL1a_FP_198,TL1a_FP_161,TL1a_FP_197,TL1a_FP_132,TL1a_FP_130,TL1a_DTT_269_Repeat,TL1a_FP_90,TL1a_DTT_130_Repeat,TL1a_FP_269,TL1a_FP_288,TL1a_DTT_196_Repeat,TL1a_DTT_90_Repeat,TL1a_FP_196,TL1a_FP_131,TL1a_DTT_198_Repeat,TL1a_DTT_88_Repeat,TL1a_FP_270,TL1a_FP_160,TL1a_FP_286,TL1a_DTT_89_Re_extracted,TL1a_DTT_197_Repeat,TL1a_FP_232,TL1a_DTT_270_Repeat,TL1a_FP_233,TL1a_FP_268,TL1a_DTT_160,TL1a_DTT_234,TL1a_DTT_287,TL1a_DTT_233,TL1a_DTT_286,TL1a_DTT_232,TL1A_DTT_629,TL1A_FP_677,TL1A_FP_678,TL1A_FP_630,TL1A_DTT_630,TL1A_DTT_628,taxonomy
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium,0,9,0,46,27,126,25,0,21,6,6,0,0,0,793,698,12,0,27,27,0,0,21,745,4746,28,0,1159,0,426,157,7,1,34,8,40,28,0,0,0,15,0,13,
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Enterorhabdus,0,0,0,7,17,17,23,0,16,0,11,1,0,2,87,76,56,0,43,22,0,0,5,369,97,3,15,74,56,10,28,4,6,21,0,11,8,0,0,0,0,0,4,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,135084,7885,103304,809,632,17323,27206,62291,28634,34761,41178,31,5195,203,15142,5592,198,571,11190,319,1901,218,65808,12418,4899,10599,176,397,1442,6180,23002,11988,552,499,234,5211,44,18572,559,183,3087,8790,2004,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter,386,495,125,0,27,273,2,164,24,302,66,0,13,16,3,196,0,9,72,14,103,0,0,129,104,2,10,0,41,0,201,80,0,80,0,98,0,100,2,3,122,66,68,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__,236,23970,20,84243,19780,26670,23767,568,16137,7412,1164,5904,1763,19284,31386,52865,40586,2527,22061,12652,21011,2181,7486,6446,18184,5947,8406,5083,27165,29596,9171,6572,30937,4773,40236,8171,26549,50,215,1251,4011,2021,6007,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum,23,232,0,84,113,546,50,29,49,541,0,114,107,110,65,144,180,97,71,18,134,66,19,81,70,100,52,3,68,3,52,614,12,26,22,49,31,1,0,6,17,5,6,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella,49,12550,3,21,12,5235,34,30,958,10671,128,0,851,148,20,1791,24,425,3979,223,0,369,84,586,2756,672,61,100,272,74,2509,3182,3,588,36,66,1,0,1,0,81,0,43,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Paraprevotella,18771,150,24141,0,0,0,2,6701,4,32,7601,0,842,0,1,0,0,43,4,8,0,0,0,364,0,0,0,0,7,0,0,263,0,0,0,0,0,5740,88,24,535,1925,509,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotellaceae_UCG-001,0,126,0,0,0,0,0,0,12,0,0,0,6,0,1,26,0,48,0,7,34,0,0,0,0,29,0,6,0,0,0,0,1,0,8,3,1,0,0,0,22,6,0,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes,2146,4486,524,96,14,3302,140,853,229,1428,292,271,184,28,26,1587,11,134,525,10,0,30,16,402,468,362,0,107,193,77,1188,228,122,227,149,618,32,905,22,16,462,398,282,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Millionella,0,292,1,6,0,0,1,0,0,0,0,0,8,0,0,0,0,24,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,14,19,0,0,1,0,8,8,16,23,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenellaceae_RC9_gut_group,8,0,1,27,45,9334,51,45,457,5694,254,1,35,38,5,5264,4,0,1550,74,376,17,132,483,4087,353,26,247,2024,106,5574,880,31,0,398,1768,1,0,1,48,3,47,0,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides,4084,168,2518,12,23,431,1112,2014,950,19,811,0,113,0,2,208,0,7,25,0,0,14,0,36,68,410,0,0,4,215,114,38,0,0,0,6,0,3805,695,3093,415,947,252,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Alicyclobacillaceae;g__Tumebacillus,0,0,0,5,58,8,1,0,0,9,0,3,369,25,23,0,17,18,0,32,0,47,11,1,10,419,0,0,0,8,3,0,1,14,19,0,0,0,72,0,0,16,96,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus,11,134,24,5220,7289,2125,22546,19,3707,464,897,1100,4907,5540,15899,25297,5272,21,10402,13730,665,102,1508,2658,26348,399,574,57839,9699,13158,13769,103,2199,503,8996,4519,72573,0,413,82,57,10,25,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__,0,68,0,0,0,8,0,0,0,5,0,17,0,0,0,0,0,4,3,0,0,26,0,1,9,0,0,0,0,0,51,0,0,0,0,0,1,0,0,0,6,0,26,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__,47,30,43,0,0,0,28,15,22,0,17,0,0,0,0,0,0,0,0,0,0,0,25,8,0,0,0,0,23,2,15,4,7,0,0,3,0,27,0,13,4,11,6,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Candidatus_Arthromitus,2,47,2,4,4680,11,2,4,4,7,46,6952,6,12,14,263,11,9,6,66,79,1486,41,3,41537,40,5,106,558,10,7,4,2,4254,36,6765,2,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Clostridium_sensu_stricto_1,0,0,0,12,76,0,0,0,27,6,22,78,0,402,22,0,0,0,10,63,0,0,18,3,0,23,0,151,427,14,89,3,205,0,106,7,96,1,0,0,0,16,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_vadinBB60_group;g__,2,2155,2,0,51,207,3,1,49,150,54,0,143,77,6,309,11,153,75,27,264,42,0,51,176,112,9,37,222,0,134,163,103,77,490,211,16,0,2,0,104,8,45,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Eubacterium,17,0,6,0,0,0,5,9,6,0,11,0,18,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,2,28,0,0,7,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family_XIII;g__,94,41,79,0,9,55,20,31,11,90,23,11,0,0,0,14,6,61,6,7,0,1,29,28,38,38,0,0,30,11,77,47,7,0,17,10,2,10,11,0,10,20,11,
