#OTU ID,TL1a_FP_89,TL1a_FP_287,TL1a_FP_161,TL1a_FP_197,TL1a_DTT_269_Repeat,TL1a_FP_269,TL1a_FP_131,TL1a_DTT_89_Re_extracted,TL1a_DTT_197_Repeat,TL1a_FP_233,TL1a_DTT_287,TL1a_DTT_233,TL1A_DTT_629,TL1A_FP_677,taxonomy
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_NK4A136_group,17,2116,229,764,248,451,496,432,90,1648,2983,4309,3494,1731,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-001,0,3,0,0,314,561,11,38,0,0,375,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-004,0,96,2,39,0,6,9,25,3,8,48,61,0,9,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-006,0,30,0,5,0,0,0,0,18,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-010,0,3,0,0,0,2,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lactonifactor,19,0,4,10,0,0,0,18,0,1,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Marvinbryantia,11,0,11,1,0,2,0,0,0,3,0,0,1,2,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia,0,106,3,4150,1867,7,122,774,0,173,72,416,0,1467,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Sellimonas,0,0,3,6,0,0,0,0,0,0,0,0,17,39,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Shuttleworthia,0,3,0,2,0,0,19,7,12,0,26,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Tyzzerella,586,142,215,201,0,23,14,34,0,15,36,10,0,13,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__UC5-1-2E3,23,0,30,5,0,8,0,0,0,0,0,0,4,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__,0,29,0,21,0,0,4,0,4,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Romboutsia,1880,0,94,0,0,0,0,0,0,6,0,0,0,63,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__,80,94,37,86,96,16,8,52,9,3,0,87,0,3,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerotruncus,8,62,12,20,0,3,0,7,0,0,14,6,39,11,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Angelakisella,0,12,0,7,0,2,0,12,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Butyricicoccus,0,2,0,0,0,0,0,4,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium,851,0,352,627,0,12,0,135,0,96,0,0,0,93,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Flavonifractor,59,0,137,26,0,16,0,27,0,6,0,0,17,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__GCA-900066225,5,1,0,0,0,4,0,3,0,0,0,0,10,272,
