	TL1a_DTT_284	TL1a_DTT_231	TL1a_DTT_267	TL1a_DTT_158	TL1a_DTT_129	TL1a_DTT_285	TL1a_DTT_159	TL1a_DTT_195	TL1a_DTT_86	TL1a_DTT_230	TL1a_DTT_128	TL1a_DTT_194	TL1a_DTT_87	TL1a_DTT_266	TL1A_DTT_675	TL1A_DTT_626	TL1A_DTT_674	TL1A_DTT_627
TL1a_DTT_284	0.0	0.527524842629706	2.2146103030565305	2.7113824674811893	3.5225169608531166	1.7877679877727368	2.7411848505657677	3.3370374310855793	3.7538014665096915	1.8403195657200115	3.560700067590404	3.589065705587095	3.504839025974124	1.2887272200680018	3.482599467403059	3.0567674464987404	3.409654287758338	2.404179261207049
TL1a_DTT_231	0.527524842629706	0.0	1.7429819195554015	2.2270098240174407	3.0395329281314414	1.269287189701996	2.2359919861113826	2.926267490751081	3.245675587900096	1.3172186948245217	3.0631029578664166	3.081042060267586	2.9853111545778757	0.7945220383730152	3.011562173933697	2.5966276120136733	2.9297070347866785	1.994611903667608
TL1a_DTT_267	2.2146103030565305	1.7429819195554015	0.0	0.5266738854379653	1.3143972252609075	1.153949773747791	0.6362100361315625	1.2967774884428187	2.3997534948064727	1.0986755276150149	1.3731707497673578	1.456699156367233	2.011564106093218	0.956155809951495	2.5692636137325606	2.320021247603033	2.417941166376101	2.19218852472498
TL1a_DTT_158	2.7113824674811893	2.2270098240174407	0.5266738854379653	0.0	0.8627650317846212	1.4188587595870488	0.31392402637490846	1.112500708698537	2.1517555198539	1.364926412812439	0.8722633370364031	1.0118192384263516	1.7535628180762288	1.4444059981504473	2.4466887105274067	2.2716234608340167	2.2802355391227898	2.301197449169171
TL1a_DTT_129	3.5225169608531166	3.0395329281314414	1.3143972252609075	0.8627650317846212	0.0	2.1713425048133432	0.8705371946109147	0.8702794623538795	2.264584740935398	2.0898366401417223	0.31022096760136375	0.48754876294886174	1.8735184219402778	2.245462433603728	2.7576107539167296	2.716468905660738	2.5981081860986066	2.9425452295478496
TL1a_DTT_285	1.7877679877727368	1.269287189701996	1.153949773747791	1.4188587595870488	2.1713425048133432	0.0	1.3019270984428892	2.408655278133839	1.984648781745736	0.15943367310186324	2.0986900723602973	2.066443343546376	1.7191282811366266	0.8113843082998768	1.8349534016872546	1.4650225164013264	1.7278131824815948	1.118647555873154
TL1a_DTT_159	2.7411848505657677	2.2359919861113826	0.6362100361315625	0.31392402637490846	0.8705371946109147	1.3019270984428892	0.0	1.2680191153837876	1.9011148763854615	1.2260098906692292	0.8357061788561242	0.8670347159345305	1.4943248429116436	1.4548613863539916	2.2065200836194654	2.054413918443113	2.0477174055477683	2.143227490374539
TL1a_DTT_195	3.3370374310855793	2.926267490751081	1.2967774884428187	1.112500708698537	0.8702794623538795	2.408655278133839	1.2680191153837876	0.0	3.0342357550655588	2.326520555413188	1.1606785749730433	1.3144164876497286	2.6252723427094824	2.1720907557429934	3.4397648511505494	3.3188283183189986	3.282046749543379	3.380644031706914
TL1a_DTT_86	3.7538014665096915	3.245675587900096	2.3997534948064727	2.1517555198539	2.264584740935398	1.984648781745736	1.9011148763854615	3.0342357550655588	0.0	1.9551165966701354	2.006374002071448	1.8361146219100288	0.41539294124115306	2.718170549128474	0.7030517348289288	1.0068840443537859	0.6161044825097407	1.7262880712256339
TL1a_DTT_230	1.8403195657200115	1.3172186948245217	1.0986755276150149	1.364926412812439	2.0898366401417223	0.15943367310186324	1.2260098906692292	2.326520555413188	1.9551165966701354	0.0	2.027413775476043	1.9764014878418386	1.6730969966050075	0.8081076192983557	1.838704984051307	1.4924517568149924	1.7339049806300444	1.2071508691198622
