	shannon_entropy
TL1a_DTT_173_Repeat	3.661885345934742
TL1a_FP_140	3.0853813859251416
TL1a_DTT_76_Repeat	4.446405764627282
TL1a_FP_207	2.756104812045553
TL1a_FP_65	2.466328304699515
TL1a_FP_64	2.676686985378289
TL1a_DTT_172_Re_extracted	4.3500655449580306
TL1a_FP_209	0.6071167476241472
TL1a_FP_206	2.3505467188361817
TL1a_FP_242	1.9056341339585856
TL1a_FP_77	2.8567958625470653
TL1a_FP_245	2.767707892283359
TL1a_FP_76	3.4973194961748915
TL1a_FP_102	4.43412205119003
TL1a_DTT_169_Re_extracted	5.519820491336623
TL1a_FP_98	3.083189678520442
TL1a_FP_75	3.9925853859434097
TL1a_FP_173	3.718614454166141
TL1a_FP_141	3.0893766480501954
TL1a_FP_174	4.65622174154182
TL1a_FP_144	3.150299995208546
TL1a_FP_142	5.053162717412444
TL1a_FP_62	3.7022247876380363
TL1a_DTT_245_Repeat	2.8914524687799155
TL1a_FP_74	4.337486102401062
TL1a_FP_172	3.9760265989481978
TL1a_FP_171	2.8141777007193363
TL1a_FP_66	2.772198340936293
TL1a_FP_143	4.693796616230545
TL1a_FP_100	5.29975499060561
TL1a_FP_99	2.847076162865747
TL1a_FP_246	1.812772515755907
TL1a_FP_78	3.4500935795480445
TL1a_FP_210	4.440191720495522
TL1a_FP_208	0.7382486582885048
TL1a_DTT_244_Repeat	2.790343802862416
TL1a_FP_101	3.1861014361727107
TL1a_FP_244	1.8966731393219842
TL1a_FP_63	3.6847414238218494
TL1a_DTT_142_Repeat	2.2884535358605227
TL1a_FP_243	1.6703549700402682
TL1a_FP_170	3.2077290369327933
TL1a_DTT_78	2.229982896468115
TL1a_FP_205	2.196620442581361
TL1a_DTT_139	3.342110577114187
TL1a_DTT_171	3.6334040234465146
TL1a_FP_73	3.8583452979121318
TL1a_DTT_209	2.122928216403342
TL1a_DTT_74	3.8972210795763518
TL1a_FP_139	3.1913235845583285
TL1a_DTT_141	3.4359226033576893
TL1a_DTT_210	2.380852536510812
TL1a_DTT_241	2.60099208054495
TL1a_DTT_243	2.0149434576906575
TL1a_DTT_205	2.3699042530464247
TL1a_DTT_206	2.413542862439235
TL1a_DTT_64	2.597427985097141
TL1a_DTT_62	3.58232724314195
TL1a_DTT_65	2.2533607905424318
TL1a_DTT_242	2.307139270732664
TL1a_DTT_73	3.684747252083621
TL1a_DTT_63	3.479537819765157
TL1a_DTT_207	2.5962530696076445
TL1a_DTT_75	3.775047590781922
TL1a_DTT_246	3.6531043757061124
TL1a_DTT_97	3.841802918942025
TL1a_FP_169	3.6172583107403726
TL1a_DTT_66	2.47561542198995
TL1a_FP_61	3.972251854892282
TL1a_FP_241	1.7770154971580754
TL1a_DTT_140	3.5231105643856644
TL1a_DTT_99	3.8283433155724245
TL1a_DTT_77	2.524350954764504
TL1a_DTT_98	3.4494400085067216
TL1a_FP_97	3.1703652485784244
TL1a_DTT_170	4.079409212830666
TL1a_DTT_208	2.7666361762969793
TL1A_DTT_642	5.036972083989663
TL1A_FP_641	2.3300610491745006
TL1A_FP_689	1.863486192837574
TL1A_FP_638	3.1772724070471736
TL1A_FP_640	1.18257971820255
TL1A_FP_685	3.544030729858653
TL1A_FP_686	3.7374379131167728
TL1A_DTT_640	4.775935707261773
TL1A_FP_639	3.3946727716005354
TL1A_FP_687	3.3508172691167593
TL1A_DTT_638	2.133678853908688
TL1A_FP_637	3.6867480155040337
TL1A_FP_688	2.5177457355608164
TL1A_DTT_641	4.830231901771784
TL1A_DTT_639	3.8057223244992424
TL1A_DTT_687	2.9720674081573
TL1A_DTT_689	3.6110202493180825
