#OTU ID,Genus,Family,Phylum
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__A2,A2,Lachnospiraceae,Firmicutes
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Acetatifactor,Acetatifactor,Lachnospiraceae,Firmicutes
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Akkermansiaceae.g__Akkermansia,Akkermansia,Akkermansiaceae,Verrucomicrobia
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes,Alistipes,Rikenellaceae,Bacteroidetes
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae.g__Anaerofustis,Anaerofustis,Eubacteriaceae,Firmicutes
k__Bacteria.p__Tenericutes.c__Mollicutes.o__Anaeroplasmatales.f__Anaeroplasmataceae.g__Anaeroplasma,Anaeroplasma,Anaeroplasmataceae,Tenericutes
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Anaerotruncus,Anaerotruncus,Ruminococcaceae,Firmicutes
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__ASF356,ASF356,Lachnospiraceae,Firmicutes
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides,Bacteroides,Bacteroidaceae,Bacteroidetes
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium,Bifidobacterium,Bifidobacteriaceae,Actinobacteria
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia,Blautia,Lachnospiraceae,Firmicutes
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Butyricicoccus,Butyricicoccus,Ruminococcaceae,Firmicutes
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae_1.g__Candidatus_Arthromitus,Candidatus_Arthromitus,Clostridiaceae_1,Firmicutes
k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Candidatus_Stoquefichus,Candidatus_Stoquefichus,Erysipelotrichaceae,Firmicutes
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Defluviitaleaceae.g__Defluviitaleaceae_UCG-011,Defluviitaleaceae_UCG-011,Defluviitaleaceae,Firmicutes
k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Desulfovibrio,Desulfovibrio,Desulfovibrionaceae,Proteobacteria
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__DNF00809,DNF00809,Eggerthellaceae,Actinobacteria
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus,Enterococcus,Enterococcaceae,Firmicutes
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Enterorhabdus,Enterorhabdus,Eggerthellaceae,Actinobacteria
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Escherichia/Shigella,Escherichia/Shigella,Enterobacteriaceae,Proteobacteria
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium,Faecalibacterium,Ruminococcaceae,Firmicutes
k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Faecalibaculum,Faecalibaculum,Erysipelotrichaceae,Firmicutes
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Family_XIII.g__Family_XIII_AD3011_group,Family_XIII_AD3011_group,Family_XIII,Firmicutes
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Family_XIII.g__Family_XIII_UCG-001,Family_XIII_UCG-001,Family_XIII,Firmicutes
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__GCA-900066225,GCA-900066225,Ruminococcaceae,Firmicutes
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__GCA-900066575,GCA-900066575,Lachnospiraceae,Firmicutes
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Hydrogenoanaerobacterium,Hydrogenoanaerobacterium,Ruminococcaceae,Firmicutes
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Intestinimonas,Intestinimonas,Ruminococcaceae,Firmicutes
