#OTU ID,Lyz2.02B.FP222.S70,Itg.22.FP518.S21,Vil1.06B.DTT70,Vil1.07B.FP82,Vil1.10B.FP115,Itg.24.DTT530.S25,Vil1.04B.FP46,Vil1.14B.FP163,Lyz2.04B.DTT246.S87,Vil1.02B.FP22,Lyz2.01B.FP210.S58,Lyz2.06B.DTT270.S112,Itg.16.DTT482.S77,Vil1.05B.FP58,Vil1.04B.DTT46,Lyz2.07B.FP282.S80,Lyz2.03B.FP234.S82,Vil1.09B.DTT106,Itg.24.FP530.S33,Itg.06.DTT434.S27,Itg.04.FP422.S22,Itg.22.DTT518.S13,Itg.20.FP506.S9,Vil1.03B.DTT34,Itg.06.FP434.S35,Lyz2.01B.DTT210.S50,Vil1.05B.DTT58,Itg.02.FP410.S10,Itg.12.DTT470.S64,Itg.02.DTT410.S2,Vil1.03B.FP34,Itg.08.DTT446.S39,Itg.26.FP542.S46,Vil1.01B.DTT10,Itg.26.DTT542.S38,Itg.16.FP482.S85,Vil1.010B.DTT118,Lyz2.05B.DTT258.S99,Lyz2.08B.FP294.S92,Itg.04.DTT422.S14,Lyz2.04B.FP246.S43,Lyz2.06B.FP270.S68,Lyz2.07B.DTT282.S124,Vil1.13B.FP151,Vil1.01B.FP10,Itg.08.FP446.S47,Lyz2.02B.DTT222.S62,Vil1.02B.DTT22,Itg.10.DTT458.S52,Itg.12.FP470.S72,Itg.10.FP458.S60,Vil1.08B.DTT94,Lyz2.05B.FP258.S55,Itg.20.DTT506.S1,Lyz2.03B.DTT234.S74,Vil1.07B.DTT82,Vil1.08B.FP91,Vil1.013B.DTT154,Vil1.06B.FP70,Itg.18.DTT494.S89,Itg.18.FP494.S97,Lyz2.08B.DTT294.S136,Vil1.09B.FP103,LYZdtt342,SLCFP070,SLCdtt022,LYZdtt366,SLCdtt070,LYZdtt354,SLCFP022,LYZdtt330,LYZFP354,SLCFP112,LYZFP306,LYZdtt306,SLCFP004,SLCdtt004,SLCdtt112,SLCFP094,SLCdtt076,SLCFP052,SLCFP076,LYZFP330,LYZdtt318,SLCdtt052,LYZFP342,SLCdtt130,LYZFP318,SLCFP148,SLCFP166,SLCdtt148,SLCdtt166,taxonomy
759abfc82a4b189214d7e148d4aef180,480,308,0,83,1118,24,706,1990,70,1907,206,89,74,163,117,145,536,33,27,156,37,58,160,65,76,85,0,278,232,493,308,29,243,78,91,282,29,571,48,41,22,43,484,16,1194,40,529,193,70,188,116,0,461,44,565,0,383,0,253,56,92,43,708,76,397,152,889,16,14,43,237,72,78,1072,53,14,8,3,22,108,1225,26,892,118,356,43,41,420,79,286,491,304,
04af8257d41718f9636b8bbc789b0fcf,18,60,0,142,15,29,270,1075,9,422,6,26,42,48,42,6,34,34,5,0,0,116,156,156,58,13,0,5,16,12,113,3,34,24,17,500,16,4,44,24,3,24,34,0,459,10,8,16,7,16,5,0,0,62,10,0,104,3,31,23,8,7,105,27,0,70,26,12,0,7,14,13,40,1255,9,1,0,0,23,10,22,10,61,406,13,6,5,35,102,18,485,0,
0247032b5537cfe290e9fe3067f9257e,172,992,0,113,371,125,413,1887,30,776,176,320,248,62,109,10,310,50,49,167,35,333,868,155,96,150,0,429,941,1840,448,344,1279,97,357,652,33,372,149,227,15,136,120,21,438,821,358,157,379,1063,381,0,204,161,111,0,94,12,128,198,203,46,519,390,436,380,1277,31,74,60,0,711,142,1129,111,22,30,28,16,177,97,37,14,417,129,75,56,1983,1187,64,1929,378,
298c6e520261d927af2fb9e7c1e4cebc,122,217,0,45,15,55,312,1169,64,859,75,345,143,65,134,131,159,49,0,441,91,107,277,72,325,94,0,74,262,216,108,54,204,78,115,159,0,996,265,119,23,85,873,1756,146,98,302,277,124,213,103,0,275,73,142,0,849,417,214,134,47,68,364,124,56,161,2175,10,28,29,395,259,73,1675,110,20,19,11,13,512,44,184,3083,239,44,48,27,190,273,12,664,1116,
653c972b92d846f3b6b199c4f5257025,72,0,0,353,18,5,126,0,51,186,3,41,54,17,13,199,223,7,3,103,1,6,532,13,1402,8,0,352,63,102,12,27,56,37,11,822,19,0,246,6,21,61,170,0,243,64,10,34,11,115,16,0,2,87,97,0,46,0,56,283,21,50,3,14,2,84,41,2,1,3,9,57,240,485,2,9,3,1,96,2,163,1,209,44,11,1,1,280,91,161,252,58,
e78a270ccd8d01d326e840cd85e1c1e2,64,200,0,192,944,21,595,559,36,402,129,69,112,63,164,74,164,38,28,183,38,61,221,73,128,56,0,174,257,277,165,77,430,80,94,509,31,445,64,50,12,33,245,0,217,226,122,91,107,284,130,0,151,74,81,6,332,0,124,60,74,28,594,119,145,120,341,16,26,28,172,279,80,463,31,10,14,6,5,104,102,49,1428,71,123,93,14,501,409,7,767,398,
b3703a2157a018a94473b0861589dde0,800,366,0,193,1560,225,623,1452,194,1504,249,604,745,151,291,189,1076,127,90,1295,202,145,112,160,217,545,0,248,999,1605,244,470,1115,354,954,1023,123,46,233,441,93,126,1295,0,195,511,1862,625,463,510,298,0,0,80,654,16,978,18,609,308,118,276,663,207,429,1365,1599,23,50,103,472,856,184,1191,90,52,39,18,21,378,687,34,1155,420,1181,21,142,970,2132,44,1851,486,
fc7e77e237e910e3f38dbb8e3c69c5bd,32,16,0,1043,6,4,1130,163,10,178,3,11,2,13,126,777,17,19,5,7,0,3,129,107,146,0,0,9,3,0,69,0,79,6,25,211,4,18,99,15,5,25,258,0,345,4,6,2,0,38,6,0,29,17,1,0,12,0,19,17,4,15,98,1,168,45,11,25,0,0,24,26,23,204,18,0,0,0,6,0,142,18,78,0,38,0,0,12,491,32,875,7,
a589fa026973c67d0f1c7b741d85b90c,2,2,1,4122,0,5,1938,162,2,110,1,2,46,2,584,534,326,7,1,283,1,7,827,194,3006,6,0,104,7,29,15,8,2,5,1,1343,1,0,779,218,2,1,395,1,89,8,1,12,1,39,1,1,0,44,20,1,0,1,168,3,1,77,38,0,246,0,0,41,0,0,138,0,984,0,0,45,0,63,72,0,560,99,0,0,230,0,123,0,1474,242,1035,14,
ad23727bc3e6dc84a4c52399fe4f0d39,1730,3229,0,512,6143,483,2926,9234,1624,10702,718,1601,4250,461,937,873,3527,241,301,3328,417,1893,2930,319,544,2151,0,606,9674,8757,1105,2222,2258,414,1980,4563,166,4152,504,1602,217,109,15602,59,895,5641,11716,1078,3225,1056,835,0,992,813,6092,25,4258,13,879,2439,826,658,6318,938,1613,7677,10895,498,213,206,210,1918,856,2382,931,39,138,331,141,2253,2158,294,1175,512,21386,82,1139,2729,1461,122,8859,14056,
