	TL1a_DTT_169_Re_extracted	TL1a_DTT_139	TL1a_DTT_171	TL1a_DTT_141	TL1a_DTT_241	TL1a_DTT_243	TL1a_DTT_205	TL1a_DTT_73	TL1a_DTT_63	TL1a_DTT_207	TL1a_DTT_75	TL1a_DTT_97	TL1a_DTT_99	TL1A_DTT_639	TL1A_DTT_687
TL1a_DTT_169_Re_extracted	0.0	3.9111801861343563	3.1801402332878057	4.004327243917589	2.7686471778554393	3.4536492183093497	4.824655769367007	3.7893204132540697	3.6679139040413062	3.985217271200008	3.326709202364624	3.954033919498269	4.0865108860706485	4.409296339278138	3.0663691692264607
TL1a_DTT_139	3.9111801861343563	0.0	0.7664699824171702	0.21667451665012058	1.7363736601035729	1.3519364614372373	2.833497505807573	0.2584475499587519	0.42062043470138455	2.374184463373396	0.7098991739206199	0.27679726757006035	0.27974110385252293	0.8476716182002348	1.1949654812257193
TL1a_DTT_171	3.1801402332878057	0.7664699824171702	0.0	0.8365785181315443	1.4070810781953311	1.3520172336145697	3.1034676070619764	0.6449235612306017	0.522221047726319	2.4674676565804963	0.305013017472121	0.9028359874161028	0.957659175250981	1.3755136430379327	0.6805292704308223
TL1a_DTT_141	4.004327243917589	0.21667451665012058	0.8365785181315443	0.0	1.93009067915827	1.5677315404585828	3.0308157557974837	0.23086218145666354	0.37164163185546856	2.5873345588853143	0.7160114116386315	0.4052183695350186	0.38824647083510344	0.6854394058417554	1.1667041956513475
TL1a_DTT_241	2.7686471778554393	1.7363736601035729	1.4070810781953311	1.93009067915827	0.0	0.7135134973441286	2.2176042066336334	1.7773440359715669	1.7889294350464142	1.402557212538452	1.6244446001757007	1.691491674543342	1.8175236336437444	2.4439286354159186	1.82632938967185
TL1a_DTT_243	3.4536492183093497	1.3519364614372373	1.3520172336145697	1.5677315404585828	0.7135134973441286	0.0	1.7960459156250381	1.4877461857951872	1.5630305488010128	1.1203861435914293	1.5448964589419114	1.2871355051498583	1.3460893835983132	2.0971854927999956	1.9121628871995973
TL1a_DTT_205	4.824655769367007	2.833497505807573	3.1034676070619764	3.0308157557974837	2.2176042066336334	1.7960459156250381	0.0	3.034021007157035	3.1730872914053516	0.8441602447825098	3.2451642203281006	2.6905172992794184	2.733055793311797	3.3837650926426557	3.6329760520598224
TL1a_DTT_73	3.7893204132540697	0.2584475499587519	0.6449235612306017	0.23086218145666354	1.7773440359715669	1.4877461857951872	3.034021007157035	0.0	0.1975935533060607	2.5382651622688495	0.5021877661723634	0.4028982139409372	0.5239909066309743	0.7694667753812447	0.9598379929670416
TL1a_DTT_63	3.6679139040413062	0.42062043470138455	0.522221047726319	0.37164163185546856	1.7889294350464142	1.5630305488010128	3.1730872914053516	0.1975935533060607	0.0	2.6434705492516755	0.35460220224194217	0.5935602635974196	0.6580717592504813	0.8730972103878077	0.8104379988367926
TL1a_DTT_207	3.985217271200008	2.374184463373396	2.4674676565804963	2.5873345588853143	1.402557212538452	1.1203861435914293	0.8441602447825098	2.5382651622688495	2.6434705492516755	0.0	2.6430188884748573	2.253225240630217	2.324162794732478	3.0235948735066027	2.984981745996948
TL1a_DTT_75	3.326709202364624	0.7098991739206199	0.305013017472121	0.7160114116386315	1.6244446001757007	1.5448964589419114	3.2451642203281006	0.5021877661723634	0.35460220224194217	2.6430188884748573	0.0	0.8236550921850591	0.9537683639289779	1.137488539177858	0.5051180130622334
TL1a_DTT_97	3.954033919498269	0.27679726757006035	0.9028359874161028	0.4052183695350186	1.691491674543342	1.2871355051498583	2.6905172992794184	0.4028982139409372	0.5935602635974196	2.253225240630217	0.8236550921850591	0.0	0.44356337394441214	0.8133010281863196	1.2712641515882377
TL1a_DTT_99	4.0865108860706485	0.27974110385252293	0.957659175250981	0.38824647083510344	1.8175236336437444	1.3460893835983132	2.733055793311797	0.5239909066309743	0.6580717592504813	2.324162794732478	0.9537683639289779	0.44356337394441214	0.0	0.9830456826178813	1.449697219580159
TL1A_DTT_639	4.409296339278138	0.8476716182002348	1.3755136430379327	0.6854394058417554	2.4439286354159186	2.0971854927999956	3.3837650926426557	0.7694667753812447	0.8730972103878077	3.0235948735066027	1.137488539177858	0.8133010281863196	0.9830456826178813	0.0	1.4027750922474131
TL1A_DTT_687	3.0663691692264607	1.1949654812257193	0.6805292704308223	1.1667041956513475	1.82632938967185	1.9121628871995973	3.6329760520598224	0.9598379929670416	0.8104379988367926	2.984981745996948	0.5051180130622334	1.2712641515882377	1.449697219580159	1.4027750922474131	0.0
