metadata,feature,value,coef,stderr,N,N.not.0,pval,qval
Site,a0f4041ccc6a3b1f6512919ebe00613d,Duodenum,0.739898038,0.2096868432,137,130,0.000666212403,0.02377748155
Line,00e1ab8ab959fa51a66dabae588ff48c,Vil1Cre,-1.392434031,0.3819496943,137,52,0.0007715049439,0.02655739549
Line,76d6be90e19a660c9a84b35fa31d801c,JJWT,-4.073967469,1.11983407,137,62,0.0007753760306,0.02655739549
Line,6f0b4058c92e83c77533a218739a0e38,Vil1Cre,1.149635955,0.316272014,137,43,0.0007865895251,0.02655739549
Line,a172874a13d3e6df1391f0797d95d6bc,Vil1Cre,1.180127282,0.3251428541,137,57,0.0008000641642,0.02656213025
Line,9c6efccec7649fddce7cb4c0b868559f,Vil1Cre,-1.38583177,0.3827435792,137,106,0.000850190371,0.02776359376
Site,f745d265f36ea7eac26d97280e690796,Jejunum,0.8156684888,0.2371267116,137,102,0.0008906070223,0.02816014585
Line,8f07f09a7a5b69d79afd30ba3be7ae26,Vil1Cre,0.9868334061,0.2744358168,137,25,0.0008883578524,0.02816014585
Line,fbbeae3dceada6928b2cdc472f5d9901,JJWT,4.396127616,1.229811236,137,67,0.0009305443083,0.0289631916
Site,fc7e77e237e910e3f38dbb8e3c69c5bd,Duodenum,-0.7022782424,0.2058111824,137,110,0.00097249001,0.02980307846
Site,a93ecb34623d57ce5a83ac109551229b,Jejunum,0.5920684942,0.1740415995,137,134,0.001008736073,0.02999107848
Site,397aa1ad0378774f826b9825c958427e,Jejunum,0.7595137733,0.2230171028,137,135,0.0009961282425,0.02999107848
Sequencing_Run,4c8288bfbd76958c0c094d87b97650f8,NovaSeq_Mar_Twenty,5.213074028,1.483334804,137,90,0.00108333884,0.03173545544
Sequencing_Run,0daddf1b0a2e7ae6c3add7261ca7b510,NovaSeq_Mar_Twenty,-2.664097165,0.7619250118,137,128,0.001116295246,0.0322269584
Line,72cb656da17f65d184d9186ee5260f53,LyzCre,-1.954566732,0.5599599991,137,63,0.001179184251,0.03340426119
Line,c2c7ac3e8c2acf2ceb1fbd66e9ff20d0,Vil1Cre,1.452689321,0.4162429521,137,54,0.001190613727,0.03340426119
Site,6f0b4058c92e83c77533a218739a0e38,Duodenum,0.552306146,0.1653582474,137,43,0.001221042447,0.03378217437
Site,49d5e983bbc870059084d932fb344b75,Duodenum,0.7482076434,0.2244696836,137,110,0.001249171971,0.03408699406
Line,b3ef12a80d40902556c2fd4de5924438,LyzCre,1.353751252,0.3924763886,137,92,0.001330556516,0.0349098593
Line,20b86a0cfa5df6fb3f9afef5cf2f0151,JJWT,-3.187653069,0.9237580971,137,69,0.001331902263,0.0349098593
Line,5b74065cc4963be8f6447b2c9ffcbc87,Vil1Cre,1.816152368,0.5256843084,137,24,0.001314135559,0.0349098593
Line,c003202be6a53b07fbb26ecd2161fe2c,Vil1Cre,-2.503479861,0.726669981,137,133,0.001365596012,0.03532814618
Line,eca7ea65dbc52bdbc9ade7f98e109a1e,Vil1Cre,1.759822696,0.5170690008,137,33,0.001522904828,0.03889264639
