	Vil1.05B.FP57	Itg.02.FP409.S9	Vil1.01B.FP07	Lyz2.04B.FP243.S92	Lyz2.04B.FP245.S42	Vil1.06B.FP67	Vil1.09B.FP108	Itg.22.FP515.S18	Lyz2.05B.FP255.S52	Vil1.04B.FP43	Vil1.09B.FP106	Vil1.10B.FP120	Vil1.08B.FP96	Lyz2.08B.FP291.S89	Vil1.01B.FP09	Vil1.06B.FP69	Vil1.02B.FP19	Itg.26.FP539.S43	Itg.18.FP491.S94	Itg.16.FP481.S84	Vil1.03B.FP33	Itg.08.FP445.S46	Itg.24.FP529.S32	Vil1.07B.FP79	Itg.24.FP527.S30	Lyz2.07B.FP279.S77	Lyz2.06B.FP269.S67	Lyz2.03B.FP231.S79	Lyz2.07B.FP281.S79	Itg.08.FP443.S44	Vil1.04B.FP45	Itg.12.FP469.S71	Itg.06.FP433.S34	Lyz2.05B.FP257.S54	Vil1.08B.FP94	Vil1.02B.FP21	Itg.16.FP479.S81	Vil1.05B.FP55	Vil1.13B.FP156	Itg.12.FP467.S69	Itg.20.FP505.S8	Vil1.14B.FP166	Itg.22.FP517.S20	Lyz2.03B.FP233.S81	Lyz2.02B.FP221.S69	Vil1.07B.FP81	Itg.06.FP431.S32	Lyz2.06B.FP267.S64	Itg.02.FP407.S7	Itg.04.FP419.S19	Lyz2.01B.FP207.S55	Vil1.13B.FP154	Vil1.14B.FP168	Vil1.03B.FP31	Itg.18.FP493.S96	Itg.10.FP457.S59	Lyz2.01B.FP209.S57	Itg.10.FP455.S57	Itg.04.FP421.S21	Itg.26.FP541.S45	Lyz2.08B.FP293.S91	Itg.20.FP503.S6	Lyz2.02B.FP219.S67	Vil1.10B.FP118	SLCFP021	SLCFP069	SLCFP111	SLCFP067	SLCFP051	LYZFP317	SLCFP093	SLCFP091	LYZFP327	SLCFP073	SLCFP019a	SLCFP075	SLCFP049	LYZFP339	LYZFP315	LYZFP305	SLCFP127	SLCFP129	LYZFP351	LYZFP303	SLCFP003	SLCFP001	LYZFP353	SLCFP109	LYZFP329	LYZFP341	SLCFP163	SLCFP145	SLCFP165	SLCFP147
Vil1.05B.FP57	0.0	0.45812632021607413	1.8521816094040355	1.7658474474035601	0.7905163273278454	0.8824166937632382	3.9541541917349616	2.411297902161774	1.6350413990735195	1.5853262822529854	3.6670440813521563	3.109689018599652	1.5898045068141675	1.3281173970455626	0.7003813509050223	0.25512996032126134	1.8180464238363505	2.369467662426227	1.3987215162643998	1.0219506090638402	0.6632472058614304	0.8406173468760484	0.5755801256006123	2.3826489145845353	0.8710839638814952	1.80867820464472	0.2567969382729899	1.7754256023735253	0.8321326818424365	2.318321146403961	0.8210222222957406	0.708957898203992	0.4789884520013897	0.8790773735213421	2.4598426986916806	0.9309013741154446	2.4567696884597363	1.0236382085124511	3.428040676724632	1.2081157075389326	0.5102607900129661	3.6679037153600285	0.3001930519633482	1.4023161854846236	0.7080792272181384	0.9120859253839464	1.1217007553205918	0.5544100052445445	1.8644223717376147	0.5296777663736337	0.3833181634130396	3.0736898161166475	3.3875898439446095	2.3350118462202105	0.825575879204209	0.41831017796882236	0.5632752680270913	1.696686880782805	0.4323779927929958	0.946907439939372	0.13003438829492003	1.275419598275866	0.4787618306315651	2.9632691140672485	2.254931457938683	2.2626708824044837	1.4599023972249512	3.083694233143991	1.2524031756021032	3.066026753313312	2.2059866182468997	2.3434325968794814	3.718433461240373	2.479931478525185	2.4928720499598405	1.3900437219461184	2.060493785630306	2.6365393134669253	2.200395770926841	2.534127946637754	3.189231001910831	2.0112235110699404	1.7790344466483365	2.2457067636289945	1.809593540158027	2.9427441506688	1.4385258173133382	2.771017920078768	2.255370807908325	1.59204458535207	3.478396426536714	3.4403667214181075	2.87978230554838	1.8000437154309221
Itg.02.FP409.S9	0.45812632021607413	0.0	1.412826351352372	1.3378676774406753	0.6973316637968224	0.5315339095505265	3.516315536061279	1.9672594328036022	1.2096985459806677	1.1380683113264494	3.24100874184816	2.6543602640336177	1.4114395866886427	0.879545906329415	0.6143673949371476	0.7043556692439659	1.374611522501239	1.9318702745234604	0.9718830496053978	0.6005435346960685	0.31053694302373097	0.4164696113285572	0.2142664627107783	1.9308373577577314	0.4816704851902964	1.3692167396126755	0.21793147398436719	1.354122435439227	0.3748325167184666	1.866024771071592	0.39285493877760824	0.41486609749160136	0.18648931072060354	0.7310217060623295	2.207072437889204	0.6874221518756926	2.0013086598025494	0.589282607516636	2.9849507627537872	0.7622812056119679	0.6207006462732196	3.234683176841083	0.33877090025825424	1.1950768749053065	0.48351696426289176	0.5593105716542828	0.6757360919176285	0.4962358034345659	1.4261035715792199	0.44772504484596914	0.3348443692108654	2.6396717298892227	2.9453300578693145	1.8821054333272713	0.7569902408512218	0.37158973721723865	0.9964185043551979	1.2573481829337776	0.12033410607336767	0.5085561436772855	0.40562168230898954	0.8995451000117615	0.717675678995107	2.5865399153889634	1.8533964030167056	1.835112727362352	1.1144031761717268	2.6590363228027227	0.8874099360563934	2.7211272479716992	1.8252821646441144	1.9969070778184967	3.4541284202708917	2.1830714799034094	2.0990248285726567	1.067581591368278	1.710073043802965	2.530435280886679	2.1277389545035574	2.2051828469150885	2.8303677683137534	1.6529925706526978	1.8398983778408189	2.112516950127414	1.4717573319036414	2.582659423333436	1.7025356239816332	2.4087289591503294	2.2809278319330235	1.7284264314642919	3.1864161446776023	3.123203892574782	2.5837372053819263	1.591289525776648
Vil1.01B.FP07	1.8521816094040355	1.412826351352372	0.0	0.20458359837432746	1.50390868781452	1.2778855210659448	2.1886543710967516	0.967005535937899	0.3622015625633062	0.6198225583104889	1.9500934108019088	1.3112271878333426	1.464532609194221	0.7496943728338197	1.472066128542849	2.0790839681542344	0.11155954579134111	1.038447526605017	0.4773479776372036	0.8336306043989389	1.2065548846018497	1.0534292021032532	1.3713471017775136	0.8023117555143825	1.2063887855787714	0.8287226564083267	1.6235849352103842	0.30120623963550597	1.0685905500769601	0.6993558586548678	1.0313844903703757	1.2184218933872324	1.3803492311058796	1.4045745365085323	1.7042438341312427	1.189417016034453	0.6868857918610992	0.970736596868981	1.7981616340677156	0.7722032705711731	1.882752392680677	1.9802807434312852	1.6823683985486555	1.2704261320516759	1.3040285427982914	1.0169045136670312	0.8086588878083095	1.7070375657946972	0.8417479496486934	1.6804558774203155	1.6272596862629296	1.5693948800845037	1.6866368214137688	0.5574688198168389	1.5191577156781972	1.5356173049667396	2.321069049807479	0.16412316733595972	1.4653327133393481	0.9415677174869896	1.8094975864602754	1.0926541809750365	2.0535368179195075	1.5033002428047268	1.3698325519318484	1.1888515913614446	1.360634225321205	1.8277484196611922	1.2454172406422863	2.290540193307608	1.4924195657195203	1.7615853986036079	3.254930458130629	2.09523221796017	1.5698129189405552	1.4253607323259783	1.556807470956664	2.9624357304809563	2.7099593031334486	1.9727892358626882	2.3500490292422698	1.5151019424350118	2.768103031823419	2.5357750609706047	1.4815171018841466	2.132069936932464	2.9547313090053446	1.9866803144142187	3.104672787254457	2.7970897199608014	2.9223076269600683	2.764473524889019	2.4001648307364274	1.9783596335532536
Lyz2.04B.FP243.S92	1.7658474474035601	1.3378676774406753	0.20458359837432746	0.0	1.3477608815536615	1.2820359310364007	2.2366568075919924	1.1603249607175872	0.18753665156574179	0.726032719823494	1.9685687586125076	1.4531002854105048	1.2625556096915296	0.7918916167632662	1.3327553853306222	1.992567921216622	0.29165982040025473	1.228260359038314	0.3674702260505784	0.7558966522189531	1.10985179787874	1.0119674022491558	1.3266437461163678	0.9929685558754509	1.2007280256292552	0.9601608842937877	1.5398255241845387	0.10612198848910538	1.0163652700909545	0.8918332790714332	0.9556972555311862	1.101172736183851	1.291326116278421	1.2429427426179096	1.521938791919894	1.0367056218122426	0.8366388322281342	0.9695590007796345	1.8553601352923927	0.7887609985823889	1.8501578482539351	2.010219632494494	1.6240700572788493	1.0778930998769833	1.1710863742231055	0.8915488767835348	0.8019668025170713	1.6810306071048886	0.9838517759135006	1.6499851238654926	1.576772045025356	1.6031059761161053	1.7367696572868978	0.7292959410059238	1.3634417427651089	1.4277087806923363	2.2109449220965587	0.23639629721474759	1.4033292063163418	0.9046482462357386	1.735704827766747	1.1597155835716655	2.010002995132247	1.4220793101021447	1.5300602584972156	1.3444540793835413	1.4369676204548931	2.004044981111294	1.2970489192326538	2.472585572622987	1.6421558109671022	1.9159535439894726	3.431641826034611	2.2473182140062176	1.7418305747000977	1.4944105384997024	1.6979549687722795	3.0786497602763143	2.804547492831299	2.134833867307708	2.5289955599083593	1.6471243621072533	2.815231498509097	2.6468909775760605	1.603025342354429	2.3085599676783097	2.943346698320327	2.15869113345145	3.170406206235317	2.8213263908382022	3.099687907325154	2.9459315531419406	2.5663360877003725	2.0790846433185557
Lyz2.04B.FP245.S42	0.7905163273278454	0.6973316637968224	1.50390868781452	1.3477608815536615	0.0	1.1817099088065999	3.442598668808261	2.3045497517528832	1.194762549493505	1.5107062209208924	3.1148068417359296	2.784271693969377	0.8020346422091327	1.2936723316899634	0.23724146167925095	0.9516211426137315	1.5178463765081438	2.3088625575437467	1.0350824120195954	0.8091902704512861	0.5500559843868291	0.8834664890718015	0.8924159905431656	2.2056839493823093	1.106842790715673	1.7827144194809788	0.6965519864525042	1.3152005764778854	0.8498405294916825	2.120951826067317	0.7216632868350897	0.42767862551266883	0.5793300348804289	0.11995893046467895	1.6854759413616247	0.3422957968166306	2.144146130694615	1.0941196232871264	3.0028241129807616	1.171651287297174	1.2141959115588759	3.1534684992085635	0.9059615019788887	0.6527484450519685	0.2864809110496009	0.5330910187049483	1.0751126286975061	1.161653378136376	1.8398125940716807	1.119247021825869	0.9368254881734106	2.653450016508962	2.9223025312963684	2.0408105118184023	0.16206218482113352	0.4624806252967948	1.0009884222084162	1.3850034470575336	0.7963034798749463	0.9231573108780428	0.8623951281347603	1.4690801619060176	1.2520849806595584	2.305602701592061	2.3506311682977423	2.2593910612192727	1.7268734262954135	3.066294792036479	1.4970350712413336	3.2886366315629285	2.361770386926544	2.578647781088164	4.090446438291007	2.810592531123295	2.60399658661965	1.7043833442448653	2.2956234742469097	3.2245399444399836	2.820169985351854	2.802029753237537	3.3780806268244175	2.228381293159473	2.5019481387237548	2.8021061724123393	2.079641188398053	3.133235359608908	2.228901158990661	2.959436301350147	2.957960919686962	2.3522801729038556	3.804683141476284	3.7182632885407876	3.205406562750104	2.2735066271569178
Vil1.06B.FP67	0.8824166937632382	0.5315339095505265	1.2778855210659448	1.2820359310364007	1.1817099088065999	0.0	3.389171158840439	1.588051121445587	1.2042998551599484	0.8108263617463903	3.1617618820643667	2.395311880169224	1.78247427423144	0.5808477332343277	1.0779028343034152	1.0864009348796728	1.2027792463013824	1.5271809175659286	0.9659880785113478	0.6609191638522125	0.6608320998697086	0.3895589970618133	0.33063646067978497	1.600154018025919	0.10069016561558854	0.9888740962796778	0.6947452509034867	1.3348925076694165	0.4039304212609527	1.5532817309608538	0.5455474503094272	0.7988074388324143	0.6413270160052857	1.1832231621368616	2.475415848988758	1.0570787044791077	1.7692590806334327	0.31256698457080423	2.829888565954948	0.5069493543982145	0.6826877147553662	3.1321276287805073	0.6136020295689715	1.5389932653734353	0.9196726625363064	0.8309760319494277	0.48041308219896256	0.4778671564984845	1.0368261826570115	0.4614123488880261	0.5431188361707439	2.515509882385116	2.809341524931696	1.6422613316712888	1.2271309040130447	0.8573119780114835	1.4368465428605874	1.1198999696673508	0.47729000065226135	0.43329208853482537	0.7738897992624597	0.40727589235102124	0.8568788277030113	2.6484638647982717	1.38843313380872	1.426359565317215	0.6332901232702286	2.232778136788913	0.4116625724767709	2.2033651256458597	1.3450731375758067	1.4883647559421294	2.9277202145611816	1.661373330218767	1.620064519029028	0.5782269052173677	1.2007720625489768	2.0788248040947375	1.7097305286166684	1.685570344423791	2.3285522911328496	1.1615066641303502	1.5670304411963858	1.6479599427844507	0.9551077468000823	2.0791351059960506	1.683691195668933	1.9078814901529448	1.9643899969805116	1.5471650315281151	2.6606876380151876	2.5998376423389327	2.0590501920484767	1.0975558743160179
Vil1.09B.FP108	3.9541541917349616	3.516315536061279	2.1886543710967516	2.2366568075919924	3.442598668808261	3.389171158840439	0.0	2.158301657183958	2.3361039348488593	2.616779040248707	0.39663426417049785	1.2384648748785665	3.000425369057968	2.8108864260439193	3.4955988048376683	4.194463334462405	2.2496992623235297	2.2879051566182467	2.5888312752516227	2.9773337416691255	3.3205802120226933	3.210665267633836	3.502292733266045	2.0001619898332983	3.3181559860107672	2.560982910397558	3.711568246639701	2.2156143008380265	3.1736256903274547	1.998399841369828	3.1628951153142673	3.300118405146939	3.497945028862753	3.3310678512247724	2.4318627946561513	3.1835027044740327	1.671266689037787	3.0971085258797073	0.8466947979119206	2.896982912903593	4.031319275499826	0.42238452563337986	3.8226976981282865	2.9971555746124814	3.341393813165134	3.089494501685066	2.950291959662063	3.8365229374684544	2.5398853835483477	3.80043568775937	3.7761821867765017	1.1998258401316235	0.6591086371565733	1.816984865848575	3.4766568902604527	3.6303426794951146	4.393600389835763	2.3497933922941074	3.58863993276564	3.09482340744502	3.9215415740772532	3.1579770727692855	4.186656624543078	1.3734580684833733	2.7284219730096875	2.4562110504746957	3.2306428987535707	2.3413571904740365	3.2180793393484817	3.3026508646136827	2.9068140304601706	3.162891384204898	4.290240452648444	3.527550295146484	2.7693803010308677	3.333215279524994	3.1346243790140877	4.667499925150168	4.558360571314337	3.3153430849149768	3.1983063488853554	3.0834127268658738	4.773884260847438	4.318611843524586	3.2225154335303565	3.12776965180342	5.061602560111642	3.07656583280721	4.9853557941708075	4.860998356877375	3.9341900035236366	3.6948990902521546	3.651600703386605	3.813756542305707
Itg.22.FP515.S18	2.411297902161774	1.9672594328036022	0.967005535937899	1.1603249607175872	2.3045497517528832	1.588051121445587	2.158301657183958	0.0	1.2660603766559666	0.8313601350004087	2.080368203234699	0.9637554902902766	2.404234126363843	1.088559515089952	2.256650978872863	2.6369327936624836	0.8939793029907871	0.14401771422443962	1.3158018347525395	1.5315786437026513	1.881891097613153	1.5988811397470426	1.8418923969344376	0.21991726597267713	1.5635936752276123	0.6488056654941928	2.179331743997802	1.242528276702477	1.6005616195795216	0.3071207395793927	1.6691010773120962	1.950524234538173	2.00732821511897	2.2281755132550556	2.5734764395871923	2.022240156696254	0.6325318360649428	1.388755485514789	1.6568905813328372	1.2135073661360498	2.2599178466838548	2.0072966910969936	2.171887141999928	2.210041170624294	2.063603421559124	1.7912533928692411	1.3097516322522371	2.0625594774916456	0.5896646374366804	2.0476246330859253	2.101007144766758	1.5345547485763051	1.6488468269184697	0.5895512387324149	2.3419748121561264	2.214619972944423	2.952605296207381	1.0100624867418186	1.97935880411848	1.4960909170912786	2.3254588821068087	1.2319323306354535	2.44214382518936	2.0764171061020607	0.6708343888527194	0.5136679032129478	1.2591305691928631	0.9008594361384721	1.3162171687288269	1.418196963487653	0.8546495906375459	1.0873887245157277	2.431674617187185	1.4399167443069267	0.7499718657819736	1.3570630080362847	1.0267465192848433	2.525016212517162	2.4140223060224058	1.250281581073991	1.4441754093483994	1.0188313571528207	2.6997479134357825	2.166536129533593	1.1229613252841333	1.2567757649561833	3.1411452436333085	1.1436822931939599	2.88953903943473	2.8386065671919494	2.0797649174253183	1.8890714943040647	1.6406587335345282	1.6923861422690298
Lyz2.05B.FP255.S52	1.6350413990735195	1.2096985459806677	0.3622015625633062	0.18753665156574179	1.194762549493505	1.2042998551599484	2.3361039348488593	1.2660603766559666	0.0	0.737317731007309	2.0540483364471442	1.591582113292998	1.1382869852374364	0.7450370845111822	1.200364359684768	1.8669700255488058	0.42093252948946974	1.321068985582515	0.26895215864445116	0.6544382752718105	0.9866298959518254	0.9213368349622366	1.2193184640231924	1.1092269479427443	1.115472464368091	0.9776441994149573	1.4048941987781733	0.15714419342405464	0.8999052847241154	1.0139707933152118	0.8414594820529379	0.9703101696913714	1.1675990687436988	1.0913218921751588	1.4561315001815311	0.9008529277832955	0.963174838867349	0.8951387574375642	1.9169920194809182	0.7335120829894413	1.7531272097582091	2.0836988666713734	1.5126069753991782	0.9611620103427081	1.0299773696494343	0.7598590131543775	0.7324807913727167	1.5826845514408405	1.0124293584252553	1.5461578813853347	1.471949807582307	1.6312293477313877	1.8145848638690338	0.8696518057724685	1.2246369564721724	1.299863453096753	2.0767751901239526	0.3323647418581205	1.2853346958688383	0.8166244469443852	1.609749142165611	1.1370382494869071	1.9011926755291342	1.4548951186091892	1.5700789911911555	1.3846670033095427	1.3948839445051235	2.0820482553482274	1.2399291590763588	2.5397844887593584	1.6673604825930561	1.9459394917235888	3.4907769221961513	2.275491681562317	1.7965704089176413	1.4477417071173748	1.7156451257177654	3.0770210831531593	2.786964136163616	2.1747203192867453	2.5908017113355895	1.6527426898263309	2.759441828198702	2.644501150204865	1.604005675234271	2.3666667319637544	2.8484984578761035	2.2104009253138606	3.1195378805821816	2.7507784494251326	3.158485793822822	3.010804067334001	2.610964286709163	2.0640132271051552
Vil1.04B.FP43	1.5853262822529854	1.1380683113264494	0.6198225583104889	0.726032719823494	1.5107062209208924	0.8108263617463903	2.616779040248707	0.8313601350004087	0.737317731007309	0.0	2.421762072852679	1.58455178516957	1.7690494348743553	0.2646101513257768	1.4523640094019488	1.8147042428585918	0.5185392275609105	0.8104081884174886	0.6391372729957074	0.7302781937865216	1.0580140309784472	0.7728668260064028	1.0232979438939034	0.8016591984718201	0.7653233887054706	0.331851518264307	1.3521601630073434	0.809603943834984	0.7711335846125102	0.7472577604208047	0.8439186696600992	1.1371901618848224	1.1771292908698359	1.4479619329898439	2.1882248762934178	1.249860998570997	0.9666607184850575	0.5665551385238268	2.086260260620615	0.3837421843988961	1.4849329594695806	2.3879529413663168	1.3580857719470307	1.5439815687188994	1.255830532638114	1.0005009514987426	0.4809889754779902	1.2861572313738678	0.3671732301217332	1.2644554467631701	1.2914996262379719	1.822481761541921	2.052620538399035	0.8412471664064504	1.552098099326189	1.3873830592320107	2.123122926811202	0.5150307782199235	1.1551498003996528	0.6686727066088012	1.5055664239993296	0.5445085505635244	1.6620800418126436	2.05732207496887	0.9082178374300544	0.8200484842870183	0.7467497371592887	1.6028821450272155	0.6592775957114135	1.8586424100348675	0.9784655477910922	1.2305909154646895	2.7730910587133706	1.5431921425813007	1.1439994863165008	0.8153328828285079	0.9884051437562894	2.3694859862144666	2.116695962115001	1.4543485291971918	1.9394752891036457	0.94196052728417	2.19847388944804	1.946055770225976	0.8771900586196258	1.7002422798779764	2.4688571335823464	1.5365579102118316	2.502038418691382	2.2579139053342376	2.449827859858841	2.3196288611123608	1.8870776500351583	1.3715375901828646
