	observed_features
BioGeo-TL1a_FP_77-REP1_S4_R1_001.fastq_profiled_metagenome	55
BioGeo-TL1a_FP_73-REP1_S3_R1_001.fastq_profiled_metagenome	113
BioGeo-TL1a_FP_65_merged_R1_001.fastq_profiled_metagenome	86
BioGeo-TL1a_FP_61_merged_R1_001.fastq_profiled_metagenome	106
BioGeo-TL1a_FP_241_merged_R1_001.fastq_profiled_metagenome	70
BioGeo-TL1a_FP_209-REP1_S11_R1_001.fastq_profiled_metagenome	75
BioGeo-TL1a_FP_205_merged_R1_001.fastq_profiled_metagenome	72
BioGeo-TL1a_FP_143_merged_R1_001.fastq_profiled_metagenome	3
BioGeo-TL1a_FP_139_merged_R1_001.fastq_profiled_metagenome	79
BioGeo-TL1a_FP_101-REP1_S6_R1_001.fastq_profiled_metagenome	9
BioGeo-TL1A_FP_689-Rep1_S104_R1_001.fastq_profiled_metagenome	31
BioGeo-TL1A_FP_685-REP1_S22_R1_001.fastq_profiled_metagenome	81
BioGeo-TL1A_FP_641_merged_R1_001.fastq_profiled_metagenome	54
BioGeo-TL1A_FP_637_merged_R1_001.fastq_profiled_metagenome	81
