	Lyz2.04B.FP244.S41	Vil1.05B.FP57	Itg.02.FP409.S9	Vil1.01B.FP07	Lyz2.04B.FP243.S92	Lyz2.04B.FP245.S42	Vil1.01B.FP08	Vil1.14B.FP167	Vil1.06B.FP67	Lyz2.01B.FP208.S56	Vil1.09B.FP108	Itg.22.FP515.S18	Lyz2.05B.FP255.S52	Itg.24.FP528.S31	Vil1.04B.FP43	Vil1.08B.FP95	Vil1.09B.FP106	Vil1.10B.FP120	Vil1.03B.FP32	Vil1.08B.FP96	Itg.26.FP540.S44	Vil1.06B.FP68	Lyz2.08B.FP291.S89	Vil1.01B.FP09	Vil1.06B.FP69	Vil1.02B.FP19	Itg.26.FP539.S43	Itg.18.FP491.S94	Itg.16.FP481.S84	Vil1.03B.FP33	Itg.08.FP445.S46	Itg.24.FP529.S32	Lyz2.08B.FP292.S90	Vil1.10B.FP119	Vil1.04B.FP44	Itg.20.FP504.S7	Vil1.07B.FP79	Itg.24.FP527.S30	Lyz2.07B.FP279.S77	Lyz2.06B.FP269.S67	Lyz2.03B.FP231.S79	Lyz2.07B.FP281.S79	Vil1.09B.FP107	Itg.08.FP443.S44	Vil1.04B.FP45	Lyz2.05B.FP256.S53	Itg.12.FP469.S71	Itg.06.FP433.S34	Lyz2.02B.FP220.S68	Lyz2.05B.FP257.S54	Vil1.08B.FP94	Itg.02.FP408.S8	Vil1.02B.FP21	Itg.16.FP479.S81	Vil1.05B.FP55	Itg.22.FP516.S19	Itg.04.FP420.S20	Itg.10.FP456.S58	Vil1.13B.FP156	Itg.18.FP492.S95	Itg.12.FP468.S70	Itg.12.FP467.S69	Itg.20.FP505.S8	Vil1.14B.FP166	Itg.22.FP517.S20	Lyz2.06B.FP268.S65	Lyz2.03B.FP233.S81	Lyz2.02B.FP221.S69	Vil1.07B.FP81	Itg.06.FP431.S32	Lyz2.06B.FP267.S64	Itg.02.FP407.S7	Itg.04.FP419.S19	Lyz2.01B.FP207.S55	Vil1.13B.FP155	Itg.08.FP444.S45	Vil1.13B.FP154	Vil1.14B.FP168	Vil1.03B.FP31	Lyz2.03B.FP232.S80	Itg.18.FP493.S96	Itg.10.FP457.S59	Itg.06.FP432.S33	Lyz2.01B.FP209.S57	Lyz2.07B.FP280.S78	Itg.16.FP480.S83	Vil1.07B.FP80	Itg.10.FP455.S57	Vil1.05B.FP56	Vil1.02B.FP20	Itg.04.FP421.S21	Itg.26.FP541.S45	Lyz2.08B.FP293.S91	Itg.20.FP503.S6	Lyz2.02B.FP219.S67	Vil1.10B.FP118	SLCFP021	SLCFP069	SLCFP111	LYZFP304	SLCFP067	SLCFP051	LYZFP328	LYZFP317	SLCFP093	SLCFP091	LYZFP327	SLCFP073	SLCFP128	SLCFP092	SLCFP002	SLCFP019a	LYZFP316	SLCFP075	SLCFP049	LYZFP339	LYZFP315	SLCFP050	LYZFP352	LYZFP305	SLCFP127	LYZFP340	SLCFP129	LYZFP351	SLCFP074	LYZFP303	SLCFP003	SLCFP068	SLCFP001	SLCFP110	LYZFP353	SLCFP109	SLCFP020	LYZFP329	LYZFP341	SLCFP164	SLCFP163	SLCFP145	SLCFP165	SLCFP146	SLCFP147
Lyz2.04B.FP244.S41	0.0	0.6063849943160288	0.5805229253505115	0.4872110647972717	0.26439939370973853	0.150909435392194	0.48910572186434254	0.8453012504736642	0.5796703296703297	0.4849374763167867	0.7711254262978401	0.4739484653277757	0.6330996589617279	0.4885373247442213	0.5604395604395604	0.653183023872679	0.7437476316786662	0.6654982948086396	0.5000947328533536	0.5728495642288746	0.514304660856385	0.6151004168245547	0.5081470253884047	0.44268662372110645	0.6464569912845775	0.43207654414550967	0.4975369458128079	0.653183023872679	0.6153846153846154	0.5326828344069723	0.5787230011367942	0.530693444486548	0.47849564228874575	0.6913603637741569	0.552860932171277	0.40090943539219404	0.6750663129973474	0.5524820007578628	0.5730390299355816	0.5942591890867753	0.36538461538461536	0.5954907161803713	0.758715422508526	0.5410193255020841	0.5809965896172793	0.6261841606669193	0.5657446002273588	0.4535809018567639	0.41815081470253884	0.6435202728306176	0.6642667677150436	0.523209549071618	0.47603258810155363	0.5993747631678666	0.5936907919666541	0.5115574081091322	0.5067260325881016	0.41426676771504356	0.8801629405077681	0.669571807502842	0.5210306934444866	0.5338196286472149	0.4708222811671088	0.8241758241758241	0.5470822281167109	0.567165593027662	0.3111974232663888	0.41426676771504356	0.6834975369458128	0.4316976127320955	0.5422508525956802	0.531924971580144	0.537514209928003	0.4004357711254263	0.8426487305797651	0.5502084122773778	0.8780788177339901	0.818207654414551	0.5520083364910952	0.3226600985221675	0.6351837817355058	0.45073891625615764	0.46845395983327015	0.5129784009094354	0.47101174687381586	0.632247063281546	0.6911708980674498	0.3798787419477075	0.6019325502084123	0.4479916635089049	0.4616331943918151	0.5158203865100417	0.4383289124668435	0.3781735505873437	0.4829480863963623	0.6753505115574081	0.6949602122015915	0.5328723001136795	0.605721864342554	0.4224137931034483	0.5501136794240242	0.6845395983327017	0.7404319818112921	0.5633762788935203	0.5684918529746116	0.5647972716938234	0.7304850322091702	0.49573702159909055	0.4607805987116332	0.4973474801061008	0.5098522167487685	0.7062334217506632	0.4121826449412656	0.4520651762031072	0.6753505115574081	0.6288366805608185	0.42762410003789314	0.6381205001894658	0.6381205001894658	0.6407730200833649	0.46172792724516865	0.595774914740432	0.49914740431981813	0.6733611216369837	0.4401288366805608	0.558450170519136	0.5537135278514589	0.5203675634710118	0.4927055702917772	0.5763546798029556	0.6675824175824175	0.572565365668814	0.6936339522546419	0.7044334975369458	0.5529556650246306	0.5845017051913604	0.5881962864721485	0.4134141720348617	0.5895225464190982	0.5144941265630921	0.6263736263736264
Vil1.05B.FP57	0.6063849943160288	0.0	0.5659340659340659	0.5160098522167488	0.6625615763546798	0.5569344448654794	0.47063281546040164	0.8505115574081091	0.4530125047366427	0.5234937476316787	0.7251799924213718	0.5555134520651762	0.5158203865100417	0.5221674876847291	0.469117089806745	0.7888404698749526	0.7503789314134142	0.6226790450928382	0.412940507768094	0.6767715043577113	0.43558165971959073	0.37438423645320196	0.6094164456233422	0.4167298219022357	0.3918150814702539	0.5312618416066692	0.5080522925350511	0.5541871921182266	0.4793482379689276	0.4698749526335733	0.4661803713527852	0.472432739674119	0.5712391057218643	0.7425161045850701	0.4132247063281546	0.5648920045471769	0.5359037514209928	0.46115953012504735	0.47499052671466463	0.5343880257673361	0.6775293671845396	0.4627699886320576	0.7382531261841606	0.5370405456612353	0.3788366805608185	0.4654225085259568	0.45367563471011746	0.4805797650625237	0.5343880257673361	0.4458128078817734	0.7153277756726033	0.5772072754831375	0.4503599848427435	0.5415877226222053	0.2990716180371353	0.5355248200075786	0.586017430845017	0.5024630541871922	0.9011936339522546	0.559302766199318	0.4068776051534672	0.4482758620689655	0.5764494126563092	0.7805987116331944	0.5387457370215991	0.5098522167487685	0.6393520272830617	0.5656498673740054	0.4209928003031451	0.4898635846911709	0.47991663508904886	0.5897120121258053	0.47877984084880637	0.534009094353922	0.9228874573702159	0.5079575596816976	0.9440128836680561	0.8212391057218643	0.4945054945054945	0.6667298219022357	0.4894846532777567	0.43075028419856004	0.5293671845395983	0.5484084880636605	0.4841796134899583	0.5044524441076165	0.514304660856385	0.5473664266767715	0.1427624100037893	0.46097006441834026	0.5222622205380826	0.4403183023872679	0.4986737400530504	0.6136794240242516	0.5446191739295188	0.7535998484274347	0.494410761652141	0.5755968169761273	0.5388404698749526	0.5757862826828344	0.6553618794998105	0.5784388025767336	0.5481242895035998	0.7913035240621448	0.7073702159909057	0.6350890488821523	0.6220159151193634	0.6705191360363774	0.5782493368700266	0.7314323607427056	0.5972906403940886	0.5599658961727927	0.6086585827965139	0.6126373626373627	0.6151004168245547	0.5983327017809776	0.6349943160287987	0.5690602500947328	0.4812428950359985	0.8860363774156877	0.6314892004547177	0.5456612353164078	0.5805229253505115	0.4902425161045851	0.617752936718454	0.7703675634710118	0.5775862068965517	0.6088480485032209	0.5810913224706328	0.507862826828344	0.4927055702917772	0.5477453580901857	0.5173361121636983	0.5328723001136795	0.5082417582417582	0.5999431602879879	0.5268093974990526	0.6582038651004168	0.5683971201212581	0.6107427055702918	0.6152898825312618
Itg.02.FP409.S9	0.5805229253505115	0.5659340659340659	0.0	0.6957180750284199	0.6714664645699129	0.5336301629405078	0.6315839333080713	0.743368700265252	0.6520462296324365	0.5905646078059871	0.6591511936339522	0.4598332701780978	0.4544334975369458	0.3334596438044714	0.5773967411898446	0.8149867374005305	0.6503410382720728	0.5937855248200076	0.4608753315649867	0.7002652519893899	0.36756347101174686	0.5789124668435013	0.6812239484653277	0.5919856006062902	0.5989958317544525	0.5354300871542251	0.4725274725274725	0.605721864342554	0.6006062902614627	0.4146456991284577	0.4805797650625237	0.3311860553239864	0.6232474422129595	0.6982758620689655	0.5355248200075786	0.49526335733232285	0.7177908298597954	0.33383857521788557	0.6369837059492232	0.4039408866995074	0.6978969306555514	0.6047745358090185	0.7401477832512315	0.5656498673740054	0.5251042061386889	0.4742326638878363	0.41720348616900343	0.5559871163319439	0.6452254641909815	0.40318302387267907	0.7947139067828723	0.16369837059492232	0.4634331186055324	0.6724137931034483	0.559302766199318	0.31441834028040927	0.5680181887078439	0.4554755589238348	0.7949981053429329	0.5807123910572186	0.4000568397120121	0.46883289124668437	0.48777946191739296	0.6578249336870027	0.33402804092459265	0.35913224706328156	0.6317733990147784	0.6549829480863963	0.6710875331564987	0.6042061386888973	0.36462675255778704	0.23342175066312998	0.4858848048503221	0.6083743842364532	0.8092080333459644	0.538556271314892	0.8211443728685108	0.6850132625994695	0.5512504736642667	0.6728874573702159	0.5359984842743464	0.41530882910193256	0.660856384994316	0.5771125426297841	0.6291208791208791	0.6406782872300114	0.7138120500189465	0.5322091701402046	0.5349564228874574	0.5037893141341417	0.5218832891246684	0.3581849185297461	0.5660287987874195	0.5569344448654794	0.6178476695718075	0.765536187949981	0.681792345585449	0.5229253505115574	0.44173929518757105	0.5771125426297841	0.6052482000757863	0.636604774535809	0.6642667677150436	0.7564418340280409	0.5669761273209549	0.5547555892383479	0.671845395983327	0.6678666161424782	0.5945433876468359	0.5687760515346723	0.4860742705570292	0.7120121258052292	0.5683023872679045	0.6058165971959075	0.6822660098522167	0.6982758620689655	0.5950170519136037	0.6194581280788177	0.5728495642288746	0.84037514209928	0.6276051534672225	0.6338575217885563	0.5792913982569154	0.5948275862068966	0.6365100416824555	0.7472527472527473	0.5129784009094354	0.57379689276241	0.4878741947707465	0.5045471769609701	0.5797650625236832	0.432834406972338	0.6794240242516104	0.623342175066313	0.5972906403940886	0.46968548692686624	0.5856384994316028	0.5918908677529368	0.43103448275862066	0.47148541114058357	0.5082417582417582
Vil1.01B.FP07	0.4872110647972717	0.5160098522167488	0.6957180750284199	0.0	0.42639257294429705	0.5107048124289504	0.13442591890867753	0.8851837817355058	0.36898446381205	0.5409245926487306	0.6549829480863963	0.3764683592269799	0.44439181508147024	0.5107995452823039	0.28950359984842744	0.6224895793861311	0.6341417203486169	0.5585449033724896	0.3920992800303145	0.5912277377794619	0.5151572565365669	0.4632436528988253	0.41426676771504356	0.2411898446381205	0.5338196286472149	0.28884046987495265	0.3866995073891626	0.5041682455475559	0.4545282303902994	0.510989010989011	0.5205570291777188	0.5790071996968549	0.44154982948086396	0.6746873815839333	0.3237021599090565	0.4155930276619932	0.3755210306934445	0.5553239863584691	0.30238726790450926	0.6907919666540356	0.4829480863963623	0.48673740053050396	0.6457938613111027	0.37722622205380824	0.40498294808639634	0.46002273588480486	0.5468927624100038	0.3731527093596059	0.4046987495263357	0.5767336112163698	0.5938802576733612	0.6300682076544145	0.44344448654793484	0.4211822660098522	0.35543766578249336	0.5592080333459644	0.4784009094353922	0.42857142857142855	0.8504168245547555	0.5734179613489958	0.5000947328533536	0.42260325881015537	0.5206517620310723	0.786472148541114	0.6192686623721106	0.6393520272830617	0.4644751799924214	0.4233611216369837	0.44562334217506633	0.2607995452823039	0.5708601743084502	0.5181887078438803	0.532114437286851	0.36074270557029176	0.832701780977643	0.40526714664645697	0.8723001136794241	0.8506062902614627	0.30674497915877225	0.4880636604774536	0.5129784009094354	0.46153846153846156	0.2574838954149299	0.5921750663129973	0.3356384994316029	0.4270557029177719	0.43292913982569153	0.36320575975748387	0.5664077302008337	0.32019704433497537	0.48531640773020085	0.5173361121636983	0.39721485411140584	0.3176392572944297	0.5064418340280409	0.6043008715422509	0.5245358090185677	0.5637552103069344	0.7084122773777947	0.5303145130731337	0.5397877984084881	0.6649298976885184	0.5271883289124668	0.603448275862069	0.6559302766199318	0.6206896551724138	0.4586017430845017	0.41265630920803337	0.31943918150814704	0.5995642288745737	0.5938802576733612	0.5439560439560439	0.4244031830238727	0.4341606669192876	0.554945054945055	0.4599280030314513	0.41445623342175064	0.5377036756347101	0.49820007578628267	0.7120121258052292	0.3517430845017052	0.4678855627131489	0.4514020462296324	0.48313755210306936	0.34748010610079577	0.6122584312239485	0.6158582796513831	0.46097006441834026	0.5297461159530125	0.6942023493747632	0.6223001136794241	0.5767336112163698	0.5431034482758621	0.5445244410761653	0.4582228116710875	0.4980106100795756	0.41114058355437666	0.41066691928760896	0.54518757104964	0.5796703296703297	0.6370784388025768
Lyz2.04B.FP243.S92	0.26439939370973853	0.6625615763546798	0.6714664645699129	0.42639257294429705	0.0	0.33071239105721867	0.47584312239484655	0.8257862826828344	0.566123531640773	0.5864910951117848	0.7605153467222433	0.45651762031072374	0.6296892762410004	0.5354300871542251	0.5411140583554377	0.5520083364910952	0.7444107616521409	0.6494884425918909	0.5614816218264495	0.5602500947328534	0.5597764304660856	0.6423834785903751	0.37410003789314134	0.5030314513073134	0.6888025767336112	0.3738158393330807	0.4850322091701402	0.6172792724516862	0.6025009473285335	0.6126373626373627	0.6141530882910193	0.599280030314513	0.38925729442970824	0.6809397499052672	0.5473664266767715	0.46390678287230014	0.6375521030693444	0.6153846153846154	0.5627131489200454	0.695907540735127	0.20613868889730957	0.64759378552482	0.7575786282682835	0.48995831754452446	0.601364153088291	0.6807502841985601	0.6274156877605154	0.3989200454717696	0.31025009473285337	0.714759378552482	0.5726600985221675	0.601364153088291	0.5261462675255779	0.5756915498294809	0.5690602500947328	0.5933118605532398	0.3999621068586586	0.44884425918908677	0.8752368321333839	0.6617089806744979	0.5886699507389163	0.5339143615005684	0.5419666540356195	0.8038082607048125	0.6441834028040925	0.6517620310723758	0.20007578628268283	0.31527093596059114	0.6816976127320955	0.3795945433876468	0.6037324744221296	0.546229632436529	0.6106479727169383	0.453770367563471	0.8372489579386131	0.5270935960591133	0.8765630920803335	0.8000189465706707	0.5244410761652141	0.1740242516104585	0.6308260704812428	0.5019893899204244	0.3201023114816218	0.6250473664266768	0.5127889352027283	0.592459264873058	0.6650246305418719	0.3526904130352406	0.6726979916635089	0.46021220159151194	0.48181129215611973	0.5689655172413793	0.473474801061008	0.3462485790071997	0.550587343690792	0.6810344827586207	0.6851079954528231	0.5827965138309966	0.6834028040924592	0.3966464569912846	0.5674497915877226	0.7505683971201212	0.7476316786661614	0.4078249336870027	0.6117847669571808	0.6121636983705949	0.7003599848427434	0.3552482000757863	0.4391815081470254	0.534009094353922	0.5839333080712391	0.6919287608942781	0.3896362258431224	0.44732853353543006	0.6725085259568018	0.6279840848806366	0.39134141720348614	0.650909435392194	0.6694770746494885	0.5019893899204244	0.29774535809018565	0.6305418719211823	0.5449981053429329	0.6901288366805608	0.3183023872679045	0.43056081849185296	0.6288366805608185	0.49497915877226223	0.5380826070481243	0.6880447139067829	0.7281167108753316	0.5777756726032588	0.692591890867753	0.7540735126942023	0.6203107237589996	0.549545282303903	0.5459454338764683	0.3721106479727169	0.5598711633194392	0.5863016294050777	0.7050018946570671
Lyz2.04B.FP245.S42	0.150909435392194	0.5569344448654794	0.5336301629405078	0.5107048124289504	0.33071239105721867	0.0	0.4657067070860174	0.8472906403940886	0.5475558923834786	0.4503599848427435	0.7607995452823039	0.46684350132625996	0.6170898067449792	0.4662751042061387	0.5310723758999621	0.6659719590754074	0.743368700265252	0.6594353921940129	0.46798029556650245	0.5708601743084502	0.48645320197044334	0.5675445244410762	0.5382720727548314	0.40403561955286094	0.596816976127321	0.4149298976885184	0.48560060629026147	0.6388783630162941	0.5845017051913604	0.4671276998863206	0.5411140583554377	0.49109511178476695	0.49308450170519136	0.6885183781735505	0.5204622963243652	0.34378552482000757	0.6573512694202349	0.5217885562713149	0.5322091701402046	0.5605342932929139	0.41398256915498294	0.5177150435771125	0.752273588480485	0.5251042061386889	0.5285145888594165	0.6074270557029178	0.5284198560060629	0.46068586585827964	0.44761273209549074	0.6083743842364532	0.67165593027662	0.4984842743463433	0.4057408109132247	0.582701780977643	0.565081470253884	0.4700644183402804	0.5384615384615384	0.390962485790072	0.8731527093596059	0.6464569912845775	0.4870215990905646	0.5103258810155362	0.39598332701780975	0.8255020841227738	0.4832322849564229	0.5307881773399015	0.3253126184160667	0.4461917392951876	0.6408677529367185	0.4449602122015915	0.5059681697612732	0.517620310723759	0.4934634331186055	0.401951496779083	0.8366805608184918	0.5361879499810535	0.8757104964001515	0.8192497158014399	0.5388404698749526	0.3685107995452823	0.6038272072754831	0.41114058355437666	0.4987684729064039	0.46703296703296704	0.449412656309208	0.6049640015157256	0.6643615005683972	0.41890867752936717	0.5498294808639637	0.41644562334217505	0.47631678666161426	0.48692686623721104	0.4398446381205002	0.37675255778704053	0.4217506631299735	0.7161803713527851	0.6680560818491853	0.4649488442591891	0.565081470253884	0.4421182266009852	0.5244410761652141	0.6010799545282304	0.7200644183402805	0.6065744600227359	0.5360932171276999	0.5400719969685487	0.7190223569533915	0.5339143615005684	0.42108753315649866	0.5366616142478211	0.45073891625615764	0.6811292156119743	0.4539598332701781	0.4720538082607048	0.610079575596817	0.6175634710117469	0.473474801061008	0.5719969685486926	0.6047745358090185	0.6942023493747632	0.47802197802197804	0.5770178097764305	0.42279272451686245	0.6407730200833649	0.4745168624478969	0.6106479727169383	0.48825312618416067	0.4812428950359985	0.4607805987116332	0.5395035998484274	0.6244789693065556	0.5436718453959833	0.6643615005683972	0.6759189086775294	0.5262410003789314	0.5686813186813187	0.5712391057218643	0.43472906403940886	0.5659340659340659	0.4496021220159151	0.5557976506252368
Vil1.01B.FP08	0.48910572186434254	0.47063281546040164	0.6315839333080713	0.13442591890867753	0.47584312239484655	0.4657067070860174	0.0	0.8801629405077681	0.3663319439181508	0.48626373626373626	0.6485411140583555	0.37457370215990904	0.4175824175824176	0.4785903751420993	0.2629784009094354	0.6561197423266388	0.6471201212580523	0.5610079575596817	0.32720727548313755	0.6037324744221296	0.47697991663508904	0.41644562334217505	0.4640015157256537	0.17175066312997347	0.482379689276241	0.3055134520651762	0.38508904888215234	0.4936528988253126	0.40668813944676013	0.4447707464948844	0.4830428192497158	0.527567260325881	0.4508336491095112	0.6589617279272452	0.28154604016672985	0.38897309586964757	0.39370973853732477	0.512220538082607	0.29120879120879123	0.6220159151193634	0.5349564228874574	0.4387078438802577	0.6405835543766578	0.378931413414172	0.3499431602879879	0.3995831754452444	0.4929897688518378	0.376657824933687	0.429518757104964	0.4931792345585449	0.6138688897309587	0.5791019325502084	0.36557408109132244	0.41909814323607425	0.33402804092459265	0.49943160287987876	0.5099469496021221	0.41767715043577114	0.8516483516483516	0.5500189465706707	0.44079196665403564	0.39086775293671844	0.47338006820765444	0.7804092459264873	0.5548503220917014	0.5697233800682077	0.4878741947707465	0.44173929518757105	0.42610837438423643	0.281924971580144	0.5027472527472527	0.493368700265252	0.4745168624478969	0.36879499810534294	0.8292913982569154	0.38092080333459644	0.8684160666919287	0.8434065934065934	0.3103448275862069	0.5283251231527094	0.4854111405835544	0.4298976885183782	0.29585070102311484	0.5341038272072755	0.3402804092459265	0.40034103827207274	0.429518757104964	0.41350890488821523	0.5146835922697992	0.2704622963243653	0.4975369458128079	0.46883289124668437	0.3980674497915877	0.3525956801818871	0.458128078817734	0.650909435392194	0.5081470253884047	0.5197991663508905	0.6618037135278515	0.5326828344069723	0.5311671087533156	0.6283630162940508	0.49592648730579764	0.6524251610458507	0.6212580522925351	0.5960591133004927	0.45708601743084504	0.4711064797271694	0.35884804850322094	0.6194581280788177	0.5484084880636605	0.5366616142478211	0.45386510041682454	0.4619173929518757	0.5492610837438424	0.4403183023872679	0.4530125047366427	0.5230200833649109	0.4545282303902994	0.7682834406972338	0.40138309965896174	0.4367184539598333	0.43160287987874196	0.4508336491095112	0.39389920424403185	0.6593406593406593	0.5717127699886321	0.45585449033724895	0.5042629784009094	0.6471201212580523	0.5698181129215611	0.5639446760136415	0.5259568018188708	0.48891625615763545	0.40261462675255777	0.5107995452823039	0.41426676771504356	0.45490716180371354	0.5388404698749526	0.5325881015536188	0.5782493368700266
Vil1.14B.FP167	0.8453012504736642	0.8505115574081091	0.743368700265252	0.8851837817355058	0.8257862826828344	0.8472906403940886	0.8801629405077681	0.0	0.88101553618795	0.89759378552482	0.7933876468359227	0.6470253884046987	0.8200075786282682	0.740242516104585	0.8176392572944297	0.8796892762410004	0.7813565744600227	0.7410003789314135	0.820481242895036	0.862353164077302	0.7507578628268283	0.8908677529367185	0.8875521030693444	0.8851837817355058	0.8926676771504358	0.7643993937097385	0.739010989010989	0.7744410761652141	0.8505115574081091	0.8235126942023494	0.7694202349374764	0.7723569533914362	0.9018567639257294	0.6783819628647215	0.7956612353164078	0.8270178097764305	0.8769420234937476	0.7736832133383857	0.8728685107995453	0.8301439939370974	0.8831943918150815	0.8815839333080713	0.7891246684350133	0.7498105342932929	0.8257862826828344	0.8331754452444108	0.7306744979158772	0.8671845395983327	0.8800682076544145	0.8365858279651384	0.8680371352785146	0.6846343311860553	0.7893141341417204	0.8332701780977643	0.8264494126563092	0.689276241000379	0.8318491852974612	0.666445623342175	0.35960591133004927	0.7523683213338386	0.7453580901856764	0.7534103827207276	0.8422697991663509	0.18245547555892383	0.7340848806366048	0.8118605532398636	0.8740053050397878	0.8783630162940508	0.8779840848806366	0.8640583554376657	0.8262599469496021	0.7279272451686245	0.8576165214096249	0.8913414172034861	0.37078438802576735	0.7721674876847291	0.38309965896172793	0.08848048503220916	0.804092459264873	0.8663319439181508	0.7863774156877605	0.7279272451686245	0.8660477453580901	0.9100037893141342	0.8787419477074649	0.8532588101553619	0.8759946949602122	0.695054945054945	0.8456801818870784	0.7726411519514967	0.8478590375142099	0.7341796134899583	0.8922887457370215	0.8307123910572186	0.9034672224327397	0.7877036756347101	0.8463433118605532	0.7656309208033346	0.8210496400151572	0.8869837059492232	0.7811671087533156	0.8866995073891626	0.8566691928760894	0.6823607427055703	0.5586396362258431	0.5774914740431982	0.8539219401288367	0.904225085259568	0.8605532398635847	0.5346722243273967	0.7582417582417582	0.8576165214096249	0.7870405456612353	0.9020462296324365	0.8932360742705571	0.8934255399772641	0.7374005305039788	0.8393330807123911	0.8891625615763546	0.845774914740432	0.8526904130352406	0.8925729442970822	0.861311102690413	0.8857521788556272	0.9072565365668814	0.8795945433876469	0.8029556650246306	0.7687571049640015	0.744600227358848	0.8622584312239485	0.8902046229632437	0.7957559681697612	0.8408488063660478	0.8669003410382721	0.8893520272830617	0.7254641909814323	0.7444107616521409	0.8023872679045093	0.7428950359984843	0.7185486926866237	0.7880826070481243
Vil1.06B.FP67	0.5796703296703297	0.4530125047366427	0.6520462296324365	0.36898446381205	0.566123531640773	0.5475558923834786	0.3663319439181508	0.88101553618795	0.0	0.5174308450170519	0.5806176582038651	0.45490716180371354	0.39389920424403185	0.4807692307692308	0.3103448275862069	0.7498105342932929	0.6190791966654036	0.4539598332701781	0.37855248200075786	0.6986547934823797	0.48484274346343315	0.2478211443728685	0.513262599469496	0.38849943160287986	0.3309965896172793	0.42061386888973096	0.4372868510799545	0.4265820386510042	0.3280598711633194	0.4880636604774536	0.3837627889352027	0.4885373247442213	0.5270935960591133	0.6388783630162941	0.3268283440697234	0.4827586206896552	0.26591511936339524	0.48863205759757483	0.35401667298219025	0.6485411140583555	0.600322091701402	0.41265630920803337	0.6037324744221296	0.35363774156877603	0.3893520272830618	0.4436339522546419	0.43397120121258054	0.4298976885183782	0.48692686623721104	0.49460022735884807	0.6185107995452823	0.6009852216748769	0.4608753315649867	0.33601743084501706	0.32303902993558165	0.5241568776051535	0.5542819249715801	0.4868321333838575	0.8649109511178477	0.4669382341796135	0.4041303524062145	0.3411330049261084	0.54518757104964	0.7811671087533156	0.5749336870026526	0.6049640015157256	0.5864910951117848	0.5207464948844259	0.2931981811292156	0.3978779840848806	0.5381773399014779	0.5190413035240622	0.4850322091701402	0.4515915119363395	0.8537324744221296	0.3662372110647973	0.8812050018946571	0.8453012504736642	0.3290071996968549	0.6032588101553619	0.4220348616900341	0.4419287608942781	0.387646835922698	0.5599658961727927	0.32019704433497537	0.33109132247063283	0.3251231527093596	0.45954907161803715	0.5055892383478591	0.4020462296324365	0.5456612353164078	0.4938423645320197	0.47461159530125047	0.48455854490337247	0.5144941265630921	0.6355627131489201	0.4676960970064418	0.5611026904130353	0.6180371352785146	0.5953959833270178	0.5925539977264115	0.6304471390678287	0.46201212580522927	0.7276430466085638	0.6680560818491853	0.5930276619931792	0.4391815081470254	0.5657446002273588	0.44979158772262223	0.6850132625994695	0.5136415308829102	0.46561197423266387	0.5480295566502463	0.5598711633194392	0.5892383478590375	0.4081091322470633	0.5484084880636605	0.560723758999621	0.42032967032967034	0.8342175066312998	0.5040735126942023	0.394278135657446	0.4978211443728685	0.3711633194391815	0.5156309208033346	0.7160856384994316	0.5316407730200834	0.5395035998484274	0.48891625615763545	0.6115005683971201	0.5547555892383479	0.5598711633194392	0.45291777188328913	0.5978590375142099	0.38622584312239483	0.5750284198560061	0.45850701023114815	0.5737021599090565	0.5888594164456233	0.6018378173550587	0.6600985221674877
