OTU.ID	Mouse5A.DTT29	Mouse6A.DTT35	Mouse1B.DTT15	Mouse1B.DTT18	Mouse5A.DTT27	Mouse4A.DTT19	Mouse5A.DTT30	Mouse5A.DTT28	Mouse7A.DTT38	Mouse7A.DTT41	Mouse4A.DTT22	Mouse6A.DTT31	Mouse7A.DTT42	Mouse1B.DTT16	Mouse1B.DTT14	Mouse1B.DTT13	Mouse6A.DTT34	Mouse5A.DTT26	Mouse4A.DTT21	Mouse4A.DTT24	Mouse1B.DTT17	Mouse5A.DTT25	Mouse7A.DTT39	Mouse4A.DTT20	Mouse6A.DTT32	Mouse6A.DTT33	Mouse6A.DTT36	Mouse4A.DTT23	Mouse7A.DTT37	Mouse7A.DTT40	Mouse9A.DTT98	Mouse10A.DTT109	Mouse9A.DTT100	Mouse9A.DTT101	Mouse10A.DTT110	Mouse9A.DTT99	Mouse9A.DTT97	Mouse8A.DTT90	Mouse10A.DTT111	Mouse10A.DTT113	Mouse9A.DTT102	Mouse10A.DTT112	Mouse10A.DTT114	Mouse8A.DTT85	Mouse8A.DTT86	Mouse8A.DTT88	Mouse8A.DTT89	Mouse8A.DTT87	taxonomy
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__	25504	19631	11030	2372	13170	11015	27514	24895	9599	15955	7978	11542	19172	13569	8669	11197	9473	19255	4286	23951	3858	8581	14487	6253	6821	5976	23836	13064	16742	14976	11601	7837	62974	44867	10168	12305	5807	45783	8882	32157	37365	21128	14685	14158	8974	18367	45935	2920	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__	98	108	1644	416	2575	2867	181	957	2152	77	2	1999	308	173	2300	1431	18	1859	2217	941	465	1937	2597	2287	1219	980	76	171	735	572	7891	1202	307	487	1512	3319	2791	532	1968	141	935	760	1511	2312	943	99	99	728	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae NK4A136 group	42	22	2084	522	906	1444	46	406	1944	8	7	2209	122	181	3305	1306	5	926	934	128	583	1245	1191	1423	2149	773	9	24	340	156	7312	1109	24	15	617	2442	4213	309	1140	26	30	210	303	4051	3559	82	68	5596	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	37	51	2990	228	2054	2047	18	105	1367	1	10	5490	49	157	1848	3184	19	3006	704	51	343	1408	2429	1005	2033	2506	31	13	1846	111	2999	2868	7	17	3921	1869	2692	82	4389	40	118	564	561	4290	2208	53	19	941	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__	14	19	303	82	439	228	11	99	412	0	0	782	66	6	570	160	6	305	168	10	65	260	529	255	416	329	12	8	98	55	1820	141	5	0	167	439	694	47	372	11	3	73	118	577	354	6	6	218	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae UCG-006	10	20	58	13	57	54	14	22	102	33	0	128	28	12	57	63	9	47	64	62	20	63	79	107	63	50	26	11	37	0	138	42	52	77	14	26	46	51	23	78	86	30	45	129	61	13	32	49	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dubosiella	440	21	1	3	26	56	1938	220	128	184	89	573	894	96	45	2	3	148	65	1295	2	12	649	59	96	123	37	120	836	18	0	15	0	12	0	0	9	730	0	0	11	0	0	110	101	420	844	82	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__UCG-010;g__	0	10	4	0	3	4	0	0	6	0	0	4	0	0	9	14	0	6	2	2	2	0	9	3	3	0	0	0	34	0	13	10	0	0	8	3	11	0	9	0	11	0	0	4	3	0	0	0	
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Enterorhabdus	4	0	4	4	3	4	5	4	0	0	5	4	6	6	8	3	0	2	7	12	2	0	5	4	4	2	2	0	7	3	0	18	28	16	7	0	7	22	7	122	0	41	70	18	7	21	30	0	
k__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia	6	9	10	26	12	7	12	3	9	6	7	213	40	8	115	351	11	10	9	47	76	10	9	17	14	30	4	10	43	8	81	870	27	5	13	12	105	47	0	13	120	20	229	168	13	18	15	4	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Colidextribacter	3	0	291	82	268	305	11	27	191	0	0	340	19	12	592	247	0	204	218	27	49	145	384	257	293	288	3	8	76	22	1322	182	14	3	228	420	346	29	319	4	8	62	102	359	620	6	8	529	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__GCA-900066575	0	0	45	8	36	37	0	11	20	0	0	37	3	0	56	12	0	25	12	9	16	22	28	19	11	7	2	0	13	3	160	20	3	0	19	46	65	24	48	0	0	3	5	49	37	4	0	30	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae UCG-001	71	48	2349	226	833	162	48	56	4976	13	0	3415	122	118	1564	1495	5	809	126	42	784	8854	2416	879	5445	3354	24	26	415	449	17249	488	54	64	65	12663	2604	302	26	9	50	28	124	1589	2460	144	51	1852	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter	16	17	429	141	314	560	9	197	242	0	2	409	35	26	927	373	0	270	528	45	91	303	291	1304	221	199	0	15	81	18	4863	170	3	4	102	834	958	47	273	14	24	57	149	599	1613	26	5	1117	
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella	8	13	9	16	26	13	24	56	13	9	10	13	28	3	9	22	13	27	11	9	3	8	43	13	47	22	18	27	27	16	87	608	38	37	4	50	103	161	2	32	80	43	306	86	45	30	65	11	
