OTU.ID	TL1a_FP_140	TL1a_FP_207	TL1a_FP_65	TL1a_FP_64	TL1a_FP_209	TL1a_FP_206	TL1a_FP_242	TL1a_FP_77	TL1a_FP_245	TL1a_FP_76	TL1a_FP_102	TL1a_FP_98	TL1a_FP_75	TL1a_FP_173	TL1a_FP_141	TL1a_FP_174	TL1a_FP_144	TL1a_FP_142	TL1a_FP_62	TL1a_FP_74	TL1a_FP_172	TL1a_FP_171	TL1a_FP_66	TL1a_FP_143	TL1a_FP_100	TL1a_FP_99	TL1a_FP_246	TL1a_FP_78	TL1a_FP_210	TL1a_FP_208	TL1a_FP_101	TL1a_FP_244	TL1a_FP_63	TL1a_FP_243	TL1a_FP_170	TL1a_FP_205	TL1a_FP_73	TL1a_FP_139	TL1a_FP_169	TL1a_FP_61	TL1a_FP_241	TL1a_FP_97	TL1A_FP_641	TL1A_FP_689	TL1A_FP_638	TL1A_FP_640	TL1A_FP_685	TL1A_FP_686	TL1A_FP_639	TL1A_FP_687	TL1A_FP_637	TL1A_FP_688	taxonomy
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__	6	9	6	5	674	17	59	808	18260	2349	22461	86	953	14313	59	24113	164	8366	22	3428	18050	12	969	5619	9853	0	4770	88	29307	853	17214	834	8	113	504	34	65	14	223	27	13	38	1359	347	101	321	0	5	0	0	3	1013	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenellaceae RC9 gut group	1	0	0	0	3	0	27	64	6216	10	0	0	0	4256	0	2902	59	2616	2	0	1266	1	0	1468	743	0	2020	8	2399	53	10	59	0	0	459	0	0	3	258	0	0	0	87	90	0	3	0	0	0	0	0	21	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__	907	545	938	254	34	306	451	480	1447	511	909	235	1235	983	337	833	517	3201	842	609	503	787	1012	2061	1057	351	632	1346	998	18	1358	256	1263	418	450	272	569	372	373	870	271	215	59	21	18	17	5	0	42	3	38	28	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia vadinBB60 group;f__;g__	0	0	0	0	4	0	0	52	441	189	1192	0	114	162	0	68	6	391	0	166	86	0	205	219	1261	0	110	6	105	0	2315	5	0	0	10	0	0	0	24	0	0	0	7	0	0	4	0	0	0	0	0	8	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae NK4A136 group	17	85	508	100	64	23	347	909	2131	1084	29603	24	806	1389	11	1033	286	2496	86	6778	669	82	8523	3375	7463	37	1417	186	1913	9	64061	474	71	584	351	50	62	46	194	108	120	71	1468	1005	2791	649	2982	2533	2997	7750	1227	1929	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	123623	39663	79396	48482	314	46039	63099	10889	10489	7076	18555	47803	34937	9246	43482	20319	62024	31423	47516	31767	873	109490	44549	48059	26832	37776	20433	47248	15045	1333	4735	56524	43235	68161	45089	39366	27186	45048	32027	34521	55484	31830	706	301	4132	244	7497	18070	6939	10989	11125	958	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__	48	83	73	31	20	59	59	83	233	230	884	70	163	251	47	118	87	669	115	224	383	74	267	570	677	36	123	103	145	5	2073	63	77	33	78	52	121	128	95	357	51	45	11	7	6	11	9	23	9	3	8	14	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium] fissicatena group	451	133	135	77	8	54	74	325	105	519	200	144	1001	37	216	27	299	104	648	329	2	464	99	208	233	281	55	642	0	11	4	145	464	73	242	24	494	211	173	674	55	152	8	11	3	32	2	17	11	49	21	15	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Turicibacter	2	165	0	0	8758	121	100	9	417	0	0	0	0	0	0	7	0	0	0	0	86	0	0	0	0	0	1487	0	86	11019	0	295	0	73	0	443	0	3	0	0	30	0	15	62	0	3	0	0	0	0	0	18	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dubosiella	0	0	0	0	0	0	0	0	42	0	0	21	0	67	0	12	0	7	0	0	5	0	0	7	0	0	8	0	0	0	0	7	0	10	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	
