feature	k__Bacteria.p__Bacteroidota	k__Bacteria.p__Firmicutes	k__Bacteria.p__Proteobacteria	k__Bacteria.p__Verrucomicrobiota	k__Bacteria.p__Actinobacteriota	k__Bacteria.p__Desulfobacterota
TL1a_DTT_173_Repeat	3377	3205	4410	4017	0	303
TL1a_DTT_76_Repeat	7166	7820	4133	2425	0	46
TL1a_DTT_172_Re_extracted	38464	4976	328	1237	36	82
TL1a_DTT_169_Re_extracted	40985	9743	474	1827	174	60
TL1a_DTT_245_Repeat	5802	8837	50	15806	0	25
TL1a_DTT_244_Repeat	9098	17418	57	15941	5	31
TL1a_DTT_142_Repeat	4552	15332	343	137	5	6
TL1a_DTT_78	7075	5545	10176	38839	0	893
TL1a_DTT_139	55860	5475	436	13427	0	196
TL1a_DTT_171	51028	7444	2770	9690	0	762
TL1a_DTT_209	1885	18904	1555	32490	0	0
TL1a_DTT_74	43487	5125	715	7528	0	236
TL1a_DTT_141	70918	8137	467	9587	0	350
TL1a_DTT_210	7375	88943	8564	10147	0	0
TL1a_DTT_241	47568	9807	30	6284	6	0
TL1a_DTT_243	62170	5098	0	7253	0	0
TL1a_DTT_205	125267	17276	5395	22878	0	0
TL1a_DTT_206	29024	6271	1252	13449	0	0
TL1a_DTT_64	3578	17309	21406	50779	0	1099
TL1a_DTT_62	77544	10908	259	19237	0	166
TL1a_DTT_65	5020	9303	11072	45217	0	1122
TL1a_DTT_242	54459	10430	35	3483	0	0
TL1a_DTT_73	45505	6994	1190	19343	0	502
TL1a_DTT_63	39498	4561	430	12515	0	80
TL1a_DTT_207	46979	11334	1861	24168	0	15
TL1a_DTT_75	22332	4926	1257	7859	0	80
TL1a_DTT_246	24873	13870	16	36928	5	52
TL1a_DTT_97	49686	7386	901	10033	0	706
TL1a_DTT_66	3440	10526	22439	31083	0	1197
TL1a_DTT_140	43149	5681	396	11236	0	222
TL1a_DTT_99	58753	9246	822	12670	0	348
TL1a_DTT_77	10109	6223	10219	38937	0	853
TL1a_DTT_98	42378	5085	1238	9580	0	335
TL1a_DTT_170	43484	7227	962	7124	0	488
TL1a_DTT_208	7521	20510	6459	26981	10	12
TL1A_DTT_642	12101	3353	276	700	0	96
TL1A_DTT_640	10697	3490	311	1523	0	149
TL1A_DTT_638	4265	12487	179	790	0	98
TL1A_DTT_641	8682	2227	151	818	0	86
TL1A_DTT_639	25513	8876	175	4813	0	297
TL1A_DTT_687	7066	8551	647	1513	0	85
TL1A_DTT_689	2731	2298	2105	2864	0	129
