index,k__Bacteria;p__Firmicutes,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__Bacteroidota,k__Bacteria;p__Proteobacteria,k__Bacteria;p__Actinobacteriota,k__Bacteria;p__Verrucomicrobiota,k__Bacteria;p__Desulfobacterota
Distal_Colon,17061.0,725.0,16541.0,6042.0,52.0,3441.0,51.0
Proximal_Colon,18673.0,2549.0,10019.0,10189.0,53.0,1964.0,24.0
Cecum,7453.0,55.0,26792.0,3488.0,28.0,1737.0,28.0
Ileum,6457.0,36.0,27174.0,4674.0,16.0,7536.0,110.0
Jejunum,6361.0,2.0,27609.0,2535.0,10.0,1062.0,51.0
Duodenum,14415.0,54.0,16538.0,4441.0,22.0,2633.0,30.0
