index,k__Bacteria;p__Firmicutes,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__Bacteroidota,k__Bacteria;p__Proteobacteria,k__Bacteria;p__Actinobacteriota,k__Bacteria;p__Verrucomicrobiota,k__Bacteria;p__Desulfobacterota
Distal_Colon,5467.0,184.0,13760.0,21575.0,41.0,10420.0,20.0
Proximal_Colon,6910.0,808.0,25449.0,18508.0,30.0,7034.0,12.0
Cecum,8139.0,260.0,11620.0,23295.0,13.0,6734.0,88.0
Ileum,5644.0,24.0,13340.0,26029.0,9.0,4196.0,44.0
Jejunum,7094.0,37.0,17996.0,15625.0,12.0,6096.0,51.0
Duodenum,7008.0,342.0,18178.0,17611.0,11.0,4246.0,24.0
