index,k__Bacteria;p__Firmicutes,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__Bacteroidota,k__Bacteria;p__Proteobacteria,k__Bacteria;p__Actinobacteriota,k__Bacteria;p__Verrucomicrobiota,k__Bacteria;p__Desulfobacterota
Duodenum,12215.0,3738.0,9004.0,7495.0,49.0,7741.0,18.0
Distal_Colon,3029.0,3.0,28893.0,527.0,5.0,2366.0,5.0
Proximal_Colon,3009.0,13.0,28710.0,633.0,6.0,2654.0,9.0
Cecum,3705.0,2.0,24522.0,341.0,5.0,1595.0,14.0
Ileum,16335.0,455.0,9940.0,14855.0,99.0,9545.0,57.0
Jejunum,12927.0,2035.0,9746.0,10273.0,90.0,11292.0,20.0
