	IL17.DTT.115	IL17.DTT.117	IL17.DTT.127	IL17.DTT.129	IL17.DTT.139	IL17.DTT.141	IL17.DTT.189	IL17.DTT.201	IL17.DTT.199	IL17.DTT.217	IL17.DTT.219	IL17.DTT.25	IL17.DTT.27	IL17.DTT.105	IL17.DTT.103	IL17.DTT.49	IL17.DTT.51	IL17.DTT.85	IL17.DTT.87	TKO.DTT.1	TKO.DTT.3	TKO.DTT.43	TKO.DTT.45	TKO.DTT.31	TKO.DTT.33	TKO.DTT.19	TKO.DTT.21	TKO.DTT.55	TKO.DTT.57	TKO.DTT.69	TKO.DTT.73	TKO.DTT.75	TKO.DTT.87	TKO.DTT.91	TKO.DTT.93	TKO.DTT.103	TKO.DTT.105	TKO.DTT.109	TKO.DTT.111	TKO.DTT.123	TKO.DTT.127	TKO.DTT.129	TKO.DTT.139	TKO.DTT.141	TKO.DTT.151	TKO.DTT.153
IL17.DTT.115	0.0	2.3142069630214905	0.38054916555622187	1.347494114835827	1.410771940898302	2.5876943961744505	2.885530436523166	2.509339824916917	2.192434622628404	0.7767038546023661	2.128449419447485	0.7386223297948663	2.2756131033286633	1.552598134697188	0.6042054196381418	0.4334080536231569	1.6964699786203208	0.4373435289655081	1.9342072925603264	3.8970187757308685	3.605008777250928	1.146585691146185	2.8309117855175026	1.7552275481520225	2.9639118981212778	1.5375031914981983	2.4248048250633003	1.9676201575818284	2.4919016852730183	3.0367358304150947	1.4115574437588165	2.1880536746072172	2.712698109479235	0.8252368694889929	1.9806921025226145	0.806640933399793	1.9800071853236905	0.42842287008352586	1.7387686378257998	2.563376391369402	0.4872019963938945	2.4361494506854338	0.9046508980537623	2.4606648260246593	1.583175277183192	2.667710556076287
IL17.DTT.117	2.3142069630214905	0.0	2.3232006848211415	3.5039970137637044	2.379245535205379	2.236261894836442	2.5497162730880945	0.9884291022665174	1.1079616285003555	2.866173070022833	1.1281565094028074	3.0269552834527653	2.0315039479412023	1.5137837245156576	2.3952073539656604	2.3439229624275395	0.9474568429912134	1.9574939709257035	1.1849427852603365	2.8738814704466518	2.4028827652846037	1.5228209152134984	0.7697823140157223	1.0628823900247948	1.2828013147533694	0.9975589126442681	0.4420612485458835	1.0759268679902678	1.273841727950224	2.2989865345980265	1.6331623914166964	1.4815374716598315	0.8780222254619163	1.5902138771245753	0.916554935866931	1.8625049268689038	0.37854913565089643	2.181902187983868	0.7315902714603861	1.111023419927035	1.8907630694622781	0.5581789865062461	1.7039310007706518	1.458996088825427	2.701498946568054	1.6173482474717866
IL17.DTT.127	0.38054916555622187	2.3232006848211415	0.0	1.205162770436214	1.1221095541182433	2.3105259805985465	2.5856129010269377	2.3682728561173683	2.0267080216334143	1.0319219231209744	1.96226536191701	0.8021177555813207	1.9999277919842426	1.3658580860479284	0.24615110978988233	0.8129081084154668	1.6067236074279347	0.4797057810892971	1.769971855653675	4.132539118707538	3.8256813207859377	1.382793498992771	2.749626128756009	1.6108779255564294	2.811409493866821	1.4508186665216882	2.3694117580836815	1.801649283711968	2.3162002881734036	2.764840657163771	1.2047626691225148	1.986026660990527	2.599558772648457	0.7586924172668541	1.855309711574176	0.5924966362825818	1.9902570541631481	0.3430986908603711	1.7010754276396765	2.7193688125596975	0.5781853950993898	2.357762435623802	1.1665432301036471	2.2633533428290518	1.2735810393324611	2.4575760300696072
IL17.DTT.129	1.347494114835827	3.5039970137637044	1.205162770436214	0.0	1.6049935716175663	2.9430004255385507	3.131712791761037	3.417426433091676	3.045573062685121	1.463163559019403	2.9756118966972838	0.7474948079836836	2.695097167672766	2.3094119166625555	1.1156862900484334	1.6352783338360242	2.7018256137527654	1.597981252078704	2.7757604311772623	5.2129176844423615	4.9437964159569985	2.4902759376095314	3.8707688269127187	2.682211808661631	3.830530105919253	2.5722903565535318	3.505183005269012	2.860913148343661	3.288454317293843	3.4558677711862757	2.133738877447807	2.8848248211857537	3.6878156579631387	1.916455064618661	2.9269740694456248	1.6617538426762055	3.1841959698479	1.3549617629033823	2.8377894311457403	3.8986919165761367	1.6896682461905916	3.4834801946638807	2.2421793633815237	3.178191778427213	1.4866932541915612	3.339479926953498
IL17.DTT.139	1.410771940898302	2.379245535205379	1.1221095541182433	1.6049935716175663	0.0	1.3914534529288822	1.6438078214638587	2.02025078890533	1.6403664251104049	2.128781483408326	1.562882735743533	1.5866955451734668	1.1503849116143987	0.8933373697567027	0.912294021518992	1.7854358033719366	1.4376170523776022	1.158001234137984	1.3616137911887505	4.79707091808483	4.405200366357193	2.054864913039877	2.552308013105458	1.3896687856902392	2.385402058845894	1.3904181713672514	2.2278794606339853	1.5783739189582635	1.8097696816347841	1.9329769007054676	0.7518176969548551	1.360953186628791	2.331200469964979	1.1100472308329405	1.5874475771649357	0.8185117644862558	2.1617821191727318	1.0032094205357711	1.6582161877593182	3.137490512290437	1.2247167372700667	2.19318884991566	1.8944982196845328	1.6590157214016437	0.3304338191087172	1.8057539361932333
IL17.DTT.141	2.5876943961744505	2.236261894836442	2.3105259805985465	2.9430004255385507	1.3914534529288822	0.0	0.3722338617474399	1.3857746768866717	1.1529417314209887	3.329509570131025	1.1232019853449389	2.94043088933412	0.3274977951554458	1.1561181930809867	2.148662994307043	2.9207041112325824	1.5030096368220247	2.2255955487279526	1.1111217676807668	5.068218298007669	4.61756655930869	2.7851882806747255	1.9648757004122663	1.342139864679963	1.5018773517480222	1.590568598511858	1.8666575224939679	1.3297136609767528	1.0445965419359975	0.5683533627808864	1.2277073397799978	0.7638624194882807	1.6946777721566035	1.9248206245571524	1.3534926702036643	1.791372880190028	2.194897404286562	2.199200688488423	1.746175954893531	3.2967415266563975	2.2534571748436534	1.7780965064143675	2.7412130492443993	0.8227867409098184	1.5042303529924164	0.7817382661823641
IL17.DTT.189	2.885530436523166	2.5497162730880945	2.5856129010269377	3.131712791761037	1.6438078214638587	0.3722338617474399	0.0	1.6451480231556777	1.4522282181203434	3.610219163639493	1.435579526674336	3.199730638477701	0.6506301688433206	1.5083510505714182	2.409844521838007	3.23747488499989	1.8537207152596846	2.5444460398661914	1.451135979874598	5.384868695778305	4.9379611014181695	3.1333995080366837	2.2070665154531897	1.6716123501132913	1.687700776915007	1.9354542128552994	2.1639394950370785	1.6197044866366053	1.3134234650623315	0.49136663637965555	1.5658971872015264	1.1060974945465452	1.933983446133287	2.253939393281806	1.6811378209941759	2.0968942211746615	2.5143337996580897	2.5014508936138324	2.094824554180833	3.6242484076358656	2.5797004750913954	2.0622071423369803	3.086095587499277	1.107586228019675	1.6975439888459802	1.0087596452438106
IL17.DTT.201	2.509339824916917	0.9884291022665174	2.3682728561173683	3.417426433091676	2.02025078890533	1.3857746768866717	1.6451480231556777	0.0	0.3826040423042145	3.179535284459636	0.45842133593702883	3.131111788346609	1.2527292608783427	1.175827176003259	2.34188095284594	2.697850557743161	0.8719973303125814	2.111825166120393	0.6759898624488148	3.8251398060531248	3.365593823230198	2.1365728506609645	0.5952966767494663	0.761603704457254	0.4581203476568431	0.9967563361765046	0.5691223558117319	0.6017031530606792	0.35142646030889213	1.333114376829817	1.3296586085764461	0.7513886594766171	0.3295202509090082	1.6912623927676114	0.5448750353082922	1.805144843275287	1.0721008772269855	2.2487211046427023	0.9307003525509703	2.0935899451357853	2.0861140877795994	0.4400493306376806	2.22397533613347	0.5757953254752609	2.295889595007297	0.6734270870454211
IL17.DTT.199	2.192434622628404	1.1079616285003555	2.0267080216334143	3.045573062685121	1.6403664251104049	1.1529417314209887	1.4522282181203434	0.3826040423042145	0.0	2.887389080113648	0.08641947215226146	2.784373610579191	0.9555968541499967	0.8086257662841653	1.983302208201583	2.414795739601268	0.619411568128711	1.7932600497897864	0.31688248790843526	3.936118029450042	3.4875057684349255	1.9596025961331007	0.9432208699472484	0.44474514008152555	0.7933140013524626	0.7318101901931433	0.7600192684500788	0.3367303869062991	0.32797089802286616	1.2443188243412935	0.9568679845443584	0.44959592101005225	0.6971656766860018	1.3785060201134036	0.30072588869895	1.4542624888308866	1.0777255728240842	1.9075658806513025	0.772657551450451	2.180926797553635	1.7780027936110754	0.6599954771307687	2.0075746291655836	0.4288468296596932	1.9170195964374401	0.618059376808714
IL17.DTT.217	0.7767038546023661	2.866173070022833	1.0319219231209744	1.463163559019403	2.128781483408326	3.329509570131025	3.610219163639493	3.179535284459636	2.887389080113648	0.0	2.83185170763449	0.8507016907937476	3.0131818654799045	2.309334820594608	1.240301097755015	0.6648702798566855	2.3951839303992584	1.1970283023869186	2.655582117374772	3.888569190568985	3.6918855125163708	1.5000650879439186	3.4400007466279696	2.4478542589465393	3.6336222043718305	2.223859913620222	3.046342987943594	2.6278614945804963	3.201031183660846	3.7620686004365234	2.1697940731825973	2.92959588931923	3.3493385350550198	1.546727918636233	2.6704556178885883	1.5535200158238314	2.512545476227818	1.1944690473738602	2.397688843038856	2.8704345596010357	1.222020970070835	3.0606358253908663	1.2890432753401535	3.188466742603291	2.2443667616206207	3.3942369158959522
