# Constructed from biom file
#OTU ID	Mouse5A.DTT29	Mouse5A.FP28	Mouse6A.DTT35	Mouse1B.DTT15	Mouse1B.DTT18	Mouse3A.FP16	Mouse5A.FP26	Mouse7A.FP40	Mouse1A.FP05	Mouse6A.FP32	Mouse3A.FP17	Mouse7A.FP38	Mouse1A.FP02	Mouse5A.DTT27	Mouse2A.FP11	Mouse3A.FP18	Mouse4A.DTT19	Mouse5A.DTT30	Mouse5A.DTT28	Mouse6A.FP31	Mouse4A.FP22	Mouse1A.FP03	Mouse4A.FP23	Mouse1A.FP01	Mouse6A.FP35	Mouse7A.DTT38	Mouse7A.DTT41	Mouse4A.DTT22	Mouse2A.FP07	Mouse3A.FP13	Mouse1A.FP06	Mouse6A.DTT31	Mouse7A.DTT42	Mouse1B.DTT16	Mouse1A.FP04	Mouse2A.FP12	Mouse2A.FP10	Mouse7A.FP42	Mouse7A.FP41	Mouse1B.DTT14	Mouse3A.FP15	Mouse4A.FP20	Mouse1B.DTT13	Mouse6A.DTT34	Mouse5A.FP29	Mouse6A.FP34	Mouse6A.FP36	Mouse2A.FP09	Mouse5A.DTT26	Mouse5A.FP25	Mouse5A.FP30	Mouse7A.FP39	Mouse4A.FP24	Mouse4A.DTT21	Mouse4A.DTT24	Mouse1B.DTT17	Mouse3A.FP14	Mouse4A.FP21	Mouse2A.FP08	Mouse5A.DTT25	Mouse7A.DTT39	Mouse4A.DTT20	Mouse6A.DTT32	Mouse6A.DTT33	Mouse6A.DTT36	Mouse4A.DTT23	Mouse7A.FP37	Mouse7A.DTT37	Mouse6A.FP33	Mouse4A.FP19	Mouse7A.DTT40	Mouse5A.FP27	Mouse9A.DTT98	Mouse10A.DTT109	Mouse9A.DTT100	Mouse10A.FP110	Mouse9A.DTT101	Mouse10A.FP109	Mouse10A.DTT110	Mouse9A.DTT99	Mouse9A.DTT97	Mouse10A.FP111	Mouse8A.DTT90	Mouse9A.FP97	Mouse9A.FP98	Mouse10A.DTT111	Mouse10A.DTT113	Mouse8A.FP87	Mouse9A.DTT102	Mouse10A.DTT112	Mouse8A.FP85	Mouse10A.DTT114	Mouse10A.FP113	Mouse9A.FP102	Mouse8A.DTT85	Mouse8A.DTT86	Mouse9A.FP101	Mouse10A.FP112	Mouse8A.FP90	Mouse10A.FP114	Mouse8A.FP86	Mouse8A.DTT88	Mouse9A.FP99	Mouse8A.DTT89	Mouse8A.FP89	Mouse8A.DTT87	Mouse9A.FP100	Mouse8A.FP88	taxonomy
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales	27559.0	21438.0	20911.0	34494.0	4116.0	18541.0	26447.0	18547.0	21035.0	33098.0	7164.0	21076.0	16895.0	26060.0	34882.0	4884.0	30966.0	29802.0	27904.0	24830.0	3649.0	25647.0	4510.0	12341.0	26991.0	18866.0	17579.0	9149.0	35541.0	27381.0	15420.0	29433.0	21200.0	17358.0	20385.0	32481.0	27911.0	20507.0	20093.0	28878.0	36539.0	18672.0	34292.0	9731.0	24632.0	21810.0	31656.0	20221.0	41790.0	30835.0	35417.0	19052.0	8799.0	12900.0	27205.0	8193.0	31265.0	20336.0	27054.0	19385.0	25800.0	17927.0	20256.0	18642.0	24868.0	14714.0	26627.0	30535.0	27795.0	20193.0	17474.0	13804.0	28285.0	23749.0	67229.0	26035.0	47453.0	55326.0	35326.0	21908.0	22016.0	36946.0	47351.0	51009.0	40785.0	34836.0	35440.0	27968.0	40038.0	28545.0	14766.0	19168.0	62599.0	63969.0	37112.0	25676.0	90261.0	40027.0	71577.0	38800.0	32166.0	19302.0	31347.0	47666.0	56452.0	10287.0	94771.0	39261.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales	290.0	118.0	300.0	7558.0	1553.0	363.0	1763.0	1264.0	1275.0	7513.0	543.0	7315.0	16879.0	5243.0	279.0	703.0	5590.0	397.0	1931.0	5301.0	0.0	4729.0	11.0	11358.0	789.0	10221.0	212.0	14.0	3409.0	3162.0	1098.0	9302.0	720.0	586.0	456.0	210.0	226.0	587.0	399.0	9142.0	2777.0	7801.0	5116.0	60.0	1801.0	620.0	410.0	6486.0	4544.0	347.0	387.0	6085.0	92.0	4302.0	1410.0	2361.0	2129.0	8668.0	6267.0	13134.0	7786.0	6505.0	9907.0	5914.0	197.0	279.0	1363.0	1817.0	4865.0	5802.0	1375.0	117.0	36785.0	3450.0	1065.0	1099.0	1125.0	1577.0	2576.0	19549.0	11182.0	4366.0	2779.0	11390.0	8183.0	3664.0	499.0	16269.0	1529.0	1347.0	13500.0	2771.0	789.0	4469.0	9333.0	7992.0	2018.0	7409.0	599.0	1082.0	16152.0	471.0	34098.0	467.0	4437.0	8732.0	657.0	330.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales	64.0	0.0	94.0	2207.0	536.0	115.0	1539.0	336.0	143.0	1757.0	232.0	1413.0	2859.0	3191.0	76.0	454.0	2571.0	79.0	551.0	1711.0	0.0	1529.0	0.0	4030.0	184.0	2190.0	25.0	2.0	1156.0	1071.0	22.0	2816.0	227.0	94.0	44.0	64.0	53.0	53.0	62.0	4046.0	1894.0	2597.0	1727.0	13.0	1881.0	69.0	17.0	5096.0	1892.0	272.0	45.0	2427.0	4.0	2406.0	194.0	407.0	1254.0	3925.0	2101.0	2056.0	2912.0	3531.0	2090.0	2497.0	35.0	56.0	515.0	711.0	4356.0	3240.0	248.0	0.0	12618.0	1353.0	54.0	939.0	44.0	997.0	1873.0	3164.0	3685.0	2451.0	240.0	2502.0	2037.0	3010.0	82.0	3394.0	105.0	474.0	3870.0	1108.0	130.0	775.0	3657.0	4098.0	184.0	2872.0	69.0	306.0	3895.0	56.0	3504.0	47.0	779.0	3530.0	112.0	48.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales	884.0	621.0	383.0	50.0	49.0	522.0	3118.0	8035.0	403.0	213.0	137.0	562.0	13.0	82.0	1860.0	23.0	67.0	2656.0	377.0	89.0	108.0	441.0	25.0	7.0	738.0	566.0	1030.0	107.0	161.0	61.0	61.0	1664.0	2901.0	383.0	178.0	310.0	1235.0	776.0	2859.0	223.0	186.0	1834.0	34.0	30.0	19653.0	216.0	1477.0	836.0	340.0	730.0	1068.0	7307.0	39.0	75.0	1346.0	48.0	94.0	1649.0	207.0	35.0	1615.0	81.0	495.0	772.0	770.0	134.0	1817.0	2235.0	282.0	5996.0	193.0	586.0	92.0	664.0	124.0	13.0	57.0	27.0	24.0	31.0	89.0	25.0	1815.0	35.0	0.0	20.0	35.0	290.0	150.0	56.0	172.0	225.0	102.0	145.0	265.0	275.0	144.0	65.0	13613.0	39.0	218.0	816.0	37.0	1554.0	5573.0	144.0	392.0	5379.0
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales	7.0	452.0	0.0	4.0	4.0	217.0	214.0	214.0	101.0	16.0	13.0	35.0	58.0	3.0	538.0	33.0	4.0	14.0	4.0	13.0	48.0	278.0	56.0	12.0	101.0	3.0	0.0	5.0	59.0	113.0	112.0	12.0	6.0	6.0	180.0	241.0	400.0	262.0	306.0	8.0	177.0	106.0	8.0	0.0	479.0	40.0	333.0	282.0	2.0	56.0	436.0	59.0	192.0	7.0	12.0	2.0	117.0	143.0	89.0	0.0	5.0	4.0	4.0	2.0	2.0	0.0	26.0	7.0	76.0	160.0	3.0	265.0	3.0	50.0	29.0	0.0	16.0	13.0	7.0	7.0	10.0	38.0	26.0	0.0	0.0	7.0	122.0	32.0	0.0	47.0	6.0	89.0	1264.0	37.0	20.0	7.0	40.0	263.0	156.0	138.0	0.0	23.0	57.0	34.0	95.0	0.0	62.0	120.0
k__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales	6.0	5.0	9.0	10.0	26.0	3.0	5.0	5.0	6.0	8.0	9.0	5.0	5.0	12.0	6.0	11.0	7.0	12.0	3.0	3.0	4.0	1054.0	3.0	7.0	12.0	9.0	6.0	7.0	6.0	1.0	6.0	213.0	40.0	8.0	5.0	16.0	3.0	7.0	8.0	115.0	23.0	5.0	351.0	11.0	6.0	9.0	6.0	8.0	10.0	5.0	6.0	7.0	1.0	9.0	47.0	76.0	3.0	2.0	5.0	10.0	9.0	17.0	14.0	30.0	4.0	10.0	10.0	43.0	5.0	2.0	8.0	8.0	81.0	870.0	27.0	0.0	5.0	3.0	13.0	12.0	105.0	0.0	47.0	0.0	0.0	0.0	13.0	0.0	120.0	20.0	0.0	229.0	4.0	13.0	168.0	13.0	9.0	0.0	46.0	25.0	0.0	18.0	0.0	15.0	6.0	4.0	8.0	20.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales	8.0	15.0	13.0	9.0	16.0	8.0	18.0	14.0	18.0	8.0	21.0	6.0	8.0	26.0	85.0	13.0	13.0	24.0	56.0	4.0	7.0	1214.0	13.0	13.0	53.0	13.0	9.0	10.0	13.0	7.0	7.0	13.0	28.0	3.0	8.0	30.0	12.0	9.0	6.0	9.0	38.0	9.0	22.0	13.0	16.0	28.0	16.0	19.0	27.0	10.0	78.0	12.0	12.0	11.0	9.0	3.0	10.0	9.0	14.0	8.0	43.0	13.0	47.0	22.0	18.0	27.0	12.0	27.0	7.0	7.0	16.0	27.0	87.0	608.0	38.0	0.0	37.0	0.0	4.0	50.0	103.0	3.0	161.0	0.0	3.0	2.0	32.0	0.0	80.0	43.0	2.0	306.0	8.0	9.0	86.0	45.0	5.0	4.0	11.0	41.0	0.0	30.0	2.0	65.0	7.0	11.0	5.0	6.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia vadinBB60 group	0.0	0.0	0.0	5.0	5.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	13.0	0.0	5.0	50.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	19.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	2.0	0.0	5.0	0.0	0.0	3.0	10.0	0.0	13.0	12.0	0.0	5.0	0.0	0.0	8.0	3.0	0.0	0.0	0.0	0.0	20.0	0.0	7.0	0.0	8.0	0.0	1.0	1.0	11.0	9.0	6.0	0.0	0.0	0.0	1.0	0.0	44.0	0.0	0.0	0.0	96.0	0.0	10.0	0.0	89.0	117.0	0.0	22.0	23.0	0.0	0.0	0.0	88.0	0.0	0.0	0.0	7.0	0.0	7.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales	0.0	0.0	0.0	79.0	13.0	6.0	39.0	10.0	5.0	47.0	0.0	46.0	79.0	99.0	0.0	6.0	60.0	0.0	27.0	46.0	0.0	0.0	0.0	41.0	4.0	56.0	0.0	0.0	34.0	52.0	3.0	81.0	5.0	0.0	0.0	0.0	0.0	8.0	8.0	88.0	75.0	66.0	72.0	0.0	42.0	7.0	0.0	121.0	97.0	20.0	0.0	45.0	0.0	87.0	0.0	24.0	49.0	65.0	39.0	70.0	95.0	84.0	53.0	56.0	0.0	0.0	17.0	33.0	91.0	56.0	4.0	0.0	310.0	24.0	0.0	21.0	5.0	49.0	18.0	94.0	46.0	53.0	14.0	140.0	55.0	34.0	2.0	77.0	15.0	9.0	77.0	28.0	9.0	89.0	52.0	31.0	21.0	59.0	7.0	18.0	106.0	3.0	94.0	0.0	23.0	32.0	4.0	3.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	3159.0	10595.0	1252.0	457.0	5964.0	8936.0	2095.0	6256.0	17374.0	1134.0	16374.0	1534.0	2007.0	420.0	5134.0	14987.0	475.0	1601.0	2422.0	436.0	35170.0	1307.0	36806.0	1068.0	5003.0	209.0	3112.0	6952.0	3012.0	5414.0	16029.0	1139.0	1722.0	3965.0	20583.0	2555.0	2585.0	4234.0	7105.0	658.0	6161.0	2998.0	1553.0	600.0	1765.0	3453.0	3164.0	1076.0	385.0	688.0	5038.0	344.0	26003.0	1068.0	9333.0	7737.0	4763.0	1534.0	1995.0	184.0	454.0	709.0	643.0	735.0	3219.0	22151.0	1907.0	712.0	368.0	1196.0	2953.0	15092.0	1499.0	4237.0	1322.0	6221.0	1683.0	3975.0	1249.0	923.0	1248.0	8927.0	1649.0	1191.0	402.0	1821.0	9892.0	53.0	458.0	8386.0	10.0	8845.0	42859.0	379.0	2085.0	256.0	1782.0	25450.0	1324.0	24104.0	30.0	1744.0	151.0	248.0	202.0	132.0	421.0	1547.0
