Module	Mouse4A.FP19	Mouse9A.FP102	Mouse2A.FP07	Mouse2A.FP09	Mouse6A.FP31	Mouse6A.FP32	Mouse2A.FP08	Mouse6A.FP35	Mouse6A.FP36	Mouse6A.FP33	Mouse8A.DTT88	Mouse6A.FP34	Mouse8A.DTT89	Mouse10A.DTT110	Mouse8A.DTT86	Mouse8A.DTT87	Mouse10A.DTT112	Mouse9A.FP101	Mouse10A.DTT111	Mouse8A.DTT85	Mouse9A.FP100	Mouse4A.FP21	Mouse4A.FP20	Mouse4A.FP23	Mouse4A.FP22	Mouse8A.DTT90	Mouse10A.DTT109	Mouse4A.FP24	Mouse1A.FP04	Mouse8A.FP88	Mouse8A.FP89	Mouse1A.FP03	Mouse8A.FP86	Mouse1A.FP02	Mouse8A.FP87	Mouse1A.FP01	Mouse8A.FP85	Mouse1A.FP06	Mouse1A.FP05	Mouse9A.DTT101	Mouse9A.DTT100	Mouse9A.DTT102	Mouse4A.DTT19	Mouse4A.DTT23	Mouse4A.DTT22	Mouse4A.DTT24	Mouse4A.DTT21	Mouse4A.DTT20	Mouse5A.FP30	Mouse6A.DTT35	Mouse7A.DTT37	Mouse10A.FP110	Mouse6A.DTT36	Mouse7A.DTT39	Mouse10A.FP112	Mouse7A.DTT38	Mouse10A.FP111	Mouse6A.DTT31	Mouse10A.FP114	Mouse6A.DTT32	Mouse10A.FP113	Mouse6A.DTT33	Mouse6A.DTT34	Mouse5A.DTT30	Mouse5A.FP27	Mouse5A.FP28	Mouse5A.FP29	Mouse5A.FP25	Mouse5A.FP26	Mouse5A.DTT25	Mouse5A.DTT26	Mouse1B.DTT13	Mouse1B.DTT14	Mouse5A.DTT29	Mouse5A.DTT27	Mouse5A.DTT28	Mouse10A.FP109	Mouse8A.FP90	Mouse1B.DTT15	Mouse1B.DTT16	Mouse1B.DTT17	Mouse1B.DTT18	Mouse7A.FP37	Mouse7A.FP38	Mouse7A.FP39	Mouse2A.FP10	Mouse2A.FP12	Mouse9A.DTT99	Mouse2A.FP11	Mouse9A.DTT98	Mouse9A.DTT97	Mouse10A.DTT114	Mouse10A.DTT113	Mouse9A.FP97	Mouse9A.FP98	Mouse9A.FP99	Mouse3A.FP18	Mouse3A.FP17	Mouse3A.FP16	Mouse3A.FP15	Mouse3A.FP14	Mouse3A.FP13	Mouse7A.DTT40	Mouse7A.FP40	Mouse7A.DTT42	Mouse7A.FP41	Mouse7A.DTT41	Mouse7A.FP42
MF0063	19486.84	21554.35	7766.67	15947.57	10841.84	12873.0	11632.98	3282.47	2549.19	13120.17	1498.58	1741.6	2093.85	9075.34	13226.36	30678.43	2733.65	11112.93	11250.67	16335.78	9083.19	16326.37	13295.87	213.88	238.08	4277.49	18022.02	646.25	1357.85	6982.3	11349.09	19170.2	20841.975	15322.15	23071.965	14101.96	16199.38	1398.92	2047.78	5497.35	6497.3	4486.79	11860.69	795.04	246.74	3700.95	15223.83	15199.66	2691.71	1688.1	6082.95	4195.805	1060.88	20481.25	12883.72	14186.92	10165.0	19603.45	6275.75	15958.45	10008.6	19485.58	472.75	2923.94	1180.43	2357.92	26111.88	5523.63	12168.9	18806.48	10158.92	11225.69	17932.98	1277.04	22485.76	3476.24	9072.45	21464.04	19189.4	1345.58	3206.85	2531.71	5513.42	10078.27	17011.14	3442.2	2192.6	28719.94	5252.7	24895.12	35653.8	6080.54	1003.41	19467.86	13508.64	26118.57	8330.52	5670.91	1156.28	8838.92	6528.15	6216.38	2216.93	8959.05	3613.24	3745.46	1292.33	3825.84
MF0020	7644.75	8585.0	5715.96	7917.35	4122.46	6196.29	6371.21	7207.25	4308.125	6189.275	2912.8	4586.75	954.7	4517.675	6841.0	6988.99	11227.05	7563.59	6871.35	10259.740000000002	1752.4650000000001	9416.91	10236.09	54652.25	52329.125	4976.35	10147.875	38801.0	31043.25	3913.5	4086.4	7395.9	10397.1	13112.01	10685.710000000001	11167.275	8991.490000000002	24683.375	27073.125	5717.0	5255.625	3705.5	5618.16	33208.75	10394.125	15212.875	5335.25	5919.84	6908.25	2390.5	3044.835	8694.2	3996.0	6750.3	38468.05	6970.56	14900.740000000002	9100.3	31860.5	8168.8	52683.25	5845.55	902.875	2496.625	16919.875	14219.75	4752.735000000001	1726.6	5346.14	6977.1	4831.49	5816.84	8601.89	4266.875	5845.41	4784.085	6869.225	8648.875	5967.26	4889.0	10821.49	8586.5	3557.065	5938.66	5413.75	3247.66	3464.2400000000002	13561.45	6640.535	29750.675	10680.2	14168.95	12045.25	10520.0	7203.94	19983.35	23627.440000000002	23262.64	9979.689999999999	9197.365	6934.26	7786.49	4435.91	8478.09	3406.0	8729.75	4136.25	6122.5
MF0061	21205.92	28861.85	7047.4	17240.87	9051.57	11366.77	11045.13	9061.72	5872.61	13078.95	8457.31	5357.02	15757.62	8428.32	13494.87	33411.0	10363.21	16353.77	10622.97	16177.4	13933.17	17373.29	16340.62	36125.21	34880.75	19995.2	18737.68	26658.5	21883.76	17530.88	27343.12	13808.696666666665	20382.28	24187.78	21984.2	21279.01	19684.32	17311.58	19253.78	8729.6	12407.72	6109.7	11951.28	23145.71	7780.49	14784.45	16264.0	15732.16	8044.54	3987.43	6879.69	5288.82	5635.96	20324.32	27224.87	14519.28	12191.62	18881.27	21878.67	15796.1	30534.6	19207.89	1708.75	5547.52	5532.18	8077.0	28441.37	5392.663333333333	11101.13	19394.54	9590.79	10942.52	18504.05	5433.37	22387.76	7638.64	7630.75	30635.46	18934.45	4890.0	7262.55	5788.7	5376.47	10413.35	18419.91	7165.7	5769.05	36642.58	9401.12	54760.88	35358.73	10042.23	6992.16	17450.69	12009.94	38063.84	25333.49	19551.14	6145.91	7133.7	4991.7	5380.08	5167.35	11607.13	6394.66	6929.46	4719.5	9185.17
MF0062	45.0	44.83333333333333	39.83333333333333	66.66666666666667	106.33333333333334	105.5	98.5	327.83333333333337	191.66666666666669	94.16666666666666	0.0	108.5	0.0	144.0	30.166666666666664	21.5	583.6666666666667	20.833333333333336	174.5	173.0	0.0	38.83333333333333	52.0	0.0	0.0	141.83333333333331	0.0	478.5	1224.8333333333335	0.0	35.83333333333333	10.166666666666668	23.166666666666664	100.16666666666666	18.0	32.0	22.5	0.0	1131.5	12.666666666666668	23.333333333333336	9.666666666666668	38.16666666666667	0.0	0.0	297.83333333333337	29.0	58.83333333333333	349.33333333333337	344.0	338.5	176.0	120.16666666666666	292.83333333333337	1638.3333333333335	128.83333333333334	395.66666666666663	606.5	0.0	652.0	0.0	418.0	111.33333333333334	0.0	0.0	533.8333333333333	50.83333333333333	65.66666666666667	55.0	41.83333333333333	256.5	39.333333333333336	26.5	0.0	85.66666666666666	136.0	388.33333333333337	0.0	15.0	347.66666666666663	1152.6666666666665	862.6666666666667	154.83333333333331	179.16666666666669	68.5	0.0	276.83333333333337	32.333333333333336	397.0	90.33333333333334	143.0	791.0	0.0	7.666666666666667	9.666666666666668	63.5	4846.166666666666	4523.5	631.1666666666667	80.0	70.0	81.5	185.5	140.0	348.5	261.5	107.83333333333334	407.5
MF0060	9002.16	7524.66	1419.0	3564.16	2026.48	3031.67	2478.51	1404.34	689.0	2693.92	1564.0	548.33	1153.16	1989.75	1417.16	1018.83	2471.0	1265.5	2484.33	2972.16	478.1	5713.5	5060.33	34914.0	33831.0	2226.66	2312.42	24496.0	17459.0	2710.17	3484.5	3917.34	1791.49	7468.49	3386.16	4478.75	2286.51	12357.0	14265.0	1629.0	805.0	1316.34	2677.99	21481.0	6690.0	9396.0	2429.0	2644.66	1739.0	889.0	1753.4	1723.0	769.0	4334.01	9053.0	4342.83	2870.0	4173.17	6408.0	3723.17	11098.0	2627.51	198.0	2185.09	2213.0	4710.0	20525.08	793.99	4075.84	5486.0	2280.83	1978.16	3530.17	1310.0	2653.33	1544.0	1135.75	6893.25	3095.33	371.5	1410.0	1304.0	1814.09	3375.33	9801.17	1198.16	624.0	4288.01	1805.08	9409.92	3565.83	1943.49	1640.0	2310.5	1988.34	7882.17	5739.68	3295.18	239.17	1557.6	1080.66	1373.84	821.0	5685.67	1343.16	1774.17	1150.0	1213.0
MF0027	45.0	85.0	60.0	22.0	173.0	377.0	144.0	31.0	578.0	44.0	21.0	665.0	0.0	52.0	0.0	0.0	156.0	135.0	9.0	244.0	176.0	10.0	7.0	2.0	1.0	31.0	57.0	10.0	21.0	89.0	0.0	29.0	37.0	19.0	48.0	1.0	12.0	76.0	87.0	19.0	0.0	50.0	14.0	2.0	4.0	102.0	2.0	16.0	138.0	400.0	133.0	106.0	215.0	36.0	329.0	43.0	239.0	141.0	389.0	83.0	3009.0	26.0	178.0	80.0	58.0	46.0	30.0	84.0	1.0	18.0	55.0	109.0	81.0	35.0	19.0	26.0	217.0	26.0	201.0	35.0	8.0	2.0	84.0	44.0	9.0	121.0	46.0	0.0	97.0	0.0	50.0	138.0	181.0	99.0	10.0	80.0	3.0	6.0	27.0	103.0	63.0	90.0	12.0	26.0	103.0	52.0	48.0	99.0
MF0028	32526.52	48512.71	45355.51	23007.32	31040.72	49744.49	33712.78	16099.43	17739.05	39953.33	10315.98	12674.71	24203.22	51736.51	39096.25	39949.93	19916.45	53982.7	54375.68	51760.07	54934.47	34281.92	29092.57	2428.59	1949.33	24534.65	42606.69	4934.0	11271.19	20608.59	31515.84	30182.21	46156.98	19579.82	34739.12	19532.79	24221.38	8090.33	11609.73	28740.87	39271.42	23971.72	45575.25	7821.26	4726.64	15042.22	26890.33	32054.99	19000.59	12290.02	33869.95	38724.42	13153.58	34672.82	39856.12	22901.51	49295.52	40888.9	24923.83	31490.56	42009.35	35426.46	5380.5	15387.19	7454.36	11502.17	31380.05	30746.45	35698.94	28122.31	52844.51	50818.38	48818.45	14182.75	43023.87	16910.84	78160.9	36462.75	57921.48	11628.83	10248.02	5023.39	29294.82	25593.38	25796.81	16313.92	18164.52	36539.44	20522.75	44399.79	54571.1	16389.11	18469.49	57310.88	45778.26	34983.74	11494.51	10204.45	11308.21	47449.63	41837.82	35589.74	10225.05	11950.75	12360.33	11606.58	9296.83	13258.17
MF0025	4894.83	309.16	3231.27	2667.7	3539.93	3588.73	3128.1	291.34	623.33	3341.14	100.6	743.66	86.07	3239.27	1733.83	790.63	650.6	289.67	3405.2	3377.13	245.5	2687.67	2287.16	15.67	9.33	266.2	3109.5	33.0	114.0	152.67	403.63	12601.13	2427.7	4272.37	3011.1	3184.3	2240.3	111.0	381.34	128.84	74.17	312.0	2781.0	46.67	20.0	233.0	1198.83	1570.16	244.67	483.33	1504.6	2047.07	266.0	2168.27	2058.1	1121.3	3967.97	3399.77	477.83	1618.6	3028.66	1815.77	205.0	116.33	94.0	64.67	5451.9	3521.53	5506.43	1424.36	2781.13	2587.83	1893.43	68.67	2293.84	241.1	5102.2	60.33	2595.7	163.33	375.3	202.67	1797.7	1955.83	1496.5	192.0	151.3	2365.4	228.83	5059.44	2605.73	1074.4	246.16	5331.83	3988.7	5056.37	249.53	224.27	179.87	3669.47	2807.7	2115.3	127.83	187.17	202.33	85.0	65.83	134.67
MF0069	10.0	2695.0	13.0	19.0	6.0	33.0	36.0	789.0	251.0	7.0	30.0	98.0	65.0	4.0	45.0	11.0	43.0	332.0	33.0	86.0	136.0	13.0	12.0	71.0	29.0	161.0	608.0	22.0	466.0	144.0	40.0	1214.0	0.0	8.0	8.0	13.0	2.0	8.0	18.0	37.0	38.0	80.0	13.0	27.0	21.0	9.0	11.0	13.0	283.0	28.0	29.0	0.0	18.0	43.0	4.0	13.0	3.0	13.0	3777.0	47.0	657.0	22.0	13.0	24.0	93.0	146.0	16.0	10.0	18.0	8.0	27.0	24.0	9.0	8.0	28.0	58.0	0.0	69.0	9.0	6.0	3.0	16.0	19.0	8.0	13.0	50.0	217.0	50.0	235.0	87.0	103.0	317.0	32.0	35.0	3.0	2.0	6849.0	4644.0	34.0	38.0	10.0	7.0	16.0	387.0	28.0	69.0	9.0	620.0
MF0102	468.0	12131.0	165.33	1373.5	679.33	553.17	532.33	967.0	471.02500000000003	2463.5	139.0	296.0	134.0	131.0	435.0	683.17	364.0	5370.0	279.0	1070.17	6762.0	479.33	255.17	40.0	35.0	61.0	218.0	306.0	96.0	306.0	483.0	650.0	591.0	680.83	1713.83	731.0	788.17	141.0	162.0	1229.0	822.0	1020.0	164.33	88.0	39.0	226.0	187.0	159.17	300.0	230.0	73.33	82.0	224.0	796.0	1156.0	252.83	350.17	1432.0	773.0	852.5	4200.0	1512.0	111.0	119.095	67.0	91.0	580.33	65.0	531.17	244.0	289.17	464.17	875.17	76.0	588.33	172.33	112.0	92.0	985.33	105.0	129.67	350.0	95.67	366.33	948.0	1272.0	996.17	646.0	2020.33	1387.5	566.0	170.0	86.0	619.5	260.17	967.0	132.17	86.67	101.17	541.17	286.33	315.67	159.33	413.67	315.0	867.0	277.0	1782.0
