	TL1a_FP_140	TL1a_FP_207	TL1a_FP_206	TL1a_FP_242	TL1a_DTT_169_Re_extracted	TL1a_FP_98	TL1a_FP_75	TL1a_FP_141	TL1a_FP_62	TL1a_FP_74	TL1a_FP_171	TL1a_FP_99	TL1a_FP_63	TL1a_FP_243	TL1a_FP_170	TL1a_FP_205	TL1a_DTT_139	TL1a_DTT_171	TL1a_FP_73	TL1a_DTT_74	TL1a_FP_139	TL1a_DTT_141	TL1a_DTT_241	TL1a_DTT_243	TL1a_DTT_205	TL1a_DTT_206	TL1a_DTT_62	TL1a_DTT_242	TL1a_DTT_73	TL1a_DTT_63	TL1a_DTT_207	TL1a_DTT_75	TL1a_DTT_97	TL1a_FP_169	TL1a_FP_61	TL1a_FP_241	TL1a_DTT_140	TL1a_DTT_99	TL1a_DTT_98	TL1a_FP_97	TL1a_DTT_170	TL1A_FP_638	TL1A_FP_685	TL1A_FP_686	TL1A_FP_639	TL1A_FP_687	TL1A_DTT_638	TL1A_FP_637	TL1A_DTT_639	TL1A_DTT_687
TL1a_FP_140	0.0	2.320052878334731	2.640323128257978	2.2871539823681144	5.771452554059519	1.1234084153132877	1.2497968740830057	1.137117441971862	0.2957076413235476	1.9701528041071625	1.5205309146005477	1.4816378962811734	0.5724615336997982	2.0398364481600235	1.1135181152860238	2.433767091345799	0.5565886357503227	1.2423044401786467	0.6958294913716944	0.3813614241718864	0.543681894826745	0.42361323016861435	2.766060827536629	2.2025097430103444	3.411746216700044	2.2673273184473843	0.7829632772307884	2.804379354052417	0.7636633402225266	1.1122395639390708	3.0627800342105043	1.562850061651338	0.5124079775974396	0.9301112552872985	0.6118324726733168	1.9733107334589313	0.8856655186804058	0.3651602163359371	0.9642365111094301	1.2277479819831212	1.2151437240464684	1.6284383157073432	2.3160022082347895	2.015896245745363	2.4474983051408823	2.1060337317346343	2.3429670325000878	2.2528478139674206	1.3032013376750384	2.5025115676121152
TL1a_FP_207	2.320052878334731	0.0	0.36821648064398105	0.8437379867231161	4.563449392774693	2.0815022556682043	2.267855578754992	1.989425217314288	2.489915507004162	2.389538533198194	3.4375494658856143	2.1373772762846133	2.2574487562484653	0.7553007481929064	2.1600347188384776	0.31594900998675957	1.984724061125711	1.7989846781104168	2.129314649940193	2.079240052294963	2.098150790582267	2.125282320662217	0.7455225391317702	0.17634719620547626	2.2479049141448124	0.24579951401645705	1.7662825903030097	0.590795385920912	2.0377603313125032	1.9216976340430674	1.050008484927124	2.0241459244907487	1.951057281080461	1.8560794595830747	2.796002250610568	0.5838488012914372	1.6338117155741134	2.155316384441148	1.9539019292807323	2.0155210211758234	1.5675315202137727	2.5273809104879814	2.8032224303781517	2.694716489556041	2.760420666381885	2.4831147458143907	2.757953289821027	2.539819189279786	2.6819665651904976	2.750516649258022
TL1a_FP_206	2.640323128257978	0.36821648064398105	0.0	1.132246613812794	4.654213654751435	2.448152537425434	2.629320410946244	2.356930936451252	2.8148164354812697	2.7412007524216713	3.672558612518553	2.5005905760807634	2.6084145460381762	1.0935371334146193	2.5264064084456823	0.540777501311891	2.3338170588762908	2.166770611904047	2.4807799352095383	2.420190519998735	2.4461387177678713	2.470216613768644	0.8420188359254078	0.45799495586550937	2.0399311976748	0.5732507160552289	2.122311228951174	0.5794289452782618	2.396053860653742	2.2889342690759475	0.7212742527868354	2.386278887329688	2.288540317327578	2.218899578928105	3.0933382532519165	0.9426891426351022	1.9873489183377298	2.4969341344568923	2.317437898104672	2.382068928499591	1.9353749216364569	2.88657445068033	3.1456626759182216	3.0496249959892374	3.0937942702869905	2.8279141620465906	3.0944591623741275	2.8782159239577827	3.041996156548878	3.0790413845467497
TL1a_FP_242	2.2871539823681144	0.8437379867231161	1.132246613812794	0.0	3.876976921885077	1.648522986042916	1.8115590352833926	1.5559042746868275	2.4099043272440785	1.6924704914648436	3.650299873489028	1.5791090367082667	2.028381066578957	0.27430325127373834	1.7278496722329542	0.5961836144669367	1.8055134344933697	1.3454666980028884	1.8853098553450762	1.9515828138247415	1.9053991239154884	1.9646966327339959	0.5837185387177224	0.9212219615452144	3.087355304743453	0.599235612376595	1.5576161795476218	0.8089091724812898	1.7573099348299466	1.5064510326974425	1.8533546960530876	1.4313974911756633	1.8419436979756025	1.5377291933279236	2.8205469628528936	0.44581123912826953	1.4427420581765333	2.0135621177688745	1.6025503487561894	1.548117997651971	1.1895506676789767	1.9627381652952256	2.078644162717466	2.0206104048241365	2.0048110146259455	1.770690184018566	2.0373967122805423	1.7987463786671776	2.2426487260149672	1.9879153831118233
TL1a_DTT_169_Re_extracted	5.771452554059519	4.563449392774693	4.654213654751435	3.876976921885077	0.0	4.702356270164667	4.707640325863411	4.6597679231129545	5.799800006169376	3.9646979472973802	7.268919545437612	4.379949414414951	5.292447115998325	4.125235990593838	4.741968999896635	4.250822963675591	5.21673657386814	4.5302926855333085	5.164600226666553	5.390263776401038	5.262975754660055	5.354905164076626	3.8324829229847435	4.692865019894397	6.6517225810987215	4.3651547554471195	5.012123653507993	4.093916171119272	5.034271975998095	4.670698849397386	5.221655042660884	4.252461273443823	5.325575182770622	4.846480542136854	6.2810216911146854	4.321561317568	4.9527859230817715	5.416062702274094	4.827638662449601	4.584583494349644	4.581525746526397	4.477479990277871	3.866461858927066	4.122873977638187	3.667152729870687	3.8841119390362127	3.8346031991581904	3.7448235136288504	4.9689010252607755	3.601207466716997
TL1a_FP_98	1.1234084153132877	2.0815022556682043	2.448152537425434	1.648522986042916	4.702356270164667	0.0	0.32230184077914303	0.115287760439695	1.113285447390657	0.8520938632515723	2.613864510860376	0.36492944242872627	0.5963211125500221	1.4794585418062185	0.0809888464059802	2.0464856497440382	0.6102482004537718	0.30986902335360883	0.5150002439660266	0.7683312093988632	0.608954457026075	0.703508894775352	2.2203738590682276	2.030637561120044	3.8439390388706656	1.9198432039363258	0.5791282801798491	2.382770849438027	0.3758298618661804	0.17129369440847858	3.0643797567807955	0.4521653790616974	0.7673685116330364	0.31899062264698397	1.6026510266600722	1.5396010126779198	0.6243768533283931	0.7606672524576866	0.21971419753752425	0.12811386792556587	0.5426103615919977	0.6402248602181319	1.234914179484403	0.9541398722669583	1.3433155493903435	0.9937153216759691	1.2645171800939081	1.1368357733279713	0.6725885398610182	1.3957072684726521
TL1a_FP_75	1.2497968740830057	2.267855578754992	2.629320410946244	1.8115590352833926	4.707640325863411	0.32230184077914303	0.0	0.42646653500945025	1.1632251445066648	0.8164293540971664	2.665039209476233	0.3611474250294537	0.6815731038874119	1.6488151942050528	0.28322472117985015	2.22865472284007	0.792821828313649	0.5643267615050259	0.5756705456181219	0.9385084134072252	0.7283530792659056	0.8610379935519517	2.3747871235820437	2.2314938370751567	4.017003150274823	2.105438864223557	0.8398923669640431	2.562868746427853	0.542674561990371	0.46930844066635186	3.2443842096219826	0.5248018503977454	0.89364771975524	0.5543623427123829	1.6323000592754522	1.723852624843838	0.8105858164968317	0.9030161844587252	0.4406149053297085	0.3374447545672162	0.8099172415053528	0.4074934432608079	1.0964962360971784	0.8347251690588096	1.2261806821548034	0.8961749540559719	1.1000842303682485	1.0462217873510855	0.4314025624870911	1.2753162993973362
TL1a_FP_141	1.137117441971862	1.989425217314288	2.356930936451252	1.5559042746868275	4.6597679231129545	0.115287760439695	0.42646653500945025	0.0	1.1555946588494361	0.8616299319525612	2.64315575318001	0.3912170416854674	0.6441433104389349	1.3877868236870565	0.19091750483436704	1.9513098887836318	0.605157088675064	0.21044002735685827	0.5627061647631548	0.7684785398362037	0.6332917902278586	0.7139790685179067	2.128769822260715	1.9370865931311756	3.7747194148635437	1.8256279202812224	0.5206178558263457	2.285802984554083	0.39710271078956433	0.07412826008975577	2.9775105905772405	0.4325147224021987	0.7703610339557816	0.28121072510631095	1.6450638511591371	1.4464091769476821	0.5794879229221217	0.7750906435357017	0.21892443840858167	0.13280904752616746	0.4367546974355763	0.7239499584591086	1.273579224727174	0.9999179216537394	1.3686262644705418	1.0158534349714008	1.305094467825747	1.1533199162917047	0.7873486946036564	1.418894603807101
TL1a_FP_62	0.2957076413235476	2.489915507004162	2.8148164354812697	2.4099043272440785	5.799800006169376	1.113285447390657	1.1632251445066648	1.1555946588494361	0.0	1.9358830931130955	1.5088327292807275	1.4493270230027813	0.5177163044951592	2.1646314219345766	1.087161126357346	2.5926731476292724	0.636764795825881	1.2877224721587444	0.6403333153427896	0.5052826204849595	0.5460829724775624	0.49743421945503535	2.9024693913135575	2.385456027869874	3.602731914230175	2.4275756898300043	0.9126969595939446	2.9669490454011807	0.76980280233071	1.1422597873175184	3.2498932863440406	1.5583391216764833	0.5707411713896536	0.9720740200374508	0.4904229500890993	2.116515004618891	0.9692320066033988	0.43504063787794617	0.9748968497372228	1.2221019023194086	1.3149306652941066	1.5222628632391344	2.233693939363745	1.9396296443946066	2.3784938690031066	2.0495491220237434	2.2522789351881167	2.199470483047119	1.1400970235293173	2.433494430558325
TL1a_FP_74	1.9701528041071625	2.389538533198194	2.7412007524216713	1.6924704914648436	3.9646979472973802	0.8520938632515723	0.8164293540971664	0.8616299319525612	1.9358830931130955	0.0	3.4442981843383067	0.5138693743775855	1.4243995901334703	1.6504638084245138	0.8581692752880201	2.243813712903772	1.4594045563707456	0.8635672621695757	1.3386240278333188	1.6185965678124028	1.4564768048828727	1.5535449861229018	2.2498389856254297	2.3917338211197237	4.4282496159474	2.1719358990734436	1.3678947737956253	2.5000981758826986	1.2258204280869418	0.910486819818224	3.4341901896141755	0.47737546799069075	1.6056901764431937	1.121579407406486	2.4183797394772113	1.8061519596589573	1.3746672894338137	1.6105690385260065	1.0464473660613423	0.7683511725756051	1.0910361528943133	0.5801076046982337	0.48027958093187045	0.3398940472877399	0.5293460350393406	0.21711451266482673	0.5472537359141137	0.3194509641351958	1.0408306452107927	0.5861101279804934
