	Itg.10.DTT455.S49	Itg.10.DTT456.S50	Lyz2.03B.DTT232.S72	Itg.20.DTT504.S99	Vil1.04B.DTT43	Vil1.07B.DTT79	Itg.18.DTT492.S87	Vil1.014B.DTT164	Lyz2.01B.DTT207.S47	Itg.22.DTT516.S11	Lyz2.04B.DTT243.S84	Itg.02.DTT407.S99	Lyz2.08B.DTT291.S133	Itg.24.DTT527.S22	Itg.26.DTT539.S35	Vil1.09B.DTT104	Vil1.03B.DTT32	Vil1.02B.DTT20	Lyz2.04B.DTT244.S85	Vil1.06B.DTT67	Vil1.04B.DTT44	Itg.24.DTT528.S23	Itg.08.DTT444.S37	Itg.12.DTT467.S61	Itg.16.DTT480.S75	Lyz2.02B.DTT219.S59	Itg.12.DTT468.S62	Itg.18.DTT491.S86	Lyz2.07B.DTT280.S122	Itg.06.DTT431.S24	Lyz2.05B.DTT255.S96	Lyz2.01B.DTT208.S48	Itg.02.DTT408.S100	Lyz2.07B.DTT279.S121	Vil1.013B.DTT152	Vil1.05B.DTT55	Vil1.01B.DTT08	Lyz2.05B.DTT256.S97	Lyz2.08B.DTT292.S134	Vil1.08B.DTT92	Lyz2.06B.DTT267.S108	Itg.16.DTT479.S73	Itg.20.DTT503.S98	Itg.22.DTT515.S10	Vil1.013B.DTT151	Vil1.02B.DTT19	Itg.08.DTT443.S36	Vil1.010B.DTT116	Itg.04.DTT420.S12	Lyz2.02B.DTT220.S60	Vil1.07B.DTT80	Vil1.010B.DTT115	Vil1.08B.DTT91	Vil1.014B.DTT163	Vil1.05B.DTT56	Vil1.09B.DTT103	Lyz2.06B.DTT268.S109	Vil1.06B.DTT68	Lyz2.03B.DTT231.S71	Itg.06.DTT432.S25	Itg.26.DTT540.S36	Itg.04.DTT419.S11	LYZdtt351	LYZdtt364	SLCdtt050	SLCdtt110	SLCdtt019	SLCdtt002	LYZdtt328	SLCdtt074	LYZdtt304	SLCdtt092	SLCdtt020	SLCdtt128	LYZdtt340	LYZdtt363	LYZdtt315	SLCdtt109	LYZdtt352	LYZdtt316	SLCdtt001	LYZdtt303	SLCdtt068	LYZdtt339	LYZdtt327	SLCdtt067	SLCdtt163	SLCdtt164	SLCdtt145	SLCdtt146
Itg.10.DTT455.S49	0.0	0.9151504404306554	0.6304090689512402	1.2622606940143544	0.8888154917413049	1.4654897954082373	1.382403433276981	1.3228856714513466	0.5607818525808153	1.3507732818580944	0.3518523545607436	0.7074758886895608	1.222742276225529	1.1146615355677854	0.7260438968775543	1.723272127631219	0.8218558385042972	1.0236739106559387	1.5466356715941834	1.4384449651281896	0.599139876199803	1.3738266916326185	0.6098985804831717	1.334958265086531	0.7868108870108462	1.108665290017096	0.3657177722249642	0.7180900240755261	0.9202743549666902	1.2861022036565577	1.239428322580171	2.3039180437231335	1.0967150007556687	1.2511881062094705	1.8017344494802408	1.4334979925686655	1.103364989833552	1.3693781238667178	1.235842154202663	1.2928391654498124	1.4513652636647822	1.6522710530044407	1.4233064642091682	1.6819526282804527	3.05654439337839	1.9743474706488642	1.6480493895964679	1.5128220639739363	0.42072453041740837	1.5236851336949644	1.669097985517433	1.8302611004463913	1.7293242229266268	1.6596929398402678	1.7674531131944344	2.28876226014138	1.9045848364197129	1.8721423130338648	0.8026917449469775	0.45589578071692105	1.1576100850622146	0.7624612762297259	1.895166370170739	2.6467407069955473	2.084676417969546	2.5620784613334133	1.5802246934415058	2.4627334183054534	1.9820485852807794	1.5594179475018872	1.3002020482152936	3.1586115597192514	2.2611260238605664	2.133987587674566	2.4125497313868736	2.6275542772539255	1.3715558587247467	1.60248684492129	1.733592789706244	0.787048016649727	1.7532416669884934	1.4245400120524032	2.1114679963955645	0.8235257115765258	2.8415660765020077	1.6791229273233712	1.9814950446115636	2.3131267780588884	2.1893064631580117	1.4958256602006081
Itg.10.DTT456.S50	0.9151504404306554	0.0	0.2977196573224814	0.3557569907885954	1.497797884763364	1.5903575497057711	0.6292202265082935	1.2159763164434811	0.8793353478158197	0.5629129080577563	1.1236969254011755	1.1097660486699967	1.8025038450814965	0.4488973217075017	1.6147606170821829	1.8495569710900277	0.6918518886239865	1.4519887599229562	0.8694900934197962	1.7143271702110394	1.2728019325400748	0.7325114060548107	1.3116861962730233	2.148293915529402	0.9169109936962275	1.1461015444886549	0.8861928008290887	1.591591195536921	1.0086384015359315	2.1676404092630155	1.8960309158801358	1.3901618619578426	1.0947034355734824	1.4833114352589583	1.9088407783737338	1.7424571342910549	0.993086221201989	0.59205427497454	1.1102298255558065	1.3708352274955422	0.6258205572120236	2.376544474753388	2.294222776313621	2.5605928656451344	3.523476762732248	2.5647648040464595	2.312374859142303	1.920211193217495	0.8021355627184176	0.6665810324439039	2.196078718287119	2.2591784589722455	2.106859883421065	2.1669983338647554	2.015000153081393	2.802955291214141	1.0435191764712028	2.115922650421792	1.1445257748011899	0.5843515335566761	0.25635981188533274	1.6261793319045996	2.3336020010691647	1.8521682420562338	1.326772760496395	2.0726302235984697	1.900799277862509	1.9209310782493898	1.8950881840201887	0.6610901466187471	0.8294578114629825	2.629638303415129	1.8005785026291865	1.340532866988835	1.6624035891069142	2.546242805236795	2.1411499073591225	1.737981241397225	1.9818254707129668	1.0449282750922246	2.1220227923532042	2.214669952385881	1.7282268304560164	1.175422187528261	3.607006437962003	2.054538861952474	2.30558826053483	1.6027899325877089	1.8327589139695044	1.1789384381122496
Lyz2.03B.DTT232.S72	0.6304090689512402	0.2977196573224814	0.0	0.6329848713378184	1.3134955032304878	1.5546577594769393	0.8690731817302667	1.2383340663076414	0.6345006159556069	0.8201796716566856	0.8746414426125568	0.9573136072941629	1.6345063311087193	0.6372196740970703	1.3387306889213182	1.8254483375926434	0.6661927369084051	1.3184613200207662	1.0880274908521688	1.6344227398238322	1.0609016644719893	0.9366597856752996	1.0290703647388484	1.8642564406236617	0.8271896334814918	1.0044599412249746	0.6053012555071063	1.2998306104503465	0.9527029075170511	1.9042895223450425	1.7072060472407948	1.6824683247272136	1.0727123753935313	1.408718301409686	1.8960639452445733	1.6593947751852747	1.0053850296430586	0.841562531965308	1.1381514257589065	1.3440552446517595	0.8996527935346748	2.1714278331207564	2.005038174470849	2.2994744483193577	3.4161158711384525	2.4074090330960725	2.1269103848545847	1.8076537672949613	0.611220058485678	0.9103386263888352	2.0555468296255732	2.151312507252379	2.0123483232456416	2.028352707907732	1.9595743750020582	2.6736422402635434	1.3337744222036165	2.064182008717622	1.0169734119163187	0.312217518933865	0.5490466613032703	1.36716518350043	2.1175648983009063	2.0635070750133435	1.5869881365618148	2.2528690016058306	1.8187362307069888	2.114947870908594	1.8234071739398283	0.9584287439227218	0.9663675847713645	2.8284913338484436	1.969499621240947	1.6120195942806042	1.8507690207885483	2.4793077065482887	1.9192720114299366	1.706125117740941	1.8056157105080415	0.8176394860542197	2.030081535457115	1.9363158220602383	1.8697167956457441	1.046968133775487	3.3345036288272234	1.9562181800964071	2.228749156862548	1.8437733908951437	1.9653263198896809	1.276238477988707
Itg.20.DTT504.S99	1.2622606940143544	0.3557569907885954	0.6329848713378184	0.0	1.8374027879316268	1.8317372813879302	0.5795666428524077	1.4120075191320618	1.1524523146456909	0.5097361187482844	1.4755089648394004	1.435013577057104	2.1300316472731824	0.560378234001015	1.9633407817237951	2.077150492208172	0.9709246321370251	1.7669763746729485	0.8290271505199787	1.9866738625882039	1.6231814444561572	0.7623544888404372	1.6113544653653564	2.457605273309322	1.214001526829178	1.2908453379574518	1.194441034429569	1.9224546132735219	1.2932460391486198	2.5229538903070603	2.233836867237839	1.0560781262317314	1.3388487427241327	1.753843138067211	2.135049243482428	2.026389232920408	1.2239220478596724	0.5305676726024594	1.32021249089536	1.6145097612890453	0.5025122559120602	2.718134574054208	2.6208548997662455	2.9161892257200446	3.809629158334682	2.8852458892418804	2.646425822742866	2.212938398164396	1.152009593729562	0.3774882624459064	2.511862823717811	2.5544569313164738	2.3946966496442528	2.4741021847806834	2.2732047590459263	3.106313881541762	0.8100339046249069	2.3700952918646654	1.4621413042081695	0.8954735524156173	0.1974326499044758	1.9816533413102588	2.5186752134340926	1.5422830954191455	1.1722259155992674	2.0435002888036533	2.1799062911499902	1.8686885989821	1.9162693537081075	0.40443925936231717	0.9385903677670824	2.5622507809462	1.803509704841638	1.1547448903282735	1.379852548519598	2.5325267303922456	2.4912752203385375	1.97187013446904	2.1152282834975527	1.2609356864700207	2.4058448027319885	2.5187440053667913	1.7734503731470148	1.4941687490367452	3.8888556503337983	2.3378302747257043	2.5705065855599467	1.4551763656652015	1.8807993466491097	1.3006065422416002
Vil1.04B.DTT43	0.8888154917413049	1.497797884763364	1.3134955032304878	1.8374027879316268	0.0	1.120378387659301	1.6817757697816949	1.064182010359092	1.388145247722381	1.6720745987438648	0.5737133354593217	0.45717170928787076	0.3617950258800261	1.4376576593766621	0.8598826852882876	1.0647552624117687	0.9422802574770044	0.3018976870785846	1.724910515392918	1.0057791011129458	0.2969238667642285	1.5463287736103926	1.3253420065160904	1.6755656915224122	0.7252054153876434	1.9171872307160873	1.2193278083560928	1.1367467937494422	0.7013907499245643	0.9550676973347395	0.40424262136241096	2.7437575599962014	0.857973780128136	0.6758942433442566	1.213824447362645	0.7732566734254337	0.9360784466925133	1.691565136889972	0.9959845609718867	0.8177681501126806	1.7875266400856629	0.8937107500700461	1.6081750519812754	1.277606643946649	2.170280154911714	1.1030271675534924	0.82296964928569	0.6941507570812305	0.7128460009002905	2.134728464375716	0.8108279384933234	0.977835672785533	0.9334654075624523	0.8000946440237369	0.985764001386626	1.4019804710098316	2.210580522837084	1.0814730283339489	0.4382270062734157	1.2651661400047283	1.6679351440670263	0.6023803535325948	2.572945196433683	3.3208106830511275	2.222916196718776	2.3478700734192595	0.7725852685776514	2.323659461010628	2.7861633434844455	1.986545515534199	1.3631989263141082	2.923531975550679	2.0437899619132205	2.31213424769164	3.113593180179043	3.4524316569519353	0.7870171097931963	0.9770084647716233	2.5170128792917206	1.6591335413456338	0.901364120581494	1.7628677361698644	1.8439213722339594	0.5820586577279419	3.0908239089721494	0.8474617507625988	1.1521487136888013	2.4044822930475584	1.8979100999745053	1.3467850118616673
Vil1.07B.DTT79	1.4654897954082373	1.5903575497057711	1.5546577594769393	1.8317372813879302	1.120378387659301	0.0	1.6869247755768133	1.3609731875263824	1.6498404112842473	1.6114031896599135	1.3850546834332895	1.19070677486442	1.3007895127285551	1.515186684261359	1.5496960299772258	1.3366733667970796	1.2124113699492354	1.0746229771589149	1.7113841670473053	0.2668893849779505	1.1351245118768032	1.4809966600925695	1.8044931167426508	2.21314689142272	1.2214530850127112	1.9937046963960137	1.6054486318306798	1.7948649580426599	0.9452583047173763	1.8036651718125845	1.347384876001327	2.503643746958938	1.2283833772981083	1.2551129346445655	0.5826726545528628	0.5479866534545718	1.1119960947460519	1.6836845873431534	1.1260011203065274	1.1137873580047852	1.694929453471514	1.747030237284831	2.2406400525378416	2.059888473638362	2.3412478503095535	1.6704768755007995	1.6206267119899995	1.358702157261378	1.1322310312250363	1.9863794769811018	1.1543195831495139	1.1256538967435754	0.8894146042759319	1.521583879780273	1.1180581182455975	1.7749950932273866	1.9820747671157748	1.1664878072700675	1.0490336618059994	1.550211703148694	1.6859014677194317	1.4342048290465343	2.829098358902253	3.044959409407196	2.0120784652824266	2.219937032205588	1.0804161959239644	2.214140233143549	2.7419669578542645	1.8304208352156386	1.4120120946956898	2.7128825688181526	1.8943687420989976	2.083487781474425	2.863320128693118	3.4446062983259855	1.4004192997091287	1.3374622394976097	2.7079451183192687	1.9898187798737916	1.1890486574405064	2.2395970518157187	1.7486884582309374	0.673935004393454	3.505571764514064	1.3818899552049222	1.5493774608802602	2.308539519682854	1.871606540294158	1.4555707793974133
Itg.18.DTT492.S87	1.382403433276981	0.6292202265082935	0.8690731817302667	0.5795666428524077	1.6817757697816949	1.6869247755768133	0.0	0.9583325130127708	1.489092533398341	0.137985708849393	1.4640779796388073	1.2504454189874519	1.904612629419922	0.272156250365446	2.0582539024925413	1.6374968221606432	0.7407145478342876	1.522619031194242	0.25373784478294076	1.860509748961238	1.54828046240898	0.25535729727223344	1.884815629847655	2.6949845196941684	0.9755540972437929	1.766796305604797	1.463107909283124	2.0982878441532122	1.0336342752384453	2.5131970989813555	2.0471734520654854	1.0975207637892836	0.9682206907331282	1.3975826809600926	1.8371733577445433	1.7949786393125857	0.8552985979717106	0.0526128110795824	0.9078167776269614	1.224431877102905	0.18486591895120494	2.534175158679971	2.80165753381444	2.8920662997948288	3.460095391483611	2.6187110154021402	2.4290395013051898	1.8829955512844343	1.1297488369145157	0.8765801209530313	2.274817308133052	2.2699940099761147	2.1260664766182553	2.171206979261898	1.9000682393742834	2.794500553250705	0.5847497194916464	1.9904052817838769	1.2511414707717183	1.1743151217680066	0.43654880380684946	1.993566662054579	2.9621163544479914	1.95715531237511	0.7290714639413425	1.4778495554713813	1.8420049085677452	1.3101990750414114	2.468468883383814	0.44579811711319756	0.44127659058485696	2.0192351219617706	1.2363127064010284	0.7651253940791494	1.849022674396379	3.1025482541200544	2.420039193883841	1.5417948808649387	2.60711666377024	1.6650749431291931	2.072812069805722	2.769354933242658	1.20519277150411	1.3966261404141596	4.181233867949373	1.984635773592341	2.176046963639839	0.9791030955914618	1.3058944279549742	0.7728646460221242
Vil1.014B.DTT164	1.3228856714513466	1.2159763164434811	1.2383340663076414	1.4120075191320618	1.064182010359092	1.3609731875263824	0.9583325130127708	0.0	1.7281368798537295	1.010706013736388	1.1586389672094008	0.7271506327577222	1.134553883846327	0.8529853225889795	1.7715921442581213	0.7078122124749682	0.5910683955849225	0.7965442590508448	0.8620799288430231	1.4551654250367674	1.104011606444437	0.7845315616119646	1.9291906619387273	2.5606976947081255	0.537892352781026	2.194768207767158	1.6037687407613752	1.9396958360026921	0.5471977182830211	1.9932782683201844	1.3163543074586594	2.0136006208759234	0.23983409653430005	0.5088700290477587	1.2626296146815337	1.1749981013846318	0.32480586581908166	0.9958159457598798	0.2558665622118894	0.3579923807087481	1.1065593545794201	1.7626671058101016	2.5601648722718604	2.317063479992158	2.559226194000335	1.7586663673057232	1.6237194115289941	0.9841534409421651	0.9697683577880727	1.746975461134183	1.500133585924711	1.4674051226864318	1.3868946213884377	1.2835176385889235	1.0375746217431818	1.9037237953974764	1.4315722046665174	1.1290876315416287	0.6833628997186474	1.434203570416755	1.2165992928262006	1.5823682794367921	3.1982566756835835	2.8964351438928944	1.2916355154122678	1.3206748491146096	0.9838491335573151	1.2754926158309061	3.035889028101098	1.375872291516491	0.5353470297489247	1.9145947923150766	1.033136265909174	1.401863777128561	2.7645159053580084	3.7094033428957056	1.8311777262967353	0.5959514747612241	2.9781852998429077	1.9777304883855662	1.2073430300862735	2.6513780124993493	0.8470863109737651	1.0410585872436924	4.050112190993348	1.0668544450823196	1.2370850679306622	1.3901893926560909	0.894211127867325	0.31574284595606866
Lyz2.01B.DTT207.S47	0.5607818525808153	0.8793353478158197	0.6345006159556069	1.1524523146456909	1.388145247722381	1.6498404112842473	1.489092533398341	1.7281368798537295	0.0	1.4212275916242414	0.9052450339841005	1.213020560571414	1.741462187172838	1.2540536320444995	1.014095895412711	2.1881354774432524	1.1498447819746966	1.5210681898990888	1.7073868981844116	1.6569814060390802	1.0920505541962802	1.5306534680497876	0.492900085117691	1.3213192199385524	1.2234037369526494	0.548326393400837	0.20489332579526698	0.875991261479408	1.3059860244851702	1.6655206737491006	1.743856124433176	2.184559275681416	1.5169571783281335	1.7446118738139318	2.1013875574617327	1.783776772311352	1.4645625121450374	1.457710780028401	1.6008699639460102	1.7292503719187817	1.4939811575587896	2.1448610374102506	1.5200266431549754	2.043015666828391	3.5171339400257624	2.461907657040971	2.148109089081561	2.029509802298708	0.8145953853168213	1.2879742508926382	2.105691875529566	2.259154760540277	2.1224736284788315	2.182486917731603	2.213786920220411	2.7666567542319633	1.9007209347087668	2.314988670673108	1.2757057960771143	0.33052650139645834	1.1289539846806764	1.170461947132139	1.5057589371402995	2.2810187094157293	2.187293657916221	2.8423282078624554	2.0433338594086905	2.7185101405524463	1.4248221415204447	1.5023585497442729	1.54744393223107	3.4208750093520646	2.541928402755483	2.2064006014466693	2.020895198837289	2.0842649275004557	1.7494292576145571	2.075621765821181	1.2527000836220523	0.340030344959871	2.2179788560196783	1.3734926437134733	2.424634830116841	1.1426454082366286	2.7376674431670587	2.185212618467777	2.4816001051679484	2.467994412994998	2.524567448256775	1.8272787141377784
Itg.22.DTT516.S11	1.3507732818580944	0.5629129080577563	0.8201796716566856	0.5097361187482844	1.6720745987438648	1.6114031896599135	0.137985708849393	1.010706013736388	1.4212275916242414	0.0	1.4515130568493373	1.2542771308958998	1.9117803170944698	0.2639532425209428	2.0208200128686666	1.671739036902638	0.7361247141122254	1.525208024123001	0.3496661418427842	1.791431719704284	1.5272597488365944	0.2649437874244748	1.8334402753868122	2.6447155586750735	0.987298651436606	1.679631780821041	1.4091841881235971	2.06004596651707	1.0199181091049045	2.495160128993709	2.0473502235138	1.0768768298894364	0.9990712545351199	1.4285669783545583	1.7961971112381963	1.7572094794847752	0.8658999011296488	0.10002895974380684	0.9257804393406985	1.246306023593383	0.11595629915227246	2.53965222646683	2.7607801030901298	2.8749899160573245	3.466984912752526	2.6247120637535666	2.435558324875919	1.9063226525733254	1.09433234151712	0.7854160160452336	2.2598519450276093	2.257142286248113	2.1021315624490415	2.1920605860046773	1.9062199864510778	2.801503371525611	0.567059277755136	1.9962554433278012	1.2469452163139527	1.1168013548402402	0.3651829754941222	1.9672150895821063	2.8880139849902178	1.888461844586372	0.768592637908197	1.5505476323580236	1.8469481572374973	1.3881349786902104	2.374070147537845	0.36657321887848937	0.48412576276118646	2.0859471545901953	1.297528056809516	0.7950977528480302	1.7714121971880705	3.015733245743893	2.3905157342811396	1.57975562455584	2.530328518538982	1.6074354408682623	2.0765411388467094	2.713532673267212	1.2657757927817692	1.3443632101982552	4.1211823422138885	2.0073700382404103	2.2040575173541006	1.0605831763562878	1.377890266447071	0.8354069796850372
