	Mouse1B.DTT15	Mouse5A.FP26	Mouse6A.FP32	Mouse7A.FP38	Mouse1A.FP02	Mouse5A.DTT27	Mouse4A.DTT19	Mouse6A.FP31	Mouse1A.FP03	Mouse1A.FP01	Mouse7A.DTT38	Mouse2A.FP07	Mouse3A.FP13	Mouse6A.DTT31	Mouse1B.DTT14	Mouse3A.FP15	Mouse4A.FP20	Mouse1B.DTT13	Mouse2A.FP09	Mouse5A.DTT26	Mouse5A.FP25	Mouse7A.FP39	Mouse4A.DTT21	Mouse3A.FP14	Mouse4A.FP21	Mouse2A.FP08	Mouse5A.DTT25	Mouse7A.DTT39	Mouse4A.DTT20	Mouse6A.DTT32	Mouse6A.DTT33	Mouse7A.FP37	Mouse7A.DTT37	Mouse6A.FP33	Mouse4A.FP19	Mouse5A.FP27	Mouse9A.DTT98	Mouse10A.DTT109	Mouse10A.FP110	Mouse10A.FP109	Mouse10A.DTT110	Mouse9A.DTT99	Mouse9A.DTT97	Mouse10A.FP111	Mouse9A.FP97	Mouse9A.FP98	Mouse10A.DTT111	Mouse8A.FP87	Mouse8A.FP85	Mouse8A.DTT85	Mouse8A.DTT86	Mouse8A.FP86	Mouse9A.FP99	Mouse8A.DTT87
Mouse1B.DTT15	0.0	1.2465073112611982	0.9239963747846733	1.0855484345540691	1.11128148630964	1.0224010043164222	1.3115124050772553	0.9672078159915859	0.7730031223960887	1.633701337438121	0.8595448112030962	0.787999467599921	1.07556213352433	0.751997045206139	0.42025181317821697	1.1227469137453283	1.6497604065981208	0.5307781803859908	0.4968964110668196	0.9810613397139664	2.02004066782534	0.9852588569639483	1.6680421680291093	1.2184149933332824	1.6043105339328723	0.12269623583273469	0.9593187159936363	1.3613774057542238	1.716476751038758	0.9146575947103824	1.0009168053269208	2.0113369331116813	1.753361121043475	0.8252378150938174	1.4494960708401101	1.3169422088034097	2.2963982724482723	2.042940039029401	2.3508161408542985	2.569615875597108	1.676672566751449	1.954062945955353	1.3596597650787017	1.1785813774111131	1.865576044840287	1.4391526000714958	1.5040718060488525	1.4297857160572771	1.6789836310683859	1.0803573910109563	1.4855546732757272	1.767450259175858	2.0560562048474518	1.935008472438981
Mouse5A.FP26	1.2465073112611982	0.0	0.7515082672350489	1.054035497353091	2.1047639040216697	1.6579768488597149	1.9979094100856887	0.607771022236368	0.9801201182185846	2.678789100811452	1.3223025911610156	0.4946476401537868	0.3907895988353254	0.8445388828582601	1.652860322333845	0.4657505737943529	2.3378307393730173	1.03702172924865	1.6113136067007516	0.9084643394683348	0.7811970466517958	1.5056453141973738	2.2893263860082005	0.3250668762702876	2.4596195480516077	1.125097231273743	1.7710745206807903	1.717926763345851	2.375555523962582	1.0584275605740385	1.227245709730154	0.7809155162360708	0.5535308754905617	1.1734895805109435	2.210148375941073	0.5982732824054879	3.4165015188948242	1.9353825643599367	1.653865870956723	1.8170876250958714	1.205249928606788	3.0338403277052652	2.3238365311773688	0.672636044860982	2.5668893558116217	2.1552970204674287	0.9855101826422056	2.4119369802947217	2.8025201091685723	1.6108468244561158	2.3114043626062752	2.74917667165172	3.1638763968619696	3.0698884951159453
Mouse6A.FP32	0.9239963747846733	0.7515082672350489	0.0	0.3272810575739183	1.454151128063679	0.9278819269748414	1.2635488523049403	0.16256211823202377	0.5290793520736821	2.037634909096462	0.5922751656647539	0.6213580728771391	0.9108204435875311	0.19406261237320718	1.275349718546311	1.005460340683175	1.605052083947271	1.0782581187333322	1.395323997106716	0.19302479340604325	1.4469901967356278	0.7738122870351898	1.5543638726459752	0.9542436561867965	1.7555535819392394	0.8190539347133319	1.0776178339700353	0.9717946463748829	1.6357400804313764	0.3107570770252731	0.4809959455164121	1.3729868913539391	1.095304862761063	0.4523468483108075	1.4887921671055957	1.1778293493978282	3.2067506988537096	2.434323662437098	2.3506198355139665	2.523759932358828	1.7997504542165823	2.8741948000431408	2.2564535431923933	1.1870979175815408	2.6839702203363545	2.248983423531496	1.5806453962667777	2.334419220110264	2.588518729341033	1.7726929830618026	2.342548414131373	2.6766524847951607	2.9744522596749836	2.847013220333943
Mouse7A.FP38	1.0855484345540691	1.054035497353091	0.3272810575739183	0.0	1.3330595621280878	0.7298732639615254	1.0336753615756349	0.4658407046886539	0.6428484415721023	1.9014846122053255	0.43679160359192243	0.9401477793071427	1.2370537154108143	0.39142346853944054	1.3702576888794298	1.331409656051703	1.3558662218589754	1.3469364146705667	1.5564421183277175	0.21201023233504576	1.6902842898697776	0.5731868935902803	1.291810400169954	1.27480356577596	1.553899773471625	1.0033962663794218	0.9291349273292309	0.6722654970709927	1.3738111036630412	0.18256934417443285	0.2442882893711687	1.59354516584957	1.320781280006764	0.34771091143693517	1.269437261401029	1.4886363464172903	3.313541645058214	2.7522122075545052	2.6729784047553506	2.8406685001281753	2.125367588689118	3.008934167865948	2.439860318636944	1.510935613973217	2.9197790586650822	2.4857534625305204	1.907268353008361	2.512817950570583	2.704484518064493	2.0385738195693	2.5579950897645243	2.849606405465412	3.094817533162995	2.9545978319327304
Mouse1A.FP02	1.11128148630964	2.1047639040216697	1.454151128063679	1.3330595621280878	0.0	0.6436160349821233	0.5583981323643381	1.5956594181379615	1.2285091125082879	0.5933891860883088	0.9002570682494505	1.7421741025036825	2.0784131686474505	1.3151378374560185	0.9055766389753642	2.1484685566137554	0.7127939486750134	1.638305099544735	1.2427999036755515	1.3977001172370753	2.866194206871501	0.778336473519669	0.7946791559299201	2.197120353281543	0.5239466151935626	1.1762639677170206	0.40925448409035864	0.9899328931364096	0.797406424110284	1.1921093337173334	1.094794964264732	2.816697664703029	2.540141725648762	1.0199306797926466	0.5006776257062137	2.2715979201363456	2.3903990948043945	3.1246785489393765	3.443650444121442	3.6609004674796948	2.78040366073235	2.223390140207318	1.948732288702146	2.24846396817948	2.6341427427563993	2.2714421824087614	2.5962252040457257	1.988990105868347	1.8758943908716819	2.0799476890884545	2.2091234299381406	2.2498793681479414	2.2439555468167227	2.0674093159108993
Mouse5A.DTT27	1.0224010043164222	1.6579768488597149	0.9278819269748414	0.7298732639615254	0.6436160349821233	0.0	0.35110076903288073	1.0808980420411771	0.8745637173114199	1.192877911218892	0.33687803697030666	1.3739031578915173	1.7210190602972564	0.8277385975873494	1.0745125167536502	1.8050842618562546	0.7188806481200505	1.5000009838962216	1.3810250887438567	0.8289441600557442	2.3735331011149006	0.180791125242388	0.7025083820185783	1.8082238055324285	0.8502368502879529	1.0208026918252944	0.24337100323114028	0.4094597850992945	0.7583665190277104	0.6270163709964018	0.4941083608015845	2.294780243441478	2.016167920106145	0.48962567617663766	0.5794025152401967	1.959679640710844	2.8917565534538032	3.0257607390704435	3.1606390863178278	3.3541508524114425	2.5360451123493384	2.655545589174318	2.2304774808700536	1.943522276819801	2.834777318058176	2.42513666353419	2.331838389259424	2.2864701544485992	2.3235344278616306	2.101507234970721	2.4285520387000967	2.592677963172285	2.7072331586743332	2.5453290679870726
Mouse4A.DTT19	1.3115124050772553	1.9979094100856887	1.2635488523049403	1.0336753615756349	0.5583981323643381	0.35110076903288073	0.0	1.4200006966677328	1.167494672935941	0.9791872911695922	0.6801990825721039	1.7225011233922916	2.0679816560344073	1.1756495314994906	1.2741037854359611	2.152042446621406	0.37250413671413835	1.8135359431387688	1.6032741966638535	1.159328773157417	2.701978306926463	0.4929070395269723	0.3760926744172103	2.1561422397394123	0.5441249517717004	1.3283848611772522	0.3598644676643562	0.4877863588879965	0.4150855861706022	0.9556874422020863	0.8020982489579901	2.6201987419237285	2.3446284178771375	0.8244532132279971	0.2523555717202443	2.2857944614054166	2.9411284682318906	3.3412570496638656	3.505087861760482	3.701827821613591	2.87644126442777	2.752382595790793	2.407014297605045	2.2894010220377723	3.052294999917326	2.6587774387777348	2.6731807329702337	2.455959976047885	2.4091658524270154	2.378277496601471	2.635222479857522	2.7412270778385572	2.7834583593708335	2.610984126334195
Mouse6A.FP31	0.9672078159915859	0.607771022236368	0.16256211823202377	0.4658407046886539	1.5956594181379615	1.0808980420411771	1.4200006966677328	0.0	0.6295673949648759	2.1820337541954573	0.7453028348091719	0.5171810379053136	0.7803224566637385	0.2889768092439203	1.3466712558560863	0.8745850325240244	1.7647067180535454	1.0414065644066983	1.4340750956905621	0.3018593329348418	1.301884283138069	0.9318025534804854	1.7145839893525874	0.8098999565360294	1.9119550957969502	0.8534395558583936	1.2256531330035614	1.1235256670390759	1.794336524840223	0.46957595748031355	0.6396881197545528	1.227202210457365	0.9469269583381343	0.6091776303837753	1.6466144832946195	1.0762066927925127	3.2591784026833044	2.3313616542291093	2.208468373760355	2.375100031625882	1.6719349845625644	2.911950391355334	2.2714514870909515	1.0600695333567183	2.658566810081805	2.2249392669822576	1.4539083918811848	2.3502496626999188	2.639438935674757	1.7312826949895967	2.3348209568336564	2.6933886654815233	3.019271308602192	2.8994575788779886
Mouse1A.FP03	0.7730031223960887	0.9801201182185846	0.5290793520736821	0.6428484415721023	1.2285091125082879	0.8745637173114199	1.167494672935941	0.6295673949648759	0.0	1.7653046660053962	0.6132013376413898	0.8016428727314802	1.061282588281238	0.5102629933250346	1.0252417459122798	1.147749031899228	1.4724186620763933	0.999070180028216	1.1304040818823415	0.649822207993721	1.70619651713583	0.7225911635108143	1.4377166782886561	1.1507493385364582	1.5509790763277405	0.6968198120884893	0.9306433227546661	1.0324426222512273	1.5323227585513175	0.5185799292703169	0.5994001160256485	1.6910607563291364	1.4425979016224757	0.47445889781983736	1.3315513270136665	1.145719380261697	2.889481837053121	2.4013557422274223	2.451040251902273	2.6626071507310733	1.8734000420407833	2.5868374558233853	1.994952591705057	1.3133398579236943	2.493693706203514	2.068282170603705	1.65272657851004	2.082534186951192	2.276427998536515	1.626187980919249	2.122159527588603	2.419581177703669	2.6793925448077736	2.5419945765120957
Mouse1A.FP01	1.633701337438121	2.678789100811452	2.037634909096462	1.9014846122053255	0.5933891860883088	1.192877911218892	0.9791872911695922	2.1820337541954573	1.7653046660053962	0.0	1.4780113251362388	2.3155604022560827	2.6417743379927634	1.9046047084543478	1.3328681497769705	2.7080823273279546	0.8910091072282822	2.1446133314825055	1.6339885085516985	1.9826520874005826	3.440416364039934	1.3322091069033621	1.0080827984460439	2.766633902771727	0.5313176812628705	1.7151760576449053	0.9810577605422182	1.4633732313252248	0.9684003852543086	1.7694729613745603	1.6584573975479506	3.397845972312366	3.1242592783990175	1.597029570296874	0.7763485513379887	2.7980248068357514	2.299669514661725	3.56617002731964	3.9675043434367954	4.194665865237044	3.2987946541931685	2.2443626496321016	2.1580014357257657	2.7979646608805835	2.881937309368606	2.5745070622085673	3.1235846560612464	2.1812582015230753	1.8986859714580293	2.482883249894927	2.4600634880806402	2.3778235067069335	2.2203161361940955	2.032926831555459
