feature	k__Bacteria.p__Firmicutes	k__Bacteria.p__Bacteroidota	k__Bacteria.p__Desulfobacterota	k__Bacteria.p__Proteobacteria	k__Bacteria.p__Actinobacteriota	k__Bacteria.p__Cyanobacteria	k__Bacteria.p__Deferribacterota	k__Bacteria.p__Verrucomicrobiota
Vil1.01B.FP11	63268	9607	4545	225	329	4	0	122
Lyz2.02B.FP222.S70	167529	6460	399	174	72	8	1	0
Itg.22.FP518.S21	69801	11186	777	365	151	0	1	0
Lyz2.04B.FP244.S41	23155	7174	178	156	19	12	1	0
Vil1.05B.FP57	41214	19963	2575	846	272	178	111	200
Vil1.03B.FP35	105414	2724	447	770	46	7	1	325
Itg.02.FP409.S9	22940	5365	581	119	59	141	1	41
Vil1.01B.FP07	28888	38244	518	1054	105	39	1	452
Lyz2.04B.FP243.S92	63391	29180	162	506	47	11	1	0
Vil1.13B.FP153	30038	47271	215	2997	7	13	0	7317
Vil1.07B.FP82	69688	3901	5458	26	2608	16	1	0
Lyz2.07B.FP283.S81	32871	1855	766	10	145	6	0	36
Lyz2.04B.FP245.S42	17907	5897	214	142	22	8	1	30
Itg.20.FP508.S11	70733	18155	4105	266	368	11	1	0
Vil1.10B.FP115	56599	42689	119	892	260	83	1	1864
Vil1.01B.FP08	22314	24037	739	663	66	40	1	318
Vil1.10B.FP116	46528	24024	1084	758	153	102	129	940
Vil1.14B.FP167	53499	1352	145	279	940	0	1	1059
Vil1.04B.FP46	76060	15941	1945	1427	444	27	1	904
Vil1.06B.FP67	29463	25320	461	466	745	126	1	0
Lyz2.01B.FP208.S56	49034	18162	1101	287	80	70	323	0
Vil1.14B.FP163	77916	35952	1200	770	758	41	200	266
Lyz2.06B.FP271.S69	25844	1956	2584	27	145	0	0	40
Vil1.09B.FP108	141936	13475	407	741	1821	10	1	397
Itg.22.FP515.S18	21295	14127	128	143	65	7	1	0
Lyz2.05B.FP255.S52	25197	12687	286	482	82	34	1	0
Vil1.02B.FP22	59500	28900	2017	1048	289	17	1	183
Lyz2.01B.FP210.S58	163604	3944	318	58	57	0	1	0
Itg.24.FP528.S31	34166	11721	500	197	25	50	1	0
Vil1.05B.FP58	63446	2076	327	2310	56	10	1	105
Vil1.04B.FP43	33663	28341	682	1299	110	48	1	2511
Vil1.08B.FP95	140763	6630	2171	487	233	16	1	224
Vil1.09B.FP106	115753	5605	460	36	2391	7	1	841
Lyz2.07B.FP282.S80	26404	2604	325	47	36	7	1	0
Itg.16.FP484.S87	62003	16733	3295	412	586	16	9	0
Vil1.10B.FP120	68624	21058	231	829	545	64	1	415
Vil1.05B.FP60	28106	12009	946	531	254	35	1268	87
Lyz2.01B.FP212.S60	29674	7171	187	197	17	0	1	41
Vil1.03B.FP32	35378	18442	918	1221	136	168	1	508
