feature	k__Bacteria.p__Firmicutes	k__Bacteria.p__Bacteroidota	k__Bacteria.p__Desulfobacterota	k__Bacteria.p__Proteobacteria	k__Bacteria.p__Actinobacteriota	k__Bacteria.p__Cyanobacteria	k__Bacteria.p__Deferribacterota	k__Bacteria.p__Verrucomicrobiota
Vil1.01B.FP11	5.26905637593098	3.38425698295373	2.6359086236064	-0.365559381533801	0.0129982736544389	-4.17665646837199	-5.78609438080609	-0.973910025433669
Lyz2.02B.FP222.S70	7.13647536589735	3.88109703076794	1.09902219431776	0.27234362113329	-0.601982911641833	-2.695217775454	-4.19929517223028	-4.89244235279022
Itg.22.FP518.S21	6.30937879545159	4.47846852266343	1.81268737799489	1.05859418721787	0.179841374662776	-4.8440391461835	-4.15089196562356	-4.8440391461835
Lyz2.04B.FP244.S41	5.62178074662499	4.45012958205392	0.759157347266849	0.628017346774402	-1.43249618501992	-1.86327910111237	-3.73508127801396	-4.42822845857391
Vil1.05B.FP57	3.6337327167982	2.90886110064037	0.861168257275119	-0.251124135297071	-1.38335303476417	-1.80543902410837	-2.27432595865403	-1.68951992189005
Vil1.03B.FP35	5.98591031516081	2.33047380230406	0.525043327621698	1.06793846877004	-1.72960230308323	-3.50030836311345	-4.88660272423334	0.207147476573421
Itg.02.FP409.S9	4.63274727897758	3.17990432825081	0.95853674499668	-0.620441959952712	-1.31358914051266	-0.452106645133497	-4.71478652217481	-1.67026408445139
Vil1.01B.FP07	4.12152341956928	4.40207535251735	0.102211123927277	0.811603286671555	-1.48625366512654	-2.46081330512468	-5.45654557867867	-0.0338006337555779
Lyz2.04B.FP243.S92	6.09335768866208	5.31753783070135	0.130014939970561	1.26477574275498	-1.09253424992831	-2.4788286110482	-4.27058808027626	-4.9637352608362
Vil1.13B.FP153	4.30131487229812	4.75473648894771	-0.633658536393632	1.99676373458475	-3.92949540239796	-3.36987961446254	-6.0089369440778	2.88915540150135
