"","k__Bacteria.p__Actinobacteria","k__Bacteria.p__Bacteroidetes","k__Bacteria.p__Firmicutes","k__Bacteria.p__Proteobacteria","k__Bacteria.p__Verrucomicrobia"
"Proximal_Colon_L",37,37932,12328,155,194
"Distal_Colon_L",23,43209,8291,117,325
"Cecum_L",31,31644,17703,227,205
"Proximal_Colon_M",10,16227,28504,213,178
"Distal_Colon_M",12,27204,15734,438,711
"Cecum_M",15,22144,52452,163,389
