OTU.ID	Mouse5A.DTT29	Mouse6A.DTT35	Mouse1B.DTT15	Mouse1B.DTT18	Mouse5A.DTT27	Mouse4A.DTT19	Mouse5A.DTT30	Mouse5A.DTT28	Mouse7A.DTT38	Mouse7A.DTT41	Mouse4A.DTT22	Mouse6A.DTT31	Mouse7A.DTT42	Mouse1B.DTT16	Mouse1B.DTT14	Mouse1B.DTT13	Mouse6A.DTT34	Mouse5A.DTT26	Mouse4A.DTT21	Mouse4A.DTT24	Mouse1B.DTT17	Mouse5A.DTT25	Mouse7A.DTT39	Mouse4A.DTT20	Mouse6A.DTT32	Mouse6A.DTT33	Mouse6A.DTT36	Mouse4A.DTT23	Mouse7A.DTT37	Mouse7A.DTT40	Mouse9A.DTT98	Mouse10A.DTT109	Mouse9A.DTT100	Mouse9A.DTT101	Mouse10A.DTT110	Mouse9A.DTT99	Mouse9A.DTT97	Mouse8A.DTT90	Mouse10A.DTT111	Mouse10A.DTT113	Mouse9A.DTT102	Mouse10A.DTT112	Mouse10A.DTT114	Mouse8A.DTT85	Mouse8A.DTT86	Mouse8A.DTT88	Mouse8A.DTT89	Mouse8A.DTT87	taxonomy
k__Bacteria;p__Bacteroidota	27559	20911	34494	4116	26060	30966	29802	27904	18866	17579	9149	29433	21200	17358	28878	34292	9731	41790	12900	27205	8193	19385	25800	17927	20256	18642	24868	14714	30535	17474	28285	23749	67229	47453	35326	21908	22016	47351	34836	35440	40038	28545	19168	37112	25676	19302	47666	10287	
k__Bacteria;p__Firmicutes	4443	2511	10626	8137	9445	9184	4781	5415	13521	4445	7121	15900	6114	5037	14608	8663	783	7962	8446	12765	10608	15796	13374	11512	14370	10665	4301	22783	6057	4971	53878	10556	2574	2929	5972	24189	17150	6584	8786	10532	2270	10324	13406	15578	12863	3115	2356	12860	
k__Bacteria;p__Actinobacteriota	232	63	49	117	28	7	127	28	36	294	13	62	198	187	144	83	3	42	20	73	21	2	215	14	27	33	115	36	128	67	93	198	303	352	7	186	101	371	17	122	178	47	257	122	52	273	349	40	
k__Bacteria;p__Verrucomicrobiota	6	21	10	26	12	7	12	3	17	20	7	255	73	49	136	372	19	10	9	47	76	10	25	17	29	37	16	10	43	14	171	879	4593	3772	13	72	308	73	0	13	2400	20	229	227	102	19	19	94	
k__Bacteria;p__Proteobacteria	2740	1657	509	265	553	443	1591	2527	439	2244	758	627	1670	2850	304	586	997	918	151	2009	370	220	791	148	259	222	3629	948	1243	2081	474	1062	4728	1102	592	359	411	14545	476	2572	483	4292	1195	845	820	5541	13708	363	
k__Bacteria;p__Desulfobacterota	48	146	575	247	310	112	95	116	170	246	32	786	268	79	547	271	64	156	125	190	88	124	500	115	468	825	152	82	39	135	887	134	717	796	72	438	353	36	151	70	686	222	120	665	278	94	102	415	
k__Bacteria;p__Cyanobacteria	0	14	42	6	31	43	0	7	79	3	11	84	0	8	100	39	0	25	59	0	11	15	52	68	118	88	0	2	45	3	96	43	0	2	98	53	51	2	93	0	0	10	40	23	1	0	14	5	
k__Bacteria;p__Deferribacterota	10	48	14170	325	23539	3945	17	1072	767	9	10	3569	110	191	6331	4043	40	922	15612	68	564	6429	12330	9480	1753	15288	39	37	357	195	880	17231	51	29	3058	23262	36933	66	2048	20	16	162	934	490	520	113	10	42097	
