#OTU ID,SLCdtt163,SLCdtt164,SLCdtt145,SLCFP148,SLCdtt150,SLCdtt167,SLCFP164,SLCdtt149,SLCFP166,SLCdtt146,SLCdtt148,SLCFP163,SLCdtt168,SLCFP150,SLCFP167,SLCFP145,SLCFP165,SLCdtt165,SLCdtt166,SLCFP146,SLCFP147,SLCdtt147,SLCFP149
2f65298490e0fe48b880145471ec54eb,13272,5707,11563,3651,17518,28779,3375,30738,13335,1625,7577,4806,19570,10142,9263,10310,2547,8539,48658,5690,2544,6456,10208
c42634f8d1aad4956aa9638465e86565,4826,2007,5566,2576,6523,6214,3532,8739,11025,944,7158,8240,5466,16331,13616,3566,2270,4620,3862,3753,1475,3913,15007
5ae5ad642b9c2cc68c4fc59e4902ff63,1708,37,2757,3383,572,115,0,2421,485,668,3854,0,233,392,4,976,0,0,50,3769,2476,3104,5968
f5fb42e8863737981eb6e04a3de22e29,3012,3772,2749,3087,13404,3761,2398,19136,7171,948,2881,3319,10006,3116,12343,242,4002,3057,6067,3070,3144,2307,18141
d013db1a71d477496cb864ee431c3420,1806,1146,1114,5457,8240,1929,2099,8120,133,1425,6594,2744,2638,2814,1711,5086,1376,2858,3363,5163,3266,5808,471
ccdb1dad68d457d1df2d11af1ea8ca5f,40,0,525,426,135,48,0,327,115,47,307,0,0,58,30,72,0,0,48,378,327,209,607
9c9d2dfde9ad67dcb9628dc8c30ec99f,477,519,257,791,1260,591,1126,1922,87,160,830,1322,1040,1739,2875,1063,913,1218,829,908,447,724,194
a93ecb34623d57ce5a83ac109551229b,727,1725,1492,706,513,793,406,1526,1137,383,1428,256,413,208,934,99,660,1177,420,705,468,1073,2492
1b23073ca2a2884ac2bd7895dda760bc,318,935,7,0,0,82,296,0,51,0,0,114,91,17,169,2,743,511,27,0,0,0,0
7cd17d18c05e35c6001cc253ac15c517,1403,891,645,398,499,2072,1401,1242,431,133,805,1855,1401,2010,2405,663,809,2702,2833,460,247,607,358
759abfc82a4b189214d7e148d4aef180,1184,69,156,94,221,437,92,157,199,14,212,109,201,281,220,254,129,156,169,104,46,151,31
04af8257d41718f9636b8bbc789b0fcf,57,135,21,19,4,0,29,6,5,6,70,25,14,46,18,9,14,183,0,16,8,36,12
0247032b5537cfe290e9fe3067f9257e,1300,314,760,1406,1652,1126,609,2309,418,279,1805,798,609,198,854,1900,527,763,862,1562,854,1609,498
298c6e520261d927af2fb9e7c1e4cebc,1594,902,516,891,1673,818,1463,2621,325,195,1300,1568,2261,585,1823,1655,1233,3029,1878,1071,462,1054,738
653c972b92d846f3b6b199c4f5257025,45,2,0,11,0,11,0,0,23,24,41,0,37,245,1,7,0,17,5,0,4,44,57
e78a270ccd8d01d326e840cd85e1c1e2,211,113,155,459,437,304,351,822,136,66,481,425,272,412,412,563,341,313,388,457,211,350,295
b3703a2157a018a94473b0861589dde0,1488,814,2023,2862,7800,2389,1358,6411,373,630,2778,1662,1114,868,1509,3743,973,2466,1385,2993,1876,2511,965
fc7e77e237e910e3f38dbb8e3c69c5bd,19,46,98,439,60,29,39,28,94,116,577,49,18,20,21,83,53,56,33,406,272,590,460
a589fa026973c67d0f1c7b741d85b90c,15,16,69,291,30,58,0,251,132,62,215,32,0,0,33,71,30,10,42,210,219,173,623
ad23727bc3e6dc84a4c52399fe4f0d39,29802,19899,3298,5920,11731,48972,31549,16226,1124,3835,25198,35366,17179,3973,15311,17155,18778,52391,38100,12184,3838,19629,199
a87086e2ee322da102d8a52c4de21683,0,4,122,88,25,0,0,72,21,13,31,0,0,3,5,20,5,0,0,71,58,46,142
f80a7e9c950f857ec31ac4d0cc9c6a03,483,97,72,245,328,181,200,438,123,21,160,217,118,109,124,286,168,252,163,219,125,151,210
73e42306e185be6f0c6060d4ed924469,162,45,0,59,44,42,75,71,18,7,58,100,104,453,67,39,75,135,84,38,28,58,10
3bffd5a2b1cf48b46d1e51628c3551fc,166,122,115,97,188,146,189,220,271,12,47,202,245,106,403,52,199,149,112,127,49,39,216
9b5ce504ace88223f14f8b0848d1b054,5252,2404,7146,7952,31698,11541,8637,44223,22451,2375,2329,9605,12489,144,37338,15870,6762,4577,26621,16616,6064,2091,26396
6d5171bbc6ef97262119e6d152d82164,8,16,26,6,11,7,9,18,14,0,10,10,9,19,7,9,4,8,8,13,7,7,10
235c319ab46f87d377a28a34ba10bfa1,1015,604,285,568,879,706,1497,2015,169,108,520,1738,815,144,1465,787,1228,1488,2312,659,419,452,39
89c209abd89a5232343a4c87c93cb4ea,1,6,11,13,2264,98,4,340,203,0,6,11,150,19,132,20,6,21,429,14,0,4,101
f745d265f36ea7eac26d97280e690796,179,10,7,0,62,8,0,6,4,0,5,2,10,4,6,3,0,2,8,2,2,5,6
20fe5c9f456999fe121cb1c16bf41e77,80,65,0,0,0,13,90,0,19,0,0,96,63,6,4,0,69,250,10,0,0,0,0
48082d1ff66a9207ede6bf05e9846d6e,1362,739,528,1600,3088,1884,1643,2337,120,410,2065,2002,923,572,687,2485,968,1996,1544,1849,1124,1713,287
695a1bb7c03f0f0b00d69b55fe30c4c3,372,331,125,73,9,22,184,10,45,21,108,120,67,120,2,42,198,296,12,86,48,80,9
