OTU ID,TL1a_FP_140,TL1a_FP_207,TL1a_FP_65,TL1a_FP_64,TL1a_FP_209,TL1a_FP_206,TL1a_FP_242,TL1a_FP_77,TL1a_FP_245,TL1a_FP_76,TL1a_FP_102,TL1a_FP_98,TL1a_FP_75,TL1a_FP_173,TL1a_FP_141,TL1a_FP_174,TL1a_FP_144,TL1a_FP_142,TL1a_FP_62,TL1a_FP_74,TL1a_FP_172,TL1a_FP_171,TL1a_FP_66,TL1a_FP_143,TL1a_FP_100,TL1a_FP_99,TL1a_FP_246,TL1a_FP_78,TL1a_FP_210,TL1a_FP_208,TL1a_FP_101,TL1a_FP_244,TL1a_FP_63,TL1a_FP_243,TL1a_FP_170,TL1a_FP_205,TL1a_FP_73,TL1a_FP_139,TL1a_FP_169,TL1a_FP_61,TL1a_FP_241,TL1a_FP_97,TL1A_FP_641,TL1A_FP_689,TL1A_FP_638,TL1A_FP_640,TL1A_FP_685,TL1A_FP_686,TL1A_FP_639,TL1A_FP_687,TL1A_FP_637,TL1A_FP_688,taxonomy
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium,0,0,0,0,0,0,0,0,106,0,0,0,0,29,0,4,3,4,0,0,0,0,0,3,0,0,26,0,9,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Enterorhabdus,0,0,0,0,1,0,0,0,8,0,0,0,0,17,0,10,0,4,0,0,4,0,0,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,123623,39663,79396,48482,314,46039,63099,10889,10512,7076,18555,47803,34937,9243,43482,20314,62024,31423,47516,31767,873,109510,44549,48059,26832,37776,20436,47248,15043,1333,4735,56524,43235,68161,45089,39366,27186,45048,32027,34521,55484,31830,711,306,4132,243,7497,18070,6939,10989,11125,956,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter,224,0,151,50,2,0,0,38,99,31,387,74,83,155,56,104,84,309,155,111,55,101,68,239,191,65,34,148,102,0,462,2,101,0,80,0,68,39,45,111,0,52,19,12,40,4,42,67,45,47,62,43,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__,6,9,6,5,674,17,59,808,18257,2349,22455,86,953,14313,59,24115,164,8365,22,3427,18050,12,969,5619,9854,0,4770,88,29307,853,17215,834,8,113,504,34,65,14,223,27,13,38,1359,347,101,321,0,5,0,0,3,1013,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum,0,0,0,0,5,0,0,0,125,25,524,0,11,290,5,143,0,67,3,61,1767,0,21,58,119,0,17,5,97,8,255,9,0,0,0,5,0,0,4,0,0,0,3,0,0,3,0,0,0,0,0,6,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella,1,0,1,2,70,0,0,377,3845,1617,10113,45,586,4227,16,1626,8,1003,3,1552,660,1,212,594,4569,0,1076,22,6151,110,7983,49,2,30,27,0,15,3,36,2,2,0,25,0,11,0,0,0,0,0,0,32,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Paraprevotella,24693,0,1806,2504,0,0,0,1479,0,1114,2396,6868,7578,129,3639,422,8775,2515,15268,9907,9,15162,575,6063,3673,3958,0,6724,0,0,20,0,5304,0,8276,0,5837,1434,3168,10671,0,1899,102,47,678,30,2222,4571,1394,3238,2049,154,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotellaceae_UCG-001,0,0,0,0,0,0,0,5,16,97,267,0,11,17,0,87,0,0,0,45,0,0,31,0,155,0,0,0,0,0,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes,520,0,297,163,31,0,0,177,790,105,3121,181,272,1152,230,1535,330,1052,418,736,4385,516,316,1072,1784,118,435,713,898,10,2898,21,397,0,237,0,146,166,371,450,0,302,69,47,142,21,181,411,228,241,472,115,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Millionella,0,0,0,0,0,0,0,12,0,12,286,0,8,0,0,0,0,0,0,52,0,0,25,0,187,0,0,0,0,0,1162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,
