#OTU ID,Itg.18.DTT496.S91,Lyz2.05B.DTT260.S101,Vil1.06B.DTT70,Vil1.03B.DTT35,Vil1.01B.DTT11,Itg.24.DTT530.S25,Vil1.06B.DTT72,Itg.24.DTT531.S26,Itg.04.DTT423.S15,Lyz2.06B.DTT272.S114,Lyz2.04B.DTT246.S87,Itg.20.DTT508.S3,Lyz2.06B.DTT270.S112,Itg.16.DTT482.S77,Lyz2.03B.DTT236.S76,Vil1.04B.DTT46,Lyz2.02B.DTT224.S64,Vil1.02B.DTT24,Vil1.02B.DTT23,Lyz2.06B.DTT271.S113,Lyz2.07B.DTT284.S126,Vil1.09B.DTT106,Lyz2.02B.DTT223.S63,Itg.22.DTT519.S14,Lyz2.04B.DTT247.S88,Itg.06.DTT434.S27,Itg.22.DTT518.S13,Itg.02.DTT412.S4,Vil1.03B.DTT34,Itg.26.DTT543.S39,Itg.04.DTT424.S16,Lyz2.01B.DTT210.S50,Vil1.08B.DTT96,Vil1.010B.DTT119,Vil1.05B.DTT58,Vil1.05B.DTT59,Vil1.010B.DTT120,Itg.12.DTT470.S64,Itg.02.DTT410.S2,Vil1.05B.DTT60,Itg.08.DTT446.S39,Vil1.08B.DTT95,Vil1.01B.DTT10,Itg.26.DTT542.S38,Itg.18.DTT495.S90,Lyz2.04B.DTT248.S89,Vil1.010B.DTT118,Itg.20.DTT507.S2,Itg.12.DTT471.S65,Lyz2.03B.DTT235.S75,Lyz2.05B.DTT258.S99,Itg.10.DTT459.S53,Itg.08.DTT447.S40,Vil1.09B.DTT107,Vil1.01B.DTT12,Vil1.013B.DTT156,Vil1.07B.DTT84,Vil1.014B.DTT167,Itg.26.DTT544.S40,Itg.04.DTT422.S14,Lyz2.08B.DTT295.S137,Itg.06.DTT435.S28,Vil1.06B.DTT71,Itg.16.DTT484.S79,Vil1.04B.DTT48,Lyz2.07B.DTT282.S124,Itg.06.DTT436.S29,Lyz2.08B.DTT296.S139,Itg.22.DTT520.S15,Vil1.07B.DTT83,Lyz2.02B.DTT222.S62,Lyz2.01B.DTT211.S51,Lyz2.01B.DTT212.S52,Vil1.02B.DTT22,Lyz2.07B.DTT283.S125,Itg.10.DTT458.S52,Vil1.08B.DTT94,Itg.02.DTT411.S3,Vil1.014B.DTT168,Vil1.09B.DTT108,Lyz2.05B.DTT259.S100,Itg.20.DTT506.S1,Lyz2.03B.DTT234.S74,Vil1.07B.DTT82,Vil1.013B.DTT154,Vil1.04B.DTT47,Itg.18.DTT494.S89,Lyz2.08B.DTT294.S136,Vil1.013B.DTT155,LYZdtt342,LYZdtt308,SLCdtt022,LYZdtt366,SLCdtt070,SLCdtt005,LYZdtt354,LYZdtt330,SLCdtt114,LYZdtt356,LYZdtt368,SLCdtt095,LYZdtt367,SLCdtt024,LYZdtt319,LYZdtt306,SLCdtt113,SLCdtt004,LYZdtt355,LYZdtt343,SLCdtt076,LYZdtt344,SLCdtt096,LYZdtt318,LYZdtt332,LYZdtt320,SLCdtt078,SLCdtt052,SLCdtt054,SLCdtt006,SLCdtt077,SLCdtt132,SLCdtt130,LYZdtt307,LYZdtt331,SLCdtt053,SLCdtt150,SLCdtt167,SLCdtt149,SLCdtt148,SLCdtt168,SLCdtt166,taxonomy
P122-PWY,38094,10152,492,8029,25738,18734,774,52529,112904,7907,11165,33050,26945,5638,44696,10111,27599,10036,19097,18490,30539,9344,41762,37240,39203,44554,14816,60202,10468,29047,52774,31608,792,17794,3543,1543,5823,47518,82556,654,10911,2225,14244,38836,29063,36924,10882,19976,22972,45535,13633,48027,33911,9254,23576,40064,674,21055,38256,81381,7821,60549,385,26732,6993,26032,8378,57572,32947,935,91326,42247,49572,9869,5642,55020,720,40880,26612,5260,8571,12227,43275,509,30518,6424,23960,5524,34560,57803,69451,28518,22287,9740,28231,52908,7126,19471,149695,33465,37600,31761,7926,35280,42523,18173,19690,78099,32004,82059,81020,69106,186310,33685,50917,56057,38938,9787,34434,69222,25667,5692,125297,12070,28512,145355,130813,186817,15250,97836,225837,
P124-PWY,46158,13396,621,9989,30566,23667,972,59535,134056,9432,13944,40439,35892,7039,52292,13028,34161,12659,23482,22434,38372,11060,49470,42607,47187,54906,18529,71163,14441,32960,62604,38644,1003,20297,4321,1883,6742,58727,98244,821,13576,2742,17375,45719,35884,42740,12769,24625,26623,53234,17300,55244,41630,10888,28003,44428,843,24438,44476,98021,9438,72986,484,33908,8573,32976,10273,69010,38667,1150,108218,49408,58278,12142,6886,63756,926,47257,32933,6150,10920,15695,51436,645,34485,7849,31034,7149,38471,69091,84827,35996,27972,12394,25815,76562,9290,22641,180876,40883,45098,38792,10185,41792,61077,21061,18493,97249,46389,98781,90925,82088,222435,41865,69662,67811,46392,11379,41198,83222,31219,7220,150567,13543,33917,176622,156245,222069,18971,121576,269711,
P125-PWY,193,239,0,1475,1202,420,25,802,10206,255,114,413,277,72,132,117,106,339,132,285,550,214,88,469,243,513,151,183,466,1427,3013,93,0,96,23,0,12,210,125,21,79,0,46,567,157,333,255,185,102,117,66,291,408,82,1490,453,0,808,1575,403,82,813,0,489,66,263,261,611,536,0,80,1128,64,0,282,143,0,85,852,238,37,46,101,0,20,81,216,22,91,6946,383,402,67,51,16875,824,1184,85,90,324,46,210,62,141,86,46,19823.1058,749,188,182,15501,84,423,8291,294,144,136,52,431,102,148,45,278,8210,150,2044,24,56,1106,72,137,
P161-PWY,44664,15341,12933,10477,36678,28557,21955,73342,158359,12043,15849,40418,56524,10280,68709,11184,38998,12861,23240,23935,42802,34051,59151,47988,52506,60551,21991,84074,10427,41491,75163,45669,33077,46707,26994,15025,18576,56280,118857,18731,13557,30300,20697,53086,34108,54026,34703,24987,28946,66932,13863,66688,38771,37121,35214,47007,16728,27730,49139,121760,10162,85153,21332,31472,8266,29085,11226,81611,41418,12390,140882,66802,78188,12814,9920,78286,31306,54825,38550,18711,8371,24506,62339,17606,34007,9455,27909,7863,39421,96975,97161,42606,48881,14586,76526,123585,64360,23924,190781,48365,48930,47591,10079,50148,102763,22636,43012,110452,79117,110108,127031,84092,248259,92508,117346,72851,48080,11362,45467,92778,32725,8945,179930,59264,37537,150893,127667,177263,54216,113644,208623,
P162-PWY,973,326,0,314,77,705,0,225,1077,293,403,479,419,183,186,171,317,290,301,473,567,218,107,150,851,490,504,139,1275,567,474,464,0,59,0,0,0,473,244,0,130,0,130,351,889,461,222,537,142,102,245,168,762,64,84,151,0,252,317,840,62,541,0,329,87,805,132,233,730,0,242,840,182,26,342,159,0,41,1356,24,66,408,509,0,27,104,1288,295,0,1193,991,3118,209,315,177,52,869,103,64,1107,55,937,144,99,115,29,114,179,235,774,1772,88,641,1262,65,400,150,0,531,282,161,37,626,1099,198,719,516,553,4577,848,119,
P163-PWY,64,60,0,35,14,168,0,49,176,65,57,118,94,21,23,28,70,143,133,116,51,49,12,18,157,86,63,32,106,70,107,69,0,6,0,0,0,59,15,0,31,0,44,56,53,62,56,149,20,0,18,37,192,19,22,18,0,37,39,283,21,100,0,73,24,132,34,89,86,0,39,110,38,15,68,33,4,5,202,4,7,125,47,0,0,20,90,67,12,168,328,290,70,16,0,6,117,6,21,512,0,184,0,34,41,0,0,28,76,253,240,0,327,183,20,25,15,0,6,9,20,0,184,123,19,14,339,50,722,138,25,
P164-PWY,5227,2694,362,2333,2280,6525,88,2218,5633,4268,2376,10062,3353,2917,2571,2549,7576,3844,5019,2973,7468,7098,2166,1581,6593,4327,3956,3119,4009,6145,3002,3645,368,4607,434,162,1087,2409,2815,67,635,627,2031,2677,5370,15898,5688,4936,1484,2707,2601,938,4003,3579,2138,12815,97,2627,2834,5106,1301,4630,28,7624,3335,9266,1098,7339,6274,398,2807,15873,1785,1685,3952,766,407,848,13794,2077,1475,3578,4365,707,23120,3381,6922,1815,4559,17441,14981,12529,3132,1869,52251,1016,7963,2769,2069,13315,518,10494,1216,1338,1706,1478,24033,1501,2432,3884,35806,980,6421,16700,2325,2705,2588,1043,6873,1961,5701,1208,12331,26020,2800,4266,7032,8249,38386,6510,2344,
P221-PWY,45,213,0,155,40,70,0,0,0,74,0,0,39,47,0,0,0,223,95,20,365,0,49,0,100,0,0,0,0,1102,0,62,0,0,0,0,0,0,0,0,0,0,40,32,92,145,0,63,0,224,0,0,51,0,100,0,0,0,34,0.9999,42,0,0,211,0,0,0,0,272,0,0,3099,0,0,130,0,0,0,153,0,0,53,140,0,0,36,0,0,0,419,1,3,1,1,6280,1,122,1,1,1,1,1,1,1,1,1,24539.832,1,1,1,1177,1,1,356,1,1,1,1,12,1,1,1,1,724,1,4,41,5,1,229,29,
P23-PWY,10059,2203,62,3428,2545,7341,132,3277,9766,4894,2337,9249,3806,2296,1306,4768,1322,5435,5341,3976,9200,14870,702,2507,6032,3628,3709,4470,1252,9188,4356,995,655,5915,307,115,877,5763,8809,0,2390,858,933,5289,9327,12205,14094,5034,2253,2001,660,2231,7272,7443,2785,14093,354,3553,5359,7475,838,5809,201,7442,3592,3279,1486,2492,5218,429,1456,21165,1188,2910,4393,2463,291,2324,14855,2603,747,3225,4148,332,15059,3503,13341,1455,6484,25205,7023,14605,4743,1463,18270,1354,9308,5068,2463,7752,829,7703,2168,1441,1808,2547,10680,2131,2145,8422,47487,1042,5017,25569,3342,4722,4207,2225,17241,3651,5858,1404,5371,43995,8575,26710,8347,38527,7579,15041,7462,
P281-PWY,0,28,116,31,0,36,238,23,43,50,0,19,0,0,23,10,0,91,31,0,74,471,7,0,30,22,12,21,0,139,0,15,308,636,197,148,344,0,0,205,0,245,13,34,18,108,435,16,0,27,0,0,18,485,63,0,209,33,18,0,4,17,151,18,23,16,0,0,57,97,0,273,0,0,58,0,121,0,192,373,0,28,30,197,0,29,0,0,0,85,3,40,10,1,11,37,144,1,3,15,1,11,0,1,6,0,4,15,33,3,48,0,18,99,4,0.9912,1,0,4,1,1,0,6,112,1,157,55,74,4,426,2,
P341-PWY,2278,1378,20,124,1045,1834,0,640,2401,496,836,5393,980,805,1097,1137,5283,589,1424,1464,3233,364,1557,899,2561,1737,1718,1129,818,832,1415,1765,32,158,24,0,0,974,1097,0,381,68,709,1113,2246,1125,269,1795,844,1021,1871,398,1635,127,566,241,0,555,1319,2154,859,2230,0,3275,1166,2446,461,4103,2584,33,1884,1657,1240,617,360,323,38,317,2472,52,1068,1311,1588,45,20,456,2801,801,0,1091,7342,2278,2165,247,194,110,336,2550,1006,10351,67,8862,370,1181,516,1398,112,172,282,1242,1940,135,2283,845,1309,1481,334,268,396,1070,1814,374,14616,547,365,1465,1035,4061,13816,1666,277,
P4-PWY,11228,4587,7343,5315,5013,10343,12682,6095,26576,5880,2183,6415,6829,1986,1948,3483,2866,6317,5005,5487,17097,18517,2497,3682,6830,6567,6837,2773,6617,21372,10628,4884,19103,25724,15253,8537,10507,6169,6201,10826,1146,17201,1808,8514,9485,16266,18685,5223,2400,3844,2590,3101,7667,20737,5130,12483,9669,6425,8810,10261,1298,7190,12141,5758,3397,7223,1926,4345,15261,7045,1856,26600,1772,1756,5636,2289,17749,960,19734,10605,1936,5274,4045,9995,11570,4341,10613,3032,5828,58688,19985,15111,6046,2467,52862,10756,21432,4259,6216,17084,1450,10604,2827,4556,4867,2252,27993,12347,7456,11448,102627,2669,17487,71724,9781,8444,6445,2315,18199,7422,6563,2031,15299,61072,8360,41767,11286,40578,30399,11839,11995,
P42-PWY,11785,6881,136,6223,8881,9789,214,3900,18072,6540,5956,24211,10832,9125,8065,8629,14571,8679,12125,9144,16963,17554,14497,6955,12323,19311,8960,19931,23961,15107,9010,11607,874,7220,1447,529,2663,20472,29925,131,6364,1119,5471,12329,11226,15515,16598,9681,8029,11346,16644,6346,16723,8896,6086,21374,472,4183,14277,17974,4224,19308,271,23038,5743,25979,4047,25527,12583,556,21322,30821,8131,7300,7236,9702,406,7779,18162,3203,10610,7134,13885,453,25191,5357,15777,4328,11690,37822,25422,30819,34984,3117,37505,3455,15803,14978,21005,55281,1684,51185,8696,3821,7741,8181,16036,12420,6967,16155,64412,1689,16186,41357,19942,17213,31686,11064,23500,13858,30167,4186,23745,44560,28826,63309,88111,104695,90187,23451,51649,
P441-PWY,37750,13296,9263,7769,12157,19737,15596,21208,65897,8942,10920,39982,26320,12510,29344,13550,14065,10293,17785,20352,36444,23526,7543,24373,35026,40105,17169,50187,11995,27506,35451,11794,23482,33250,19343,10698,13356,38176,81667,13366,11971,21416,12170,35673,31298,35139,24184,20249,17266,25240,17083,20733,32817,26221,14963,30632,11920,15503,32811,34685,6193,34109,15142,31471,7634,24958,7176,29403,33786,8814,7565,42306,6758,10461,7114,24341,22330,28803,29776,13415,10936,15234,32706,12544,26398,7656,29099,6247,20781,62010,76841,49295,45330,9533,50748,12628,40122,19974,23797,46922,10576,55559,10665,23294,35131,15882,28991,23391,23313,40149,100205,15851,100918,59793,54538,24468,40929,11768,39328,27714,33384,7194,109404,53168,37621,103134,82394,133907,52485,73908,116106,
P461-PWY,22084,2767,11083,4425,5127,10097,18960,10324,28612,4495,5416,21977,11189,6183,11812,7856,6065,5270,8500,9401,8907,25467,3366,12068,16654,19178,9712,25541,4281,8135,16069,4968,28554,36746,23000,12821,15256,17372,50202,16199,6688,25802,5620,19171,18245,17971,25865,10930,8965,10557,1963,8136,16736,30206,6550,20626,14451,9249,17128,14189,2868,14484,18239,16497,4501,12026,3428,12446,19519,10571,3896,31912,3117,5430,4630,9743,26778,14412,17678,15229,1162,8362,14649,15049,16080,4999,16430,2982,11012,31652,48011,29367,32277,5178,31221,3675,29320,11544,7104,23220,3221,34991,6180,9714,13713,9999,20597,8082,9118,16360,55128,4526,41276,28617,28527,9313,25100,8281,24459,10591,20098,4259,56028,25058,28540,69566,53621,110831,12517,44525,86062,
P562-PWY,428,300,99,988,377,683,200,72,409,376,643,3305,121,57,339,259,681,559,1111,279,3031,684,149,170,1554,569,1063,549,1454,4208,220,667,227,869,138,147,454,158,414,176,34,213,486,371,454,699,733,1726,113,522,333,35,357,644,372,85,200,255,170,661,265,761,112,152,391,3237,156,1560,2836,78,94,960,113,270,659,20,43,92,1621,564,117,1174,795,205,467,115,720,238,17,428,1532,1660,669,243,705,199,333,61,350,2839,34,2504,87,215,252,25,172,193,170,1191,631,80,648,425,357,742,557,187,1424,374,3812,930,2126,330,462,1640,361,3010,6503,708,220,
PANTO-PWY,9511,4777,7147,4698,3882,8006,12250,2722,10150,5393,4275,14789,5255,6173,3600,6290,6981,6091,7352,6086,14073,17130,7233,3821,7861,9707,6315,9910,23098,26898,4871,5364,18457,24432,14775,8257,9918,11556,17842,10463,4171,16638,2446,8624,9488,11633,17234,6032,4739,5580,13321,3001,10820,19608,3124,13851,9338,3255,10497,9314,2046,9185,11775,13081,4080,13631,2267,10809,11682,6819,9515,21744,2930,4688,5337,4202,17280,3955,16143,9951,8450,4643,7628,9715,16541,3665,13931,2612,6832,27622,17942,21319,20659,2417,80043,3852,11291,9951,13995,31805,1844,29716,5317,3359,5892,5757,31679,7538,4937,11976,60225,2434,14637,34498,13801,11797,20674,7467,21077,10078,16894,2330,16949,36494,18400,44318,42812,64591,53621,28795,31189,
PANTOSYN-PWY,12922,6125,7171,5565,5570,10322,12271,3802,14600,6207,5542,18737,7574,7653,5146,7939,9880,7464,9699,8043,18237,18026,10523,5459,10725,14110,8256,14062,24302,29138,6921,7791,18486,25015,14878,8294,10123,16111,25199,10482,5482,16701,3642,11790,12432,14828,18089,8028,6629,8146,15524,4330,14418,20081,4667,18788,9357,4459,14035,13870,2785,13556,11804,17228,5114,17766,3174,15445,15209,6845,14323,26230,4614,6158,6032,6095,17332,5652,19495,10205,9984,6065,10855,9748,20118,4532,17561,3441,10165,33941,23741,26515,24897,3264,70755,5287,14556,12847,20480,38688,2407,35398,6792,4530,7860,7581,27978,10669,6983,16993,67979,3115,20026,38390,18079,16496,26797,9032,25471,14302,20907,3077,22716,39932,22167,34071,67237,44960,67457,41559,51868,
PENTOSE-P-PWY,21214,6833,9429,6244,5810,15519,16091,7804,23632,7918,8022,22588,9979,7872,6023,7707,15921,8489,12094,11139,25334,22304,6337,5836,20736,16245,11900,8567,7626,42171,11494,12816,24251,32583,19607,10901,13231,11686,15163,13752,4094,21924,5519,14664,18506,23293,22719,12470,5699,6595,11029,4085,15679,25957,5480,24208,12265,7200,12570,22134,3846,16619,15506,18726,5837,20369,3999,18464,24242,8992,7817,36151,5612,5440,6505,3793,22818,3291,23775,13310,6789,10481,13676,12800,26277,5786,20418,4383,11100,46562,31253,28666,18628,4493,72215,8229,18362,9789,13577,34074,2866,32164,4281,6277,9541,5779,28023,8708,9161,19473,87361,4278,27547,49915,14126,11746,9729,4224,26532,9497,16137,3596,36862,43295,14329,65450,17384,94008,53265,36906,16004,
PEPTIDOGLYCANSYN-PWY,47430,17912,10289,11231,29114,28873,17300,55853,124277,11551,16295,43679,46149,15436,50512,16651,35082,15510,25050,23366,46082,27748,46982,39419,46501,55041,23877,67659,33994,42433,59010,39705,26063,37463,21550,11873,14836,59169,103419,14732,15139,23953,17457,46305,37463,43221,28122,25309,25205,50171,26703,50906,41964,29722,27119,43881,13174,23399,44211,95019,9329,69553,16824,39326,10119,40055,10352,67861,40532,9781,105130,53010,56220,14142,10710,61221,24904,43798,40750,14999,17653,24568,50635,14043,36198,9710,38323,9021,36235,90987,89196,50759,57537,13738,73704,126053,70404,26389,172830,64431,43027,61784,13191,43144,105324,22322,34554,98915,81506,98647,129574,76053,217406,91302,119580,68176,53806,14800,48350,83160,39678,9156,157960,64835,43229,163568,132478,192861,94391,108862,186773,
PHOSLIPSYN-PWY,49215,17625,12334,11445,29083,30438,20667,57445,126673,11785,16962,44069,47314,15077,50830,15869,35358,15675,25272,23817,46492,32182,46261,41847,48085,54301,24965,67770,37385,43650,59969,40738,31138,43909,25756,14227,17399,57410,107898,17603,14866,28719,17650,47449,38371,44038,32645,26252,25689,50255,24123,52152,41438,35114,27113,48630,15736,23926,44439,96274,9305,69525,20193,37727,10242,39024,10336,67343,41843,11728,104506,54906,56371,13749,10983,62954,29852,45438,42235,17536,15729,26107,51140,16825,39117,9704,40060,9189,40611,99904,90542,50361,55135,14389,116687,134977,76523,25895,172704,58344,43616,56356,11852,43772,112508,22431,50353,101445,86911,99779,144700,77403,219905,101200,126725,67667,49060,13775,50203,83146,36614,9421,161070,75518,39983,164262,116159,196262,97431,108703,171818,
POLYAMINSYN3-PWY,1473,662,11,1026,969,2085,40,878,1960,1651,690,843,927,386,310,523,547,1271,511,873,1334,2204,240,539,1421,777,1916,410,825,2246,956,1741,51,534,32,0,78,679,428,0,300,95,421,1937,1351,1613,1602,882,272,219,434,502,1401,890,627,2921,37,792,657,1565,159,950,33,662,240,1370,287,415,1547,19,305,7299,358,82,1676,533,71,131,3610,341,246,834,642,82,3471,386,1896,564,1263,14692,1464,2102,1335,587,484,932,7941,404,450,2308,82,2054,333,595,1186,162,1224,3079,1556,724,24851,138,1248,13007,2324,293,924,158,619,276,692,542,2438,15834,1392,5390,1102,4028,4871,1548,365,
POLYAMSYN-PWY,1665,728,6379,1404,1133,3225,10641,1188,2265,2222,2073,1307,1136,1885,408,1492,753,1782,1194,956,1443,13615,315,639,2463,1139,2920,675,1889,2276,1100,3224,16085,19643,13225,7159,8134,870,716,9080,1431,14493,1175,2450,1523,5489,13820,1847,335,288,555,763,1891,16281,701,5688,8071,1027,766,2101,184,1194,10290,854,897,1594,329,537,1595,5938,502,11913,515,1210,2361,1623,15599,254,5919,8032,327,3227,818,8624,6142,1975,2152,602,1953,22824,2690,3996,9082,1623,935,1614,13842,756,860,4145,164,4677,658,1153,2828,308,2236,2749,3430,1391,37911,269,2410,19979,4311,553,1945,297,1154,531,1274,1350,5506,25468,3988,7614,329,4700,6721,1316,85,
POLYISOPRENSYN-PWY,39696,11275,8468,8556,25831,20167,14378,52076,112859,8481,11646,34340,31745,10427,46256,11260,28757,10560,19506,18793,34754,21866,42064,36982,39225,46501,15723,61296,23316,35812,53879,32714,21659,30851,17690,9911,12201,49906,88738,12263,11534,19961,14830,40104,29820,36509,22247,20158,22880,45903,18727,48460,34335,24422,24397,38551,10956,20562,38877,84655,7813,61472,14056,28219,7337,26702,8660,59231,33681,8168,95473,41747,51914,10467,7160,57088,20478,40929,28832,12279,12313,13271,44576,11533,28878,6988,26435,5870,33828,68720,72987,37469,32861,10758,62729,70151,18776,20937,142637,43539,36214,43270,9610,36210,57643,18614,26091,79681,44878,81954,98077,63950,180826,53340,68630,56028,41769,11001,41347,69151,29953,6796,131138,46502,33342,142867,115124,181359,58414,99318,168921,
PPGPPMET-PWY,321,275,3588,930,309,964,6375,427,496,1496,66,246,506,74,76,429,181,1031,489,185,279,9120,60,103,289,363,199,263,234,1167,246,166,9601,12708,7486,4123,5382,153,160,5438,32,8308,183,182,361,4538,9233,238,88,128,44,84,297,10168,511,4773,4859,613,242,438,74,169,5850,250,680,313,78,156,278,3399,63,9314,155,172,1426,63,8674,79,3948,5420,81,332,203,4889,3640,1159,309,145,1468,956,600,752,162,25,200,598,251,155,164,1862,0,367,25,152,144,7,81,271,130,292,5401,0,351,737,151,80,4,14,144,148,31,7,518,647,21,132,44,122,723,209,32,
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY,34,184,0,146,49,98,0,65,59,103,0,65,0,37,75,0,0,307,112,57,291,0,36,0,109,0,0,0,0,848,0,43,0,0,0,0,0,0,0,0,0,0,39,60,45,130,0,44,0,188,0,0,54,0,303,0,0,35,48,0.8,18,0,0,97,0,51,0,0,206,0,0,3511,0,0,109,0,0,0,307,0,0,0,107,0,0,53,0,0,0,311,1,4,1,2,4637,1,85,1,1,1,1,1,1,1,1,1,1848,1,1,2,782,1,1,227,1,1,2,1,10,1,1,2,1,480,2,84,142,22,1,261,51,
PRPP-PWY,7425,4755,7484,6106,6346,9560,12904,5070,13646,6435,3336,6292,6701,4087,1857,7023,6349,7428,8757,3696,6920,19644,5613,3767,10323,12937,5109,6680,8507,12458,7582,5312,19428,27270,15625,8703,11057,7240,11462,11018,3158,17496,4277,6455,7868,23243,20010,4717,2770,3416,8485,2660,8675,21553,7180,18280,9848,5949,5981,17920,1459,12266,12321,7282,4636,11517,2812,6638,7503,7166,8612,35436,3296,5699,6246,3625,18051,3382,19971,11116,5272,4147,6910,10192,17711,4977,8011,3183,12948,62095,12665,14338,8267,2379,66956,3970,18363,8215,5352,14605,4537,9359,3292,2532,3547,5185,30610,4630,7608,9935,112066,4222,12698,73403,7311,6980,8043,4269,13382,5209,10087,2605,9747,54397,13894,26371,15289,54852,24758,13733,26313,
PWY-1269,4516,2828,9406,2422,2963,3991,16192,1146,4755,3755,1817,9073,3151,5100,1702,4770,4672,4071,4837,3483,6779,20962,5403,1943,3554,7070,3208,5693,11007,4768,2359,3083,24410,29970,19400,10851,12530,7719,10251,13832,2780,21885,1784,4238,5034,7637,20837,3220,2805,3100,9951,1557,6888,24991,2044,11971,12332,1583,5716,4967,1456,6215,15523,9835,3164,10105,1416,8179,3694,8975,7268,18084,2127,3528,4148,2346,22788,2110,9108,12508,6454,2505,3966,12762,13175,3218,7294,1581,5678,21732,10616,14714,17808,1175,50588,1604,8358,7971,10903,27944,894,25955,4565,1767,2872,3927,18330,5087,3162,6165,51044,966,7076,28303,7881,8614,18015,6735,4482,6781,14866,1674,8965,31608,15847,23270,25754,39976,23154,13612,16981,
PWY-1622,0,11,0,0,0,14,0,0,0,0,0,0,6,0,16,0,0,4,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,2,0,7,0,0,0,0,18,0,0,0,5,0,16,3,0,8,0,0,0,0,21,0,0,19,0,0,22,0,0,0,35,0,0,0,0,0,0,0,0,0,0,13,6,2,0,0,10,0,0,0,0,8,0,5,0,0,0,0,0,7,0,21,36,0,43,14,0,28,0,0,10,7,2,0,2,26,0,62,20,51,0,0,9,
PWY-181,0,17,0,51,0,31,0,0,66,0,0,21,16,0,28,0,0,89,283,20,29,0,0,0,23,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,29,0,3,0,11,0,0,0,0,32,0,0,0,16,19,35,24,0,11,0,17,0,0,56,0,0,2593,0,0,52,0,0,0,62,0,0,0,0,0,0,0,0,0,0,42,17,6,0,0,115,0,0,0,0,80,0,16,0,0,0,0,48,26,0,50,124,0,111,57,0,68,15,0,38,16,3,0,6,115,12,237,133,64,0,137,46,
PWY-1861,13428,6100,97,3323,3213,8436,39,3341,10199,2329,3595,13885,4564,6603,3612,6413,9467,3856,6258,4805,16216,3223,3816,2742,9072,10034,6393,4633,7226,6756,5192,6462,158,1778,93,33,591,16154,5145,32,3483,318,2929,5908,11979,5704,2952,6690,3094,3542,9854,2760,10714,1913,3100,3393,85,2864,6296,9578,1996,9170,27,14693,3726,13273,1931,10617,9527,138,5603,6035,3607,3044,2955,3183,193,1482,11424,1293,7583,5667,6238,239,6892,3098,15226,2357,1185,8906,16340,17931,8940,1507,19583,1294,6723,4661,7541,23488,618,20311,5414,2493,2046,2647,1811,4245,5124,9578,20432,862,8165,10473,4091,6015,2964,1222,26842,3864,11942,2825,23585,17195,2729,7122,14258,18857,66659,15369,3460,
PWY-2941,40942,13633,550,9141,25508,18655,855,41334,109062,8074,10437,35088,29447,9686,42051,13587,30197,9941,17554,17429,31331,11435,41219,33752,35516,46835,16139,58940,13945,36743,51497,33055,1135,18222,3807,1629,6273,41424,85108,702,11095,2351,14823,32003,32068,31273,12174,20703,17265,42526,20496,35740,31936,10795,23533,39359,804,20609,31044,81477,8059,60726,465,32367,8236,29994,8709,58869,34258,1078,90171,44513,48880,9215,6522,39916,966,38763,30663,6407,14297,13701,39878,849,30957,7759,29557,5944,32832,67624,73507,30779,28167,10399,28044,71705,11945,12356,151732,39213,37371,37646,9190,36252,57703,11707,17963,82243,45126,82314,96727,66954,188720,46341,67085,57322,40726,10443,30612,70307,28489,6597,132232,20139,30863,131770,118037,177236,18729,109411,219672,
PWY-2942,45971,17492,11176,10941,27335,27741,18857,43701,115462,11554,15140,43381,42403,15930,44946,16548,34713,14953,22448,21308,41101,29539,43983,35843,40650,51886,23933,63748,33793,40296,55447,38206,28409,39600,23340,12827,15908,46973,98808,16063,13670,25887,16651,37826,36453,36345,29859,24455,19277,44818,26671,37988,36568,31798,25339,44345,14363,21995,36039,88879,9008,64831,18200,39267,10336,39838,9861,64784,39623,10575,97561,53424,52172,12621,11226,44589,27041,40955,41036,16124,17470,24877,44283,15251,38331,9776,38324,8858,35106,95574,85313,48938,59098,12997,81539,126265,73833,20199,158382,67016,39275,64031,12341,39694,105672,15979,36335,92576,81829,89810,142362,69706,199499,98706,120041,63408,52683,14874,40996,76309,39680,9090,147951,75164,42909,137335,107217,168170,115209,97350,148794,
PWY-3001,23227,13826,8726,7940,13619,19852,14907,8858,44631,8360,10889,30350,19778,13547,12578,12485,24845,11525,17162,14986,34479,22442,20451,9615,27223,31035,14905,22299,32066,33279,18838,22675,22460,29953,18089,10138,12194,33025,32932,12743,8877,20422,9089,20651,22250,21791,22569,16857,10662,15175,23405,8942,25766,24625,9986,16771,11375,8352,21309,33927,6186,32355,14431,31266,7488,32119,6461,37739,23328,8376,30114,37125,13218,9264,9152,11656,21084,8086,28628,12492,15865,12555,22079,11868,20514,6428,28032,7131,8833,67056,51010,44200,38262,7027,78057,26052,27488,18278,43209,60009,4073,54500,10726,11369,19084,11153,31858,30597,19321,35169,111926,6659,49969,79697,34868,30530,37825,11431,32953,26215,32625,6117,63003,66449,30565,84603,83359,113397,151322,55227,48737,
