#OTU ID,Vil1.03B.DTT33,Vil1.05B.DTT57,Lyz2.07B.DTT281.S123,Vil1.010B.DTT117,Itg.10.DTT455.S49,Lyz2.02B.DTT221.S61,Itg.10.DTT456.S50,Lyz2.06B.DTT269.S111,Lyz2.03B.DTT232.S72,Vil1.09B.DTT105,Itg.20.DTT504.S99,Itg.20.DTT505.S100,Vil1.04B.DTT43,Itg.24.DTT529.S24,Vil1.07B.DTT79,Itg.18.DTT492.S87,Vil1.014B.DTT164,Lyz2.01B.DTT207.S47,Itg.26.DTT541.S37,Itg.02.DTT409.S1,Itg.22.DTT516.S11,Lyz2.04B.DTT243.S84,Itg.06.DTT433.S26,Itg.02.DTT407.S99,Lyz2.08B.DTT291.S133,Itg.24.DTT527.S22,Itg.26.DTT539.S35,Vil1.09B.DTT104,Vil1.02B.DTT21,Vil1.03B.DTT32,Itg.22.DTT517.S12,Vil1.02B.DTT20,Lyz2.04B.DTT244.S85,Vil1.06B.DTT67,Vil1.04B.DTT44,Itg.24.DTT528.S23,Itg.08.DTT444.S37,Itg.12.DTT467.S61,Itg.16.DTT480.S75,Lyz2.02B.DTT219.S59,Itg.12.DTT468.S62,Vil1.04B.DTT45,Lyz2.03B.DTT233.S73,Itg.18.DTT491.S86,Lyz2.07B.DTT280.S122,Itg.06.DTT431.S24,Vil1.07B.DTT81,Lyz2.05B.DTT255.S96,Lyz2.01B.DTT208.S48,Itg.02.DTT408.S100,Lyz2.07B.DTT279.S121,Vil1.013B.DTT152,Vil1.05B.DTT55,Itg.18.DTT493.S88,Vil1.013B.DTT153,Vil1.01B.DTT08,Lyz2.05B.DTT256.S97,Itg.04.DTT421.S13,Vil1.014B.DTT165,Lyz2.08B.DTT292.S134,Vil1.06B.DTT69,Vil1.08B.DTT92,Itg.10.DTT457.S51,Lyz2.06B.DTT267.S108,Itg.16.DTT479.S73,Lyz2.05B.DTT257.S98,Vil1.08B.DTT93,Itg.20.DTT503.S98,Itg.22.DTT515.S10,Vil1.013B.DTT151,Itg.16.DTT481.S76,Vil1.02B.DTT19,Itg.12.DTT469.S63,Itg.08.DTT443.S36,Lyz2.04B.DTT245.S86,Vil1.010B.DTT116,Itg.04.DTT420.S12,Lyz2.02B.DTT220.S60,Lyz2.08B.DTT293.S135,Vil1.07B.DTT80,Vil1.010B.DTT115,Vil1.08B.DTT91,Vil1.014B.DTT163,Vil1.05B.DTT56,Lyz2.01B.DTT209.S49,Vil1.09B.DTT103,Vil1.01B.DTT09,Lyz2.06B.DTT268.S109,Vil1.06B.DTT68,Lyz2.03B.DTT231.S71,Itg.06.DTT432.S25,Itg.08.DTT445.S38,Itg.26.DTT540.S36,Itg.04.DTT419.S11,LYZdtt351,LYZdtt364,SLCdtt050,SLCdtt110,SLCdtt075,SLCdtt019,SLCdtt002,LYZdtt328,SLCdtt021,SLCdtt111,SLCdtt074,LYZdtt304,LYZdtt317,LYZdtt305,LYZdtt329,SLCdtt092,SLCdtt020,SLCdtt128,LYZdtt341,SLCdtt051,LYZdtt340,LYZdtt363,LYZdtt365,LYZdtt315,SLCdtt069,SLCdtt129,SLCdtt109,LYZdtt352,LYZdtt353,LYZdtt316,SLCdtt093,SLCdtt001,LYZdtt303,SLCdtt068,LYZdtt339,SLCdtt003,LYZdtt327,SLCdtt067,SLCdtt163,SLCdtt164,SLCdtt145,SLCdtt146,SLCdtt165,SLCdtt147,taxonomy
1CMET2-PWY,12742,13333,16112,22122,42757,21182,31334,15653,36720,22652,29370,35326,14635,43096,15387,41818,24656,29978,49275,34656,20611,46610,43857,22799,23427,35127,19809,22130,20823,24844,28937,8830,21003,13946,22320,32021,44612,40084,49561,38430,35332,27131,15011,35644,10325,28927,15507,14384,46672,20712,23748,22663,23339,43351,28794,7854,38366,52917,25163,16305,26101,18942,19537,35060,43860,42445,20066,39576,35531,26350,43457,6830,27538,22582,9326,25874,19490,34251,37516,12204,17911,20090,23683,22292,32551,23122,13706,22201,20112,26908,39560,22432,29709,23333,93980,96532,26235,22306,15193,9375,41802,92056,9965,20146,57833,90367,128311,83137,90957,30613,14947,23391,150069,22333,57990,67488,91806,62873,26188,18445,21825,88309,78540,113733,38609,181994,107084,13123,945063,28988,174675,17703,76558,96693,58009,30460,81382,64861,
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY,0,0,0,0,136,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,83,0,12,54,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,6,29,6,0,0,0,0,11,32,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,25,26,0,0,91,0,58,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,95,0,0,0,8,1,2,1,0,0,1,1,5,0,0,1,540,2,11,9,0,0,0,21,0,1,2,4,503,0,0,0,2,2,2,0,6,42,0,17,1,4,4,701,1,880,0,1,1,
ALL-CHORISMATE-PWY,515,8557,139,3781,780,31,0,184,127,10127,56,23,3300,0,9864,112,3563,4338,40,338,0,1421,50,1018,1058,374,201,7785,354,286,27,163,14,8902,366,62,67,193,385,120,0,742,53,112,264,111,9710,1419,0,549,4343,4139,14944,33,4947,41,30,72,1840,288,16337,10260,0,138,1010,54,11433,638,338,3108,137,710,23,5373,0,8421,0,46,423,7602,11132,12794,3285,13694,28,13344,160,17,12472,1007,32,35,68,1592,1164,1389,0,84,82,55,538,1827,0,0,458,12677,1497,1827,1904,0,0,0,2653,0,816,1165,1500,15871,68,0,381,1095,1047,1653,0,1082,18813,0,10463,750,2884,952,1831,2,1025,1,1,2,
ANAEROFRUCAT-PWY,17814,18028,15173,23983,54805,21603,37300,16359,46227,26147,27722,39684,16392,39460,20811,36416,27636,31088,44500,44879,15853,62096,58679,26542,32947,34007,24545,24154,25244,23425,25866,11129,21117,18805,24867,26106,50096,48452,51675,38503,40517,24339,18534,39540,11374,39286,20873,15676,16229,25001,26222,24508,31511,49339,33609,9186,31778,71896,30450,19041,35037,23902,25730,25093,61387,36654,25935,52563,47162,29965,45871,13400,32972,27812,11887,30074,23983,32478,41169,16495,24144,27140,30144,29930,22830,30124,17155,12728,27192,38155,49581,27893,25524,27500,107646,59118,22522,21881,18257,11264,42856,93707,11112,21230,65345,106020,161889,98199,96855,36037,13851,21505,166049,21034,62016,59518,81795,75856,30399,22716,31750,101793,95200,145107,46361,57891,122133,13478,652475,40567,162598,21734,107442,63709,81812,31472,99598,67912,
ANAGLYCOLYSIS-PWY,19860,20118,22661,32596,65994,28942,44375,22906,53073,34265,40399,53419,20364,58899,23131,57581,36666,41970,66387,50934,27906,74437,77429,32153,38356,48226,27661,33465,28938,34329,38630,12601,28443,20927,30304,44185,60841,56214,71856,52219,49490,35451,21099,47225,14640,59486,23693,20103,59959,29275,34538,31646,35015,61738,39832,10911,51583,90339,36182,22523,39498,28544,30120,46509,70335,56941,30369,64031,53669,37661,61227,14898,38576,32023,13435,39455,27874,46948,49958,18675,27216,30221,34606,34049,43514,35268,19493,29288,30886,47388,58285,34223,40262,31982,227155,115460,31691,28409,21251,15656,46424,110996,12594,25715,72936,113623,198574,156997,112579,39870,18546,27857,181046,26791,71841,82098,135356,78254,32068,29474,37842,180420,128650,238577,48589,47221,133933,16333,757380,44490,170140,31986,142831,157823,114689,54528,143648,115746,
ARG+POLYAMINE-SYN,2594,12104,2989,7351,6040,3540,5035,3070,5209,15410,4834,5375,6333,6890,13900,5900,7751,6765,6674,5517,3284,6361,3977,3765,3654,5933,2674,12890,2442,4841,4391,1280,3549,12595,5555,5090,9276,5303,8555,7083,6177,4641,1692,4090,2180,2035,13840,2912,5561,3799,9188,10186,21100,5615,12070,1317,3061,7718,5237,2676,23334,15594,2586,4864,4484,5108,16807,4535,3238,8794,6543,1070,4762,10121,1378,14462,3285,5897,4361,10966,15715,18091,7347,19901,4909,18667,1561,2800,18083,3877,6563,4340,4533,5120,9182,9919,4889,3498,2132,1088,8325,21078,2518,4041,7912,16882,12157,12371,13081,4410,4023,4566,24033,4103,10571,13038,13815,16190,5373,2248,4105,10413,9518,11252,7625,3625,31794,1950,696342,6913,88865,2280,9186,5252,8746,2199,10423,7801,
ARGDEG-PWY,185,8305,57,2179,266,10,0,99,60,8295,21,7,2221,0,9469,40,2269,2676,7,165,0,652,13,520,476,158,84,6097,218,91,6,104,5,8525,103,24,26,52,158,43,0,327,12,34,148,50,9259,753,0,297,2577,2628,14345,7,3038,18,11,22,1045,172,15671,9532,0,51,390,20,10575,282,127,1631,55,257,6,3386,0,6273,0,11,245,7383,10456,12250,1675,13244,11,11901,78,5,12113,473,7,10,14,737,308,397,0,14,14,9,150,795,0,0,63,5463,324,509,552,0,0,0,1175,0,240,335,428,5710,10,0,19,254,256,390,0,684,6102,0,18321,165,1937,228,28,1,569,1,1,1,
ARGORNPROST-PWY,2956,122,1726,3602,7219,2290,4308,2076,5370,2108,3753,4646,1470,6019,67,5002,2687,6693,5472,3852,3057,8307,2660,2940,4013,5807,2805,2393,2157,3413,4026,1183,2895,133,2298,4711,7554,5165,4835,4152,5244,1940,1792,4845,1126,1647,543,1548,6121,2907,2917,397,185,5380,344,700,4035,5007,2660,1371,802,1305,2615,4500,4987,4266,1803,7174,5059,377,3450,1170,4203,3257,1495,4207,1733,5271,2445,419,741,238,3636,999,4041,1526,1021,3145,1142,5237,3630,3389,3817,2901,3644,11976,4449,2236,921,738,14015,7191,1063,2492,3476,8740,7297,5669,4800,3903,1653,2814,6090,2950,6794,5544,9411,22693,5599,1291,2556,4563,3561,11148,6875,132001,11569,1643,263005,6857,26959,2024,17901,10114,9644,2517,14252,13927,
ARGSYN-PWY,11559,12679,16570,20446,33594,20056,27801,16135,31453,21096,29193,39957,13754,40986,14650,42974,24654,28493,46866,30433,20460,36908,33331,18895,19226,33887,13849,20388,19600,25673,27777,7583,20125,13216,20510,31021,39139,29995,51825,36094,31876,28271,13698,29928,10087,18700,14964,11976,47005,17168,23086,18196,22159,44299,21113,7665,38519,41561,22892,14672,24893,18118,16574,33344,48753,41100,19161,27807,22136,17822,45329,7258,24098,19112,8025,24490,17584,33696,35468,11684,16926,19063,21758,21467,32702,20725,12794,21929,19377,23964,35963,24060,28088,20283,61219,101322,26849,23130,13707,7136,41445,93004,10472,20808,54977,89100,120342,64792,88909,29241,15939,23808,145274,21763,59202,66722,130272,56479,28283,12359,18049,64183,66839,97350,39343,181921,102225,12943,897036,30319,149280,13629,69410,108125,56471,30652,60094,54103,
ARGSYNBSUB-PWY,10913,12888,16955,20677,33317,20945,28176,16903,31223,21565,29999,42550,13911,41850,14881,44953,25536,28935,48343,31713,21029,35544,33253,19289,18904,34862,13569,20751,20090,26291,28457,7534,20599,13430,20625,31703,39302,29459,53355,37368,32487,29188,13973,30063,10135,17773,15229,11680,48863,17155,23516,17004,22518,46420,18810,7827,39665,39881,23574,14829,25311,18460,17110,33925,53117,42361,19494,25695,20410,14795,46873,6993,24753,19195,8058,24683,17431,34482,36179,11861,17153,19360,22206,21823,34347,20952,13130,22402,19688,23939,35712,25699,28768,20354,59042,108485,28199,24494,14027,6832,44123,98450,11048,22125,57068,93988,123902,63560,93194,30248,16887,25054,153486,22624,62592,70210,146192,57477,30246,11852,17286,62811,71091,92790,41735,195236,106853,13526,964509,32426,154476,13097,62836,105591,58119,30707,50925,49056,
