	TL1a_DTT_268_Repeat	TL1a_DTT_269_Repeat	TL1a_DTT_127_Repeat	TL1a_DTT_157_Repeat	TL1a_DTT_130_Repeat	TL1a_DTT_196_Repeat	TL1a_DTT_90_Repeat	TL1a_DTT_198_Repeat	TL1a_DTT_88_Repeat	TL1a_DTT_89_Re_extracted	TL1a_DTT_197_Repeat	TL1a_DTT_270_Repeat	TL1a_DTT_284	TL1a_DTT_231	TL1a_DTT_267	TL1a_DTT_160	TL1a_DTT_234	TL1a_DTT_158	TL1a_DTT_129	TL1a_DTT_265	TL1a_DTT_285	TL1a_DTT_159	TL1a_DTT_287	TL1a_DTT_233	TL1a_DTT_195	TL1a_DTT_85	TL1a_DTT_86	TL1a_DTT_193	TL1a_DTT_286	TL1a_DTT_230	TL1a_DTT_128	TL1a_DTT_283	TL1a_DTT_194	TL1a_DTT_229	TL1a_DTT_87	TL1a_DTT_266	TL1a_DTT_232	TL1A_DTT_673	TL1A_DTT_675	TL1A_DTT_626	TL1A_DTT_629	TL1A_DTT_674	TL1A_DTT_627	TL1A_DTT_630	TL1A_DTT_628
TL1a_DTT_268_Repeat	0.0	0.8705030005717093	2.8222201370132542	2.4709302866148755	0.7132447932429606	1.1960705799252522	1.787271548408429	1.6184168659802438	1.6778744936973735	1.5234657259439375	0.8722737220976841	1.002393509597353	2.6406639776218293	3.3664123913187503	2.319498711809243	2.0653698936590517	1.511504942745668	2.787593673430027	3.140673843921597	2.409294444724056	1.4807052311837912	2.4295890039306656	1.2687481412124022	0.4828993383914872	3.200863173467231	1.2201139818826925	2.2538450418557323	2.581850293068771	0.7943240872998545	2.9448263071468177	2.8126834253213286	1.2770953141422852	2.0412365882966736	2.9472984364024826	2.196177111936409	2.781407556194078	0.960206816521449	2.4481327097677457	1.593285306039055	1.6567438275565085	4.8327903003661445	1.481705478635504	2.3811675125111287	2.6454121741000254	1.7681661222049556
TL1a_DTT_269_Repeat	0.8705030005717093	0.0	3.088307308179595	2.6361000707359543	1.2087473639377142	1.6041042487935901	1.723104684035423	1.8979069979498373	1.6096541906337356	1.649234404507361	1.2029794248327412	1.590670619382896	2.840957128691642	3.4317028424378915	2.671281261717751	2.4715919023214066	1.6199823656557635	2.96403551820643	3.366900530262555	2.617562295886721	1.8920120053974907	2.7129294239032613	1.3393640597620968	1.062525903417436	3.5555048062672605	1.6056629864679282	2.3883997959687626	3.014829856142724	1.4041639995527888	3.0032449001676826	3.018375054011948	1.812525319089518	2.5409328926388404	2.6921475091015927	2.388401232174736	2.921905443803651	1.1760178261191927	2.263753996721501	1.7931042709846514	1.7873321654591179	4.45012389609794	1.671820213017736	2.3292871505524015	2.540959655299608	1.802557596650003
TL1a_DTT_127_Repeat	2.8222201370132542	3.088307308179595	0.0	0.5237956767651055	2.160701377832722	3.2372350463992716	1.9957856207914988	1.4859771892048577	1.9582797747054739	2.284054942002566	2.095557805100755	2.1304818493186928	0.7914525490294618	2.1961594467829912	0.6206457939831836	0.9158045623573817	3.4790057935215306	0.33059136676637757	0.36381490441077646	0.49328193743656323	1.417037207120871	0.4387673560511841	2.053004219600545	2.7187484610837163	1.1255113700814299	2.014604675007894	2.0497605825706646	0.7009564289216847	2.1076482614720846	2.167930386843728	0.21659218824282558	1.6257332618116949	1.1304444892811867	2.5491933787626624	1.7210780903714167	1.4362704115274834	3.6518441082430044	3.0807788084786103	2.701701044193453	2.575455352801104	3.8443204461236773	2.464011134027736	2.079117270935069	2.691964648501681	2.635955813219683
TL1a_DTT_157_Repeat	2.4709302866148755	2.6361000707359543	0.5237956767651055	0.0	1.8258785589510922	2.95539664476702	1.5665155660269405	1.194109824391663	1.5131232011067763	1.923734020285603	1.7359187700707437	1.8802147292578453	0.6884544669153332	2.0795076926274394	0.6478148423721556	0.8340102679552069	3.1249979672650756	0.34649941204075296	0.7566985956429114	0.1446083429809792	1.1445557996478495	0.39125440201311384	1.6348883606301547	2.3772760396187724	1.437659238403323	1.701925584885182	1.7828113284052265	0.9703000018729057	1.8115361639665564	1.9707338637595944	0.3930651827279249	1.390936017095777	1.1435560181545732	2.1785067496125587	1.4745853157145894	1.2922515221214659	3.288817449258284	2.705163819884768	2.381295397937282	2.2379378559855563	3.579354877797435	2.126752478102292	1.730059058775424	2.361563634865398	2.277941780423536
TL1a_DTT_130_Repeat	0.7132447932429606	1.2087473639377142	2.160701377832722	1.8258785589510922	0.0	1.288921397345936	1.5637649202964035	0.9118171993942418	1.4329198532940932	1.4721486549517402	0.24215913679511222	0.45228897417589375	2.095278624918855	3.0592741685517146	1.6339203751393334	1.4851341842402697	1.9794071664211024	2.1234347539288265	2.465030949342764	1.766733010027107	0.9468124657518344	1.7971490851301144	1.074998780959535	0.8732715852541115	2.496717455213244	1.030442678546268	2.0528748482627566	1.9125482845810275	0.49396540680939394	2.6913218237873484	2.151138808763994	0.7313354852465185	1.3802701295688862	2.751376542576467	1.8974210374482652	2.3673190487009914	1.6577852563561297	2.527822288532571	1.7240649083783142	1.7205245040560904	4.585869254214804	1.523621654423148	2.1555673921459357	2.5716860195480256	1.8327391353147544
TL1a_DTT_196_Repeat	1.1960705799252522	1.6041042487935901	3.2372350463992716	2.95539664476702	1.288921397345936	0.0	2.7882422253674184	1.7937167420027726	2.6530420516440505	2.6444947636577965	1.3059568290191488	1.155714459005819	3.3333987196081463	4.345865486062275	2.6422883571669638	2.6597868187319897	2.65672177131827	3.1999112943950117	3.4948014383761303	2.9100437078258863	2.194454036376732	2.9466636875599796	2.28660944255449	1.656781188999276	3.2026332660146615	2.23964867777819	3.307226868282116	2.843849050783384	1.646420361211094	3.9673374364126577	3.2360659305034494	1.9104241630950534	2.272663245292261	3.9467491358458555	3.1748018043700434	3.6526422424450486	1.8250668928261653	3.606262555179898	2.7705057461267875	2.8236229683685665	5.742630362383241	2.636646592310782	3.405803302493385	3.762741421760617	2.9361107488334945
TL1a_DTT_90_Repeat	1.787271548408429	1.723104684035423	1.9957856207914988	1.5665155660269405	1.5637649202964035	2.7882422253674184	0.0	1.760064886751661	0.15203820535231505	0.6000581470241817	1.572357428020146	1.9371443612896244	1.4095761788254295	1.7148374446674954	1.8874360426752148	1.4657716799763194	1.7751429965318009	1.8942244681390157	2.2808545988990487	1.5405657656588199	1.1463537487401376	1.6064651301637842	0.5273665690227735	1.5019560686967182	2.916269890986335	0.9051541798452749	0.806737584660063	2.2226665980642597	1.3740080741241338	1.3082654282521102	1.919873918195526	1.39768778013999	2.028216259275317	1.2062406470613294	0.8102492621857519	1.2623981858092386	2.2328797332802095	1.208761626983352	1.0778391822386115	0.8765600684083928	3.110951432774086	0.8448857174313076	0.6361540430350142	1.0819558692901623	0.8239135728257939
TL1a_DTT_198_Repeat	1.6184168659802438	1.8979069979498373	1.4859771892048577	1.194109824391663	0.9118171993942418	1.7937167420027726	1.760064886751661	0.0	1.629770121461729	1.9193502305376415	0.7629195969839614	0.8282588702089871	1.7040585709352507	2.9753910103545778	0.9458186303254342	1.1743925473656858	2.7734926483336135	1.412575584226651	1.7214124878407264	1.1670313200464417	0.9708289026641479	1.2498444123159371	1.4692998667991615	1.7387051455319436	1.6648796331844304	1.4970050798690755	2.2315318321708917	1.2650887313202257	1.1748189440598944	2.71366175230352	1.457771971674966	0.9062883589319555	0.8540502898084646	2.7879345186791094	1.974943908316882	2.1852303687713412	2.5623285556350335	2.934261642292449	2.3066978541056695	2.236858163605801	4.428261447431251	2.0573238806287146	2.252754976500988	2.8133055955848696	2.322611461631978
TL1a_DTT_88_Repeat	1.6778744936973735	1.6096541906337356	1.9582797747054739	1.5131232011067763	1.4329198532940932	2.6530420516440505	0.15203820535231505	1.629770121461729	0.0	0.6356081029712468	1.4312031245687933	1.8098679211196225	1.4225825193521209	1.841884845600186	1.8140130401093904	1.4232492797138114	1.7821389189219643	1.8483270951060438	2.244507390667626	1.4893289711438213	1.0678406446228188	1.5661689422526834	0.4281593266758346	1.421812863666264	2.8402645674429454	0.8599522437959939	0.9317935952070903	2.1610820147119902	1.2752790335274515	1.4449497569072995	1.8793938866212399	1.3059794472062125	1.9421054008635414	1.32242666308035	0.8996274064275154	1.3435313276286136	2.1685905728375148	1.32749286800496	1.1245647145905566	0.9380653078466372	3.2069488020529007	0.8775094472301671	0.779631905946772	1.2305623666368355	0.9027550635309666
TL1a_DTT_89_Re_extracted	1.5234657259439375	1.649234404507361	2.284054942002566	1.923734020285603	1.4721486549517402	2.6444947636577965	0.6000581470241817	1.9193502305376415	0.6356081029712468	0.0	1.5705221966286327	1.8462573328265046	1.7101509920527254	1.9183825485378903	2.0836301934513246	1.550342810902542	1.2711698356030068	2.2545819579158946	2.6121074842705263	1.8591275361571296	1.13714563414725	1.8560104889077205	0.5158175367666866	1.1227347087631385	3.1448504663324575	0.5770736513976469	0.7831012824425126	2.363748239370821	1.1394196851495113	1.4665382947618741	2.2580890733099874	1.2976517748259029	2.083579721717158	1.6113539413816387	0.8662068234876679	1.525446828459167	1.8282478519012673	1.1365319663645996	0.4994019788276609	0.3388085492973562	3.550812491659545	0.24705196656048817	0.9547576984368853	1.164227363336463	0.4125664196882747
