	Mouse5A.DTT29	Mouse6A.DTT35	Mouse1B.DTT15	Mouse1B.DTT18	Mouse5A.DTT27	Mouse4A.DTT19	Mouse5A.DTT30	Mouse5A.DTT28	Mouse7A.DTT38	Mouse7A.DTT41	Mouse4A.DTT22	Mouse6A.DTT31	Mouse7A.DTT42	Mouse1B.DTT16	Mouse1B.DTT14	Mouse1B.DTT13	Mouse6A.DTT34	Mouse5A.DTT26	Mouse4A.DTT21	Mouse4A.DTT24	Mouse1B.DTT17	Mouse5A.DTT25	Mouse7A.DTT39	Mouse4A.DTT20	Mouse6A.DTT32	Mouse6A.DTT33	Mouse6A.DTT36	Mouse4A.DTT23	Mouse7A.DTT37	Mouse7A.DTT40	Mouse9A.DTT98	Mouse10A.DTT109	Mouse9A.DTT100	Mouse9A.DTT101	Mouse10A.DTT110	Mouse9A.DTT99	Mouse9A.DTT97	Mouse8A.DTT90	Mouse10A.DTT111	Mouse10A.DTT113	Mouse9A.DTT102	Mouse10A.DTT112	Mouse10A.DTT114	Mouse8A.DTT85	Mouse8A.DTT86	Mouse8A.DTT88	Mouse8A.DTT89	Mouse8A.DTT87
Mouse5A.DTT29	0.0	0.3284365617596109	2.439936128019653	1.5993628932785295	2.3157895041808563	2.3212666142767553	0.2544252683629662	1.1074166446370108	2.0777996320924657	0.3591452255980363	0.5114039175295049	2.1983161772785245	0.512863747080837	0.7088674332100937	2.6307730989521083	2.3155687789810617	0.4829142315504426	2.032642077847877	2.2787848569871874	0.5911779121733859	1.6745116276403527	2.369404626260867	2.190096874970437	2.364239282575325	2.2286250061659727	2.1914435262748717	0.15450913047834894	0.29070885311633804	1.4822533157524336	0.8914858674737465	3.950149742377364	2.674169904691045	2.757234107965923	2.644479515829396	2.2604224685222043	3.705916341827991	3.3291553085542676	2.3472850046661784	2.2382061961742177	1.0538830565227728	2.505985182288292	1.124845055957407	1.904416931057354	2.663774777023725	3.2581846119941607	1.764491968651769	2.1108991782809055	3.7128294202475134
Mouse6A.DTT35	0.3284365617596109	0.0	2.111509837788542	1.2732257049671623	1.9973229632994562	2.005213246429596	0.4598544598122725	0.7923243654125091	1.754158029215396	0.5019302964316191	0.47574608050020867	1.8814558032733486	0.20842996588043222	0.3952585490395518	2.303590166924741	1.9892991413204004	0.3377792319349397	1.7211880448209889	1.9661203338968358	0.3198241901290081	1.3470558061033886	2.047091948127297	1.8822392254527895	2.0548332598171766	1.9138717441114597	1.8782084640209697	0.37176918958649396	0.08551362390971054	1.193076361695035	0.5706462649408858	3.682351327237672	2.392340920888945	2.7482081771046047	2.58343185324185	1.9397343819333412	3.436050856120061	3.031839256368152	2.2323394064898867	1.9129516208588069	1.0818159997530485	2.423822059307803	0.8189169843542908	1.6138760335630948	2.3652012236527225	2.989089623709899	1.6689038287322397	2.0961748934601476	3.438350092280308
Mouse1B.DTT15	2.439936128019653	2.111509837788542	0.0	0.8661374973892063	0.5729212154229587	0.6345213544969347	2.512672204326656	1.389868610531328	0.5163867163230857	2.487464140639037	2.271786688084129	0.6311375691151588	1.9458384074330861	1.7548221732804314	0.27192863283631913	0.26666356877041353	2.121505989391656	0.7843066892103204	0.7130249013642269	1.9159800549167354	0.7760858150885273	0.45390908495547966	0.8112181964595946	0.7813233259000646	0.6729057045955281	0.7109449418820117	2.454055438031235	2.1594759874773395	1.2724237635519309	1.568457483151671	2.345456525458321	1.284886555700067	3.505821300935643	3.112510535080439	0.48903420527328767	2.1214275733853607	1.4635727609920877	2.5839496757495777	0.34808129080478634	2.5822826387404447	2.8885553525133467	1.4111175031279706	1.075253167474908	1.0282467902814412	1.794245382602401	2.402204518052962	3.0125499191006044	2.0717357656922073
Mouse1B.DTT18	1.5993628932785295	1.2732257049671623	0.8661374973892063	0.0	0.9037302565462382	0.9225776169415002	1.6926374899592282	0.6724906743098894	0.6299112707640867	1.630041572284071	1.4128908572796532	0.8319070377624387	1.1261285021038152	0.9525012635691458	1.0438570354664833	0.7613059942395921	1.2563481363853723	0.7932326832387434	0.8983656257770218	1.1164779555575535	0.15999971594023832	0.8893094548050835	0.9289829459403179	1.0245617459850176	0.866278501551792	0.8526708677560539	1.6025933957342144	1.3124014026858861	0.7902377087584781	0.7792686339863077	2.7192267192483777	1.4656726363263357	3.020352432788452	2.680645086778592	0.788346585008093	2.483605127099929	1.939717109952404	2.1933330148735095	0.7009730340922196	1.8445261147868834	2.458900539406902	0.7122731863127717	0.8136553315080403	1.3254928203202125	2.0710057805676656	1.8480547781604761	2.447316953710816	2.454572196416744
Mouse5A.DTT27	2.3157895041808563	1.9973229632994562	0.5729212154229587	0.9037302565462382	0.0	0.1058440553762121	2.3336626716891633	1.2745849573619954	0.2868170445332035	2.4296746794217	2.134707460409843	0.13031493288994078	1.8079156220550228	1.6627957018939665	0.8187040103622131	0.7697809977820891	2.040099767117513	0.35009165566882183	0.2610811350757882	1.7444034929689591	0.8666673648279357	0.14845353389865676	0.25824418564146323	0.25396856473785673	0.13316857449504033	0.1811334268139593	2.35830694051166	2.0482875198620625	0.9355759165825958	1.4776915691691763	2.91615592903088	1.8231579258907205	3.841383805251586	3.48074395586981	0.9595393888347744	2.694281382019238	2.033824571599167	2.9569309535492696	0.8083724659275244	2.6822800122379524	3.2595441852028166	1.3883696462320536	1.4379136837832287	1.5811866243430168	2.360922639681798	2.6803684737582305	3.292611159105422	2.643642088847963
Mouse4A.DTT19	2.3212666142767553	2.005213246429596	0.6345213544969347	0.9225776169415002	0.1058440553762121	0.0	2.336259420782064	1.3046977609895134	0.33930095713963787	2.433593145717324	2.1201874321068224	0.18074876345293767	1.8175253407265586	1.6832567369179592	0.8683191265392762	0.8345202300703749	2.0370142671782943	0.38798259025791637	0.1625293846709232	1.7527061696253623	0.9031734031169684	0.18443130840525956	0.24434384091883835	0.15847926964360168	0.10459467682697232	0.14689322868791882	2.3629618144742337	2.053181847393518	0.9462758805771454	1.5006010820751656	2.9658036834602948	1.8867520639558315	3.8899937168367735	3.529002302562114	1.031736344623342	2.7501395611252892	2.0864488395088374	3.011827932645334	0.8736558809006736	2.7180360017795353	3.305475094562171	1.4301140230771099	1.4979054764295057	1.6443912422663984	2.4192085992439716	2.727268189986458	3.337552448608803	2.6957126464095555
Mouse5A.DTT30	0.2544252683629662	0.4598544598122725	2.512672204326656	1.6926374899592282	2.3336626716891633	2.336259420782064	0.0	1.1541103335976381	2.1138775645926304	0.5997809565158282	0.6170334031052142	2.2116402184993533	0.5734014016156975	0.7964005097831861	2.7207034757231314	2.4094520423083994	0.6642196624350407	2.0329655686599204	2.294947905803126	0.6003172225163496	1.7673603042269599	2.4014936470099206	2.183742374242204	2.367072142069943	2.239580500716669	2.1995826879957483	0.399390805955451	0.4486311746264171	1.4522776868811424	0.967315380610039	4.137863995628873	2.8424380900457367	2.9908053295389845	2.8852302313427933	2.36802222521849	3.8890916663127593	3.486302125807417	2.5775874663957374	2.3363496169306766	1.2686854956794618	2.7492692474491096	1.209910349013222	2.060435576549969	2.8151474176095985	3.4409451980483765	1.9970972794336461	2.345134904729492	3.8939910679310135
Mouse5A.DTT28	1.1074166446370108	0.7923243654125091	1.389868610531328	0.6724906743098894	1.2745849573619954	1.3046977609895134	1.1541103335976381	0.0	1.024324835510321	1.2520117048128954	1.105188270018907	1.1563595212920248	0.6041548684335617	0.4128737442710096	1.6079669642274321	1.2897057245678194	0.9455444464855842	0.9893114791364178	1.3058653341308404	0.5657506257389099	0.6880812194136917	1.3297843424043585	1.1828566549436603	1.3812174358476292	1.2117259500412165	1.1828176823001866	1.158593656738752	0.8614805401976041	0.5624371919274198	0.23683042712109642	3.2162271630378636	1.8850811461332833	2.9606948207611947	2.703333722965637	1.2559912042785608	2.9548526349522746	2.4666013211064977	2.2287818521184724	1.2199069041148212	1.4965591587970781	2.5155358500794067	0.24177037275881472	1.112815566301703	1.7950713397424671	2.518968242729728	1.7753066867409937	2.3366864166896884	2.949758777123283
Mouse7A.DTT38	2.0777996320924657	1.754158029215396	0.5163867163230857	0.6299112707640867	0.2868170445332035	0.33930095713963787	2.1138775645926304	1.024324835510321	0.0	2.1769228340714313	1.9108516247705831	0.2248586014437268	1.5698759673845446	1.4095044149540479	0.7815973685651884	0.618836589316965	1.795036490016644	0.30200175167190074	0.4030290596144313	1.5170749294689658	0.5825285316941553	0.3073662413891983	0.3828849640675068	0.4778530811495118	0.28965657110277193	0.29859778319894836	2.113248170040872	1.8055258428087895	0.7802859732335685	1.2218840647840201	2.8124321239508845	1.643818262961843	3.5630587468511847	3.208883972405156	0.7742363269059707	2.579238977796608	1.9458385711845438	2.6877742982500705	0.627836679926387	2.4004634379516854	2.989254852680319	1.120426186099156	1.1799196915746266	1.4234541536623717	2.216322196477142	2.397206245281753	3.0086699438420967	2.537393843245189
Mouse7A.DTT41	0.3591452255980363	0.5019302964316191	2.487464140639037	1.630041572284071	2.4296746794217	2.433593145717324	0.5997809565158282	1.2520117048128954	2.1769228340714313	0.0	0.5094357394147089	2.3214711135926858	0.7078298049235573	0.8470849219197885	2.649936080699621	2.3401657606127104	0.4220370946357032	2.1792029524720653	2.382360324326297	0.8192480815484623	1.712639915366984	2.4630707066937645	2.3335115777167683	2.485376802489581	2.3488610132522045	2.314890348177569	0.2046979673217725	0.4326969077947664	1.678475960083205	1.0166404859240903	3.8106849316092317	2.5875762290528312	2.5019855644708393	2.3895083218252577	2.2734508751620948	3.58013272630373	3.246086483073677	2.1379724840451138	2.2596175041029083	0.8891163986480835	2.249778774614777	1.228913830638572	1.8553173898282553	2.602871613464497	3.137536416256996	1.5553081064216945	1.864676433723519	3.5876060384321518
Mouse4A.DTT22	0.5114039175295049	0.47574608050020867	2.271786688084129	1.4128908572796532	2.134707460409843	2.1201874321068224	0.6170334031052142	1.105188270018907	1.9108516247705831	0.5094357394147089	0.0	2.029140286128785	0.5890695117835211	0.7793894741105526	2.4511696902809996	2.1691972204955547	0.27487297753355905	1.8955515368401241	2.0462428325339816	0.6528703194313823	1.5276734433642918	2.175023015506078	2.0161041336932612	2.1467961152744808	2.0371837732000175	1.9985867043783878	0.47569731325758996	0.40378423902903937	1.3959844359487084	0.9001174912704745	3.8252333057236645	2.5964362931822267	2.908626964590813	2.740489059635812	2.1525217574182722	3.6029048666061687	3.1907781718921755	2.444240050018289	2.100594333490825	1.3401914802013883	2.571144999263578	1.1742638819327467	1.852300773119385	2.561311860090008	3.16650744153554	1.8854832362324943	2.2714969641993554	3.591735412245815
Mouse6A.DTT31	2.1983161772785245	1.8814558032733486	0.6311375691151588	0.8319070377624387	0.13031493288994078	0.18074876345293767	2.2116402184993533	1.1563595212920248	0.2248586014437268	2.3214711135926858	2.029140286128785	0.0	1.6894478619460427	1.5466050232614963	0.891415935402138	0.7928278825080031	1.9352451920265359	0.22207023191635727	0.29455785339233187	1.623094409174121	0.797437802194824	0.25510679828108274	0.18381303263769944	0.2996199390100271	0.1094725846892331	0.128661814797494	2.2446592172528126	1.934081194534197	0.8064824762743023	1.362569363691835	2.9713044736200094	1.837407999151551	3.7818900643493354	3.4311522361065405	0.962975599162319	2.7426397761903987	2.0931212067664866	2.908119085403639	0.8173696448080437	2.5827297772479785	3.2125684458019186	1.2785876733025425	1.3992658933487792	1.606074340260412	2.395227704121857	2.612092663322147	3.222760344717801	2.696814717819796
Mouse7A.DTT42	0.512863747080837	0.20842996588043222	1.9458384074330861	1.1261285021038152	1.8079156220550228	1.8175253407265586	0.5734014016156975	0.6041548684335617	1.5698759673845446	0.7078298049235573	0.5890695117835211	1.6894478619460427	0.0	0.2460116416397141	2.149552953851171	1.8365425232818227	0.4639676605332896	1.5227756786797175	1.7840249009025666	0.12806461468923505	1.1949872519679827	1.8640619514464214	1.6862757904055214	1.8666707462359606	1.7239134082780736	1.6878143618395187	0.5776704922607869	0.28094997581161496	0.9872129653063169	0.40109363462828074	3.6163041111977443	2.3089059930409097	2.85591375335806	2.6684701835259794	1.7969243695656498	3.3656233462876437	2.9323223584411195	2.2825059582139424	1.7631297902382836	1.2114435121011855	2.500743037595082	0.6676339504810581	1.5222561125646343	2.2620957332050176	2.920085599386381	1.7382005006768215	2.205013815605888	3.3649011372677244
Mouse1B.DTT16	0.7088674332100937	0.3952585490395518	1.7548221732804314	0.9525012635691458	1.6627957018939665	1.6832567369179592	0.7964005097831861	0.4128737442710096	1.4095044149540479	0.8470849219197885	0.7793894741105526	1.5466050232614963	0.2460116416397141	0.0	1.9527525584429692	1.6299548402627848	0.5934491903178702	1.3848994102563907	1.6642141813432885	0.287416658163895	1.0002206235507853	1.711271594007806	1.5649076714631132	1.7498512327185016	1.5917601378429285	1.560089777220507	0.7511708804584716	0.4673377403586348	0.8976646397862545	0.18921851678256593	3.3994918407316357	2.0807296344763198	2.7552325490413385	2.5429834259452995	1.575065358224865	3.1433128840789286	2.7112237384479587	2.1233482383685267	1.5529746425315805	1.1734547802439168	2.369182981932856	0.4275595283025562	1.2913074035320733	2.0346868079999973	2.697290031115849	1.6036808613809488	2.1107311475776847	3.1452172653115054
Mouse1B.DTT14	2.6307730989521083	2.303590166924741	0.27192863283631913	1.0438570354664833	0.8187040103622131	0.8683191265392762	2.7207034757231314	1.6079669642274321	0.7815973685651884	2.649936080699621	2.4511696902809996	0.891415935402138	2.149552953851171	1.9527525584429692	0.0	0.34406104578370067	2.291094158290167	1.054599529700196	0.9311570657432363	2.130362812398262	0.9568200131385621	0.6852537531405946	1.0667745483504851	1.0017145072904934	0.9210923273192412	0.9607973010521208	2.6330858030333557	2.347520631922635	1.5333156597735116	1.7708265091747992	2.1044340825584817	1.144912768634331	3.492587249951762	3.080073207112437	0.5219018342700456	1.8930438160212308	1.2204974545105065	2.5598215954855705	0.4328960675660282	2.69944574394306	2.8538640143781238	1.6052930192052874	1.108386769732176	0.8735646839927248	1.5929087727067262	2.4349993111449066	3.0350314943797505	1.8348532375776068
Mouse1B.DTT13	2.3155687789810617	1.9892991413204004	0.26666356877041353	0.7613059942395921	0.7697809977820891	0.8345202300703749	2.4094520423083994	1.2897057245678194	0.618836589316965	2.3401657606127104	2.1691972204955547	0.7928278825080031	1.8365425232818227	1.6299548402627848	0.34406104578370067	0.0	1.9946700837520968	0.8955006279718626	0.8991025313412543	1.821678615078738	0.6490605612477418	0.6698476931082612	0.9752432538195632	0.9868822966548866	0.8486098191751519	0.8775256589507902	2.3196079435292165	2.0364941533476526	1.284309841020541	1.4498070794875408	2.1996259895231103	1.0537587017985242	3.2426401167089525	2.8486077659014	0.23274952288356107	1.9615597043570832	1.3369816001153354	2.3181814451367004	0.09297299592415355	2.370628753905304	2.626073622962331	1.2698327556745734	0.8151278270351964	0.8143275559875354	1.6030724527118447	2.1483476472117107	2.7568802878041656	1.9226678035327853
Mouse6A.DTT34	0.4829142315504426	0.3377792319349397	2.121505989391656	1.2563481363853723	2.040099767117513	2.0370142671782943	0.6642196624350407	0.9455444464855842	1.795036490016644	0.4220370946357032	0.27487297753355905	1.9352451920265359	0.4639676605332896	0.5934491903178702	2.291094158290167	1.9946700837520968	0.0	1.8038388069443096	1.9767314460895198	0.5665610914178358	1.356596941805138	2.071775779411308	1.9445083546615038	2.083110156158054	1.954808406063951	1.9201312977981289	0.4202788251750926	0.27374398104184977	1.328240699519423	0.7208226687941874	3.5971841067946793	2.3578502224664013	2.6836828110227016	2.5014742929266673	1.955531753664895	3.368771760160841	2.975741086686541	2.1838462407363175	1.9200379510307948	1.1225166174625238	2.3294693257232226	0.9689296492165136	1.6110498850804547	2.336748695832066	2.928438072200365	1.6273354187073727	2.041767760518246	3.3635535615178465
Mouse5A.DTT26	2.032642077847877	1.7211880448209889	0.7843066892103204	0.7932326832387434	0.35009165566882183	0.38798259025791637	2.0329655686599204	0.9893114791364178	0.30200175167190074	2.1792029524720653	1.8955515368401241	0.22207023191635727	1.5227756786797175	1.3848994102563907	1.054599529700196	0.8955006279718626	1.8038388069443096	0.0	0.46142186720396566	1.4485421101728404	0.7602432387417757	0.47216759145357157	0.22462794518425064	0.4605504334072312	0.29010255822606096	0.26898290988536955	2.0890383363816616	1.7783564263924174	0.6037520952091587	1.2047696157735446	3.094408329538771	1.9036600024689594	3.7211706687730457	3.389764652150033	1.0266550386175142	2.8544170250083907	2.2240933830993828	2.8670634376391004	0.8995222952159488	2.450591241146964	3.1776853270490504	1.1281536786891544	1.388574367329368	1.6906903574839378	2.4884244169047847	2.5398016108777206	3.1457166595327997	2.817137390782721
Mouse4A.DTT21	2.2787848569871874	1.9661203338968358	0.7130249013642269	0.8983656257770218	0.2610811350757882	0.1625293846709232	2.294947905803126	1.3058653341308404	0.4030290596144313	2.382360324326297	2.0462428325339816	0.29455785339233187	1.7840249009025666	1.6642141813432885	0.9311570657432363	0.8991025313412543	1.9767314460895198	0.46142186720396566	0.0	1.7207714766399242	0.9068297608392661	0.29133819524841625	0.30669039221183875	0.15476378353814932	0.19184297122871746	0.19666322777914888	2.3162929571384168	2.0086668395481873	0.9452716136548558	1.486117027418606	3.007741842931346	1.937316622672381	3.8951834309682773	3.5345260444506335	1.1003214480119574	2.799922866954189	2.138189489572944	3.029876956219278	0.9340362641160328	2.7096189518674665	3.3076290236724786	1.4434597082066043	1.5321893204529349	1.6994225585808103	2.466828219641935	2.7319919747991475	3.3376105330867984	2.741357845819116
Mouse4A.DTT24	0.5911779121733859	0.3198241901290081	1.9159800549167354	1.1164779555575535	1.7444034929689591	1.7527061696253623	0.6003172225163496	0.5657506257389099	1.5170749294689658	0.8192480815484623	0.6528703194313823	1.623094409174121	0.12806461468923505	0.287416658163895	2.130362812398262	1.821678615078738	0.5665610914178358	1.4485421101728404	1.7207714766399242	0.0	1.1840579364466346	1.8089565590641843	1.6091722585689916	1.7957690915307138	1.6565641091612253	1.618885025962212	0.675196560821895	0.38787537597944116	0.8921878178906159	0.4010453138407417	3.6623233601486245	2.347569682760062	2.9732191085844293	2.7820068771959217	1.7929569884093024	3.4097369214761555	2.957536382497143	2.3849089820192746	1.7518000952518396	1.3265259644400413	2.6128899454558616	0.6693784550660743	1.5597571165942454	2.2873901104981487	2.9660143363605496	1.8477001235665604	2.322864085844424	3.406841323590453
Mouse1B.DTT17	1.6745116276403527	1.3470558061033886	0.7760858150885273	0.15999971594023832	0.8666673648279357	0.9031734031169684	1.7673603042269599	0.6880812194136917	0.5825285316941553	1.712639915366984	1.5276734433642918	0.797437802194824	1.1949872519679827	1.0002206235507853	0.9568200131385621	0.6490605612477418	1.356596941805138	0.7602432387417757	0.9068297608392661	1.1840579364466346	0.0	0.8489049408311198	0.9147537459948776	1.022843973229516	0.8491481590127662	0.8418726130935928	1.681709084264589	1.392736685856634	0.8141882724271896	0.8210735581904144	2.6373339793914683	1.363548032717653	2.9999304849451778	2.6555277827626376	0.6543669638695797	2.3928306102781307	1.8468494917964444	2.1501001956136157	0.5812275955783335	1.8596981514255524	2.436535735738761	0.6968514996426259	0.7149597865189684	1.218169419225179	1.9793787098648252	1.8285854409369369	2.436420222402942	2.368139957844072
