OTU.ID	Mouse5A.FP28	Mouse3A.FP16	Mouse5A.FP26	Mouse7A.FP40	Mouse1A.FP05	Mouse6A.FP32	Mouse3A.FP17	Mouse7A.FP38	Mouse1A.FP02	Mouse2A.FP11	Mouse3A.FP18	Mouse6A.FP31	Mouse4A.FP22	Mouse1A.FP03	Mouse4A.FP23	Mouse1A.FP01	Mouse6A.FP35	Mouse2A.FP07	Mouse3A.FP13	Mouse1A.FP06	Mouse1A.FP04	Mouse2A.FP12	Mouse2A.FP10	Mouse7A.FP42	Mouse7A.FP41	Mouse3A.FP15	Mouse4A.FP20	Mouse5A.FP29	Mouse6A.FP34	Mouse6A.FP36	Mouse2A.FP09	Mouse5A.FP25	Mouse5A.FP30	Mouse7A.FP39	Mouse4A.FP24	Mouse3A.FP14	Mouse4A.FP21	Mouse2A.FP08	Mouse7A.FP37	Mouse6A.FP33	Mouse4A.FP19	Mouse5A.FP27	Mouse10A.FP110	Mouse10A.FP109	Mouse10A.FP111	Mouse9A.FP97	Mouse9A.FP98	Mouse8A.FP87	Mouse8A.FP85	Mouse10A.FP113	Mouse9A.FP102	Mouse9A.FP101	Mouse10A.FP112	Mouse8A.FP90	Mouse10A.FP114	Mouse8A.FP86	Mouse9A.FP99	Mouse8A.FP89	Mouse9A.FP100	Mouse8A.FP88	taxonomy
k__Bacteria;p__Bacteroidota	21438	18541	26447	18547	21035	33098	7164	21076	16895	34882	4884	24830	3649	25647	4510	12341	26991	35541	27381	15420	20385	32481	27911	20507	20093	36539	18672	24632	21810	31656	20221	30835	35417	19052	8799	31265	20336	27054	26627	27795	20193	13804	26035	55326	36946	51009	40785	27968	14766	62599	63969	90261	40027	71577	38800	32166	31347	56452	94771	39261	
k__Bacteria;p__Firmicutes	11334	9963	8946	15907	19204	10721	17306	10912	21889	7357	16191	7633	35278	8095	36842	16570	6739	7926	10017	17213	21261	3149	4110	5658	10436	11470	15816	25534	4384	5068	14519	2160	6558	16289	26138	8559	16388	10993	5638	10139	17170	15795	8342	6779	15949	15422	10796	20264	17991	43894	5942	4161	36074	15663	25572	20829	38068	11078	1589	7333	
k__Bacteria;p__Actinobacteriota	1686	291	484	779	117	40	16	208	64	956	34	23	60	627	62	15	401	136	138	118	207	307	607	467	530	459	132	1111	48	451	1072	770	773	175	193	289	173	715	664	106	256	490	0	13	38	255	250	442	108	1282	1956	3137	263	12281	138	83	316	2374	1234	2895	
k__Bacteria;p__Verrucomicrobiota	5	3	5	5	6	10	9	8	5	6	25	3	4	1054	3	9	14	6	1	6	5	42	10	9	8	23	5	6	9	6	8	5	6	7	1	3	2	12	10	5	2	8	0	3	0	8	3	981	1296	4	1905	2135	0	54	25	191	558	9	9	21	
k__Bacteria;p__Proteobacteria	1178	3525	2386	1175	728	619	5144	1052	244	2863	7142	587	294	1519	171	80	4414	993	468	1407	925	2536	3271	3699	845	627	452	3104	2733	2104	1675	906	3376	1581	533	431	510	1625	1198	1242	679	1490	300	706	348	491	527	808	516	1711	5961	4198	2532	18174	5536	990	330	17655	5416	11179	
k__Bacteria;p__Desulfobacterota	65	81	303	367	93	318	58	271	371	1992	85	399	35	489	40	405	640	119	189	88	58	973	1272	1724	843	381	218	348	296	393	1220	17	197	692	306	197	395	429	64	1409	381	45	41	28	213	572	225	971	448	4167	10242	5369	1032	70	650	342	599	309	6759	203	
k__Bacteria;p__Cyanobacteria	21	33	0	69	7	33	2921	19	2	68	5208	17	9	0	33	1	765	243	19	0	164	104	17	204	67	11	11	3	34	108	21	0	110	0	12	11	14	125	9	10	5	9	62	107	29	66	51	10	8	714	4668	101	30	9	2346	9	57	2	47	65	
k__Bacteria;p__Deferribacterota	0	8	133	130	0	126	43	226	1583	16	58	687	7	358	0	6792	45	127	57	0	0	53	24	20	34	112	1029	518	15	6	449	95	17	666	0	56	911	138	67	358	3798	18	23	1928	149	951	163	642	2943	1	8	12	572	2	159	958	1022	135	6	7	
