	Vil1.01B.FP11	Vil1.03B.DTT35	Vil1.03B.FP35	Vil1.01B.DTT11	Lyz2.07B.FP283.S81	Itg.24.DTT531.S26	Vil1.10B.FP116	Itg.04.DTT423.S15	Lyz2.06B.FP271.S69	Vil1.05B.FP59	Vil1.08B.FP92	Vil1.02B.DTT23	Itg.20.FP507.S10	Lyz2.06B.DTT271.S113	Vil1.04B.FP47	Lyz2.02B.DTT223.S63	Lyz2.05B.FP259.S56	Itg.22.DTT519.S14	Lyz2.04B.DTT247.S88	Vil1.09B.FP104	Vil1.13B.FP152	Itg.26.DTT543.S39	Vil1.14B.FP164	Itg.24.FP531.S34	Vil1.010B.DTT119	Vil1.05B.DTT59	Vil1.07B.FP83	Itg.26.FP543.S47	Vil1.08B.DTT95	Itg.18.DTT495.S90	Itg.12.FP471.S73	Itg.20.DTT507.S2	Itg.12.DTT471.S65	Lyz2.03B.DTT235.S75	Itg.10.DTT459.S53	Itg.08.DTT447.S40	Vil1.09B.DTT107	Vil1.014B.DTT167	Lyz2.08B.DTT295.S137	Itg.06.DTT435.S28	Vil1.06B.DTT71	Itg.04.FP423.S23	Lyz2.04B.FP247.S44	Lyz2.01B.FP211.S59	Vil1.06B.FP71	Vil1.07B.DTT83	Lyz2.01B.DTT211.S51	Lyz2.08B.FP295.S93	Lyz2.03B.FP235.S83	Lyz2.07B.DTT283.S125	Itg.10.FP459.S61	Itg.02.DTT411.S3	Itg.16.FP483.S86	Lyz2.02B.FP223.S71	Itg.02.FP411.S11	Itg.06.FP435.S36	Vil1.02B.FP23	Itg.22.FP519.S22	Lyz2.05B.DTT259.S100	Vil1.04B.DTT47	Itg.08.FP447.S48	Vil1.013B.DTT155	Itg.18.FP495.S98	LYZFP307	LYZFP331	SLCFP131	SLCFP023	SLCdtt005	LYZFP355	LYZFP319	SLCFP005	SLCFP053	SLCFP095	SLCdtt095	SLCFP077	LYZdtt367	LYZdtt319	SLCFP113	SLCFP071	SLCdtt113	LYZdtt355	LYZdtt343	LYZFP343	SLCdtt077	LYZdtt307	LYZdtt331	SLCdtt053	SLCdtt167	SLCdtt149	SLCFP167	SLCFP149
Vil1.01B.FP11	0.0	0.836858688409807	0.5085502610583909	0.46134448613075835	0.4306422034448568	0.8852439778123753	0.6335378000433917	0.514031764832012	0.6961748432990827	0.44733697635700964	0.6288688393324381	0.6312385823894775	0.4788304327088394	0.7003847798204361	0.5653996583348319	0.34636304833588144	0.6293218283396624	0.7152022267859265	0.569165359931457	0.6565692306684228	0.8681813561045034	0.7847097335598558	0.6392124536317808	0.843434236671881	0.862067113132543	0.9851709679999086	0.38827211288125074	0.6052534660016604	0.9811162704116984	0.6362013979542939	0.6797703647967004	0.6308587476252971	0.7362806695711993	0.38926465934098287	0.623055643734978	0.5801509592352171	0.8893504894889697	0.8520937033661502	0.7627289644194337	0.34658955670348474	0.9967858400845369	0.6534563017044027	0.7629697274097074	0.516911615306468	0.5082395435599077	0.9901854506883007	0.5445362718089991	0.47364088680763883	0.5542104773425142	0.8635619428779334	0.6190503694077443	0.6726368322553108	0.6165813627961149	0.49855876285843087	0.7344634580533415	0.17555111712091703	0.4941563052924255	0.6006991967439166	0.6059648499911238	0.7816214206792578	0.6554010242295121	0.8417707005200928	0.7565777754492586	0.351294354599846	0.8267539951286164	0.5379898651331988	0.6882680509674375	0.8488187794836205	0.60383529640806	0.5185436624676272	0.8712895883549641	0.6373317605039608	0.6677987207788533	0.6552659956865564	0.4385389307248628	0.5960531475629166	0.6226141269403876	0.8730718682990939	0.5628273648416832	0.8374349491984217	0.358717309698253	0.701043770086175	0.6241033099864437	0.3759630662229817	0.4486070201276387	0.6508519650714883	0.6899307812918276	0.5595717344753748	0.5393076453600374	0.602005321449947	0.5102318738372871
Vil1.03B.DTT35	0.836858688409807	0.0	0.8419642114024136	0.7079046750879021	0.7415419226442849	0.75482689747004	0.8139727846000664	0.8654107290577346	0.6453600214283975	0.8756406961097083	0.8608310956552362	0.5958889341414916	0.8497605870281699	0.5803923659238724	0.8707956411675574	0.8211948645127289	0.6795008370111094	0.7154434220243917	0.7344004001500563	0.8315620802601503	0.9143572530445501	0.6858254921966519	0.8323588911366516	0.8795900728484998	0.6736058972083817	0.85196038803557	0.8488878953839276	0.8308890330953926	0.8795496926583327	0.6881883854020077	0.8506930763995845	0.6663432147882199	0.6420093978588384	0.8164098047849699	0.7608375795685103	0.7653171313383681	0.6415703368554639	0.5687056185374362	0.5111566590580892	0.8120852810397902	0.9142325500887101	0.928760506231282	0.7265718527031557	0.9063719623250247	0.8389718471641273	0.8610680257035231	0.7426877327452186	0.6916123758924922	0.9112777766455391	0.45233265720081134	0.8748660962964021	0.7674943149254008	0.8696027127726378	0.9042564399726071	0.9270447452290654	0.8412477668781223	0.8444672485089867	0.8821284415196872	0.7298368246477149	0.5877259294893822	0.8252497032338517	0.7725290697674418	0.8808261120270281	0.843397215818583	0.9321490755944025	0.772020012722865	0.7520085839156264	0.601830898991977	0.9118943371018218	0.9108767782218659	0.8292610837438423	0.7491073729156698	0.894538744709954	0.7502583771617556	0.756945926336904	0.8672408082146406	0.6575818725535484	0.7218333947271484	0.7663271420011983	0.7234460313617903	0.8555249994586518	0.8778709307275183	0.9301241155318408	0.7952473016791244	0.867979000571147	0.8087488325080925	0.7796082912738469	0.9220246310367985	0.9359432498337398	0.86314497287451	0.8732363794226178
Vil1.03B.FP35	0.5085502610583909	0.8419642114024136	0.0	0.6256343955877701	0.7407946801494834	0.6128842052440096	0.7733854461525062	0.4374840643930402	0.7230337518784676	0.4589021578633785	0.8238770188425303	0.6929565285190777	0.6374919186246797	0.7061144560706144	0.7787099206406016	0.5096660284284428	0.8193577669352093	0.6773131511854336	0.5697371216657331	0.81400979295819	0.8792244931921994	0.7628754942009378	0.7787074894615068	0.6456741763840145	0.8561967437348649	0.9845717355538395	0.7161506257540461	0.6452554744525547	0.9813559057818516	0.7203917843220755	0.7173768813739243	0.7321039825841977	0.7228819706170978	0.4423120558906073	0.5965028949343225	0.665009659331857	0.9045041191264649	0.7506542511107054	0.8466976251376161	0.39117882919005614	0.9929113345147775	0.5539952996474735	0.6490723286040282	0.5693072436738371	0.7722704073644988	0.9879378492571896	0.6563255699672826	0.6333255284275953	0.4840776990439724	0.8935702157202245	0.5398427512679328	0.6477849689432897	0.8372117472288881	0.5735497842391045	0.6841569607100028	0.4956306173146837	0.6733362661367395	0.5240380797769563	0.8132828692439398	0.8390713318073527	0.6558589025878439	0.8693500213340919	0.7327921392001654	0.5100368742234708	0.8651775003406119	0.8012990228757547	0.8139744531119366	0.730561101947507	0.7489338187217636	0.47146658179974615	0.7844577378974189	0.8024649582883246	0.5825438971340225	0.6586949979353448	0.5294729210270721	0.7804443794053804	0.5853521367399677	0.8838461083460788	0.6373477838807584	0.7987093371618602	0.4527965279444137	0.8148076719092022	0.6599113905959697	0.41785989129183354	0.39380065418462445	0.8129003543681936	0.7890554741108496	0.5078886882000756	0.6372310628212626	0.6932498802108289	0.7558838678749739
Vil1.01B.DTT11	0.46134448613075835	0.7079046750879021	0.6256343955877701	0.0	0.5779667655122251	0.8055399325084365	0.7642755500419601	0.608844734749221	0.7753388310141562	0.6224752764342207	0.7261564426686874	0.4830535034698903	0.6009460861489796	0.5912392481682064	0.748769163769496	0.37001057997499276	0.7409108897262513	0.5590143704470364	0.33584431889516636	0.775790372078665	0.8446698862347259	0.7084537664663	0.773392345743296	0.8294911720011721	0.7977375500238381	0.9509499289772727	0.5489615926342556	0.6960347932452177	0.9484342148943233	0.7001998497944221	0.7821381626989923	0.41900550491832866	0.6353418482344102	0.41728590701758145	0.4535516692455834	0.5974631169808167	0.8251694818812896	0.8039113156243464	0.5565684449294901	0.46139819781542657	0.9739110660905878	0.7675948407983331	0.6312695807847233	0.6857318435754189	0.6743232436663094	0.958721950318589	0.27763024000397113	0.33746130030959753	0.662505435885542	0.721397629570992	0.6700223848992679	0.5177750053558151	0.7884159531164694	0.6742129985095524	0.7649236240981555	0.48768348450013893	0.697947237785701	0.6411543451764675	0.7138134929115908	0.5948202920943236	0.7439054692029485	0.7550492906948786	0.8382964385592506	0.5078006886452685	0.8812975803714299	0.6067220444220696	0.8190783773139031	0.7935528120713305	0.6562873884099764	0.6884033219305535	0.8601405169822663	0.7342395537576321	0.6624017288274526	0.47713102245476346	0.278041205667859	0.6384299887725409	0.38233300700353945	0.8323807802652089	0.5206458742078794	0.7624713738929904	0.4499515413258973	0.6987474686867172	0.7660441299228785	0.4043736875089332	0.5581178099910502	0.7020005221275731	0.6072731392319021	0.7263766763848396	0.7524540097442727	0.737733219297412	0.7519403988165001
Lyz2.07B.FP283.S81	0.4306422034448568	0.7415419226442849	0.7407946801494834	0.5779667655122251	0.0	0.873143231420618	0.6133792424987703	0.7534580218291698	0.6302925471910957	0.6949066558441559	0.615052542868445	0.5815303980106911	0.6409319853607276	0.6270378491753266	0.5526096541351166	0.6799214740683047	0.48950628936214025	0.6615596488207953	0.576716586606386	0.6206615167011207	0.8548883233280878	0.8020014295925662	0.6535394855439229	0.8220866830493591	0.8079889290914071	0.9733687237336872	0.42198015876761596	0.5696058636895773	0.9675224363689863	0.5460470316212062	0.6652078136169344	0.5099639855942377	0.6934216838570401	0.6881387095394877	0.6495638161915875	0.49437733408441303	0.8330657585340144	0.8055140284393144	0.636002986029647	0.61731843575419	0.9943536587878913	0.8225935518288748	0.6366694451059776	0.7137434832602119	0.5245199660152932	0.9810443984357028	0.6345620293301625	0.3905245094381855	0.7969748405447836	0.7736188117726984	0.6808346026450037	0.6336171657841448	0.6773418569170124	0.6913505037172415	0.8278244829567678	0.42777361918299034	0.5209825502055054	0.7006808064938466	0.5299051735168256	0.7246515040352164	0.5451629800490733	0.7845812468139974	0.7078001198257814	0.6637494169453471	0.8125696564423124	0.5272849092497098	0.5173898693991733	0.8020402450782198	0.690656434083818	0.7875143271949263	0.8617119060571385	0.5822048349884642	0.7654913694928879	0.6232543975405676	0.5946319867183176	0.6793787142497502	0.5724654014335302	0.8109902973818689	0.5312021611886537	0.8096394395897567	0.6351332993717099	0.6246891013155135	0.7833595497690325	0.6831198480907066	0.7513688483400879	0.6517952827365149	0.7038812991947887	0.7534412596898321	0.7411701890280833	0.6161512299296054	0.4559980354438669
Itg.24.DTT531.S26	0.8852439778123753	0.75482689747004	0.6128842052440096	0.8055399325084365	0.873143231420618	0.0	0.8388954494718281	0.6923205581573163	0.5371746517793794	0.7606384218994101	0.9123545774485546	0.6265198553282888	0.649308139649756	0.6336832235042846	0.7627021132837848	0.8987162922131643	0.8220589254766031	0.4337410063892401	0.5771084210857856	0.8928985694032736	0.8168192974428155	0.6411774914312985	0.7137949178247547	0.4288824608876862	0.7821275368588011	0.9561477769123972	0.9093770086732947	0.48550823654444697	0.9557366477106174	0.5634851185653325	0.5427768870986975	0.6840928291010286	0.5246784845324991	0.7766480446927374	0.35857160742317284	0.5268060593907796	0.8379437742495067	0.47555269130544425	0.8247196931030508	0.8172940620570168	0.9758893217268632	0.7557675910511998	0.42072659065106865	0.9035884894770111	0.85839819995135	0.9645860228184641	0.8261724531653064	0.8487640199339657	0.695695309190169	0.8288250424491032	0.4978248259860789	0.5265159224070524	0.8363252575533222	0.9190201638640954	0.6906532454071864	0.8410684826251045	0.547936351158011	0.48826014932897993	0.8301718711026119	0.7607207628853917	0.45140173964082203	0.6439478584729982	0.6541031151286014	0.7188419635031815	0.9451961521055887	0.6746276928761302	0.8192589150888605	0.4127536528570332	0.9392737483826862	0.7635386877429731	0.46969369967626795	0.6020682876800136	0.6232279134418796	0.547209911726703	0.7721172154367715	0.8875357919067168	0.605452668499148	0.8268838055360115	0.5664706111478985	0.4514774555586077	0.8735565819861432	0.8918933593962101	0.944834082301458	0.8470450366333521	0.6579424597355805	0.8440078685844212	0.6164496069459111	0.7227089819205625	0.7882184125066083	0.6200225260546613	0.802921693611828
Vil1.10B.FP116	0.6335378000433917	0.8139727846000664	0.7733854461525062	0.7642755500419601	0.6133792424987703	0.8388954494718281	0.0	0.7749932182876698	0.6991999694134065	0.7165529637648597	0.6577948737874137	0.5836079585925258	0.7459473884431725	0.6136539032353814	0.5827055770082927	0.7345123347716949	0.5804333620305159	0.7489199581181315	0.746630637564522	0.24112701107607729	0.882859442756615	0.7022493131868132	0.33708963001563313	0.8650879003885668	0.8251090626656868	0.9855301994096898	0.5353179202787398	0.5172099939748996	0.9802187824282256	0.5535263459678731	0.5553386977115791	0.6857868214094831	0.6399656619610835	0.754609519759424	0.7674854239351863	0.4863356169495067	0.8745102754481417	0.8005477619117309	0.7931099375448418	0.6441321133911572	0.9965383150825612	0.8543392935019625	0.8352069882263577	0.7495512909015601	0.4934033214404887	0.9896331152121167	0.7832963187293895	0.7567498169299388	0.7932765533439301	0.8296226437618632	0.6429806464289223	0.7317137441241723	0.5408357879435376	0.695568615436036	0.7098769711328687	0.5680016302305885	0.49145866388437864	0.7641752577319587	0.461793039870938	0.766188913831808	0.5763271249991494	0.8416925806513154	0.6761068109382115	0.6919058466211085	0.7109333454022924	0.6119523156173747	0.48322114675969147	0.8004724624665664	0.6876909700658304	0.8096663979423394	0.833966591596778	0.6658014386536374	0.873507841261559	0.843839581679817	0.7986342559049413	0.6536440943392882	0.8198786836700578	0.8352653318313408	0.6484375	0.7529111611884883	0.7492624233561661	0.7521267917492134	0.7806785892166734	0.757309873648863	0.756154404886945	0.40012560597828006	0.6301833122629583	0.7136999584429976	0.7067491283413582	0.5158173620310392	0.6231464557301576
Itg.04.DTT423.S15	0.514031764832012	0.8654107290577346	0.4374840643930402	0.608844734749221	0.7534580218291698	0.6923205581573163	0.7749932182876698	0.0	0.6986690926244146	0.2186005358797359	0.7878060102121133	0.6870576712797429	0.5695127219809455	0.6798624727292811	0.6412262516031461	0.4977254223198984	0.8192933522609731	0.524681280847631	0.5887622698353407	0.8121767723540858	0.7273377367991233	0.7354449810925157	0.6736545460074812	0.619942922823441	0.8634461697106709	0.9859345500314664	0.7130598186860864	0.5519550723767194	0.9825367242416683	0.6231797438722972	0.57365162280141	0.6935711881521374	0.6968657057881492	0.46623123482542833	0.5208819337386195	0.6101523299507234	0.9088559986069998	0.7266272698585731	0.8381924764160099	0.3163896266368605	0.993728773277521	0.32142720806240216	0.7169705018310596	0.3788036650016854	0.7318170432343069	0.989105120433881	0.6541076940103046	0.6446399194225281	0.33641353244620453	0.8866874181635709	0.5246973972525206	0.4790511532242577	0.7750426656906109	0.3831831229358931	0.6393299677163747	0.48788637846290217	0.6321961983173836	0.5041632931350407	0.8002876866186314	0.8304771677783479	0.5772072124030683	0.6675952842377261	0.6272135173718536	0.5530784696663612	0.8796569952446773	0.6628094579161404	0.8192786813156611	0.75225693494556	0.7532411884969945	0.5221034092338659	0.621329457693287	0.6349296680728929	0.496418646160391	0.5616196833014072	0.5545755237045203	0.7505176226448756	0.6308475740776914	0.88071019781368	0.514108345534407	0.7664334599707973	0.4620361560418649	0.8154916107226756	0.4943271395960391	0.41539848685389297	0.2892774973313884	0.8233730665760943	0.6469054915636337	0.3965301461683517	0.38564879625568527	0.6362868388211578	0.7607938257993385
Lyz2.06B.FP271.S69	0.6961748432990827	0.6453600214283975	0.7230337518784676	0.7753388310141562	0.6302925471910957	0.5371746517793794	0.6991999694134065	0.6986690926244146	0.0	0.7193824368177796	0.7600179977502812	0.43807864769831284	0.5960067457688369	0.38916102677721426	0.6595845788303825	0.8317638823024637	0.5823919264949541	0.44397066348285863	0.5629099113279815	0.760432222655544	0.8555387315922764	0.5372422557151251	0.6491476370630449	0.7086396410379422	0.7235010123033795	0.9693375614871782	0.6984719190315539	0.5542997063442072	0.9629787666361882	0.4200293669784642	0.6135159512783004	0.567494591649181	0.3873876801585883	0.7036668288322944	0.512402150334811	0.47477977089558	0.7904927084808155	0.4084598491358732	0.6866551624964049	0.6991117656320913	0.9930821380805239	0.8227889315680865	0.5639682053431792	0.8492812929255774	0.6946658491722869	0.9778642094546973	0.8104399603043334	0.5723477867235749	0.7799567652784579	0.7497899678774401	0.7079041445443373	0.5591423882925779	0.7043066174154569	0.8435635396029537	0.7867379785074036	0.6642751635366111	0.5266599258510279	0.6524231193978279	0.643867562674522	0.6578536842318523	0.54883460677626	0.7025854364041146	0.7016207771919547	0.6727218778847421	0.9085401584883207	0.5619739862280031	0.6302592871314223	0.40820018598359964	0.8827051867981618	0.7983405181433892	0.6077944350808717	0.49881352978241345	0.7448060191349042	0.5505188250415374	0.663761379043192	0.7464620955829799	0.6331530592298169	0.6725420275089149	0.45998398642431193	0.4636464934884045	0.8322663138546782	0.8566897594351753	0.9017397426436284	0.7906127103064715	0.7716890659823057	0.750711266460738	0.596483432016622	0.8017079974017042	0.8137075022273572	0.6267471489003785	0.6389183275785443
Vil1.05B.FP59	0.44733697635700964	0.8756406961097083	0.4589021578633785	0.6224752764342207	0.6949066558441559	0.7606384218994101	0.7165529637648597	0.2186005358797359	0.7193824368177796	0.0	0.7634331013759291	0.7267392907727352	0.5978128417434776	0.7147076196101595	0.6606835948953677	0.48521779760481043	0.7290383376177048	0.6491734079360265	0.6389305272713157	0.7443847979545894	0.8356628089275541	0.7871820139421146	0.6550433392575236	0.7576249286336729	0.8765546483422446	0.9895322261161055	0.6322848466855218	0.581401278882743	0.9862418640422713	0.586059977057956	0.641056895995411	0.7364070993516275	0.7153200570852482	0.48422588224813196	0.5940011929445849	0.5785654602225252	0.9144027349964459	0.7371984175628239	0.8423590476548689	0.32758638002188994	0.9971614763295362	0.3417836778779734	0.7459832674210685	0.261406313630262	0.6633226993865031	0.9929894996911673	0.6479080978019738	0.6403096723614151	0.2461562846726898	0.8959758811066137	0.594948587242638	0.5985914216855827	0.7069505376716629	0.2518797563531967	0.7144582299985331	0.41729325142597845	0.5893582859674784	0.5869603450441774	0.6969607836868322	0.8382442911005193	0.6205925066840461	0.8052216722968549	0.7103994475679777	0.5273714471226457	0.8488901382176409	0.6687162134279702	0.7710968138483021	0.7880762989172364	0.699866366492903	0.5115723114518956	0.7852471609193016	0.7018974439391563	0.6208966465365088	0.617570592675264	0.5825301585296533	0.7189188193411411	0.6414786466490606	0.904193269002307	0.5854422780033164	0.7850074337188103	0.4269734582740519	0.7710787395118751	0.40232359714122323	0.43393712921307087	0.295330594572908	0.7638521940440971	0.6751034538097367	0.29400922885497655	0.3585743194725504	0.5950018825301204	0.7144586124918954
