# Constructed from biom file
#OTU ID	TL1a_FP_102	TL1a_FP_174	TL1a_FP_144	TL1a_FP_66	TL1a_FP_246	TL1a_FP_78	TL1a_FP_210	TL1a_DTT_78	TL1a_DTT_210	TL1a_DTT_246	TL1a_DTT_66	TL1A_DTT_642	taxonomy
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__	0.0	4.0	3.0	0.0	26.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Enterorhabdus;s__muris	0.0	10.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	5.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	7547.0	6645.0	48583.0	30538.0	17325.0	21039.0	8641.0	2073.0	1014.0	8265.0	930.0	3216.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__acidifaciens	5838.0	9404.0	15.0	28.0	1129.0	0.0	5319.0	0.0	4.0	2475.0	0.0	332.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__caccae	312.0	0.0	898.0	69.0	0.0	1503.0	0.0	130.0	0.0	0.0	184.0	63.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__nordii	48.0	0.0	114.0	81.0	0.0	302.0	0.0	13.0	0.0	0.0	16.0	57.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__salyersiae	59.0	0.0	117.0	128.0	0.0	606.0	0.0	153.0	682.0	0.0	74.0	167.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__uniformis	1985.0	3442.0	4570.0	11080.0	1755.0	12535.0	137.0	2119.0	5236.0	791.0	693.0	854.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__vulgatus	2766.0	823.0	7727.0	2625.0	227.0	11263.0	946.0	712.0	0.0	149.0	679.0	135.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__	360.0	98.0	6.0	16.0	34.0	0.0	102.0	0.0	0.0	134.0	0.0	44.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__splanchnicus	27.0	6.0	78.0	52.0	0.0	148.0	0.0	18.0	0.0	0.0	0.0	24.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__;s__	22455.0	24115.0	164.0	969.0	4770.0	88.0	29307.0	28.0	438.0	8838.0	38.0	5007.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;s__intestinale	524.0	143.0	0.0	21.0	17.0	5.0	97.0	0.0	0.0	80.0	0.0	22.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella;s__	10113.0	1626.0	8.0	212.0	1076.0	22.0	6151.0	0.0	0.0	2828.0	0.0	2.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Paraprevotella;s__	2396.0	422.0	8775.0	575.0	0.0	6724.0	0.0	1245.0	0.0	0.0	512.0	942.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotellaceae_UCG-001;s__	267.0	87.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0	13.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	3043.0	1499.0	25.0	169.0	427.0	2.0	898.0	0.0	0.0	1137.0	0.0	342.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__finegoldii	46.0	20.0	128.0	44.0	0.0	195.0	0.0	35.0	0.0	0.0	13.0	46.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__putredinis	32.0	16.0	177.0	103.0	8.0	516.0	0.0	392.0	0.0	0.0	177.0	85.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Millionella;s__	286.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	65.0	0.0	17.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenellaceae_RC9_gut_group;s__	0.0	2902.0	59.0	0.0	2020.0	8.0	2399.0	0.0	1.0	0.0	0.0	8.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__	221.0	184.0	895.0	132.0	104.0	1088.0	6.0	107.0	0.0	0.0	60.0	443.0
