	Mouse5A.FP26	Mouse6A.FP32	Mouse7A.FP38	Mouse1A.FP02	Mouse6A.FP31	Mouse1A.FP03	Mouse1A.FP01	Mouse2A.FP07	Mouse3A.FP13	Mouse3A.FP15	Mouse4A.FP20	Mouse2A.FP09	Mouse5A.FP25	Mouse7A.FP39	Mouse3A.FP14	Mouse4A.FP21	Mouse2A.FP08	Mouse7A.FP37	Mouse6A.FP33	Mouse4A.FP19	Mouse5A.FP27	Mouse10A.FP110	Mouse10A.FP109	Mouse10A.FP111	Mouse9A.FP97	Mouse9A.FP98	Mouse8A.FP87	Mouse8A.FP85	Mouse8A.FP86	Mouse9A.FP99
Mouse5A.FP26	0.0	0.7356067843506223	0.5278901088506609	1.9471043083037731	0.750708083861411	1.174529289171539	2.297715184491646	1.3527243683182686	1.1308413412746998	1.1269718971618163	1.7430461218521895	1.459981380564159	1.5226606356844177	1.1751812535336204	1.0471809659371163	1.9641547396142134	1.2243229477448587	1.0163111791638522	0.908604311291815	1.7738028837786322	1.1411328084204506	2.543437318159662	2.6765129041599223	1.6704050906986891	3.541028976701227	3.1669145063052397	2.8268875120745314	3.0512607380386974	3.1475475477527	3.5550884237410223
Mouse6A.FP32	0.7356067843506223	0.0	0.5726884290701704	1.405982659611984	0.09177054585183482	0.6627286987877813	1.771354772655463	0.7090135463007734	0.6604419773887948	0.6596395388117617	1.6649097749190709	0.9600455022587993	1.4546835788907844	1.2243353958531804	0.6569320254045169	1.8299636794086829	0.5535420888332528	1.1211174917417892	0.7804198460816313	1.646112284531584	0.9144293337230484	2.097321720936556	2.2688067276514556	1.0252171131745256	2.835395426576821	2.4651939582343863	2.150126012659469	2.4268443222547735	2.4470405021020323	2.8621966311103826
Mouse7A.FP38	0.5278901088506609	0.5726884290701704	0.0	1.4989414786931272	0.6450608441978527	0.9910974333831638	1.8465976510307818	1.277310699801789	1.2000551893668667	1.1987222392862114	1.2744772234140445	0.999230414136873	1.8528170049002992	0.734305983288823	1.1658634922848092	1.4878254080013262	0.8572862347869851	1.4020709099582993	0.38676532553627513	1.295520771665766	1.3319209081573489	2.6548807013957654	2.817996730055914	1.5936092318673103	3.332320100631343	2.9657728063402278	2.436101822735294	2.623323833902695	2.7947085549530173	3.178602139409759
Mouse1A.FP02	1.9471043083037731	1.405982659611984	1.4989414786931272	0.0	1.4498847471468164	1.0933506239806223	0.3674722101614801	1.5067862566772654	1.7753103083269828	1.7901371952023615	1.2978798570995667	0.501069876768044	2.6704671139831246	1.4314702454099986	1.8672930202298343	1.2364410037437505	0.8951860607246985	2.480620410528128	1.2373697293975543	1.1721113186314926	1.9541893671848862	2.8006696113239484	3.042969851023711	1.6411272766583642	2.446361881032773	2.1404442937274646	1.0843638661666222	1.1461999632999105	1.5180012564617968	1.8198322811215228
Mouse6A.FP31	0.750708083861411	0.09177054585183482	0.6450608441978527	1.4498847471468164	0.0	0.6438775635314337	1.8131817255593345	0.6449330663775411	0.572725415644812	0.5728444439661008	1.7478015506182394	1.0180316287361268	1.369436061108742	1.308483231870443	0.569615274235638	1.909887945149906	0.5966693635285818	1.0541879374255292	0.8666646694634215	1.726696103419097	0.827094515551894	2.0156957761504133	2.187035667587931	0.9653777111477878	2.8010926959133404	2.4294223506091024	2.1641224770113947	2.45225652339094	2.448153758261633	2.8685892727777955
Mouse1A.FP03	1.174529289171539	0.6627286987877813	0.9910974333831638	1.0933506239806223	0.6438775635314337	0.0	1.4126628551992313	0.7309554123423693	0.8424863243087846	0.8666608813001293	1.7059228785711578	0.803823864682397	1.6382667307716732	1.437459688758211	0.9238741169462021	1.795388380071571	0.6041472983088824	1.483406017538879	1.050467239209457	1.6390693852026892	0.8767591195694905	2.049799386573421	2.2760247093427686	0.9929216683963018	2.5218108448749454	2.1496682890485803	1.7867197654039397	2.0394158794673376	2.072285777817691	2.4853067358985776
Mouse1A.FP01	2.297715184491646	1.771354772655463	1.8465976510307818	0.3674722101614801	1.8131817255593345	1.4126628551992313	0.0	1.8305086444731349	2.114860653625831	2.1311503708796082	1.4492154327919735	0.8561890539660437	3.0021794157934227	1.6981736835694636	2.2134340579264875	1.323324801904959	1.259138835339451	2.8351534761770822	1.564675973058847	1.3107885688446135	2.2738435847123117	3.049690656017906	3.3003941662529814	1.933384024695861	2.4569965953254735	2.186612019856159	0.9580815669950333	0.8750022422759073	1.4038819058566003	1.6348588118120548
Mouse2A.FP07	1.3527243683182686	0.7090135463007734	1.277310699801789	1.5067862566772654	0.6449330663775411	0.7309554123423693	1.8305086444731349	0.0	0.3744976883109794	0.3860110929090507	2.210631094167673	1.244478462077998	1.2473920899243816	1.8700286975814056	0.505262094334378	2.3221776370744753	0.7727359936412809	1.2088325140503697	1.4205078158924795	2.1583706589939093	0.7609843679989998	1.455802964446282	1.6578448608150318	0.32817115632815774	2.2167903722445104	1.845590252669606	1.8866066813025837	2.2648671171650068	2.068729745308336	2.510281906877537
Mouse3A.FP13	1.1308413412746998	0.6604419773887948	1.2000551893668667	1.7753103083269828	0.572725415644812	0.8424863243087846	2.114860653625831	0.3744976883109794	0.0	0.033197381129495024	2.298797210597893	1.4416535012039084	0.9208507874350156	1.8794544185395219	0.14101723778845437	2.44206136987849	0.9697914067163697	0.8368441943973466	1.4373770502112821	2.2651869540495597	0.5028982416844406	1.4571358828453325	1.624164514196593	0.6094664442763724	2.536740170449658	2.167972730600338	2.2498727520778377	2.612401433906959	2.438490861196066	2.8806232113309926
Mouse3A.FP15	1.1269718971618163	0.6596395388117617	1.1987222392862114	1.7901371952023615	0.5728444439661008	0.8666608813001293	2.1311503708796082	0.3860110929090507	0.033197381129495024	0.0	2.3045119679571275	1.4528837800111518	0.915210096768577	1.8809914245140746	0.1230032140909901	2.4498542893433575	0.9762675642987516	0.8229553881607214	1.4386317672175717	2.2723954770127355	0.5258252477143663	1.458921522356141	1.6218488875618857	0.6159332699333822	2.54841307542118	2.180519784650567	2.2646911817790363	2.628507932611106	2.453380609056053	2.8952691144817617
