	TL1a_FP_129	TL1a_FP_159	TL1a_FP_195	TL1a_FP_231	TL1a_FP_267	TL1a_FP_87	TL1a_FP_285	TL1a_DTT_231	TL1a_DTT_267	TL1a_DTT_129	TL1a_DTT_285	TL1a_DTT_159	TL1a_DTT_195	TL1a_DTT_87	TL1A_DTT_675	TL1A_DTT_627	TL1A_FP_675	TL1A_FP_627
TL1a_FP_129	0.0	0.8547948513691955	1.566351946645699	1.8855459389890374	1.8589714282592895	2.7576801636054644	3.3035504100055886	2.2070848544605295	0.8413728577435873	0.7721794455941526	2.336050857377258	0.8247542304079555	0.902720859523946	1.8093991718603097	2.4157961252120317	2.2515622451522996	1.9168801798925224	2.1891046919650163
TL1a_FP_159	0.8547948513691955	0.0	1.183116843832348	1.4480567544524932	1.0384811991188154	2.5544757564769243	2.4533203806307213	2.530899176217103	0.15810894071229661	1.5813314284134983	1.4900896363217218	0.09886559296601605	1.5344901288457473	1.6352881997669604	1.7892187364720433	1.8633845020805595	1.3074792166996336	1.5487301282768215
TL1a_FP_195	1.566351946645699	1.183116843832348	0.0	2.498193879091572	1.3019322694292308	3.6885572493232965	2.5151084277490097	3.6479670356867113	1.0457023211674046	2.2654931779831227	1.6550323645632017	1.2788599188682568	1.60380159657731	2.7990632968441447	2.688348335581615	2.977886854715969	2.2958085939393174	2.487357397062065
TL1a_FP_231	1.8855459389890374	1.4480567544524932	2.498193879091572	0.0	1.5438900739015933	1.2414293655789443	2.424908551283391	1.9984771018934069	1.5637676578359134	2.3415551597552513	1.7722366660503837	1.388991639274789	2.7747974274984704	0.6699042327208447	0.6977018833223977	0.7936780680476349	0.4594612595349244	0.6591016011990225
TL1a_FP_267	1.8589714282592895	1.0384811991188154	1.3019322694292308	1.5438900739015933	0.0	2.7668449735729954	1.477478568609745	3.260202911889732	1.0335807188347212	2.607344336316088	0.5175297937721042	1.0952529819861174	2.4323385030201097	2.05894311661291	1.5006255651974765	2.0469753172352227	1.2454317372428942	1.3630468513196135
TL1a_FP_87	2.7576801636054644	2.5544757564769243	3.6885572493232965	1.2414293655789443	2.7668449735729954	0.0	3.3986121002962504	1.6091744982732603	2.686162119283669	2.9262172278175966	2.9234575184968707	2.4740363546903694	3.6492344270840276	0.9591471329523911	1.4801890033759206	0.9501094257607764	1.5473372302416133	1.5482027239075757
TL1a_FP_285	3.3035504100055886	2.4533203806307213	2.5151084277490097	2.424908551283391	1.477478568609745	3.3986121002962504	0.0	4.3644920512786145	2.475514973035139	4.024026765942507	0.9736668016631171	2.494503348978801	3.8585117023403024	3.017979237745447	1.9228833866901982	2.6950747723540687	2.0453203703725493	1.9270756927868473
TL1a_DTT_231	2.2070848544605295	2.530899176217103	3.6479670356867113	1.9984771018934069	3.260202911889732	1.6091744982732603	4.3644920512786145	0.0	2.6374463272775954	1.9345238728967626	3.6046252204992175	2.4372235792538026	2.909465049865145	1.3641646446455415	2.5906721671472557	1.877034137028765	2.3241484356852937	2.4905790187893935
TL1a_DTT_267	0.8413728577435873	0.15810894071229661	1.0457023211674046	1.5637676578359134	1.0335807188347212	2.686162119283669	2.475514973035139	2.6374463272775954	0.0	1.5949857451756608	1.5040542962703993	0.24720562346573083	1.4569390832841331	1.7681765321229528	1.9016879054322575	2.0114630921565	1.430384545758872	1.6725132267497338
TL1a_DTT_129	0.7721794455941526	1.5813314284134983	2.2654931779831227	2.3415551597552513	2.607344336316088	2.9262172278175966	4.024026765942507	1.9345238728967626	1.5949857451756608	0.0	3.0687294245391925	1.531107548763758	1.0227499418914727	2.0490402721118786	2.9380008470299597	2.5604231401467703	2.448570126301223	2.710786965203256
TL1a_DTT_285	2.336050857377258	1.4900896363217218	1.6550323645632017	1.7722366660503837	0.5175297937721042	2.9234575184968707	0.9736668016631171	3.6046252204992175	1.5040542962703993	3.0687294245391925	0.0	1.538207181558896	2.896245271804964	2.3262347815032918	1.5131522640332962	2.165680493896501	1.3997790983290723	1.4091951352165681
TL1a_DTT_159	0.8247542304079555	0.09886559296601605	1.2788599188682568	1.388991639274789	1.0952529819861174	2.4740363546903694	2.494503348978801	2.4372235792538026	0.24720562346573083	1.531107548763758	1.538207181558896	0.0	1.547169565409361	1.5486716644894474	1.7515924906094786	1.7867796689926556	1.2611382253799321	1.5065751013481523
TL1a_DTT_195	0.902720859523946	1.5344901288457473	1.60380159657731	2.7747974274984704	2.4323385030201097	3.6492344270840276	3.8585117023403024	2.909465049865145	1.4569390832841331	1.0227499418914727	2.896245271804964	1.547169565409361	0.0	2.703828560035811	3.2660044361118863	3.127222207457264	2.7667695595706205	3.028046749616303
TL1a_DTT_87	1.8093991718603097	1.6352881997669604	2.7990632968441447	0.6699042327208447	2.05894311661291	0.9591471329523911	3.017979237745447	1.3641646446455415	1.7681765321229528	2.0490402721118786	2.3262347815032918	1.5486716644894474	2.703828560035811	0.0	1.237490527230243	0.6847134203619468	0.9729725124654875	1.1333737488154882
TL1A_DTT_675	2.4157961252120317	1.7892187364720433	2.688348335581615	0.6977018833223977	1.5006255651974765	1.4801890033759206	1.9228833866901982	2.5906721671472557	1.9016879054322575	2.9380008470299597	1.5131522640332962	1.7515924906094786	3.2660044361118863	1.237490527230243	0.0	0.9093077536610549	0.5081338336530801	0.3241312886473663
TL1A_DTT_627	2.2515622451522996	1.8633845020805595	2.977886854715969	0.7936780680476349	2.0469753172352227	0.9501094257607764	2.6950747723540687	1.877034137028765	2.0114630921565	2.5604231401467703	2.165680493896501	1.7867796689926556	3.127222207457264	0.6847134203619468	0.9093077536610549	0.0	0.8293780237076853	0.7965815972581044
TL1A_FP_675	1.9168801798925224	1.3074792166996336	2.2958085939393174	0.4594612595349244	1.2454317372428942	1.5473372302416133	2.0453203703725493	2.3241484356852937	1.430384545758872	2.448570126301223	1.3997790983290723	1.2611382253799321	2.7667695595706205	0.9729725124654875	0.5081338336530801	0.8293780237076853	0.0	0.2956765812202154
TL1A_FP_627	2.1891046919650163	1.5487301282768215	2.487357397062065	0.6591016011990225	1.3630468513196135	1.5482027239075757	1.9270756927868473	2.4905790187893935	1.6725132267497338	2.710786965203256	1.4091951352165681	1.5065751013481523	3.028046749616303	1.1333737488154882	0.3241312886473663	0.7965815972581044	0.2956765812202154	0.0
