	IL17.DTT.115	IL17.DTT.116	IL17.DTT.117	IL17.DTT.127	IL17.DTT.128	IL17.DTT.129	IL17.DTT.139	IL17.DTT.140	IL17.DTT.141	IL17.DTT.188	IL17.DTT.189	IL17.DTT.201	IL17.DTT.199	IL17.DTT.200	IL17.DTT.217	IL17.DTT.218	IL17.DTT.219	IL17.DTT.25	IL17.DTT.26	IL17.DTT.27	IL17.DTT.105	IL17.DTT.103	IL17.DTT.104	IL17.DTT.49	IL17.DTT.50	IL17.DTT.51	IL17.DTT.85	IL17.DTT.86	IL17.DTT.87	TKO.DTT.1	TKO.DTT.2	TKO.DTT.3	TKO.DTT.43	TKO.DTT.44	TKO.DTT.45	TKO.DTT.31	TKO.DTT.32	TKO.DTT.33	TKO.DTT.19	TKO.DTT.20	TKO.DTT.21	TKO.DTT.55	TKO.DTT.56	TKO.DTT.57	TKO.DTT.69	TKO.DTT.73	TKO.DTT.74	TKO.DTT.75	TKO.DTT.87	TKO.DTT.91	TKO.DTT.92	TKO.DTT.93	TKO.DTT.103	TKO.DTT.104	TKO.DTT.105	TKO.DTT.109	TKO.DTT.110	TKO.DTT.111	TKO.DTT.123	TKO.DTT.127	TKO.DTT.128	TKO.DTT.129	TKO.DTT.139	TKO.DTT.140	TKO.DTT.141	TKO.DTT.151	TKO.DTT.152	TKO.DTT.153
IL17.DTT.115	0.0	1.9441456023578525	1.86713177652128	0.3184077509029286	2.7763861828636784	0.707384418701451	0.8598675133967625	1.242992176739887	1.7264473191828777	2.3570537865343657	2.122918242290764	2.5090439083305767	2.4457209296674662	2.7322181168486708	0.6682705694590193	1.9984986572150119	2.110630549684952	0.6785704064680317	1.8051610431744154	1.5588273112345634	1.3005352786134294	0.3256106433070954	1.5918206459196635	0.2887003793401577	1.4752191900301246	1.4200274545180465	0.9437855886753367	1.9456844090459187	1.8286678907793334	1.4605757932549972	1.8330821662946564	1.9122003449320106	2.0636577850554816	3.083093393901299	3.332145805915715	2.3801761214053228	3.3806616696494785	3.310797482242911	1.9316860018806767	3.0018833817946264	2.7240786092963543	2.0500176188851347	3.024179760461887	2.7425106859838455	2.824164540130355	1.4432325999324516	1.8238887669567108	1.9831574116837063	3.121373812901829	1.3864611961412738	2.2103199840381915	2.009615747431692	1.3777618347533016	1.8631875438036545	2.0864628758927277	1.890885210260967	1.9084047150686485	1.920379428364822	1.4412151653148482	1.7913325492911512	2.6861373466007845	2.633977757376497	1.745221728335471	2.8211600143244415	2.665940698614441	1.4641586062685885	2.7621452452412476	2.7043418155212877
IL17.DTT.116	1.9441456023578525	0.0	0.599066372217025	1.8660191167751483	1.0455432483103002	2.4564122763570952	1.1203062637746197	0.8678005549608001	0.8089115601149224	1.1006309689262823	1.0283623617528543	0.6352422469631841	0.525269850830174	0.8592872854692215	2.5580118544485577	0.17380186751021895	0.4558591159345553	2.437470658371227	0.7432396342291093	1.002107128930082	0.7920791744721493	1.6754300455029278	0.5709502968520906	2.065400717572405	0.8008383637090154	0.883404602960087	1.3469328597650763	0.2060133782462456	0.20697665597564033	2.152202223081946	3.7175117952889587	2.7786967173475823	3.4361825541318396	2.673116389708505	2.929631660593866	2.589522276022821	2.7959704038269066	2.6647506123078006	2.317396466991906	2.5588645720437655	2.750847134154175	1.7822452109175395	2.7063160970783664	2.597228064500889	2.656241231764721	2.484918985500824	2.018543713703904	2.524494410106909	3.085015185754736	2.651947359102177	2.416621422009152	2.4450841135943575	2.5492828678620594	2.061455734183935	2.5892164942933387	3.544016716010507	2.4841113868548805	2.69729751131512	2.3732775379284115	3.1809945173057903	2.2733756309765827	2.5663137420089694	3.234739196736359	3.0592567844606564	2.684645620993091	2.940629844959525	2.5046885097193496	2.6257600076789425
IL17.DTT.117	1.86713177652128	0.599066372217025	0.0	1.88673444544623	0.9765762477090523	2.2390943345275494	1.0533719198484466	0.6298688403104352	0.2511755899673919	0.7211322108570487	0.5140384239485156	0.8064871544643486	0.9394038997117642	0.990873764516878	2.5224459899059	0.4615304673850381	0.34809380077227564	2.461007658684763	0.18733868662572975	0.5059936291244104	0.5814849418451631	1.666501826254558	0.30266792744543386	2.034998721085378	0.41397657763758894	0.4945869092780064	1.5548382513532573	0.41739410499242136	0.4111241383466869	1.689496226741242	3.497419308735389	2.282645976241224	3.0156410593762675	2.098565683438217	2.360603555442766	2.0203792339542006	2.2459831436522872	2.1210233398839105	1.7764804586041902	1.9819018218448823	2.1607431536787445	1.2427427305953078	2.124006043851147	2.008026622302307	2.075821462745895	2.0487340929768982	1.4665942379062409	1.9877498742125523	2.5006615537143095	2.2551253493992345	1.848514794493712	1.9014154224478808	2.1431651949882347	1.5174563805795092	2.0510676691584218	3.206631650556187	1.9552199324290167	2.1887313529755374	1.9244553171148897	2.777915517719798	1.706681224000442	1.9826217893314768	2.8570158771848173	2.475913209557879	2.096387023181562	2.5773517818451452	1.9248627911567944	2.0361577287456467
IL17.DTT.127	0.3184077509029286	1.8660191167751483	1.88673444544623	0.0	2.7541162775697927	0.978075156725468	0.8702312280330969	1.2835767388251527	1.7822451150831269	2.3901143875923974	2.1804869719192093	2.450789225444015	2.3490211991649055	2.6767353086617494	0.701516741873128	1.944956696532066	2.0886287209325602	0.6290301636024879	1.8441494934994866	1.6421281299840922	1.3274671678269654	0.2271492281179126	1.6004863106373628	0.3623643013235757	1.5259424213809107	1.4864582070825962	0.7317856357609379	1.895908253951531	1.7801263888374126	1.7126887400303155	2.0396172688125502	2.2069627194082737	2.37350447342994	3.2741107958479785	3.5266668022171492	2.620459561599101	3.5538216382878955	3.4750423141880855	2.1800206617217524	3.1896582362973622	2.9612540446392694	2.204178001807079	3.226171807129537	2.959114769395663	3.033467492427869	1.7436408888397532	2.052963370814264	2.2569110753573893	3.351836669335043	1.6911498630783552	2.449738003635423	2.2676330212403384	1.6713648839528559	2.0834374614873274	2.348123692558873	2.1773287491657856	2.1838916741174694	2.213718583397032	1.7372976198430177	2.0976305087278715	2.8594685279321514	2.8526775124680754	2.051507179489117	3.079441818724433	2.8995424468966227	1.7753436692192328	2.960669042802646	2.92800375457207
IL17.DTT.128	2.7763861828636784	1.0455432483103002	0.9765762477090523	2.7541162775697927	0.0	3.132115595329678	1.97984721526641	1.5824476286174076	1.1615235676215239	0.6771185024779791	0.8816610332891397	0.46526351883697764	0.7854085171996752	0.3520364182215049	3.404729222461899	0.9114324028160454	0.6979679401624936	3.3579029221326033	1.041410555262879	1.3628447844725875	1.5332677501285463	2.5414400180247623	1.242719751280616	2.95441040586241	1.3804173473596841	1.4617417978752314	2.3530156740435135	0.9203907481030129	1.0484667505835574	2.458784759475419	4.398027084553084	3.0321652433271993	3.852172511484038	2.2370064265259924	2.4455997165387786	2.528472095947544	2.2252275606590373	2.079717592414318	2.433179116886932	2.133938622509444	2.5697206778067727	1.6979239156906818	2.32275189861002	2.344188903685213	2.3598859397109466	2.887266018385798	2.1570493334236165	2.6854030266986437	2.7851674035795884	3.104634384356584	2.408980183132283	2.5545773538617182	2.970072733666727	2.1566838535403057	2.685906614110611	4.093561622847078	2.6744907992185736	2.938797089636985	2.768677471967539	3.618743036385085	1.9173420949961133	2.356362491713097	3.7272104892531175	2.9318055421719276	2.5091670828730517	3.464079628376977	2.1923543205943505	2.4067538306957585
IL17.DTT.129	0.707384418701451	2.4564122763570952	2.2390943345275494	0.978075156725468	3.132115595329678	0.0	1.3941243862302861	1.6544309538729969	2.042151384084761	2.5995174552394222	2.3607322521821543	2.948565060986916	2.94695896594792	3.1583283305648244	0.7902392609539167	2.4737441492701313	2.5183237723440866	1.0635541795976051	2.1294543069745546	1.8139469554113448	1.7317820814920413	0.984293226026288	2.0133476183650685	0.8689748804100987	1.8388246753192918	1.7696034204812694	1.6420032411867485	2.409952794087436	2.306523153595163	1.1854010379164446	1.2753025215771556	1.4582252550739323	1.44441705556226	2.9324796811357676	3.153012200441782	2.092885314814862	3.2612799601453353	3.2194978739154734	1.6663906885253734	2.874235054939048	2.466141024290144	2.009156710164506	2.8486724938154633	2.5406067772991228	2.6131851056951834	1.0276817333792576	1.6835476226788868	1.6593602580818638	2.8328576524767706	0.8496804790647627	1.9596076091683767	1.7088386501967068	0.8736433389211398	1.6913218967628052	1.7343281175179024	1.2473035847557088	1.588627936157602	1.517597608730421	1.1030740310949507	1.1613896098227559	2.5802962185252825	2.414051698058662	1.1180674185103958	2.474741728993332	2.4161653472626057	0.8730522506211731	2.5922786894753327	2.484169071772065
IL17.DTT.139	0.8598675133967625	1.1203062637746197	1.0533719198484466	0.8702312280330969	1.97984721526641	1.3941243862302861	0.0	0.4454885258692727	0.9609732730193234	1.6488221071857092	1.4099551331916884	1.6910608383226555	1.639626451471666	1.9144089506578732	1.512673038561184	1.1636839802703522	1.2906650404008424	1.4112355063942421	1.0349908990210384	0.8833688010457706	0.4757871188353067	0.6622759714421731	0.7592116456810424	0.9892585904167152	0.6901041891015859	0.6540858820817756	0.6903674022111993	1.1184639228993714	0.9938831524661842	1.4458949127749303	2.6227948057613717	2.028314979469745	2.4871479268202776	2.6746896288912816	2.9422848903960612	2.197717955121954	2.9234518074788367	2.827660756628245	1.789294172096681	2.5719752303396515	2.469393790091445	1.638666909293919	2.6470709803420065	2.4175119087049053	2.5054822992238175	1.6220316659896878	1.5518955412126012	1.9147215493576248	2.8739797982555864	1.7207761583407262	2.0043493007519366	1.8987733823845132	1.6585094860384808	1.620288277255511	2.0269472583171133	2.497300434560731	1.8500840065013842	1.9758297529769258	1.5384951442203183	2.2252559980047772	2.2626586522297214	2.3413050240837396	2.235909642270995	2.6721419503519135	2.406147304629266	1.9333502462976264	2.4003522163852655	2.4046316716104545
IL17.DTT.140	1.242992176739887	0.8678005549608001	0.6298688403104352	1.2835767388251527	1.5824476286174076	1.6544309538729969	0.4454885258692727	0.0	0.515516388761139	1.2241432138241635	0.9719391476029591	1.3475095391052152	1.3667522641107164	1.5600043789082116	1.904470472190454	0.8513035782323496	0.9088719862305412	1.8420237628041365	0.5951422566822868	0.47005316762115795	0.0863887986889224	1.0620620347440337	0.3641633949049362	1.4090724613986314	0.24600524107292351	0.22218223551355767	1.0650136358168292	0.7970001110894226	0.6889536810250556	1.3579607206874025	2.909848761200374	1.9686103361428908	2.574354582591425	2.3136690935354727	2.5832108337420494	1.958941762200158	2.5378352386266134	2.4337158436761217	1.6009367800013947	2.2053811650909454	2.1897441409102467	1.3071251857105406	2.3010909095782406	2.1026732747427643	2.1863150884088633	1.6355464286135153	1.321218792501717	1.7686338129157189	2.5796100870222465	1.79571707892372	1.7673036843764154	1.7214565669639514	1.7047858885160996	1.3869496102570837	1.8635215558001341	2.683238318796106	1.7157780512849785	1.8954341432692923	1.5276869687125625	2.320916893016343	1.9012527005543145	2.041631426291274	2.3692416948444617	2.437468062158631	2.124628223728812	2.0748076553368566	2.064661733942924	2.10301808276738
IL17.DTT.141	1.7264473191828777	0.8089115601149224	0.2511755899673919	1.7822451150831269	1.1615235676215239	2.042151384084761	0.9609732730193234	0.515516388761139	0.0	0.7618240558885566	0.48313695012628255	1.0429341592848973	1.1810671816946863	1.2195124648984919	2.383878785680841	0.6929122314089119	0.5837218359967734	2.3486970251997095	0.13593337749840168	0.2694310249758266	0.4982464361047943	1.5570089957070277	0.33246528846153645	1.911120246001382	0.27341920492857047	0.32853041867148775	1.543727651011902	0.6383888128380537	0.6053676782776263	1.4410460485949605	3.291677527407369	2.031677061249108	2.7703415973910386	1.9465459457221639	2.213565865556728	1.7926592882400771	2.126467289144322	2.0100623610771	1.5313517601311755	1.8317577547373747	1.9527171290872805	1.0434131204878108	1.958464885778861	1.8156774692252082	1.8894020543752559	1.8023266881259803	1.2225024852306563	1.7406214561060904	2.307901061594455	2.0133824159429743	1.615818845725459	1.6564123274069342	1.8998406770293133	1.2760098102757436	1.8062481461738527	2.9747304548850964	1.7068601915946195	1.9389586722018983	1.678151823953286	2.5342240647234755	1.5455306287248913	1.7807015195824725	2.618356590338125	2.255111521771336	1.8875744076816887	2.3426238954968426	1.7459248595496248	1.836486141009481
IL17.DTT.188	2.3570537865343657	1.1006309689262823	0.7211322108570487	2.3901143875923974	0.6771185024779791	2.5995174552394222	1.6488221071857092	1.2241432138241635	0.7618240558885566	0.0	0.317073385842047	0.8658974922255666	1.1447466720279598	0.925205116053992	2.9787390004826513	0.9475528145089094	0.6695939682932593	2.9944037850322274	0.6529187431602896	0.8604372448876082	1.2084603991246563	2.1673441293080717	0.9815569869298919	2.57376541405744	1.0120241157904424	1.0740980357154606	2.1550390155170467	0.9023744897173627	0.9850447616855438	1.8235983612821325	3.8413986979608925	2.39529102203328	3.231696977468969	1.7117293408027912	1.9418700575568715	1.8852882394530728	1.7720698051383348	1.6355801080993675	1.7878261853248003	1.6107024232821892	1.9683833487487914	1.027707479581206	1.7778567711248314	1.7541778186053492	1.766113328821969	2.2780351885276726	1.535889170441988	2.056143125024205	2.2010396132345007	2.4944315114275653	1.768971216159491	1.9115605649870833	2.3498853413889105	1.5077480873506681	2.033352656259743	3.497268448888225	2.047884958785357	2.31251326961116	2.169884127640651	2.998259682776832	1.329255051998683	1.743323066373694	3.122501176186281	2.315701605413541	1.9016768526472099	2.87370331593855	1.6039760472401492	1.8089409674731423
