	TL1a_FP_162	TL1a_FP_88	TL1a_FP_89	TL1a_FP_234	TL1a_DTT_268_Repeat	TL1a_FP_287	TL1a_FP_198	TL1a_FP_161	TL1a_FP_197	TL1a_FP_132	TL1a_FP_130	TL1a_DTT_269_Repeat	TL1a_FP_90	TL1a_DTT_130_Repeat	TL1a_FP_269	TL1a_FP_288	TL1a_DTT_196_Repeat	TL1a_DTT_90_Repeat	TL1a_FP_196	TL1a_FP_131	TL1a_DTT_198_Repeat	TL1a_DTT_88_Repeat	TL1a_FP_270	TL1a_FP_160	TL1a_FP_286	TL1a_DTT_89_Re_extracted	TL1a_DTT_197_Repeat	TL1a_FP_232	TL1a_DTT_270_Repeat	TL1a_FP_233	TL1a_FP_268	TL1a_DTT_160	TL1a_DTT_234	TL1a_DTT_287	TL1a_DTT_233	TL1a_DTT_286	TL1a_DTT_232	TL1A_DTT_629	TL1A_FP_677	TL1A_FP_678	TL1A_FP_630	TL1A_DTT_630	TL1A_DTT_628
TL1a_FP_162	0.0	3.929912313967209	1.5638431818426564	4.475905546328469	3.3011007461025463	3.6180076298354185	2.570796799937172	0.7411225639769067	2.639132910207346	3.88975122972996	1.4951314306779377	3.105046504444048	2.4345958277081388	2.851416375472553	2.7575124086187253	3.5718134995645547	3.4168706822776853	3.149528450265575	3.896532878585112	3.600966218861343	3.112376336237331	3.118208108061806	1.9655780546281383	3.2844577942444895	3.810556721023644	2.6004887327834463	3.3055536064763587	3.7717092619219237	3.99050814691912	3.681743547762131	2.970326919186766	3.388195441238252	4.153698341775607	3.504019738904916	4.482139197320003	4.440824844046243	4.455587406847701	1.2440171745108555	2.2257077905132197	2.7743496842764657	2.5744625419846976	2.1238720884117486	2.894802017093881
TL1a_FP_88	3.929912313967209	0.0	4.1210138186583505	2.5528474896653184	1.329843138943118	1.1205172542257635	2.129696367305045	3.27234701614833	1.7847666189645826	1.8039172950003204	2.7617163323382545	2.6323683079148443	1.6619587213868756	1.4153840897911727	1.8995330165106816	1.0608352270231494	1.4179344386455754	1.0208745235812637	0.8628219644689671	0.6845721269604472	0.8739001261677198	0.9339673001817606	2.2289735191763023	1.870121568105186	0.44383607615565746	1.551184517912965	1.0400106262342086	1.553640295196998	0.8518832521077542	2.5581306762932883	1.7671131724786686	1.546696720270691	2.5320541651290007	1.1005803568097838	1.9939032346735852	0.6171644587574058	3.1711894745105327	3.4142111303680966	2.1341964453213467	1.9140323171916056	1.7506864235269355	2.2736505405006016	1.4869121729245784
TL1a_FP_89	1.5638431818426564	4.1210138186583505	0.0	4.239397988255476	3.4035601130141764	4.227380271228692	2.88778491559763	1.5274833872153224	3.2566811852514648	4.497750882013969	1.745979588098999	2.64613915874859	2.6749732517851412	3.1028846583705176	3.239793078934148	3.675340272989641	3.515323050051444	3.1458221487666225	4.381195108372264	3.628939470061214	3.2623936227128043	3.194909216214555	2.415302555205101	4.1282402325297705	4.0472883422826476	2.970837715527055	3.329429487832869	3.575138894401834	3.9832146422440036	3.484172914111367	3.798977947824545	4.044585057972413	3.8231271358858723	3.393633029209158	4.163942919740342	4.549623197947151	4.01215157156809	0.7648644534333405	2.1139954837030475	2.551714779200699	2.8044531484707824	2.2771914220201452	3.021704109061449
TL1a_FP_234	4.475905546328469	2.5528474896653184	4.239397988255476	0.0	1.6047600994295552	3.275955674336364	2.0729991692231824	3.7480313820010713	2.573228618956533	4.269615594090529	2.988509559113013	1.606138775794329	2.3755491575191363	2.0602970427744802	2.2087631151292784	1.6363441659918023	1.4609470614611757	2.2540429804089226	3.2495502640155007	2.042028141451709	2.400428024052797	2.37132937812295	2.6672841445160214	3.947207329459588	2.2388615065780013	2.342376095331224	1.8714343648947507	1.1846033642826286	1.7212375366805133	0.8577249411458862	3.659963977050026	3.833842012771767	0.45401737672712833	1.7835567702077955	0.8942404699183313	2.29745319166109	0.801600202129625	3.76821012883386	2.4401603403131413	1.9220673110910007	2.1171801545131923	2.381857675292591	1.8900502528955818
TL1a_DTT_268_Repeat	3.3011007461025463	1.329843138943118	3.4035601130141764	1.6047600994295552	0.0	1.8231207140316852	0.9759371741221259	2.5688100932800286	1.141786651537353	2.7829353262510526	1.884888627215087	1.4683539500833251	0.906292945154676	0.5066859934043363	0.9428095346792512	0.33916183583187587	0.17464259483653372	0.8713822320096243	1.8730791491126697	0.7963419024584413	0.8929379526647403	0.916906389830799	1.3674953461911001	2.4005192133789577	0.9863369376701729	0.8114431093771654	0.4710934053255589	0.7477231501247793	0.858344812440592	1.3092126556968497	2.0937107345936976	2.2882533093271147	1.4887208654582182	0.6886460077620572	1.4347963331843971	1.4727973940455459	2.094070656553302	2.7451966594175214	1.297573733093747	0.9466317487973253	0.7339880844402877	1.254528055782818	0.4123375806114958
TL1a_FP_287	3.6180076298354185	1.1205172542257635	4.227380271228692	3.275955674336364	1.8231207140316852	0.0	2.1971903012937277	3.0652549396176823	1.4974325046655819	1.1701917677995812	2.747083443128439	3.189469863933146	1.7910043034456775	1.6292268885056322	1.816821037201513	1.6868457786108386	1.9183720276413043	1.6500298836570642	0.4276925035693708	1.5570404420494273	1.341320968045633	1.4818194043093675	2.143184506687809	0.8326468504231725	1.1339512713836386	1.5725981240549451	1.6997252560779539	2.375244986024733	1.7987641286083782	3.105275807470075	0.8221144319387659	0.7492210041734727	3.2644084664284323	1.9287868880469454	2.931452302267398	1.5822710952782737	3.8865642199804533	3.466572272525181	2.414673570401511	2.4167604167334744	1.9147094550138055	2.3938973310553657	1.8367316390680204
TL1a_FP_198	2.570796799937172	2.129696367305045	2.88778491559763	2.0729991692231824	0.9759371741221259	2.1971903012937277	0.0	1.859922810643286	0.8111633159723837	3.1369974146899353	1.1990995426257316	1.4108282640548935	0.7823792575217522	0.7282691286197686	0.47267872527681465	1.294161362782352	1.00768970373215	1.4956958376417613	2.4105297560679135	1.6683515377171236	1.4641132840642914	1.5052528699800318	0.6829430197543422	2.4952798965301746	1.791664330430356	0.7124317447105458	1.2891371033165482	1.5567801687085787	1.8309293516258434	1.4020815304688439	2.111583767268352	2.544030064875442	1.8861578916721953	1.5368340153487527	2.2183466380939243	2.391122540500197	2.3255814252236355	2.2434547581011604	1.0750998241789553	1.0775856708598341	0.4841221776100931	0.6378442849185811	0.7363193237646974
TL1a_FP_161	0.7411225639769067	3.27234701614833	1.5274833872153224	3.7480313820010713	2.5688100932800286	3.0652549396176823	1.859922810643286	0.0	1.9936306269118442	3.475945460834115	0.76315302788713	2.4136006821335347	1.715648646050864	2.132644754085983	2.075553438941333	2.846505701749639	2.6833808078095527	2.456841729807015	3.3246506507607068	2.8987255544231934	2.4338498194023113	2.4364609166816615	1.250823073433142	2.8692614507947964	3.1286041992016984	1.8981845162466513	2.585133006962944	3.0335405871686834	3.2714505233626445	2.969997802794757	2.5154274629893307	2.9342761062191256	3.4309280890183587	2.7837907171586784	3.744957649239894	3.7538968484154296	3.763077727211331	0.9235989421481007	1.5037152613260074	2.045754458432082	1.8441046875510174	1.385180360887023	2.162105064077902
TL1a_FP_197	2.639132910207346	1.7847666189645826	3.2566811852514648	2.573228618956533	1.141786651537353	1.4974325046655819	0.8111633159723837	1.9936306269118442	0.0	2.4579137791046595	1.5416183869570264	2.1326778905129453	0.8353956128499095	0.7307366857272024	0.4320531063814159	1.3162145327690902	1.2173132164795821	1.4530559219648278	1.793605098508891	1.5783809946364034	1.254874273783075	1.366974929689824	0.8552956815613785	1.721604384989505	1.4785810961698977	0.5345815432040099	1.3327597076777724	1.8827844836042724	1.8144855942608804	2.0753181984360127	1.3447746197624764	1.8482185237179378	2.4684585566518047	1.6543104811543963	2.568892877656715	2.1555727523766506	2.989065920490699	2.5281992787530694	1.4523891811567764	1.5460338645544613	0.774393392541322	1.1444156659151499	0.954100211872305
TL1a_FP_132	3.88975122972996	1.8039172950003204	4.497750882013969	4.269615594090529	2.7829353262510526	1.1701917677995812	3.1369974146899353	3.475945460834115	2.4579137791046595	0.0	3.3413162221135426	3.990832883526734	2.547538215563398	2.5443815133009586	2.8260752907594293	2.646232838272905	2.91108597087692	2.2876058094156333	1.1108934927210032	2.308334692020506	2.0326165547378454	2.121505779628048	2.8848882630797177	1.003547785710647	2.05492707819173	2.443344436545302	2.5167219755743058	3.228429480058847	2.6309119409524993	4.088962997786863	1.2857642896129782	0.6231086605775772	4.207011512837739	2.67405247715084	3.7743703751477056	2.3056506144311384	4.837749772158318	3.7723885011019784	3.0354825165468697	3.1388652158668027	2.779214861763477	3.1478650384455795	2.721917332691002
