OTU.ID	GnotobioticExp-FP-188-S51	GnotoExpt-FP569-S85	GnotoExpt-FP617-S313	806rcbc422-S327	806rcbc392-S297	806rcbc423-S424	806rcbc477-S382	GnotobioticExp-FP-199-S63	GnotobioticExp-FP-193-S57	GnotoExpt-FP562-S78	806rcbc481-S386	GnotoExpt-FP552-S67	GnotoExpt-FP610-S306	806rcbc421-S326	GnotoExpt-FP452-S673	806rcbc179-S276	GnotoExpt-FP461-S682	GnotobioticExp-FP-209-S73	GnotoExpt-FP457-S678	806rcbc425-S330	GnotoExpt-FP456-S677	806rcbc175-S272	GnotobioticExp-FP-197-S61	GnotoExpt-FP554-S69	GnotoExpt-FP472-S693	806rcbc394-S299	806rcbc433-S338	GnotoExpt-FP475-S696	GnotobioticExp-FP-207-S71	806rcbc176-S273	806rcbc474-S379	GnotoExpt-FP455-S676	806rcbc432-S337	GnotoExpt-FP539-S54	GnotoExpt-FP558-S74	GnotoExpt-FP616-S312	806rcbc393-S298	GnotoExpt-FP453-S674	GnotoExpt-FP614-S310	GnotobioticExp-FP-196-S60	GnotobioticExp-FP-175-S37	GnotoExpt-FP564-S80	GnotoExpt-FP536-S51	806rcbc466-S371	GnotoExpt-FP469-S690	GnotoExpt-FP555-S71	806rcbc401-S306	806rcbc403-S308	GnotoExpt-FP474-S695	GnotobioticExp-FP-189-S52	GnotoExpt-FP465-S686	806rcbc479-S384	GnotoExpt-FP570-S86	GnotoExpt-FP595-S291	GnotoExpt-FP479-S700	806rcbc472-S377	806rcbc398-S303	806rcbc400-S305	GnotoExpt-FP549-S64	GnotoExpt-FP464-S685	806rcbc434-S339	806rcbc169-S266	GnotoExpt-FP551-S66	806rcbc436-S341	806rcbc423-S328	806rcbc426-S331	GnotoExpt-FP565-S81	GnotoExpt-FP615-S311	806rcbc396-S301	806rcbc480-S385	GnotobioticExp-FP-186-S49	GnotobioticExp-FP-177-S39	GnotoExpt-FP548-S63	GnotoExpt-FP618-S314	806rcbc430-S335	GnotoExpt-FP529-S44	806rcbc469-S374	806rcbc173-S270	GnotoExpt-FP609-S305	GnotoExpt-FP557-S73	806rcbc465-S370	GnotobioticExp-FP-190-S53	GnotobioticExp-FP-201-S65	GnotoExpt-FP561-S77	GnotoExpt-FP602-S298	806rcbc427-S332	GnotoExpt-FP462-S683	GnotobioticExp-FP-198-S62	GnotoExpt-FP608-S304	GnotoExpt-FP540-S55	GnotoExpt-FP466-S687	806rcbc428-S333	GnotobioticExp-FP-208-S72	806rcbc431-S336	806rcbc168-S265	GnotoExpt-FP600-S296	806rcbc171-S268	GnotobioticExp-FP-191-S54	806rcbc464-S369	806rcbc399-S304	GnotoExpt-FP545-S60	GnotoExpt-FP567-S83	806rcbc172-S269	GnotoExpt-FP483-S704	GnotoExpt-FP543-S58	GnotoExpt-FP484-S706	806rcbc438-S343	806rcbc174-S271	GnotoExpt-FP451-S672	GnotobioticExp-FP-187-S50	806rcbc402-S307	GnotoExpt-FP534-S49	GnotoExpt-FP467-S688	806rcbc178-S275	806rcbc390-S295	806rcbc435-S340	GnotoExpt-FP559-S75	GnotobioticExp-FP-206-S70	GnotobioticExp-FP-195-S59	GnotobioticExp-FP-179-S41	GnotoExpt-FP601-S297	GnotoExpt-FP533-S48	806rcbc467-S372	GnotoExpt-FP537-S52	GnotoExpt-FP459-S680	GnotoExpt-FP541-S56	GnotoExpt-FP612-S308	GnotoExpt-FP460-S681	GnotoExpt-FP486-S708	GnotoExpt-FP478-S699	GnotoExpt-FP454-S675	GnotoExpt-FP470-S691	GnotoExpt-FP535-S50	GnotobioticExp-FP-205-S69	GnotoExpt-FP468-S689	GnotoExpt-FP597-S293	GnotoExpt-FP599-S295	GnotoExpt-FP611-S307	806rcbc407-S312	GnotoExpt-FP546-S61	GnotoExpt-FP481-S702	GnotobioticExp-FP-194-S58	GnotobioticExp-FP-181-S44	806rcbc471-S376	GnotoExpt-FP485-S707	GnotobioticExp-FP-204-S68	GnotobioticExp-FP-202-S66	GnotoExpt-FP463-S684	GnotoExpt-FP547-S62	GnotoExpt-FP603-S299	GnotoExpt-FP605-S301	806rcbc429-S334	GnotoExpt-FP458-S679	GnotoExpt-FP480-S701	GnotoExpt-FP538-S53	GnotobioticExp-FP-182-S45	GnotobioticExp-FP-176-S38	GnotobioticExp-FP-210-S74	GnotobioticExp-FP-184-S47	GnotoExpt-FP550-S65	GnotoExpt-FP477-S698	806rcbc404-S309	GnotoExpt-FP563-S79	GnotoExpt-FP531-S46	GnotobioticExp-FP-200-S64	806rcbc397-S302	GnotoExpt-FP607-S303	806rcbc437-S342	GnotoExpt-FP542-S57	GnotoExpt-FP613-S309	GnotoExpt-FP568-S84	806rcbc470-S375	GnotoExpt-FP553-S68	GnotoExpt-FP482-S703	GnotobioticExp-FP-203-S67	806rcbc406-S311	806rcbc170-S267	GnotobioticExp-FP-185-S48	806rcbc473-S378	GnotobioticExp-FP-183-S46	GnotoExpt-FP556-S72	GnotoExpt-FP532-S47	GnotoExpt-FP473-S694	GnotoExpt-FP471-S692	806rcbc468-S373	GnotoExpt-FP566-S82	GnotobioticExp-FP-192-S55	806rcbc177-S274	806rcbc476-S381	GnotobioticExp-FP-180-S43	GnotoExpt-FP604-S300	806rcbc391-S296	GnotoExpt-FP596-S292	GnotoExpt-FP544-S59	806rcbc405-S310	806rcbc424-S329	GnotoExpt-FP606-S302	GnotobioticExp-FP-178-S40	GnotoExpt-FP598-S294	806rcbc395-S300	GnotoExpt-FP560-S76	806rcbc478-S383	GnotobioticExp-FP-372.fastq	GnotobioticExp-FP-319.fastq	GnotobioticExp-FP-384.fastq	GnotobioticExp-FP-314.fastq	GnotobioticExp-FP-301.fastq	GnotobioticExp-FP-315.fastq	GnotobioticExp-FP-369.fastq	GnotobioticExp-FP-377.fastq	GnotobioticExp-FP-304.fastq	GnotobioticExp-FP-313.fastq	GnotobioticExp-FP-375.fastq	GnotobioticExp-FP-317.fastq	GnotobioticExp-FP-306.fastq	GnotobioticExp-FP-386.fastq	GnotobioticExp-FP-305.fastq	GnotobioticExp-FP-366.fastq	GnotobioticExp-FP-371.fastq	GnotobioticExp-FP-365.fastq	GnotobioticExp-FP-302.fastq	GnotobioticExp-FP-380.fastq	GnotobioticExp-FP-393.fastq	GnotobioticExp-FP-321.fastq	GnotobioticExp-FP-391.fastq	GnotobioticExp-FP-394.fastq	GnotobioticExp-FP-363.fastq	GnotobioticExp-FP-303.fastq	GnotobioticExp-FP-385.fastq	GnotobioticExp-FP-307.fastq	GnotobioticExp-FP-381.fastq	GnotobioticExp-FP-312.fastq	GnotobioticExp-FP-309.fastq	GnotobioticExp-FP-318.fastq	GnotobioticExp-FP-370.fastq	GnotobioticExp-FP-383.fastq	GnotobioticExp-FP-367.fastq	GnotobioticExp-FP-378.fastq	GnotobioticExp-FP-310.fastq	GnotobioticExp-FP-322.fastq	GnotobioticExp-FP-373.fastq	GnotobioticExp-FP-364.fastq	GnotobioticExp-FP-382.fastq	GnotobioticExp-FP-387.fastq	GnotobioticExp-FP-388.fastq	GnotobioticExp-FP-368.fastq	GnotobioticExp-FP-361.fastq	GnotobioticExp-FP-389.fastq	GnotobioticExp-FP-311.fastq	GnotobioticExp-FP-379.fastq	GnotobioticExp-FP-308.fastq	GnotobioticExp-FP-392.fastq	GnotobioticExp-FP-323.fastq	GnotobioticExp-FP-316.fastq	GnotobioticExp-FP-396.fastq	GnotobioticExp-FP-374.fastq	GnotobioticExp-FP-324.fastq	GnotobioticExp-FP-320.fastq	GnotobioticExp-FP-390.fastq	GnotobioticExp-FP-362.fastq	GnotobioticExp-FP-376.fastq	GnotobioticExp-FP-395.fastq	taxonomy
k__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus	0	0	13	0	0	0	0	0	0	0	0	3	10	0	0	0	23	0	0	0	33	0	0	0	0	0	0	0	0	0	0	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	12	0	0	0	0	5	0	30	16	0	0	0	0	3	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Subdoligranulum	0	430	123	0	0	0	0	0	0	0	0	0	293	0	3	272	0	14	4	0	13	0	17	2	176	0	0	503	0	0	0	5	0	174	73	89	0	5	163	16	0	16	0	0	147	0	0	0	390	0	0	0	82	289	45	0	0	0	0	0	0	0	9	0	0	138	0	114	20	0	0	0	2	165	0	0	100	0	78	376	0	0	0	0	303	0	6	22	126	163	0	0	0	0	0	647	0	0	0	0	715	0	0	72	0	524	0	0	8	0	0	154	0	0	0	0	0	0	0	0	100	643	67	0	5	0	202	6	636	70	2	82	0	0	0	240	1417	204	0	566	513	0	0	0	572	12	0	0	0	158	204	0	9	296	4	0	0	17	0	0	59	0	166	0	0	0	322	0	0	270	162	0	0	130	0	0	0	0	0	0	62	62	278	53	38	0	0	0	0	0	50	0	932	21	0	0	584	0	1205	0	0	0	267	0	11	2	10	1	232	419	37	4	132	2	3	1	6	223	369	226	6	1	0	0	1	1	123	4	1	7	1	13	2	1	1004	0	258	362	29	0	288	451	0	0	1	301	231	1	7	1	6	1	0	5	1	198	0	0	0	232	725	1	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae;g__	0	0	0	0	0	0	391	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	2	0	0	0	0	0	0	0	120	0	0	2	0	0	0	0	0	0	12	0	176	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	8	0	11	0	137	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	80	0	0	0	0	0	4	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	3	0	112	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	160	0	0	0	7	0	0	0	0	0	0	0	0	153	0	0	0	35	30	37	0	0	3	69	0	0	18	0	2	0	0	0	35	0	0	0	0	0	0	9	0	25	0	35	16	45	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	20	0	0	41	0	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__	0	1	66	846	5	20	60	4	2	14	52	11	54	2609	22	0	29	13	7	5696	401	0	174	1	41	54	1490	12	5	2	36	206	4455	10	11	50	24	13	41	0	4	7	2	156	11	1	58	6	63	6	9	22	32	69	7	107	7	7	1	10	124	0	66	39	3564	332	2	42	13	44	2	0	3	0	1135	2	307	4	67	0	92	6	2	2	72	1174	31	0	35	116	28	1197	3	2568	3	73	2	3	39	27	5	1	4	7	1	35	18	0	9	5	3	2	174	19	16	52	1	5	1	29	47	10	10	4	19	1	0	54	31	14	27	8	3	4	160	84	46	41	31	21	4	2	0	25	19	8	1	44	3	89	71	1680	12	41	56	0	0	3	1	85	0	12	27	1	6	15	31	8	2	26	23	50	1	4	20	15	19	12	25	4	12	61	45	4	35	1	1	0	46	7	21	3	59	45	19	405	99	7	143	78	2	51	10	0	0	23	31	42	11	21	17	34	0	39	85	22	185	8	18	9	26	26	37	0	40	24	6	34	40	31	33	97	74	65	39	5	11	0	49	0	4	4	0	38	17	11	5	5	107	20	56	32	0	28	25	0	0	0	4	0	21	16	
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Parasutterella	44	14593	1	0	0	14	74	0	0	0	600	0	0	0	0	0	254	1	0	2	792	0	1	0	0	0	0	0	0	0	1260	0	0	1	1418	0	0	0	0	1	5	1	0	43	0	0	2	0	0	36	0	849	3792	0	0	57	0	0	0	0	0	0	0	0	0	3	0	0	0	770	24	23	0	161	0	0	403	0	0	4638	51	60	0	0	0	0	217	0	0	1	0	0	1	0	0	0	0	8	45	0	101	0	0	0	0	0	0	0	0	10	0	159	0	0	0	1	0	0	1	11	0	1393	355	0	0	0	252	0	0	0	0	44	0	0	135	0	0	0	0	0	39	1	11	19	0	0	1	45	0	0	0	0	0	0	93	41	44	1	16	15	0	0	8	0	1	0	0	0	0	0	2369	51	0	0	0	0	0	23	851	22	1087	7	0	0	986	0	2	0	51	17	0	0	0	0	0	0	468	139	3	2	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	965	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Tuzzerella	5	0	0	0	5	0	19	2	2	3	0	0	0	0	0	8	0	3	0	0	44	0	1	15	0	11	0	0	4	0	0	0	0	35	5	0	15	0	0	1	10	42	15	4	0	5	31	6	0	3	0	0	1	0	0	6	7	9	7	0	6	0	60	0	0	0	2	0	14	0	1	4	25	6	0	22	0	0	0	0	12	0	3	2	0	0	0	2	0	25	0	0	1	0	0	0	0	0	8	15	31	1	0	0	9	42	0	0	0	4	8	27	0	0	10	0	2	1	10	1	0	2	0	6	0	13	3	0	51	0	0	0	39	2	0	0	0	0	13	1	0	3	13	10	0	1	1	0	19	0	0	0	0	0	12	26	11	1	16	25	0	8	0	8	5	19	0	0	38	0	2	13	3	0	4	37	0	2	0	10	3	6	0	0	0	2	0	0	22	2	0	7	0	55	15	3	0	5	0	13	3	8	0	44	0	3	8	8	0	0	1	16	0	1	7	2	2	0	0	0	12	4	3	22	2	1	0	6	3	8	7	7	10	4	0	0	0	0	5	2	0	0	0	4	1	0	0	0	5	6	14	1	3	2	0	0	0	25	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Clostridioides	0	0	0	0	0	0	0	10	29	0	0	0	0	0	0	0	0	17	0	0	0	19	1	0	0	0	0	0	3	43	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	24	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	10	0	0	0	0	4	0	0	0	0	1	0	0	59	0	1	0	15	0	0	0	0	0	0	0	1	0	0	0	0	30	0	0	0	0	0	46	0	1	0	4	51	0	0	0	0	0	0	0	93	0	0	0	0	0	0	6	0	0	0	0	10	0	0	29	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	7	0	0	0	0	0	36	0	0	0	29	14	40	1	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	216	0	0	0	0	0	0	0	0	1	1	1	0	0	0	2	16	0	0	0	0	0	0	0	0	1	0	0	0	61	0	0	1	14	277	0	1	0	0	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	20496	28651	3286	29305	33745	165	16342	12298	8510	22857	2982	33561	13672	31901	39631	6263	209	8543	35586	1681	22665	39831	5299	54911	619	22743	26509	46805	4645	34637	2513	34706	23475	10596	5810	29999	12319	35619	26566	801	23298	25761	5745	8876	25976	42450	18337	36616	348	20958	27295	5057	13094	31177	407	7585	32204	33577	7397	32726	8515	36002	1706	28887	33022	2210	58702	18159	38650	2804	804	16405	7884	1190	15138	7895	3914	3008	21691	20535	11336	281	3021	38948	30677	25997	3080	906	28583	4955	257	27832	2446	28872	39102	21376	1925	115	7979	8502	7575	45153	1420	19255	6874	17146	24788	33460	40257	55162	31746	8257	827	3902	28320	20135	43111	5945	6164	295	30281	20273	1244	6770	31622	8227	1160	25018	11842	4762	50036	25570	8094	5778	756	20340	252	5165	15609	8129	21144	6840	15851	32533	855	2763	316	39243	9057	22464	33969	27856	32210	15210	3482	29997	28043	5403	12835	3988	19650	36818	6281	6436	13581	42023	28958	23239	8692	24212	15190	11194	45775	23481	2527	23515	34001	1083	2429	15253	19270	706	159	18847	4516	51429	91	848	22779	205	22335	30080	24652	4407	17854	1018	3733	2175	1506	13389	45264	11882	2015	8	294	15331	13071	18047	18015	37	323	17166	11417	331	1588	29511	540	11335	607	8989	13422	43876	35033	6	26948	12003	13689	13536	28347	16924	34687	3360	21049	7828	583	1015	19718	34	2182	11	13639	9369	309	28409	10136	16294	11773	1831	1624	37853	18159	32989	19	7784	1658	15114	6	12	900	15673	1780	2470	
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__	0	8	46	0	0	10	0	0	0	3	2012	12	266	0	8	114	3089	3718	0	0	856	0	4480	0	68	1638	52	14	0	0	242	308	2181	258	97	44	385	2	2	27	4	377	0	0	6	0	3574	6	232	0	0	226	155	1	5765	0	0	91	0	0	155	0	484	0	0	0	0	0	0	685	1	0	0	1	661	0	1619	0	0	2	0	352	0	0	1	0	1125	4478	2	5	3160	0	39	721	0	1256	217	29	0	243	154	0	0	9	0	605	0	0	2	0	0	157	1509	130	0	0	1	0	0	909	0	540	105	0	0	0	1	382	1242	3673	7	3	2	0	244	0	425	547	14151	2	0	0	0	0	3180	58	405	3	0	1	45	0	8	757	13	0	3	2666	2719	50	0	0	122	0	0	0	3	0	1	1	6	0	0	2	217	4223	4	700	48	0	10	18	574	0	668	0	6	0	0	6	1	6	1	216	52	1677	121	26	38	1553	0	0	1092	0	7084	0	0	0	0	688	151	0	6	245	73	0	4019	25	345	74	0	7	0	0	0	27	0	0	0	0	0	8487	0	0	496	235	7	280	23	4	0	15	24	0	10	0	7	35	1855	0	0	7	999	3	95	32	771	0	1047	12	635	45	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Frisingicoccus	0	0	0	0	0	1	8	0	0	0	19	0	0	0	1	0	1	0	2	0	11	0	0	0	0	0	0	0	0	0	12	21	0	1	3	0	0	1	0	0	0	1	0	6	0	0	0	0	1	0	5	7	0	0	1	6	0	0	0	4	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	302	0	0	97	6	0	0	0	0	0	3	0	0	2	3	0	0	0	0	0	0	0	2	0	148	0	0	0	0	0	0	0	2	0	0	29	10	0	0	0	0	0	0	0	0	368	2	0	1	0	9	25	0	0	4	1	0	0	16	0	0	0	0	860	0	0	0	10	0	0	0	2	0	0	0	0	5	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	10	3	0	0	0	0	0	0	8	0	32	0	0	0	8	0	0	0	8	0	0	0	0	0	0	0	0	0	25	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	32	33	0	41	6	0	0	21	0	39	0	0	0	0	3	0	0	0	0	0	0	1	38	24	0	0	3	0	23	0	27	0	0	9	0	0	0	5	0	0	3	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Sellimonas	6	352	15	11	1	0	4	0	1	0	11	298	41	15	22	0	60	1	26	67	336	11	1	0	0	20	46	0	3	9	5	88	511	0	123	27	13	16	38	0	17	10	0	0	0	0	11	0	16	15	13	13	159	12	0	1	0	1	0	20	36	4	0	8	10	156	0	0	2	23	38	9	0	7	35	0	0	9	22	151	0	33	0	0	71	13	261	5	29	0	100	16	0	319	3	111	1	13	0	10	0	0	2	0	0	0	8	18	14	25	0	39	335	22	2	34	0	0	2	206	65	436	2	0	18	0	13	39	0	0	20	0	0	2	303	19	99	0	2	76	0	7	21	0	0	2	0	18	0	56	82	17	25	0	0	13	2	1	3	0	0	0	49	0	0	0	25	8	0	35	57	1	0	0	6	7	1	113	2	5	67	0	0	0	0	0	3	0	3	30	55	0	13	0	4	182	261	12	134	33	0	0	2	0	0	9	8	8	0	4	104	4	1	14	209	1	39	0	1	1	9	9	16	0	4	1	1	8	5	6	11	123	21	54	13	1	1	4	120	0	6	2	0	3	5	0	0	2	72	11	16	8	0	5	2	6	0	0	1	2	12	2	
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	2	38	0	0	0	0	0	0	0	0	1	0	0	0	0	44	0	0	17	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	0	0	1	0	0	2	2	0	1	0	1	1	1	1	0	1	0	1	1	1	1	0	0	0	1	2	0	1	0	3	0	1	1	0	1	0	1	0	4	1	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Incertae Sedis	1	7	32	0	6	27	11	4	2	213	93	81	17	0	23	11	7	136	17	0	32	12	121	39	39	197	0	33	3	12	52	41	18	193	69	24	46	8	11	5	5	160	6	13	6	25	442	1	58	4	30	33	278	17	16	11	7	41	0	22	1	11	91	0	0	0	37	138	9	111	21	3	9	7	0	10	26	55	11	8	10	3	6	20	1	0	10	11	1	719	74	0	3	0	18	18	12	5	1	144	95	22	15	12	8	30	0	27	17	0	8	10	160	66	1	5	44	1	4	53	11	61	7	4	9	7	9	36	21	22	29	2	13	4	256	67	15	0	10	6	10	1	5	8	9	42	5	44	5	6	3	0	26	58	152	1	1	23	7	87	7	6	131	0	7	6	3	0	12	19	118	5	21	6	134	37	10	47	21	3	99	95	36	10	28	33	1	0	8	10	31	7	41	50	25	29	34	16	30	703	61	7	51	17	1	4	0	12	6	4	1	2	4	14	6	2	2	15	9	6	0	16	2	35	7	9	21	2	1	1	5	1	0	9	11	1	2	7	4	51	12	48	0	2	10	4	19	1	1	9	0	4	116	3	7	3	12	22	1	3	22	1	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__[Eubacterium] siraeum group	0	1	1	0	0	0	84	0	0	0	7	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	3	0	3	4	0	0	24	0	0	1	0	52	0	0	0	0	0	0	0	3	1	2	0	78	0	0	0	0	2	0	1	0	0	4	0	12	0	0	0	0	0	1	0	1	16	0	17	116	68	0	0	0	10	0	0	0	10	1	0	0	0	0	0	1	0	0	42	0	2	1	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	2	860	3	0	0	0	1	0	0	0	0	0	0	0	0	19	1	2	0	2564	0	0	0	162	0	0	0	0	1	8	2	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	9	0	0	10	131	103	0	0	0	0	0	0	3	0	165	1	0	0	0	0	0	0	44	0	1	0	15	1	0	0	1	0	1	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	161	88	0	110	17	0	0	111	0	112	0	0	0	0	0	0	0	0	0	0	0	0	64	18	0	0	0	0	152	0	164	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	0	2	27	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	34	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	910	0	0	6	0	0	0	13	5	0	4	44	0	2	11	0	2	1	0	3	0	0	2	0	0	0	0	192	0	0	0	0	0	0	0	4	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	27	2	5	0	4	42	0	0	0	0	0	4	0	0	0	27	0	0	3	0	0	0	0	0	0	0	0	0	0	18	0	0	0	152	0	0	0	0	593	0	0	0	5	0	0	0	0	12	0	0	0	0	0	3	4	0	16	0	0	0	255	0	0	8	0	4	0	0	5	0	0	0	127	0	7	28	8	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	1	1	2	0	3	0	1	1	1	1	1	1	1	1	2	0	0	1	1	0	4	1	0	4	0	1	1	1	2	0	1	0	1	0	0	1	0	0	0	1	1	0	1	0	2	0	1	5	0	5	0	6	1	1	1	0	
