"","Bifidobacterium","Enterorhabdus","Bacteroides","Odoribacter","Muribaculaceae (f)","Muribaculum","Alloprevotella","Paraprevotella","Prevotellaceae_UCG.001","Alistipes","Millionella","Rikenellaceae_RC9_gut_group","Parabacteroides","Tumebacillus","Lactobacillus"," (f)","Christensenellaceae (f)","Candidatus_Arthromitus","Clostridium_sensu_stricto_1","Clostridiales_vadinBB60_group (f)","Eubacterium","Family_XIII (f)","Family_XIII_UCG.001","Lachnospiraceae (f)","Acetatifactor","Anaerostipes","Blautia","Cuneatibacter","Eisenbergiella","GCA.900066575","Hungatella","Lachnoclostridium","Lachnospiraceae_FCS020_group","Lachnospiraceae_ND3007_group","Lachnospiraceae_NK4A136_group","Lachnospiraceae_UCG.001","Lachnospiraceae_UCG.004","Lachnospiraceae_UCG.006","Lachnospiraceae_UCG.010","Lactonifactor","Marvinbryantia","Roseburia","Sellimonas","Shuttleworthia","Tyzzerella","UC5.1.2E3","Peptococcaceae (f)","Romboutsia","Ruminococcaceae (f)","Anaerotruncus","Angelakisella","Butyricicoccus","Faecalibacterium","Flavonifractor","GCA.900066225","Harryflintia","Intestinimonas","Negativibacillus","Oscillibacter","Ruminiclostridium","Ruminiclostridium_5","Ruminiclostridium_9","Ruminococcaceae_UCG.003","Ruminococcaceae_UCG.004","Ruminococcaceae_UCG.005","Ruminococcaceae_UCG.009","Ruminococcaceae_UCG.010","UBA1819","Erysipelotrichaceae (f)","Candidatus_Stoquefichus","Dielma","Dubosiella","Erysipelatoclostridium","Faecalibaculum","Holdemania","Turicibacter","Phascolarctobacterium","Bilophila","Desulfovibrio","Parasutterella","Escherichia.Shigella","Klebsiella","Acinetobacter","Akkermansia"
"Luminal",378,37,25524,114,16119,93,1781,2470,9,777,14,1395,715,23,9218,7,12,1758,19,158,5,29,8,704,49,17,176,1,51,59,1,781,33,8,2240,46,36,8,1,4,3,9452,4,5,114,7,15,167,72,19,3,4,235,38,18,6,47,17,92,139,85,230,2,28,15,19,23,119,52,36,2,511,38,195,29,21,132,248,1356,396,788,8,53,4328
"Mucosal",11,11,3368,38,14653,95,311,447,7,212,6,317,292,39,6296,4,5,1311,76,111,2,16,5,630,97,2,26,1,10,48,2,321,44,2,3287,251,47,25,1,1,1,223,2,11,14,1,10,12,49,11,2,4,10,3,2,1,37,1,91,147,122,180,4,2,5,6,4,8,5,8,1,27,13,10,6,159,23,31,221,101,165,24,28,504
