	TL1a_FP_162	TL1a_FP_234	TL1a_FP_198	TL1a_FP_132	TL1a_FP_90	TL1a_FP_288	TL1a_DTT_90_Repeat	TL1a_DTT_198_Repeat	TL1a_FP_270	TL1a_DTT_270_Repeat	TL1a_DTT_234	TL1A_FP_678	TL1A_FP_630	TL1A_DTT_630
TL1a_FP_162	0.0	4.200994514707766	3.608636283341071	3.469202869400389	2.5434102110267096	3.57977834812836	3.069024457142126	3.428952114546923	2.431173352308285	4.278930536073661	3.8632578716820527	2.693637402859385	2.7533206125203202	2.39898189058736
TL1a_FP_234	4.200994514707766	0.0	3.4877665486719085	2.045508064636125	1.6810351427375008	0.9640269903267329	1.4945746887779356	2.2500827531820606	2.4202417582415268	1.4526500228974906	0.796448315706489	1.6736918741399516	1.567312818896075	2.010566042681131
TL1a_FP_198	3.608636283341071	3.4877665486719085	0.0	1.670146175197649	3.0122738185615123	2.5471827261474527	3.1138245714438866	1.5915945483026737	1.6545405136847462	2.4858144306297634	3.8849936524439346	2.7712480430591606	3.3739922585961684	3.5084479111365616
TL1a_FP_132	3.469202869400389	2.045508064636125	1.670146175197649	0.0	1.8188106417163759	1.1631614014739111	1.6179608616668404	0.22669841375146274	1.230332452354804	1.0272873804471192	2.423094264631478	1.4403117313391254	2.128760895038075	2.4553426516998527
TL1a_FP_90	2.5434102110267096	1.6810351427375008	3.0122738185615123	1.8188106417163759	0.0	1.2764633004170072	0.7798756089127716	1.9243333726788094	1.4320027534255206	2.116165190025067	1.3832490836854763	0.4960083169545873	0.39681005326369667	0.6614729264102304
TL1a_FP_288	3.57977834812836	0.9640269903267329	2.5471827261474527	1.1631614014739111	1.2764633004170072	0.0	1.202515417789494	1.3752616914838773	1.5124837915436586	0.997456563137285	1.3878867064858464	1.1350683952551561	1.405803480601744	1.804526469499661
TL1a_DTT_90_Repeat	3.069024457142126	1.4945746887779356	3.1138245714438866	1.6179608616668404	0.7798756089127716	1.202515417789494	0.0	1.708499808842316	1.7746693690143704	1.7298726926068706	1.2776877771757669	0.4805575274030204	0.8850140465899844	1.3328767666884955
TL1a_DTT_198_Repeat	3.428952114546923	2.2500827531820606	1.5915945483026737	0.22669841375146274	1.9243333726788094	1.3752616914838773	1.708499808842316	0.0	1.2636751799626609	1.19727859960514	2.5976963178681634	1.5235937150173313	2.251826992608526	2.562935471840964
TL1a_FP_270	2.431173352308285	2.4202417582415268	1.6545405136847462	1.230332452354804	1.4320027534255206	1.5124837915436586	1.7746693690143704	1.2636751799626609	0.0	2.0573956230544073	2.5465401829376324	1.3266061496533506	1.7997636048640224	1.8658018454194036
TL1a_DTT_270_Repeat	4.278930536073661	1.4526500228974906	2.4858144306297634	1.0272873804471192	2.116165190025067	0.997456563137285	1.7298726926068706	1.19727859960514	2.0573956230544073	0.0	2.058161416084125	1.7923785998559694	2.2740018523765557	2.717975811768725
TL1a_DTT_234	3.8632578716820527	0.796448315706489	3.8849936524439346	2.423094264631478	1.3832490836854763	1.3878867064858464	1.2776877771757669	2.5976963178681634	2.5465401829376324	2.058161416084125	0.0	1.517903582982965	1.1101275889995172	1.5232768491137547
TL1A_FP_678	2.693637402859385	1.6736918741399516	2.7712480430591606	1.4403117313391254	0.4960083169545873	1.1350683952551561	0.4805575274030204	1.5235937150173313	1.3266061496533506	1.7923785998559694	1.517903582982965	0.0	0.803087792849532	1.1427074656118938
TL1A_FP_630	2.7533206125203202	1.567312818896075	3.3739922585961684	2.128760895038075	0.39681005326369667	1.405803480601744	0.8850140465899844	2.251826992608526	1.7997636048640224	2.2740018523765557	1.1101275889995172	0.803087792849532	0.0	0.5125259818539236
TL1A_DTT_630	2.39898189058736	2.010566042681131	3.5084479111365616	2.4553426516998527	0.6614729264102304	1.804526469499661	1.3328767666884955	2.562935471840964	1.8658018454194036	2.717975811768725	1.5232768491137547	1.1427074656118938	0.5125259818539236	0.0
