#OTU ID,Vil1.01B.FP11,Lyz2.02B.FP222.S70,Itg.22.FP518.S21,Vil1.03B.FP35,Vil1.13B.FP153,Vil1.07B.FP82,Lyz2.07B.FP283.S81,Itg.20.FP508.S11,Vil1.10B.FP115,Vil1.10B.FP116,Vil1.04B.FP46,Vil1.14B.FP163,Lyz2.06B.FP271.S69,Vil1.02B.FP22,Lyz2.01B.FP210.S58,Vil1.05B.FP58,Lyz2.07B.FP282.S80,Itg.16.FP484.S87,Vil1.05B.FP60,Lyz2.01B.FP212.S60,Vil1.09B.FP105,Vil1.05B.FP59,Vil1.08B.FP92,Itg.20.FP507.S10,Vil1.04B.FP48,Lyz2.03B.FP234.S82,Vil1.04B.FP47,Itg.24.FP530.S33,Vil1.03B.FP36,Itg.02.FP412.S12,Lyz2.02B.FP224.S72,Lyz2.05B.FP259.S56,Itg.04.FP422.S22,Itg.20.FP506.S9,Vil1.09B.FP104,Itg.26.FP544.S48,Vil1.13B.FP152,Itg.10.FP460.S62,Vil1.14B.FP164,Itg.06.FP434.S35,Itg.18.FP496.S99,Itg.24.FP531.S34,Itg.02.FP410.S10,Itg.06.FP436.S37,Vil1.03B.FP34,Vil1.07B.FP83,Vil1.01B.FP12,Itg.26.FP543.S47,Vil1.10B.FP117,Itg.26.FP542.S46,Itg.16.FP482.S85,Itg.12.FP471.S73,Lyz2.08B.FP294.S92,Vil1.06B.FP72,Vil1.02B.FP24,Lyz2.05B.FP260.S57,Itg.04.FP423.S23,Itg.12.FP472.S74,Lyz2.04B.FP246.S43,Vil1.14B.FP165,Lyz2.06B.FP270.S68,Vil1.07B.FP84,Lyz2.04B.FP247.S44,Lyz2.01B.FP211.S59,Itg.08.FP448.S49,Vil1.13B.FP151,Vil1.01B.FP10,Itg.04.FP424.S24,Itg.08.FP446.S47,Vil1.06B.FP71,Lyz2.08B.FP295.S93,Lyz2.03B.FP235.S83,Lyz2.07B.FP284.S82,Itg.10.FP459.S61,Itg.12.FP470.S72,Itg.10.FP458.S60,Lyz2.08B.FP296.S95,Itg.16.FP483.S86,Lyz2.03B.FP236.S84,Lyz2.02B.FP223.S71,Itg.02.FP411.S11,Lyz2.05B.FP258.S55,Itg.06.FP435.S36,Vil1.02B.FP23,Itg.22.FP519.S22,Itg.22.FP520.S23,Vil1.08B.FP91,Vil1.06B.FP70,Vil1.08B.FP93,Itg.08.FP447.S48,Itg.18.FP494.S97,Vil1.09B.FP103,Lyz2.06B.FP272.S70,Itg.18.FP495.S98,SLCFP072,LYZFP308,LYZFP307,LYZFP331,SLCFP131,SLCFP078,SLCFP070,SLCFP023,SLCFP022,LYZFP355,LYZFP319,SLCFP005,SLCFP024,SLCFP053,LYZFP320,SLCFP095,SLCFP077,LYZFP356,LYZFP354,SLCFP112,LYZFP332,LYZFP306,SLCFP113,SLCFP071,SLCFP004,SLCFP094,SLCFP052,SLCFP076,LYZFP330,SLCFP054,SLCFP114,SLCFP006,LYZFP343,SLCFP132,LYZFP344,LYZFP342,SLCFP096,LYZFP318,SLCFP148,SLCFP166,SLCFP150,SLCFP167,SLCFP149
2f65298490e0fe48b880145471ec54eb,35410,146809,13249,42986,7293,7844,11454,15925,8250,4174,10558,4997,3669,10794,147914,51959,9161,6680,10833,25514,2237,78917,8091,18709,5267,78049,10278,14784,22873,10017,34544,1688,77769,10043,3141,3296,9518,6206,4322,63124,5128,9217,8888,24259,23751,17153,31381,9114,2429,14324,3153,6499,16395,7180,6857,1893,112392,7405,10362,3372,5006,6814,10239,118255,9882,8760,31858,15038,5634,10173,18553,89571,6156,18527,11283,19472,8653,6073,29841,110051,16107,1759,35023,9834,21199,8548,8851,12689,4361,9397,5391,3018,3156,7329,4178,42060,28103,7448,8059,18362,11042,712,2638,22235,47043,3049,881,4631,20350,24244,26042,12578,141535,544,6042,60046,152,14193,3306,5118,8343,59185,14055,699,105,3693,79758,3646,26450,31137,1546,24803,827,30665,33463,9336,11858
c42634f8d1aad4956aa9638465e86565,9751,16363,3530,3888,67,39857,11167,408,26045,18292,47941,13864,2751,19763,11350,968,10233,31706,5409,3576,8565,8212,3899,1273,16630,1059,47282,1572,12320,97,3235,10133,2179,387,19952,7027,182,7135,14221,32325,13561,1599,33,6226,18618,27741,8413,11912,12980,10693,47825,39470,2992,13920,10262,9598,6373,38296,155,11413,3422,13535,67,10879,16494,53,10814,1365,24022,21272,3672,535,7240,14867,48769,15024,829,48431,601,14486,66,11905,10810,14943,6181,3779,4099,13315,2092,24151,35937,19606,5974,38145,710,1647,1688,57563,788,828,1415,16792,21314,86166,3829,1463,17544,1016,1696,3258,330,80203,44192,312,19436,2915,241,1889,919,714,1036,568,114243,895,1204,1768,108968,525,112992,76933,352,8578,79,18249,75266,26294,32806
5ae5ad642b9c2cc68c4fc59e4902ff63,7465,324,643,351,1,706,6147,24901,53,1840,2645,122,1349,2829,51,54,4594,581,201,35,1975,258,9113,26435,1294,2713,3259,13,924,1191,1501,164,3,12503,1457,305,1,131,40,6609,73,73,2001,1619,562,3025,5049,576,2929,486,396,409,1254,130,2393,101,7,1092,605,73,178,1777,440,73,63,1,5228,141,39,236,691,1665,1792,74,185,83,818,526,1000,656,1778,247,6573,4000,1685,1470,3790,746,7266,127,27,80,626,14,2788,80,3260,39,6911,29,4483,130,67,0,1189,321,132,8271,169,35,16,0,76,42,16,4003,14,3377,238,506,3607,30,687,3303,9,509,121,5941,122,13,3,661,6105,1402,1106,51,10496
f5fb42e8863737981eb6e04a3de22e29,4542,392,777,405,29,5424,766,4093,109,780,1916,1128,2573,1951,318,313,319,3277,914,187,717,1587,848,5553,2609,1312,3986,238,1554,1822,804,947,59,981,562,1878,81,1106,738,3240,422,436,1789,2003,524,3577,3537,963,1024,2317,3468,1404,1005,1289,1276,970,195,1242,223,990,567,1540,268,345,1063,17,3365,228,526,4312,1328,1808,415,721,812,462,1349,5299,921,474,3037,783,2142,2346,2045,1026,537,675,1180,995,1072,72,3355,1107,565,194,6288,1114,1941,1025,665,704,269,321,3307,387,609,1132,580,42,437,695,358,789,55,10969,300,709,119,58,765,618,5680,832,487,332,1330,548,1025,785,7,510,595,2416,725,4458,7916
d013db1a71d477496cb864ee431c3420,2110,212,1424,227,48,65,74,4375,5795,1827,1570,3353,84,1604,318,204,227,2235,1317,1311,960,886,779,1693,2205,280,656,105,1034,5794,694,1377,315,4776,1706,3577,84,2103,2219,385,279,133,529,4162,392,479,6956,3513,2068,2433,1726,1400,234,1286,3012,926,650,3356,32,2293,180,1184,42,1102,3872,22,906,467,1986,864,45,1036,391,2073,1587,544,1867,3594,1064,546,4890,1338,3005,2164,379,1960,1412,415,651,360,348,2933,903,449,500,5675,2761,1291,1338,3006,377,483,110,5268,2015,325,1053,92,61,7,442,6197,710,104,138,4132,166,660,45,34,98,175,8564,413,256,256,990,1212,2646,208,0,5508,5430,11,2159,865,91
ccdb1dad68d457d1df2d11af1ea8ca5f,1955,192,0,30,36,2978,0,0,0,6,55,2464,77,381,22,186,0,87,371,15,0,274,564,0,46,0,72,11,8,0,257,211,0,0,0,15,47,195,1240,0,0,0,0,0,46,1287,304,60,0,11,33,254,91,199,507,170,0,367,16,1722,27,398,28,0,80,8,845,0,45,1465,162,0,0,133,134,59,173,60,32,215,0,308,0,857,0,0,230,156,445,124,0,0,73,12,55,402,5259,1,2,22,98,98,27,1,2180,6,100,0,272,1,12,11,2,30,2,6092,6,63,2,0,16,5,39,0,12,3,5,3,18,17,0,170,621,154,76,35,870
9c9d2dfde9ad67dcb9628dc8c30ec99f,1258,1276,963,280,27,328,127,2843,1144,989,3968,4169,288,5213,852,183,297,1981,1159,469,1342,1276,1532,1285,3382,694,1042,50,1641,2181,1346,890,60,1021,1936,1254,45,961,2656,452,165,140,488,1846,583,1935,5340,865,1146,975,2139,841,163,955,4018,470,148,1724,42,3347,182,1301,97,581,1361,15,444,100,480,1022,139,978,582,782,964,421,1501,2263,1432,1231,2117,709,1918,5293,1040,674,2038,499,1147,220,148,2621,1257,163,555,9617,4642,1079,1266,1865,322,57,0,4143,3853,198,93,185,636,0,546,8318,1699,276,0,6579,281,738,55,0,120,530,8725,211,380,230,1076,926,1962,658,0,5261,1376,5,5514,9643,26
a93ecb34623d57ce5a83ac109551229b,1312,60,74,124,15,3323,330,673,40,183,449,797,676,529,40,139,152,703,242,7,365,233,199,716,378,39,738,19,171,76,204,71,0,219,366,97,29,150,394,1789,21,10,38,348,155,1497,756,139,141,201,681,298,439,430,965,68,26,257,15,461,164,560,11,35,89,0,861,76,62,1715,450,33,149,72,77,19,350,958,36,105,118,53,1365,923,72,75,97,248,171,126,13,64,504,10,164,96,498,43,602,19,161,83,53,12,316,32,77,80,71,25,30,91,31,290,17,599,198,178,30,32,29,22,545,43,153,58,109,318,73,8,0,129,213,483,23,223,1407
1b23073ca2a2884ac2bd7895dda760bc,1450,1,1,2,1,3614,71,1277,1,3,3,431,405,77,1,9,2,484,56,1,89,18,194,1562,170,5,393,1,23,79,87,44,0,285,29,35,1,4,50,491,1,1,1,16,9,1071,303,90,2,53,163,13,1196,100,709,31,1,10,6,341,36,282,1,1,21,0,1117,3,17,1309,559,1,13,1,1,1,701,696,2,3,63,33,254,633,1,1,53,178,307,67,2,1,174,1,0,61,1505,0,235,0,0,0,0,9,433,13,0,31,65,0,0,63,0,13,0,2212,11,0,7,0,4,0,0,28,9,13,24,107,20,0,0,94,0,135,57,347,0
7cd17d18c05e35c6001cc253ac15c517,1171,561,1433,172,18,1191,273,1820,2989,2482,1441,1186,164,1658,381,123,245,2013,864,944,819,634,969,1270,1454,382,709,91,685,2698,1049,476,199,611,977,1389,15,1268,692,384,162,185,559,1683,449,1305,2485,1344,2210,1454,1203,1447,302,901,1933,319,327,1516,91,692,82,1058,117,1343,1341,11,822,273,588,970,370,594,589,1009,959,370,1245,2000,682,1130,2532,408,1405,2692,934,1225,1144,456,517,352,390,1523,607,285,457,3246,3041,328,1306,673,389,131,35,1343,1059,115,195,1071,173,25,167,2243,482,251,12,3545,210,605,15,63,449,38,3540,1029,326,118,320,799,744,135,7,1166,233,248,2286,2530,159
