metadata,feature,value,coef,stderr,N,N.not.0,pval,qval
Line,cdb4be857f1f698f7613343f1a9761a3,JJWT,-0.96178276,0.378043357,270,128,0.014839972,0.059770808
Sequencing_Run,564a2d40353ba6af46b47a2d367a3d56,NovaSeq_Mar_Twenty,2.581503724,1.015113026,270,240,0.014959016,0.059942666
Sequencing_Run,8b317947d610fc3e351d94e2466ab1ab,NovaSeq_Jan_Twenty,0.677210689,0.26585761,270,167,0.014977648,0.059942666
Sequencing_Run,65553cd263bb61cf36d1a75d750952f3,NovaSeq_Mar_Twenty,1.906523951,0.750941864,270,220,0.015062454,0.06015326
Line,9e39af3708ad41aca6e8d5ab47b4efa2,Vil1Cre,1.085328687,0.429086749,270,114,0.015421916,0.061457487
Line,7027b1cc7695b944a14d2bf2b0cd03f4,Vil1Cre,0.969428768,0.383558511,270,54,0.01549883,0.061632583
Line,b9ee83053b2dd45e29dcd5e4eec2fda3,JJWT,1.465478258,0.581740485,270,43,0.015783523,0.062631432
Sequencing_Run,2363ef7459a5696a81b2a97fc71cfd10,NovaSeq_Mar_Twenty,-1.822245181,0.72326084,270,47,0.015827747,0.062673855
Site_General,1b23073ca2a2884ac2bd7895dda760bc,SI,-0.281777387,0.116261436,270,170,0.016168109,0.063877549
Line,b08002696e45f7e121334d154e2f5d4a,LyzCre,0.897696652,0.357759443,270,70,0.016200085,0.063877549
Line,762fd96b2d1336974fba68fedd33fefa,JJWT,2.012241569,0.804034802,270,189,0.016362745,0.064383096
Sequencing_Run,7c1aa4cebecf5121ff208d31b341894b,NovaSeq_Jan_Twenty,-0.770559969,0.307844186,270,46,0.016579167,0.065097612
Line,4c8288bfbd76958c0c094d87b97650f8,JJWT,-2.610295127,1.044690597,270,232,0.016643548,0.065213399
Sequencing_Run,b221a65a4ab995abd7110ddcd600e1fb,NovaSeq_Mar_Twenty,1.766596083,0.710368529,270,137,0.017184896,0.066921847
Line,4a82bd4ce156dbdc137b21a1d7e75f93,LyzCre,-0.571827622,0.23004057,270,111,0.017186991,0.066921847
Line,c2c7ac3e8c2acf2ceb1fbd66e9ff20d0,Vil1Cre,0.810881717,0.326555992,270,80,0.017153826,0.066921847
Line,ad4e760fa406db6470c29766422a47d2,LyzCre,-0.981626031,0.394971841,270,152,0.017300175,0.067222509
Sequencing_Run,ad4e760fa406db6470c29766422a47d2,NovaSeq_Mar_Twenty,2.153624182,0.868977287,270,152,0.017584787,0.068186655
Sequencing_Run,1215303fb541fab34f6257176ded8fc4,NovaSeq_Jan_Twenty,1.568624973,0.634052023,270,112,0.017627675,0.068211438
Line,fc7e77e237e910e3f38dbb8e3c69c5bd,JJWT,1.790024544,0.72574093,270,177,0.017921782,0.069063529
Sex,21f3474eb0a2647e96181ab06ed9b764,Male,0.442393778,0.179311683,270,165,0.017903156,0.069063529
Line,b89a1572461237b1a6ff63b2aeb24e60,Vil1Cre,-1.226840991,0.498107195,270,120,0.018103888,0.069621741
Sex,9bc2935704d00be01387e4b91d0ec358,Male,0.307168145,0.125102055,270,37,0.018210019,0.069742879
Sequencing_Run,2363ef7459a5696a81b2a97fc71cfd10,NovaSeq_Jan_Twenty,-0.987903082,0.40093179,270,47,0.018191387,0.069742879
