	TL1a_FP_140	TL1a_FP_230	TL1a_FP_207	TL1a_FP_128	TL1a_FP_129	TL1a_FP_206	TL1a_FP_242	TL1a_FP_86	TL1a_FP_266	TL1a_DTT_169_Re_extracted	TL1a_FP_159	TL1a_FP_98	TL1a_FP_75	TL1a_FP_141	TL1a_FP_195	TL1a_FP_158	TL1a_FP_62	TL1a_DTT_127_Repeat	TL1a_DTT_157_Repeat	TL1a_FP_231	TL1a_FP_284	TL1a_FP_74	TL1a_FP_267	TL1a_FP_171	TL1a_FP_87	TL1a_FP_99	TL1a_FP_194	TL1a_FP_63	TL1a_FP_243	TL1a_FP_285	TL1a_FP_170	TL1a_DTT_284	TL1a_DTT_231	TL1a_FP_205	TL1a_FP_85	TL1a_DTT_267	TL1a_DTT_139	TL1a_DTT_171	TL1a_FP_127	TL1a_FP_73	TL1a_DTT_74	TL1a_DTT_158	TL1a_FP_193	TL1a_FP_139	TL1a_DTT_141	TL1a_FP_265	TL1a_DTT_129	TL1a_DTT_265	TL1a_DTT_285	TL1a_DTT_241	TL1a_DTT_159	TL1a_FP_157	TL1a_DTT_243	TL1a_DTT_205	TL1a_DTT_206	TL1a_DTT_62	TL1a_DTT_242	TL1a_DTT_73	TL1a_DTT_195	TL1a_DTT_63	TL1a_DTT_85	TL1a_DTT_86	TL1a_DTT_193	TL1a_DTT_207	TL1a_DTT_230	TL1a_DTT_75	TL1a_DTT_128	TL1a_DTT_283	TL1a_DTT_194	TL1a_DTT_97	TL1a_DTT_229	TL1a_FP_169	TL1a_FP_283	TL1a_FP_61	TL1a_FP_241	TL1a_DTT_140	TL1a_FP_229	TL1a_DTT_99	TL1a_DTT_87	TL1a_DTT_266	TL1a_DTT_98	TL1a_FP_97	TL1a_DTT_170	TL1A_DTT_673	TL1A_FP_638	TL1A_FP_626	TL1A_DTT_675	TL1A_DTT_626	TL1A_FP_685	TL1A_FP_686	TL1A_FP_674	TL1A_DTT_674	TL1A_DTT_627	TL1A_FP_625	TL1A_FP_639	TL1A_FP_673	TL1A_FP_687	TL1A_DTT_638	TL1A_FP_675	TL1A_FP_637	TL1A_DTT_639	TL1A_DTT_687	TL1A_FP_627
TL1a_FP_140	0.0	2.7373866232505244	0.21119315126089966	3.232690204212866	2.8347038343781796	0.7858965270503342	0.6153765390206287	3.1553530142964754	2.6838756472296788	2.8848604456661273	2.3593655724132736	0.6617315712854834	1.670069540091846	0.6198589885674093	2.7527419773522936	2.4506291918317564	0.4971528353653091	2.6108156177960873	2.1865193845569806	2.935992239127404	4.117582880291396	2.5983094107670737	2.683809448753331	0.8759369193542644	3.375116061418533	0.900496165523767	3.1049398707514375	0.4529472846015487	0.7559807429910013	3.3630580483894317	1.2482749724137503	2.497489950510038	2.023582329789121	0.356955941229587	2.9140537525670704	2.80347336439226	0.7789166883663595	0.560295288272788	2.9177790945034667	0.464658236525023	1.177618701594646	2.2329312546244253	2.924086593860086	0.4937179234514412	0.4416257362518901	2.7431133819009283	2.9491560471725795	2.246912513707083	2.9260211997496626	1.0857852135655	2.3547741980729544	2.3551470754801356	0.9773115145393906	1.0316221665329768	0.5053219226982253	0.39924303152000273	1.168473021729315	0.5609805515521696	3.1576551330484195	0.7308931212253016	3.0537116022207913	2.877986148291645	2.7521509398662167	1.2438961143831828	2.0553070992549314	1.1383024843424074	2.3709154550929186	3.1407734023648395	2.629735791504653	0.5144334675470359	1.0822904181297837	0.7963366571290393	3.1062610971031255	0.9651577021004021	0.36583474969424395	0.8638776253177128	3.2844078203141427	1.517770146816141	2.60784442713739	1.9987885307219193	0.5289586812773164	0.7746418545614157	1.4061775353048123	2.5074698028356166	1.4213620773085975	2.657043700122634	3.1609313966137385	2.9314064399019832	1.81832794785001	1.1338137346354569	2.998735221485146	2.88857043001321	2.537721821226112	3.183286784903786	1.9918899673299777	3.4588027995571617	1.8042444818471572	1.7849889675485788	2.695467822430706	1.4948738307201241	1.016152990921813	1.9958116597092037	2.764989057847556
TL1a_FP_230	2.7373866232505244	0.0	2.574180595141817	3.3709567545609382	2.605266609554368	2.8260790504791444	2.1247031793008713	0.600916324656825	0.8083624103791945	0.2482721484148919	1.7758088287443128	2.1462868643509765	1.6775064322625035	2.153193367470382	2.4008629572546503	1.699140770383387	2.630866905476758	2.395641666681566	1.7070295625049816	0.3666620885921823	1.6685583932773733	1.7264666167357883	1.1233627863818618	3.09734360759442	1.138461454583742	1.8585905145515529	1.1366795641059884	2.3660750262581174	2.0329378615782665	1.1520364375585497	1.7487298557388895	1.280829369175038	1.3567916370068036	2.4566291503962496	0.520618106034787	2.186049604485106	2.2599557377641095	2.2125827266896025	2.165496572293935	2.2899632525037017	2.106453751770828	2.1268636995910244	1.0960414966343475	2.3486464510958895	2.399446715635055	0.7559385307390999	2.99501637065045	1.895342858787906	0.9421895374623396	1.7382431455605691	1.8501103700522663	1.5357251624900519	2.4875196418566743	3.233160203876696	2.2919488143856848	2.4176561582820395	2.081607256140008	2.3327990761255983	3.452040750084201	2.262516326691418	0.5517296055544358	0.5353784668533824	2.6232887227029567	2.1662228050843386	0.9647406536990186	1.669614854223067	2.305868670470711	1.0793994650197996	2.0443120376104758	2.510494064933032	1.7863724349257264	2.002747881271027	1.3148901924268583	2.7673354318673815	2.3866942748458513	2.5173257143929284	0.7043359566457045	2.106015919754914	0.14295972613487298	1.6281816256700075	2.220264627758489	1.983684749505819	1.8789621686209546	1.407114755455097	1.66390158269761	0.5080097749812466	0.8644799815166829	0.8040234378257237	1.2498030875753878	1.7960228121573218	0.6465275771332222	0.6380234443288704	0.9107572722988532	1.127927393149018	1.0972263256488806	1.3077064290973048	1.371607823484106	1.2423824562778032	0.34366605354154556	1.3447084669217544	2.297289640246968	1.133695081071209	0.6163873099920665
TL1a_FP_207	0.21119315126089966	2.574180595141817	0.0	3.2570629118456806	2.815367636534527	0.6719453450293386	0.4695604857641692	2.973484495413013	2.557972975934959	2.730817342034803	2.289969727459424	0.5880466706560327	1.5158565167371476	0.49580825204422524	2.7340295363343214	2.3852773499182227	0.3466277021685713	2.582439113300949	2.09695153449028	2.772408308224884	3.9255887151494218	2.4589118187985113	2.567854577642591	0.8261662826880058	3.1875846621120845	0.7759173202416513	2.997162313322149	0.2601507912839462	0.5760909266225612	3.1710133288357336	1.130587433221623	2.3670387827702863	1.941061335929285	0.15923425990742246	2.734490265945297	2.7413755530317214	0.5996985098377754	0.47671634150550835	2.851622152696397	0.3048102476208239	1.0252112775855131	2.184664165166885	2.8132235677601845	0.28572122410326	0.26292147820481554	2.615818104117264	2.945136691369857	2.1780461412372736	2.762076385877229	0.9809209039492597	2.294554769993653	2.2783612985077495	0.8221531157471008	0.9857094146016296	0.3457072680633148	0.3884676609540489	0.9973784232673064	0.5399590571018767	3.192731262860216	0.7255398822020154	2.870833113997029	2.6983841299701585	2.760081455819091	1.0715685561702044	1.9338711295026372	0.9848656313226197	2.341000337977382	2.976399565037499	2.5877889830596916	0.33814045366930134	0.9690265973355382	0.6805376484130662	2.948340102189211	0.828526706282026	0.2453804877730059	0.8999762210470098	3.109262692615523	1.3787667700166697	2.444916653198767	1.9461871807960551	0.41573940810130655	0.6462578408881797	1.3589288576442877	2.3335646715258123	1.2253723639501077	2.4746740088082593	2.9731638180491298	2.746262914808167	1.6528934912441318	0.9624734324107805	2.8190550267862715	2.700655673896281	2.3385967999319335	2.9933309955411276	1.8284856669523077	3.2663082567891406	1.6297197604083669	1.59854953043226	2.516433632519693	1.3376157239471436	0.8159140808325349	1.8223013008504523	2.5782595321508825
TL1a_FP_128	3.232690204212866	3.3709567545609382	3.2570629118456806	0.0	0.7791049387141178	3.709055109469358	3.0920537627337557	3.82157097689856	2.601856690184523	3.2765261598391975	1.6148491115012669	2.9612198296210472	3.9134897785524476	3.1604237298549833	1.0199607704451297	1.6857406259125147	3.537514444965764	0.9958506198494679	1.8248156255666732	3.274097088492419	4.906620982294523	4.507173249117566	2.29442737876512	4.004912041383064	4.500783917602835	2.935065424746695	2.621186784213266	3.3316091585352776	3.2716752604255466	3.9045892502572808	3.374438640733002	2.3128186050660013	2.207973337939139	3.3167187932696716	3.8742378883693274	1.3255375747540112	3.610908048719145	2.9652510119130033	1.3786825634553916	3.0717513938631096	3.860869625713131	1.3902975386050764	2.4510923784135645	3.3262489070368217	3.3723841432592567	2.6837091981879104	0.5635870830568609	1.5881214022559997	3.006638735013062	2.7159314633932796	1.5370311666820968	1.8507532361682262	3.94925878528718	4.029958750540086	3.3008310540947163	3.0295479370440503	3.845135712579633	2.7643191861904617	0.18978123732225416	2.6713809947004705	3.7923789876140988	3.881424373025865	1.0067923284294882	3.9766493460102073	2.5600699541684975	3.251861265839697	1.1492397914933647	3.0924798169970034	1.3606570818743569	3.310775052968406	3.1569498435239463	3.1253205844312046	2.9105309699218296	3.95155303256587	3.051158010181802	2.369464933241442	4.042004644559598	4.127584222409671	3.3535012268634063	2.070863171336753	2.9829680465944874	3.057798586705495	3.06775715415522	4.371573482828013	3.690264969385304	3.7449785090436074	4.205868371214526	4.125580586519475	3.6692937706404165	3.5045097399073177	4.009429689611706	3.9090933921135447	3.838038862270885	4.461091193968675	3.6813242336916736	4.650301578052481	3.8077895369663177	3.6620897521144498	3.5282060390829146	3.3212114333643163	3.682918842486839	3.7631359858548388	3.872363867176725
TL1a_FP_129	2.8347038343781796	2.605266609554368	2.815367636534527	0.7791049387141178	0.0	3.2513275927531153	2.5739247789711843	3.0439303986935977	1.8405527935229233	2.5130792313088155	0.856783469301922	2.4648629694647783	3.275294709662069	2.6486387866244914	0.4334761605473788	0.9516530748005475	3.0709017795648297	0.2578561761177833	1.0892600204272382	2.4983708983722495	4.130426104882694	3.8334699451993615	1.5223007837246034	3.574414632088949	3.7304814918970495	2.3761940260898653	1.9106202502855927	2.839460791754627	2.7213516359102	3.1326613150032387	2.789323074660463	1.5435424947916454	1.5241545631140168	2.844071971634322	3.1068849971542685	0.5842673841755938	3.0736323322602295	2.478269771128051	0.6492344364839311	2.58302930584715	3.283824893453413	0.7120150146314552	1.7101787241182138	2.827162464398342	2.8849247567616643	1.9264151647404923	0.47300211891886923	0.8580739737026842	2.234026642504694	2.1389417329872207	0.7912042734178624	1.1120996008804256	3.415760170685241	3.6156229532124677	2.8012438139832607	2.5863681369573195	3.2598719183035696	2.316230741080547	0.8845719086209021	2.2202972659199447	3.015358552511373	3.1158920049448886	0.7155228246391852	3.3898327688282635	1.8346628183290696	2.6485804391816585	0.48757510349041167	2.327086873703287	0.6664058112367252	2.836373996448514	2.5863546819266996	2.590178165791731	2.159905783737887	3.456609695743491	2.5874812000211143	1.992728154917536	3.2737353310438295	3.53084555216275	2.593124267817821	1.4523725804675522	2.4914972981761636	2.5185425554305607	2.5371324658148495	3.6584551608529856	3.046656306551862	2.982607329006141	3.4338555204096073	3.3623701045833734	2.9911599596776246	2.903597798314654	3.243728694499839	3.1379434301240665	3.0815344246374097	3.694665185388194	2.987655853852853	3.8776312631764216	3.131625189587749	2.971543920546123	2.7571581693641405	2.669012098020899	3.1260547764319018	3.0641673635619586	3.1063847670806126
TL1a_FP_206	0.7858965270503342	2.8260790504791444	0.6719453450293386	3.709055109469358	3.2513275927531153	0.0	0.9923244452459322	3.1155265979603888	2.919047759403832	3.014680042068732	2.7075454790596374	1.1973360696212267	1.7301935560067394	1.042600641827999	3.2272315092768937	2.8444801036349268	0.3690361042223129	3.0147080659993186	2.444783847624156	3.0028048117157775	3.9787666242221165	2.669952936733637	2.925143077896317	0.4067197759438076	3.275518326525364	1.2814179899268527	3.4089082529194665	0.7047986885549494	0.953892840495803	3.2057280853935213	1.567090081855512	2.629875375115739	2.427483771369722	0.6647079161709668	2.8993341722042048	3.105579487675382	0.771488025399478	1.0877563779372699	3.2151947430616565	0.8322433297610226	1.1912643534231926	2.583347967612118	3.205510390536062	0.648536987424948	0.7096257394182992	2.9772594221000337	3.3384467189199105	2.560844595539198	2.929736139956456	1.4924857713189488	2.731799083590369	2.7269288048944182	0.7163514284601525	0.42427586921200255	0.8419303643537237	1.0544301973589667	1.0954295083189274	1.15730717363429	3.646887238834814	1.361505587295053	3.0101338989223914	2.863357513615108	3.3037364476919864	1.0738256585748456	2.3382228735587653	1.37055746425625	2.7703349698729514	3.1300522072455172	3.0686840399561452	0.4528885442417821	1.4610961122680541	1.20888997120193	3.091808793812127	0.33199215672816906	0.846008356206645	1.4377824915919166	3.288742931560622	1.520328870788946	2.703888165733721	2.488094470379611	0.9968494469032078	1.1647749018429718	1.9358568135185628	2.4416869726757495	1.3120583146081113	2.632202771431061	3.075892116570149	2.8671767243587825	1.8981433237096734	1.2358287912017012	2.9775874200166483	2.814673077017403	2.3754622332135544	3.062381535836549	2.0808469021615448	3.3128115242428144	1.8098574428190999	1.7533888407395712	2.689077658010712	1.6715717369697496	0.587380182727217	2.0222459581059224	2.7036723918275536
TL1a_FP_242	0.6153765390206287	2.1247031793008713	0.4695604857641692	3.0920537627337557	2.5739247789711843	0.9923244452459322	0.0	2.5522888320233617	2.1175311228384412	2.2755327770979816	1.9591653767877029	0.2479394708207933	1.1858505113960647	0.13593304557024022	2.4493761490890393	2.0243675173769224	0.6634961690520623	2.329926634535367	1.7839782266904365	2.3347569233459553	3.527755678628459	2.109767751140397	2.1573606757885955	1.1959319313406565	2.787636859176352	0.3142258565488576	2.551532802862668	0.32181189843110286	0.23458846586697357	2.7995950140597485	0.7307767449759642	2.0051391477168994	1.5250570542342767	0.3808134997403219	2.307147510235313	2.4572375168275147	0.5321622467848676	0.19566067073517976	2.5547100805362244	0.22871646897660908	0.8366805911758343	1.9285906111121316	2.379822982925122	0.3495236321440093	0.3552114298318891	2.1697233092997354	2.7688511419154676	1.884086575745899	2.3742281301252524	0.5475138062913227	1.969827607110136	1.9008312057109564	0.8846952177646535	1.3700480747333255	0.23907474012536528	0.3544974970564801	0.8202747723796121	0.42519150038137193	3.0513300568382706	0.5207577596046198	2.451471029936576	2.271774865901913	2.4957919997477718	0.9446516705212302	1.4877431372922045	0.547036395688874	2.0965870730166043	2.592575717344718	2.2608820923842976	0.5814333445944498	0.5345423056919546	0.25768849144492356	2.5897734016770464	1.0626011317720834	0.2996113158224467	0.8678963930581476	2.6736107658373394	1.1743815917158933	1.9939123694459393	1.5572964620912018	0.16214926254737416	0.18560282885052867	0.9815333479893391	1.979396601430375	0.9243761614973429	2.053270399453223	2.5662685352976964	2.3380009385570206	1.2462650150054315	0.61537267883911	2.39414833576831	2.291812280801828	1.97130754650757	2.6053830084853327	1.4086588115670045	2.882499353801003	1.258030251544905	1.2162330182677314	2.090804896878314	0.8952727803915692	0.8287090718271747	1.420624356915703	2.167275570463762
TL1a_FP_86	3.1553530142964754	0.600916324656825	2.973484495413013	3.82157097689856	3.0439303986935977	3.1155265979603888	2.5522888320233617	0.0	1.2838581816628254	0.6947784751323102	2.2351980097604156	2.615336363941593	1.99733360205606	2.5892889760497213	2.8861422167357897	2.1947679566292915	2.973367209367331	2.8422674905513343	2.1204915439308794	0.5618096912161242	1.1270726768954624	1.9289101864001346	1.54041941443667	3.3924675810893237	0.7737503252248044	2.3207702851134653	1.5598526927137855	2.753223292345353	2.427547727560585	0.6851876239120624	2.2032026593001004	1.5951233644946554	1.9228319164582115	2.8463211066118084	0.42514380411989044	2.5620130448198197	2.6040211005442364	2.6669980194058236	2.5292907629209167	2.7006217548224556	2.4344445267449837	2.567832687418256	1.527629255000809	2.723282110667798	2.7875347959961965	1.2336620579915736	3.40822025980181	2.327830274129885	0.9894714787276442	2.231167463000403	2.322786964538613	2.0393505176011972	2.7749764707406275	3.5051355774324913	2.6971324733482622	2.8738753684814724	2.387199253854465	2.798626572588097	3.9127767893829626	2.758252020766291	0.10817473889194758	0.475856240978644	3.144914289189549	2.438389441014438	1.5212941534126139	2.099185608603757	2.76179249814605	1.0339342299462961	2.5325600234968846	2.859142604089847	2.2593276449132613	2.4560886455627577	1.3170663679571069	3.026714540578277	2.807193474677076	2.996503368587149	0.43685561246651794	2.402968106400977	0.6969742305059994	2.2055663848403086	2.6582969025335546	2.431666674240022	2.418762636524288	1.4996783648579766	1.9399482171658824	0.5789224651249507	0.5020627585270895	0.6450826438269461	1.6006200989787838	2.167790272057703	0.5011324211310647	0.4013301585914448	0.8254982612348332	0.8284899863852805	1.4505865326920588	0.8935547588632642	1.6633375903384466	1.5243350025172517	0.4645194686442639	1.7752060204829134	2.555069601204436	1.429656136060683	0.5227812139715952
TL1a_FP_266	2.6838756472296788	0.8083624103791945	2.557972975934959	2.601856690184523	1.8405527935229233	2.919047759403832	2.1175311228384412	1.2838581816628254	0.0	0.6761056150818137	1.0640410727605931	2.0776103002616435	2.0835707427648638	2.1627306311772503	1.6251032526981288	0.9468584003175842	2.7017901696011517	1.653137683534931	1.1116848237462735	0.7319016065519642	2.356165305603913	2.3197608463319277	0.3668195212704953	3.224789221385892	1.9352045443942445	1.820221630773317	0.5420774693503134	2.4104676965222787	2.11259846750796	1.6124780664640934	1.8962256975021916	0.7891403595933868	0.836604314804221	2.480368487895956	1.3274131032257546	1.449720392583398	2.425122419426126	2.1416891328152725	1.4173429758344864	2.2555209674169068	2.3907805621506437	1.4692952877517518	0.3466914668697594	2.3967104387064477	2.4510938401685474	0.10323160767512143	2.2565578788153604	1.2430687352246512	0.8952954296559296	1.6118813088893036	1.1311642975770435	0.8106883019915049	2.7254183751161984	3.3428171900555244	2.334638031652572	2.339114628646103	2.371724129159079	2.1775463461740014	2.6965473358897825	2.0732818405707745	1.2632929179208898	1.3431248527303805	1.8716769674900153	2.4876209181850926	0.6398540386159149	1.7973003105880743	1.6055468244240967	1.0358304400046556	1.269335678337656	2.529719463894029	1.8387763743999994	2.0175378610687233	1.1375890193049825	2.9498187794580466	2.3294051501191237	2.218947544466643	1.4448157795607302	2.4835390168034746	0.8316091890683717	1.0908677003125942	2.1591579813834	1.9790305927201273	1.8360331207477347	2.091667293387326	2.001882310644001	1.2742538728770618	1.658922796304233	1.6095890321359072	1.6732760001618663	2.0129393524004167	1.4530512621933696	1.4115392394021118	1.5480882562651763	1.9348405992546402	1.570518677476204	2.102098965484629	1.8315182577417426	1.682106507421521	1.046993786312629	1.5684711379878775	2.489921621503338	1.646831094438636	1.3936063376065908
TL1a_DTT_169_Re_extracted	2.8848604456661273	0.2482721484148919	2.730817342034803	3.2765261598391975	2.5130792313088155	3.014680042068732	2.2755327770979816	0.6947784751323102	0.6761056150818137	0.0	1.7123342586717878	2.276830341673191	1.8793836489809832	2.3040736009209053	2.295767762357085	1.6095272778552148	2.8099285701001073	2.318470143268653	1.6880935802675692	0.31772430822946174	1.7234788561087389	1.894933381623015	1.009103468434116	3.2911874731933364	1.277704584674454	1.9949391144854083	0.9213437520870364	2.5334103330995896	2.2028240740141216	1.2286757803182249	1.9028773067098237	1.2553655989033794	1.3331881811714448	2.6207617818361566	0.7042458158898606	2.0976263723990707	2.4498468054116582	2.3473152091869602	2.0636952853389534	2.4406080884465364	2.3069919318438306	2.0915089824515367	0.9139817092335385	2.5187291908522855	2.567603147412616	0.6026825006500794	2.9191614400057406	1.858835927000663	0.9291782251351488	1.850274590753222	1.7837080977282638	1.4592262147912043	2.693830829967047	3.4269787629168293	2.455065769858281	2.551172057577552	2.2885303199620894	2.4506818312010075	3.3678696786846634	2.365372054166852	0.6815920081784071	0.7280486075632221	2.521580711234616	2.3809022214598494	0.9851935550023435	1.8354534672482437	2.252196352456428	1.0416777765271545	1.939267397573861	2.68002194973261	1.9285999531169076	2.1488620583839473	1.2812060452565268	2.971492053091645	2.532046900458233	2.602694910706196	0.7714414719854735	2.311592092979049	0.35798371767052567	1.59535163060109	2.3606577081200415	2.1291924886765554	1.9695107505941771	1.6229558900753025	1.8811846898202325	0.7455862034367648	1.0227743689559254	0.9994187757314961	1.4520517333166452	1.9848046723855	0.8124456593966214	0.8388880122952174	1.1452383101292198	1.3040878479241935	1.2973286123927472	1.4552855563998688	1.5882535120279224	1.4664151836226231	0.5626195171800694	1.5189877700983316	2.5014023385463102	1.3511129531609856	0.8397960385835866
