index,k__Bacteria;p__Firmicutes,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__Bacteroidota,k__Bacteria;p__Proteobacteria,k__Bacteria;p__Actinobacteriota,k__Bacteria;p__Verrucomicrobiota
Duodenum,28196.0,1525.0,2361.0,1589.0,10.0,32497.0
Distal_Colon,2406.0,0.0,14491.0,55.0,0.0,12281.0
Proximal_Colon,2163.0,0.0,20663.0,53.0,0.0,14838.0
Cecum,2282.0,0.0,10022.0,51.0,0.0,7854.0
Ileum,31405.0,146.0,2918.0,820.0,10.0,30650.0
Jejunum,20025.0,430.0,3286.0,1548.0,20.0,73529.0
